,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc De Sousa-Mendes,ChZDSUhNMG9nS0VJQ0FnSUM0a0pud0lnEAE,Michael Meltchenko,https://www.google.com/maps/contrib/112352934632007108891/reviews?hl=en-CA,2 years ago,2021-06-24 07:49:38.281241,5.0,121,Cute little park for kids. During spring the big white crab apple tree is really beautiful. Theres also a poke stop and a pokemon gym.
1,Parc De Sousa-Mendes,ChdDSUhNMG9nS0VJQ0FnSUNxdzRXUXhBRRAB,Patricia Louis Aristhène,https://www.google.com/maps/contrib/107117356400769875454/reviews?hl=en-CA,a week ago,2021-06-24 07:49:38.282291,5.0,5,Quiet place for family
2,Parc De Sousa-Mendes,ChdDSUhNMG9nS0VJQ0FnSURJenRISjZBRRAB,Nekeisha Roberts,https://www.google.com/maps/contrib/102797090313542541440/reviews?hl=en-CA,2 years ago,2021-06-24 07:49:38.283219,4.0,18,Not a big a parc and i love that..its also fenced in which is great
3,Parc De Sousa-Mendes,ChZDSUhNMG9nS0VJQ0FnSUNFLS1IUUxnEAE,Flávia Araújo,https://www.google.com/maps/contrib/110059806621848239922/reviews?hl=en-CA,2 years ago,2021-06-24 07:49:38.284295,4.0,37,Small and nice park for little kids
4,Parc De Sousa-Mendes,ChZDSUhNMG9nS0VJQ0FnSUNVMS1MQWFBEAE,ali allouche,https://www.google.com/maps/contrib/108752788701518218439/reviews?hl=en-CA,a year ago,2021-06-24 07:49:38.285223,2.0,17,Tiny park for kids
5,Parc De Sousa-Mendes,ChdDSUhNMG9nS0VJQ0FnSUNBNXR5cG1nRRAB,Desneiges Charron-Cloutier,https://www.google.com/maps/contrib/114425578933405797684/reviews?hl=en-CA,3 years ago,2021-06-24 07:49:38.286406,5.0,17,Great
6,Parc De Sousa-Mendes,ChdDSUhNMG9nS0VJQ0FnSURRbXYydjd3RRAB,F,https://www.google.com/maps/contrib/114357112106215677266/reviews?hl=en-CA,3 years ago,2021-06-24 07:49:38.287382,3.0,14,Small parc
7,Parc De Sousa-Mendes,ChdDSUhNMG9nS0VJQ0FnSURBa3YtSzVnRRAB,nooshin s,https://www.google.com/maps/contrib/106468682783471816353/reviews?hl=en-CA,3 years ago,2021-06-24 07:49:38.288312,3.0,64,Kids love here.
8,Parc De Sousa-Mendes,ChZDSUhNMG9nS0VJQ0FnSURnbVBhMmFnEAE,Hans Villarpando,https://www.google.com/maps/contrib/117974933051049198489/reviews?hl=en-CA,2 years ago,2021-06-24 07:49:38.289372,3.0,414,"This park need a fois cleaning, car cats do this place their bathroom"
9,Parc De Sousa-Mendes,ChdDSUhNMG9nS0VJQ0FnSURnbDdXTXVRRRAB,Mladen Stoykov,https://www.google.com/maps/contrib/101236451433827942775/reviews?hl=en-CA,3 years ago,2021-06-24 07:49:38.290489,5.0,58,Great calm small park for kids under 3
10,Parc De Sousa-Mendes,ChdDSUhNMG9nS0VJQ0FnSURLOS15Q25RRRAB,Nadia Nait Chabane,https://www.google.com/maps/contrib/103998977465963706715/reviews?hl=en-CA,a month ago,2021-06-24 07:49:38.291495,1.0,13,"(Translated by Google) Too small

(Original)
Trop petit"
11,Parc De Sousa-Mendes,ChdDSUhNMG9nS0VJQ0FnSURLNXI3cnlnRRAB,Amelia Maya,https://www.google.com/maps/contrib/113144470908054315617/reviews?hl=en-CA,a month ago,2021-06-24 07:49:38.292440,2.0,7,"(Translated by Google) Lack of fun

(Original)
Manque d'amusement"
12,Parc De Sousa-Mendes,ChZDSUhNMG9nS0VJQ0FnSURBbWQ3VGNBEAE,ysandra rodrigues,https://www.google.com/maps/contrib/115283856758867979708/reviews?hl=en-CA,4 years ago,2021-06-24 07:49:38.293604,3.0,250,"(Translated by Google) I like this little park very much. With many trees around it makes it a very pleasant place on warmer days.
But because there are many houses nearby, cats circulate around the park and many of them make their needs in the sand, so I don't advise digging too much there.
Also remembering that it is a place far from any other attractions (swimming pools, water games, outdoor theaters) precisely because it is within a small residential area.

(Original)
Gosto muito desse pequeno parque. Com muitas árvores ao redor torna-se um local bem agradável em dias mais quentes.
Porém por ter muitas casas próximas, gatos circulam pelo parque e muitos deles fazem suas necessidades na areia, por isso não aconselho cavar muito por lá.
Lembrando também que é um local longe de qualquer outras atrações (piscinas, jogos de água, teatros ao ar livre) justamente por ser dentro de uma área pequena e residencial."
13,Parc De Sousa-Mendes,ChdDSUhNMG9nS0VJQ0FnSUN3bjkyV2p3RRAB,Likatou As,https://www.google.com/maps/contrib/116360959904823115098/reviews?hl=en-CA,2 years ago,2021-06-24 07:49:38.294545,3.0,20,"(Translated by Google) An ok park. Ideal especially for the youngest

(Original)
Un parc ok. Idéal surtout pour les plus jeunes"
