,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Decelles,ChdDSUhNMG9nS0VJQ0FnSUNxai1hYmxnRRAB,Flore Flow,https://www.google.com/maps/contrib/111219291188560945554/reviews?hl=en-CA,2 days ago,2021-06-24 21:41:54.173411,5.0,10,"I looove finding books at the small library,  you can leave one and take one for free 💜💜"
1,Parc Decelles,ChZDSUhNMG9nS0VJQ0FnSURVei1tSGZ3EAE,Ultimate Food Reviews,https://www.google.com/maps/contrib/102032580888472989790/reviews?hl=en-CA,a year ago,2021-06-24 21:41:54.175503,5.0,153,Another great place to smoke
2,Parc Decelles,ChdDSUhNMG9nS0VJQ0FnSUNLZ2FUV25nRRAB,CBD677,https://www.google.com/maps/contrib/101929481559628926154/reviews?hl=en-CA,2 months ago,2021-06-24 21:41:54.186992,1.0,3,No sweaty gamers
3,Parc Decelles,ChZDSUhNMG9nS0VJQ0FnSUNDazc2MWN3EAE,Christopher Moore,https://www.google.com/maps/contrib/109585337609485116969/reviews?hl=en-CA,9 months ago,2021-06-24 21:41:54.190742,5.0,34,A very nice park to play baseball.
4,Parc Decelles,ChdDSUhNMG9nS0VJQ0FnSUNVcGRXZ213RRAB,Delph A.,https://www.google.com/maps/contrib/111789930761197480341/reviews?hl=en-CA,a year ago,2021-06-24 21:41:54.192578,4.0,51,Cool park to kill an evening. Soft ball and pool.  Play structure for young kids (toddlers)
5,Parc Decelles,ChdDSUhNMG9nS0VJQ0FnSUNNM0xISHRBRRAB,Samantha Balgobin,https://www.google.com/maps/contrib/113915067576138062201/reviews?hl=en-CA,a year ago,2021-06-24 21:41:54.193769,5.0,2,"""Great place to spend time playing with your children"""
6,Parc Decelles,ChdDSUhNMG9nS0VJQ0FnSURVbGF5TnRnRRAB,Atie Waxman,https://www.google.com/maps/contrib/113024201600640408210/reviews?hl=en-CA,a year ago,2021-06-24 21:41:54.195322,4.0,77,They keep it in very good shape.
7,Parc Decelles,ChZDSUhNMG9nS0VJQ0FnSURrNS03cWVBEAE,Jean-Marc Storme,https://www.google.com/maps/contrib/107976270495442432595/reviews?hl=en-CA,a year ago,2021-06-24 21:41:54.197262,4.0,69,"Nice spacious park, small pool but convenient"
8,Parc Decelles,ChdDSUhNMG9nS0VJQ0FnSUNRaWFuQW53RRAB,Dan Alexandru,https://www.google.com/maps/contrib/108390673787837386099/reviews?hl=en-CA,4 years ago,2021-06-24 21:41:54.199730,4.0,139,Nice park in front of Vanier college. It has a baseball field as well as a decently sized pool. There's parking available as well.
9,Parc Decelles,ChdDSUhNMG9nS0VJQ0FnSURRN1BXQnp3RRAB,Daniel Mounter,https://www.google.com/maps/contrib/102859187718400634096/reviews?hl=en-CA,4 years ago,2021-06-24 21:41:54.201432,4.0,85,Very small but quiet park. Good to pass a few minutes or hours with plenty of foliage in summer and we'll maintained paths in winter.
