,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Des Bouleaux,ChZDSUhNMG9nS0VJQ0FnSUNNLV91Y1B3EAE,rascator69,https://www.google.com/maps/contrib/112493177090248759648/reviews?hl=en-CA,a year ago,2021-06-24 21:32:02.328683,4.0,8,"(Translated by Google) Park for both young and old. Very nice place that deserves to be better known because it is really worth it.

(Original)
Parc autant pour les petits ou les grands. Très bel endroit qui mérite d'être plus connu car il vaut vraiment la peine."
1,Parc Des Bouleaux,ChZDSUhNMG9nS0VJQ0FnSURVbE5EV2VBEAE,Claude V.,https://www.google.com/maps/contrib/101691334659385100231/reviews?hl=en-CA,a year ago,2021-06-24 21:32:02.330391,5.0,13,"(Translated by Google) Very nice park

(Original)
Tres beau parc"
2,Parc Des Bouleaux,ChdDSUhNMG9nS0VJQ0FnSUN5azc2Ny13RRAB,He Valerie,https://www.google.com/maps/contrib/117452163432927435427/reviews?hl=en-CA,4 months ago,2021-06-24 21:32:02.331682,5.0,1,
3,Parc Des Bouleaux,ChdDSUhNMG9nS0VJQ0FnSUNLaWRmUTB3RRAB,Marie-Noël Jacob,https://www.google.com/maps/contrib/100188237942041807610/reviews?hl=en-CA,2 months ago,2021-06-24 21:32:02.333173,5.0,1,
4,Parc Des Bouleaux,ChdDSUhNMG9nS0VJQ0FnSURjd3NDLXVBRRAB,Benoit Lamontagne,https://www.google.com/maps/contrib/118340082098734999567/reviews?hl=en-CA,a year ago,2021-06-24 21:32:02.334348,4.0,7,
5,Parc Des Bouleaux,ChdDSUhNMG9nS0VJQ0FnSUNpakluaXJBRRAB,sylvie methot,https://www.google.com/maps/contrib/102321318426689269041/reviews?hl=en-CA,8 months ago,2021-06-24 21:32:02.336647,5.0,1,
6,Parc Des Bouleaux,ChdDSUhNMG9nS0VJQ0FnSUQwNXBTLWdnRRAB,CanalFennec,https://www.google.com/maps/contrib/116505394026684847638/reviews?hl=en-CA,a year ago,2021-06-24 21:32:02.338308,4.0,1,
7,Parc Des Bouleaux,ChZDSUhNMG9nS0VJQ0FnSURLNWFtYWVBEAE,Isac Sévigny,https://www.google.com/maps/contrib/109039950340917013692/reviews?hl=en-CA,a month ago,2021-06-24 21:32:02.339866,5.0,0,
8,Parc Des Bouleaux,ChZDSUhNMG9nS0VJQ0FnSUNpOGNteGJ3EAE,Léa,https://www.google.com/maps/contrib/100275806027542995366/reviews?hl=en-CA,7 months ago,2021-06-24 21:32:02.340987,5.0,1,
9,Parc Des Bouleaux,ChZDSUhNMG9nS0VJQ0FnSURVOGZYVGFREAE,Benoit Brunelle,https://www.google.com/maps/contrib/106884372832704560285/reviews?hl=en-CA,a year ago,2021-06-24 21:32:02.342836,5.0,3,
10,Parc Des Bouleaux,ChZDSUhNMG9nS0VJQ0FnSURVelBHZ1l3EAE,Nicolas Marion,https://www.google.com/maps/contrib/109054262856558199233/reviews?hl=en-CA,a year ago,2021-06-24 21:32:02.344767,5.0,3,
11,Parc Des Bouleaux,ChZDSUhNMG9nS0VJQ0FnSURVdGNXQ1h3EAE,sebastien delorme,https://www.google.com/maps/contrib/109259694278962196073/reviews?hl=en-CA,a year ago,2021-06-24 21:32:02.346482,5.0,2,
12,Parc Des Bouleaux,ChZDSUhNMG9nS0VJQ0FnSUNVeDRPclFBEAE,Speranta Guminiuc,https://www.google.com/maps/contrib/108980790289159061108/reviews?hl=en-CA,a year ago,2021-06-24 21:32:02.348927,5.0,0,
13,Parc Des Bouleaux,ChZDSUhNMG9nS0VJQ0FnSUNxcHVuS0p3EAE,Lise Langlois,https://www.google.com/maps/contrib/114051011439385329002/reviews?hl=en-CA,2 weeks ago,2021-06-24 21:32:02.351187,5.0,17,
14,Parc Des Bouleaux,ChZDSUhNMG9nS0VJQ0FnSURzb3JQMEd3EAE,C. Francoeur (CONTACT POINTCOM),https://www.google.com/maps/contrib/108217275718031592104/reviews?hl=en-CA,a year ago,2021-06-24 21:32:02.354560,5.0,27,
