,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSUNNcmFET3RBRRAB,Daniel Blanchard,https://www.google.com/maps/contrib/103176656912023598686/reviews?hl=en-CA,a year ago,2021-06-24 08:42:10.032980,5.0,88,"Walk this place almost daily, year 'round. I tend to avoid in the summer as it is full of people and they litter the place it is unbelievable. Early morning or late at night is a great time for walking your doggy and there is no one and you can unlawfully unleash it and have it have a few good runs or  play with other members of its speecie. Makes happy tired dogs, they appreciate."
1,Parc Desmarchais,ChZDSUhNMG9nS0VJQ0FnSURzZ083TlF3EAE,Yevgen Nazarenko,https://www.google.com/maps/contrib/109975852210249756368/reviews?hl=en-CA,a year ago,2021-06-24 08:42:10.036638,5.0,125,"The park is wonderful for short and long walks, cross-country skiing and other activities around the year."
2,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSURNd0ozbjhRRRAB,Scott Smith,https://www.google.com/maps/contrib/114485165437319346900/reviews?hl=en-CA,a year ago,2021-06-24 08:42:10.039331,5.0,53,Beautiful area
3,Parc Desmarchais,ChZDSUhNMG9nS0VJQ0FnSURBcF9DQ1JnEAE,Seven Stars,https://www.google.com/maps/contrib/108193826491344919314/reviews?hl=en-CA,2 years ago,2021-06-24 08:42:10.042440,5.0,239,My kids love this place
4,Parc Desmarchais,ChZDSUhNMG9nS0VJQ0FnSURBOVBLalNnEAE,Andre Veronneau,https://www.google.com/maps/contrib/100820875502346270043/reviews?hl=en-CA,3 years ago,2021-06-24 08:42:10.043777,5.0,28,Nice
5,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSUNRbDVqdzNnRRAB,J. Antonio Francis,https://www.google.com/maps/contrib/107120009301627749826/reviews?hl=en-CA,5 years ago,2021-06-24 08:42:10.045191,5.0,7,Beautiful and safe park to walk through
6,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSUNxeUtDOTZBRRAB,Dan Mal,https://www.google.com/maps/contrib/116909801645269294401/reviews?hl=en-CA,4 weeks ago,2021-06-24 08:42:10.047442,5.0,16,"(Translated by Google) You want peace! Go walk on the edge of the River ... beautiful

(Original)
Tu veux la paix ! Va marcher sur le bord du Fleuve ... magnifique"
7,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSUNVZ2VxZDNBRRAB,Véronik D'Auteuil,https://www.google.com/maps/contrib/113373073918161723206/reviews?hl=en-CA,a year ago,2021-06-24 08:42:10.049828,5.0,14,"(Translated by Google) Very comfortable park. I like walking here with my dog

(Original)
Parc très confortable. J'aime marcher ici avec mon chien"
8,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSUMwb3JiazJBRRAB,Ben Lo - 外語學習,https://www.google.com/maps/contrib/117232348788451432777/reviews?hl=en-CA,a year ago,2021-06-24 08:42:10.052331,4.0,284,"(Translated by Google) Very pleasant park, many cyclists, but not too noisy and crowded. Linhe, when the weather is good, the blue sky and green land, with the surrounding buildings and animals and plants, is quite peaceful and peaceful, very suitable for one person to distract, but also suitable for three or five friends to shake. The only fly in the ointment is that there are a lot of mosquitoes, otherwise it will be perfect. But is nature still natural if there are no mosquitoes?

(Original)
很愜意的公園，很多自行車騎士，卻又不過度喧鬧擁擠。臨河，天氣好的時候藍天綠地，搭配周圍的建築與動植物，相當寧靜祥和，非常適合一個人來散心，也適合三五好友來晃晃。唯一美中不足的地方是蚊蟲有點多，不然就完美了。不過大自然沒有蚊蟲的話還是大自然嗎？"
9,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSURZbTdUamxnRRAB,Mélanie Forest,https://www.google.com/maps/contrib/115468360799019164824/reviews?hl=en-CA,2 years ago,2021-06-24 08:42:10.054425,5.0,46,"(Translated by Google) I love going for a walk in Parc Desmarchais! For the marina and the path on the edge of the water! For the park, the bike path, the water games and the creamery! And lately, for QUAI 5160; the magnificent house of Verdun culture! It's an appointment with nature and culture!

(Original)
J'adore aller me promener au Parc Desmarchais! Pour la marina et le sentier sur le bord de l'eau! Pour le parc, la piste cyclable, les jeux d'eau et la crèmerie! Et dernièrement, pour le QUAI 5160; la magnifique maison de la culture de Verdun! C'est un rendez-vous avec la nature et la culture!"
10,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSUM0OVBmQnRBRRAB,Gil B.,https://www.google.com/maps/contrib/107383613136885411643/reviews?hl=en-CA,2 years ago,2021-06-24 08:42:10.056883,5.0,115,"(Translated by Google) Peaceful place, well maintained, easy access and pleasant trails with possibility to picnic .... tables at the disposal of walkers and parking nearby

(Original)
Endroit paisible, bien entretenu, facile d'accès et pistes agréable avec possibilité de picniquer....tables à la disposition des promeneurs et stationnement à proximité"
11,Parc Desmarchais,ChZDSUhNMG9nS0VJQ0FnSUNneVpLQlFnEAE,Guillaume Carrier,https://www.google.com/maps/contrib/109092044360295994929/reviews?hl=en-CA,3 years ago,2021-06-24 08:42:10.060419,4.0,68,"(Translated by Google) View of the river. Modules somewhat dated and not suitable for children under 3 years of age. Water games and tables on site. Often busy but lots of space.

(Original)
Vue sur le fleuve. Modules un peu datés et non adaptés pour les moins de 3 ans. Jeux d'eau et tables sur place. Souvent achalandé mais beaucoup d'espace."
12,Parc Desmarchais,ChZDSUhNMG9nS0VJQ0FnSURrajRPTUNREAE,Pierre Rodrigue,https://www.google.com/maps/contrib/103079754619594350201/reviews?hl=en-CA,a year ago,2021-06-24 08:42:10.062375,4.0,101,"(Translated by Google) Beautiful park on the water's edge

(Original)
Beau parc sur le bord de l'eau"
13,Parc Desmarchais,ChZDSUhNMG9nS0VJQ0FnSUNJamNtNWRREAE,Mouze Zoomba,https://www.google.com/maps/contrib/103637821596332067046/reviews?hl=en-CA,2 years ago,2021-06-24 08:42:10.090965,5.0,152,"(Translated by Google) Superb place to jog

(Original)
Superbe endroit pour faire du jogging"
14,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSURVdE1DYTNRRRAB,Diane Turgeon,https://www.google.com/maps/contrib/107490310454242400747/reviews?hl=en-CA,a year ago,2021-06-24 08:42:10.095296,5.0,42,"(Translated by Google) To please many .... Ile aux Hérons, bike ...

(Original)
Pour plaire à plusieurs....Ile aux Hérons, vélo..."
15,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSUNVNTdfRl9RRRAB,Sarah Doyon,https://www.google.com/maps/contrib/100824919081777226373/reviews?hl=en-CA,a year ago,2021-06-24 08:42:10.111171,1.0,0,
16,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSUNNazRXZzlRRRAB,claude charlebois,https://www.google.com/maps/contrib/115262541047105540065/reviews?hl=en-CA,a year ago,2021-06-24 08:42:10.116384,5.0,0,
17,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSUNBdU5UODhRRRAB,Isabelle Cournoyer,https://www.google.com/maps/contrib/118000354029945257115/reviews?hl=en-CA,3 years ago,2021-06-24 08:42:10.119686,5.0,13,
18,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSURRMXViTjZnRRAB,Audrey Koch,https://www.google.com/maps/contrib/109164444187035339871/reviews?hl=en-CA,2 years ago,2021-06-24 08:42:10.122541,4.0,79,
19,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSURVcHRLQzZBRRAB,Kyogreat234,https://www.google.com/maps/contrib/117746135801809690225/reviews?hl=en-CA,a year ago,2021-06-24 08:42:10.125143,4.0,53,
20,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSUQwdm91QjRnRRAB,Denis Chenier,https://www.google.com/maps/contrib/109840173740585845223/reviews?hl=en-CA,a year ago,2021-06-24 08:42:10.127029,4.0,205,
21,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSURzNXZMNDF3RRAB,James Burke,https://www.google.com/maps/contrib/106701379237157888120/reviews?hl=en-CA,a year ago,2021-06-24 08:42:10.129205,4.0,35,
22,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSUNzenJQaDB3RRAB,Christiane Mathey,https://www.google.com/maps/contrib/105227206077597174588/reviews?hl=en-CA,a year ago,2021-06-24 08:42:10.153755,4.0,3,
23,Parc Desmarchais,ChdDSUhNMG9nS0VJQ0FnSURraloyNDB3RRAB,Louis Marchand,https://www.google.com/maps/contrib/101101813752987989035/reviews?hl=en-CA,a year ago,2021-06-24 08:42:10.167719,4.0,95,
