,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Dickson – Pierre-Bédard,ChZDSUhNMG9nS0VJQ0FnSUNzMnNTTlFBEAE,Danish Radish,https://www.google.com/maps/contrib/105786422848793242869/reviews?hl=en-CA,a year ago,2021-06-24 22:02:38.175079,5.0,28,"Reviewing a restaurant is one thing but a park..?
It is a nice park with lots of grass and walking area. The fresh air is also nice. Pretty safe at night but don’t go there during school time or else you might get roasted by the students lol"
1,Parc Dickson – Pierre-Bédard,ChZDSUhNMG9nS0VJQ0FnSUNpbGIyQ1dREAE,SCP-049,https://www.google.com/maps/contrib/116310321747181047330/reviews?hl=en-CA,7 months ago,2021-06-24 22:02:38.177651,5.0,12,Good park. Large and wide
2,Parc Dickson – Pierre-Bédard,ChZDSUhNMG9nS0VJQ0FnSUQ4NWM2YlZ3EAE,gustavo veras,https://www.google.com/maps/contrib/111256575686082485939/reviews?hl=en-CA,11 months ago,2021-06-24 22:02:38.178708,4.0,59,"Nice park, well divided by age for small and bigger kids"
3,Parc Dickson – Pierre-Bédard,ChdDSUhNMG9nS0VJQ0FnSUQwbHRHXzFBRRAB,Mustafizur Rahman,https://www.google.com/maps/contrib/102724185109118996987/reviews?hl=en-CA,a year ago,2021-06-24 22:02:38.180119,4.0,84,Great place to bring your kids to. The park has been upgraded with a swimming pool for little kids.
4,Parc Dickson – Pierre-Bédard,ChZDSUhNMG9nS0VJQ0FnSUNJMlppa0J3EAE,Mike F.,https://www.google.com/maps/contrib/111845549343093646016/reviews?hl=en-CA,2 years ago,2021-06-24 22:02:38.181485,3.0,124,"Nice park with kiddie pool in the summer. Swings and various and various structures for the kids. Sand pit with seating on the sides. Picnic tables, great for lunch get aways. Water fountains.
In the winter you have a skating / hockey rink. There is a cabin so you can change or to warm up.
On the other side of the park you have an archery section. There is a fee for its use."
5,Parc Dickson – Pierre-Bédard,ChZDSUhNMG9nS0VJQ0FnSUNBLTR2dFZ3EAE,Alain Desroches,https://www.google.com/maps/contrib/114665437774078566559/reviews?hl=en-CA,4 years ago,2021-06-24 22:02:38.183424,5.0,157,"Really nice park.  There a little water ""pool"" for kids, a playground, in the winter there's a outdoor skating ring, it's big enough to enjoy but not to big to get lost in"
6,Parc Dickson – Pierre-Bédard,ChZDSUhNMG9nS0VJQ0FnSUM4LXYyZll3EAE,Aislan Luiz Wendling,https://www.google.com/maps/contrib/114799578610607001982/reviews?hl=en-CA,10 months ago,2021-06-24 22:02:38.185156,5.0,164,Good infrastructure
7,Parc Dickson – Pierre-Bédard,ChdDSUhNMG9nS0VJQ0FnSURLdHRPRW5BRRAB,toniodotcom,https://www.google.com/maps/contrib/102781599764782246289/reviews?hl=en-CA,a month ago,2021-06-24 22:02:38.187571,4.0,3,Chill
8,Parc Dickson – Pierre-Bédard,ChZDSUhNMG9nS0VJQ0FnSUNnbHE2T1dnEAE,François-Olivier Théberge,https://www.google.com/maps/contrib/106796880654568348994/reviews?hl=en-CA,3 years ago,2021-06-24 22:02:38.189560,5.0,124,"Good local park, outdoor rink in the winter, archery, wading pool, brand new kids park( under construction)"
9,Parc Dickson – Pierre-Bédard,ChZDSUhNMG9nS0VJQ0FnSUNnaS1qeUxREAE,Marie-Hélène Baussart,https://www.google.com/maps/contrib/116081649949505738064/reviews?hl=en-CA,4 years ago,2021-06-24 22:02:38.190682,5.0,22,"Great spot to learn archery at an affordable price, awsome outdoor location."
