,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSUN3b2ZxZld3EAE,Zoir Radjabov,https://www.google.com/maps/contrib/100249706059581510387/reviews?hl=en-CA,2 years ago,2021-06-24 20:04:16.938189,5.0,637,Good park
1,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSUQwd2RUWllBEAE,sonia brousseau,https://www.google.com/maps/contrib/100118213427413527001/reviews?hl=en-CA,2 weeks ago,2021-06-24 20:04:16.939861,4.0,17,"(Translated by Google) Very nice place to have fun and relax

(Original)
Très belle endroit pour se amuser et relaxe"
2,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSURDbE51dld3EAE,Alain Juteau,https://www.google.com/maps/contrib/103976632672263617110/reviews?hl=en-CA,9 months ago,2021-06-24 20:04:16.941077,5.0,11,"(Translated by Google) Always clean .. A little place to relax

(Original)
Toujours propre .. Un petit lieu de détente"
3,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSUQ4bWEyY0VnEAE,Globule Agrumes,https://www.google.com/maps/contrib/108391267602700261080/reviews?hl=en-CA,11 months ago,2021-06-24 20:04:16.943416,4.0,457,"(Translated by Google) A beautiful quiet public space ...

(Original)
Un bel espace public tranquille..."
4,Parc Dézéry – La Fontaine,ChdDSUhNMG9nS0VJQ0FnSUNBNm9MRmt3RRAB,Sébastien Clermont,https://www.google.com/maps/contrib/109470077928923416719/reviews?hl=en-CA,2 years ago,2021-06-24 20:04:16.945739,4.0,283,"(Translated by Google) Good for a small stopover despite being stuck on a big factory. The picnic tables are in great condition and made of a durable plastic.

(Original)
Bien pour une petite halte malgré que ce soit collé sur une grosse usine.  Les tables de picnic sont en très bon état et faites d'un plastique durable."
5,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSUR3am9MSEZREAE,Nicolas Maugy,https://www.google.com/maps/contrib/115805897504116792123/reviews?hl=en-CA,2 years ago,2021-06-24 20:04:16.951277,5.0,15,"(Translated by Google) Very good idea to have closed the street to make a park. Very happy to know that a community in the neighborhood is helping to beautify and green the place! It makes me want to do it too

(Original)
Très bonne idée d'avoir fermé la rue pour faire un parc. Très content de savoir qu'une communauté dans la quartier met la main à la pâte pour embellir et enverdir les lieux ! Ca me donne le goût de m'y mettre aussi"
6,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSUNZcV9hU0F3EAE,Jason Warren,https://www.google.com/maps/contrib/104273696329263796245/reviews?hl=en-CA,2 years ago,2021-06-24 20:04:16.952445,5.0,21,"(Translated by Google) I'm going to play Pokemon Go

(Original)
Je vais la pour jouer a pokemon Go"
7,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSUNBc1pYaWR3EAE,martin leblet,https://www.google.com/maps/contrib/113942883608720165934/reviews?hl=en-CA,3 years ago,2021-06-24 20:04:16.953520,5.0,51,"(Translated by Google) Lafontaine Park. A Montreal must-see with its lake in the center. Do not miss to see the outside life of the city

(Original)
Le parc Lafontaine. Un incontournable de Montréal avec son lac au centre. A ne pas louper pour voir la vie exterieur de la ville"
8,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSURRcTZ6eU53EAE,Julien Leroux,https://www.google.com/maps/contrib/100135625499501017538/reviews?hl=en-CA,2 years ago,2021-06-24 20:04:16.954579,4.0,115,"(Translated by Google) Beautiful little park

(Original)
Beau petit parc"
9,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSUNBdlA2eEpREAE,Mel514,https://www.google.com/maps/contrib/111081912571660629774/reviews?hl=en-CA,3 years ago,2021-06-24 20:04:16.955632,4.0,30,"(Translated by Google) Nice and very quiet

(Original)
Sympa et très tranquille"
10,Parc Dézéry – La Fontaine,ChdDSUhNMG9nS0VJQ0FnSUN3eWFudF9BRRAB,Pierre-Luc Robitaille,https://www.google.com/maps/contrib/109518430166436098851/reviews?hl=en-CA,4 years ago,2021-06-24 20:04:16.957265,1.0,157,
11,Parc Dézéry – La Fontaine,ChdDSUhNMG9nS0VJQ0FnSURnM1lDcDlnRRAB,Alexander Mesa,https://www.google.com/maps/contrib/106813290424469872166/reviews?hl=en-CA,4 years ago,2021-06-24 20:04:16.958585,3.0,93,
12,Parc Dézéry – La Fontaine,ChdDSUhNMG9nS0VJQ0FnSUNVanZpSDF3RRAB,Patrick Mineault,https://www.google.com/maps/contrib/105425624582236075279/reviews?hl=en-CA,a year ago,2021-06-24 20:04:16.960610,5.0,20,
13,Parc Dézéry – La Fontaine,ChdDSUhNMG9nS0VJQ0FnSURZejhpZzBRRRAB,Rush 'n Noiz,https://www.google.com/maps/contrib/115199529087808110566/reviews?hl=en-CA,2 years ago,2021-06-24 20:04:16.962078,5.0,29,
14,Parc Dézéry – La Fontaine,ChdDSUhNMG9nS0VJQ0FnSURjLXAtZ3pnRRAB,André Bergeron,https://www.google.com/maps/contrib/104707877639947324222/reviews?hl=en-CA,a year ago,2021-06-24 20:04:16.964417,5.0,20,
15,Parc Dézéry – La Fontaine,ChdDSUhNMG9nS0VJQ0FnSURLOVp1b3dRRRAB,matthew popovich,https://www.google.com/maps/contrib/115340540875719825789/reviews?hl=en-CA,a month ago,2021-06-24 20:04:16.965700,5.0,0,
16,Parc Dézéry – La Fontaine,ChdDSUhNMG9nS0VJQ0FnSUNnM3NxUndBRRAB,Abel Joseph,https://www.google.com/maps/contrib/117418033178268279401/reviews?hl=en-CA,4 years ago,2021-06-24 20:04:16.966787,3.0,18,
17,Parc Dézéry – La Fontaine,ChdDSUhNMG9nS0VJQ0FnSURBNDREanVnRRAB,Rene Champagne,https://www.google.com/maps/contrib/111964972338218635367/reviews?hl=en-CA,3 years ago,2021-06-24 20:04:16.968559,4.0,219,
18,Parc Dézéry – La Fontaine,ChdDSUhNMG9nS0VJQ0FnSUMwd0thNnRBRRAB,Maïté Lee,https://www.google.com/maps/contrib/108625539242320298714/reviews?hl=en-CA,a year ago,2021-06-24 20:04:16.970866,5.0,5,
19,Parc Dézéry – La Fontaine,ChdDSUhNMG9nS0VJQ0FnSURRcGZlQ293RRAB,Pierre Priam,https://www.google.com/maps/contrib/113736797479794892188/reviews?hl=en-CA,4 years ago,2021-06-24 20:04:16.972083,4.0,55,
20,Parc Dézéry – La Fontaine,ChdDSUhNMG9nS0VJQ0FnSUNVb3RYSG5BRRAB,Adeline Valois-Desjardins,https://www.google.com/maps/contrib/112947093572219138874/reviews?hl=en-CA,a year ago,2021-06-24 20:04:16.973567,4.0,4,
21,Parc Dézéry – La Fontaine,ChdDSUhNMG9nS0VJQ0FnSUNZLTZPQW1RRRAB,Clemence Tessier,https://www.google.com/maps/contrib/101179317155132562196/reviews?hl=en-CA,2 years ago,2021-06-24 20:04:16.975079,5.0,14,
22,Parc Dézéry – La Fontaine,ChdDSUhNMG9nS0VJQ0FnSUNxM01QNGpRRRAB,Vincent Campbell Allaire,https://www.google.com/maps/contrib/112385141672428761477/reviews?hl=en-CA,3 weeks ago,2021-06-24 20:04:16.976315,5.0,48,
23,Parc Dézéry – La Fontaine,ChdDSUhNMG9nS0VJQ0FnSUNjdllqeGd3RRAB,Chanel Beaulieu,https://www.google.com/maps/contrib/113058770609951900017/reviews?hl=en-CA,a year ago,2021-06-24 20:04:16.977633,5.0,1,
24,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSUQwanVQaGZnEAE,benoit poissant,https://www.google.com/maps/contrib/106521986368299421475/reviews?hl=en-CA,a year ago,2021-06-24 20:04:16.979138,4.0,12,
25,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSUNNdjl1VmV3EAE,Lyne Desjardins,https://www.google.com/maps/contrib/115327587866697721563/reviews?hl=en-CA,a year ago,2021-06-24 20:04:16.980925,5.0,2,
26,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSURDOTRyYVlnEAE,Alexandre Rodier,https://www.google.com/maps/contrib/102135948527863743944/reviews?hl=en-CA,8 months ago,2021-06-24 20:04:16.981955,1.0,117,
27,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSURNanJXSFhBEAE,zakhia oueis,https://www.google.com/maps/contrib/115268291202361320471/reviews?hl=en-CA,a year ago,2021-06-24 20:04:16.982970,4.0,149,
28,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSURReXY3WFd3EAE,Joe Silva,https://www.google.com/maps/contrib/112628590554080021271/reviews?hl=en-CA,3 years ago,2021-06-24 20:04:16.983980,4.0,5,
29,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSUR5NnYzTVJBEAE,Daniel Lagace,https://www.google.com/maps/contrib/100603620458325114055/reviews?hl=en-CA,3 months ago,2021-06-24 20:04:16.985017,4.0,127,
30,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSUNBazgtM1F3EAE,Laurence Pandiella,https://www.google.com/maps/contrib/111415899664944608968/reviews?hl=en-CA,2 years ago,2021-06-24 20:04:16.986018,5.0,195,
31,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSURreWNqcE5nEAE,reapercrew,https://www.google.com/maps/contrib/110886713934606618387/reviews?hl=en-CA,a year ago,2021-06-24 20:04:16.987250,5.0,8,
32,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSURBeDRmU0l3EAE,Mr Toubrouk,https://www.google.com/maps/contrib/106161131643032326973/reviews?hl=en-CA,4 years ago,2021-06-24 20:04:16.989166,3.0,28,
33,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSURDc09iVEdnEAE,Alexie Tétreault,https://www.google.com/maps/contrib/109064519596650905256/reviews?hl=en-CA,9 months ago,2021-06-24 20:04:16.991083,5.0,31,
34,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSUN3N1ltaUZ3EAE,William Preudhomme,https://www.google.com/maps/contrib/111230043732245185986/reviews?hl=en-CA,3 years ago,2021-06-24 20:04:16.993548,5.0,37,
35,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSURLcmRlVUVnEAE,Amélie Gendron-St-Georges,https://www.google.com/maps/contrib/117074607852008966228/reviews?hl=en-CA,a month ago,2021-06-24 20:04:16.996576,4.0,79,
36,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSURTaVlYT0R3EAE,Pier-Alain GAUTHIER,https://www.google.com/maps/contrib/112057615716381346668/reviews?hl=en-CA,5 months ago,2021-06-24 20:04:16.999081,5.0,10,
37,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSUNnNUlhNkRnEAE,Eric Tremblay,https://www.google.com/maps/contrib/105835616950948817603/reviews?hl=en-CA,4 years ago,2021-06-24 20:04:17.001053,4.0,24,
38,Parc Dézéry – La Fontaine,ChZDSUhNMG9nS0VJQ0FnSURBMDRUTUJ3EAE,Eric Fauteux,https://www.google.com/maps/contrib/117847687508289677110/reviews?hl=en-CA,4 years ago,2021-06-24 20:04:17.002993,5.0,16,
