,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Edgar-Budge,ChdDSUhNMG9nS0VJQ0FnSURLdEpQc3FRRRAB,Richard Ostheimer,https://www.google.com/maps/contrib/103898608700800075613/reviews?hl=en-CA,a month ago,2021-06-21 12:17:35.181981,4.0,48,Nice place to rest and injoy the great outdoors
1,Parc Edgar-Budge,ChdDSUhNMG9nS0VJQ0FnSUNReWFmT3lBRRAB,rohit kapila,https://www.google.com/maps/contrib/116848791861630916561/reviews?hl=en-CA,3 years ago,2021-06-21 12:17:35.182780,4.0,467,awesome jogging or walking and cycling path.....lovely environment close to nature
2,Parc Edgar-Budge,ChdDSUhNMG9nS0VJQ0FnSURRNExYRTZBRRAB,g g,https://www.google.com/maps/contrib/105579283693870472912/reviews?hl=en-CA,4 years ago,2021-06-21 12:17:35.183568,4.0,60,Nice little park with a jungle gym for the kids
3,Parc Edgar-Budge,ChZDSUhNMG9nS0VJQ0FnSURncXZDaWFREAE,Chris Taco,https://www.google.com/maps/contrib/111247813244778978350/reviews?hl=en-CA,3 years ago,2021-06-21 12:17:35.184351,4.0,13,Good place to visit for a nice walk
4,Parc Edgar-Budge,ChdDSUhNMG9nS0VJQ0FnSUN3NDdXeHp3RRAB,Garant Mondial,https://www.google.com/maps/contrib/115717987893322377896/reviews?hl=en-CA,3 years ago,2021-06-21 12:17:35.185135,4.0,2,Good
5,Parc Edgar-Budge,ChdDSUhNMG9nS0VJQ0FnSUNBM2FidTNRRRAB,Laura Bremner,https://www.google.com/maps/contrib/101042146362642262576/reviews?hl=en-CA,3 years ago,2021-06-21 12:17:35.185922,4.0,10,Small quiet park.
6,Parc Edgar-Budge,ChZDSUhNMG9nS0VJQ0FnSUN3enBEY093EAE,Roni B,https://www.google.com/maps/contrib/113305339254622187483/reviews?hl=en-CA,4 years ago,2021-06-21 12:17:35.186708,3.0,346,Small park in the West island
7,Parc Edgar-Budge,ChdDSUhNMG9nS0VJQ0FnSUNBOC1ycm13RRAB,maxime Dugat,https://www.google.com/maps/contrib/110350465714121861487/reviews?hl=en-CA,4 years ago,2021-06-21 12:17:35.187492,3.0,34,"(Translated by Google) Quiet and quiet, especially a lot of trees

(Original)
Calme et tranquille ,surtout beaucoup d'arbres"
8,Parc Edgar-Budge,ChZDSUhNMG9nS0VJQ0FnSUNBNmJmcUN3EAE,Etienne Lajoie,https://www.google.com/maps/contrib/105906328853026312704/reviews?hl=en-CA,5 years ago,2021-06-21 12:17:35.188301,4.0,277,"(Translated by Google) Beautiful park

(Original)
Beau parc"
9,Parc Edgar-Budge,ChdDSUhNMG9nS0VJQ0FnSUNNbS1MNnhnRRAB,Luigi Sabelli,https://www.google.com/maps/contrib/113454093000326623637/reviews?hl=en-CA,a year ago,2021-06-21 12:17:35.189199,4.0,34,
10,Parc Edgar-Budge,ChdDSUhNMG9nS0VJQ0FnSUNnNGRxZHVnRRAB,Matthew Leney-Greene,https://www.google.com/maps/contrib/106192326181572345613/reviews?hl=en-CA,3 years ago,2021-06-21 12:17:35.189990,5.0,1,
11,Parc Edgar-Budge,ChdDSUhNMG9nS0VJQ0FnSUNReDhIaHVRRRAB,Romany Meshrky,https://www.google.com/maps/contrib/110616664895104099657/reviews?hl=en-CA,3 years ago,2021-06-21 12:17:35.190810,5.0,1,
12,Parc Edgar-Budge,ChdDSUhNMG9nS0VJQ0FnSUNnM09iTXNRRRAB,Vincent Pilon,https://www.google.com/maps/contrib/117042907981840010586/reviews?hl=en-CA,3 years ago,2021-06-21 12:17:35.191589,4.0,0,
13,Parc Edgar-Budge,ChdDSUhNMG9nS0VJQ0FnSURLeHFmdHBnRRAB,Richard Ostheimer,https://www.google.com/maps/contrib/112921868788903085075/reviews?hl=en-CA,a month ago,2021-06-21 12:17:35.192374,5.0,7,
14,Parc Edgar-Budge,ChdDSUhNMG9nS0VJQ0FnSUNVeDh2em1nRRAB,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-21 12:17:35.193193,5.0,140,
15,Parc Edgar-Budge,ChdDSUhNMG9nS0VJQ0FnSUNBMDZ6WWt3RRAB,Jenna A,https://www.google.com/maps/contrib/112134997276224011193/reviews?hl=en-CA,3 years ago,2021-06-21 12:17:35.193979,5.0,4,
16,Parc Edgar-Budge,ChdDSUhNMG9nS0VJQ0FnSUNnNXNLSWhRRRAB,Priscila Bejarano,https://www.google.com/maps/contrib/116555202919529426523/reviews?hl=en-CA,3 years ago,2021-06-21 12:17:35.194893,3.0,0,
17,Parc Edgar-Budge,ChZDSUhNMG9nS0VJQ0FnSUN3amNTcGZnEAE,Ali Gs,https://www.google.com/maps/contrib/103450868435804863532/reviews?hl=en-CA,3 years ago,2021-06-21 12:17:35.195678,5.0,45,
18,Parc Edgar-Budge,ChZDSUhNMG9nS0VJQ0FnSUNNemNmQmNBEAE,STEPHEN SHINDER,https://www.google.com/maps/contrib/103871515932286855871/reviews?hl=en-CA,a year ago,2021-06-21 12:17:35.196473,4.0,35,
19,Parc Edgar-Budge,ChZDSUhNMG9nS0VJQ0FnSUQwaHRUeWFREAE,Faouzi Dahak,https://www.google.com/maps/contrib/105775231893699310704/reviews?hl=en-CA,a year ago,2021-06-21 12:17:35.197349,5.0,0,
20,Parc Edgar-Budge,ChZDSUhNMG9nS0VJQ0FnSURTdGU2Z1dnEAE,رياض بلكر,https://www.google.com/maps/contrib/117877571458432538213/reviews?hl=en-CA,5 months ago,2021-06-21 12:17:35.198130,5.0,9,
21,Parc Edgar-Budge,ChZDSUhNMG9nS0VJQ0FnSUQwM0xPaFFnEAE,Martin Laporte,https://www.google.com/maps/contrib/116575453811103386630/reviews?hl=en-CA,a year ago,2021-06-21 12:17:35.198910,5.0,255,
