,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Edmond-Hamelin,ChZDSUhNMG9nS0VJQ0FnSURRbGVPWkhnEAE,wardsham kat,https://www.google.com/maps/contrib/114691662731332915175/reviews?hl=en-CA,3 years ago,2021-06-21 12:18:16.593947,4.0,7,Very nice
1,Parc Edmond-Hamelin,ChZDSUhNMG9nS0VJQ0FnSUQwanFPN0p3EAE,Simmy Luna,https://www.google.com/maps/contrib/114124772470984280170/reviews?hl=en-CA,a year ago,2021-06-21 12:18:16.595037,5.0,117,Its big and beautiful if you won't to relax and the view is quite nice
2,Parc Edmond-Hamelin,ChZDSUhNMG9nS0VJQ0FnSURnOHVpOEN3EAE,William Matheson,https://www.google.com/maps/contrib/113698626335790860640/reviews?hl=en-CA,3 years ago,2021-06-21 12:18:16.595868,4.0,44,Good for water fun summer and mini hockey rink in winter. Large park for the young one corner and the older in another to join the two in the middle it's a very popular place. With enjoyment for all.
3,Parc Edmond-Hamelin,ChdDSUhNMG9nS0VJQ0FnSUNzeGFtUS13RRAB,Gaston Farah,https://www.google.com/maps/contrib/106072904906072169121/reviews?hl=en-CA,a year ago,2021-06-21 12:18:16.596650,2.0,84,bad
4,Parc Edmond-Hamelin,ChZDSUhNMG9nS0VJQ0FnSUN3cXBfWkZ3EAE,Kim Nethersole,https://www.google.com/maps/contrib/110064668692508997759/reviews?hl=en-CA,3 years ago,2021-06-21 12:18:16.597428,4.0,284,"Very nicely maintained, interesting history..."
5,Parc Edmond-Hamelin,ChdDSUhNMG9nS0VJQ0FnSUNxcm83T19RRRAB,Stéphane Prévost,https://www.google.com/maps/contrib/103393232323586966491/reviews?hl=en-CA,2 weeks ago,2021-06-21 12:18:16.598514,3.0,18,"(Translated by Google) Pleasant water jet for children

(Original)
Jet d'eau plaisant pour enfants"
6,Parc Edmond-Hamelin,ChZDSUhNMG9nS0VJQ0FnSUNDMlB6VGJREAE,Annabelle Pare,https://www.google.com/maps/contrib/108811614704393524606/reviews?hl=en-CA,10 months ago,2021-06-21 12:18:16.599308,1.0,52,"(Translated by Google) unfortunately it is a park where children do not go because there are drug addicts and homeless people

(Original)
malheureusement c'est un parc où les enfants ne vont pas car il y a des drogués et des sans abris"
7,Parc Edmond-Hamelin,ChZDSUhNMG9nS0VJQ0FnSUQ4aDRiVllREAE,Plan-jeau Marois,https://www.google.com/maps/contrib/106590749369675977619/reviews?hl=en-CA,10 months ago,2021-06-21 12:18:16.600385,2.0,69,"(Translated by Google) Too many San anbri

(Original)
Beaucoup trop de  San anbri"
8,Parc Edmond-Hamelin,ChZDSUhNMG9nS0VJQ0FnSUQwanVQcUJ3EAE,benoit poissant,https://www.google.com/maps/contrib/106521986368299421475/reviews?hl=en-CA,a year ago,2021-06-21 12:18:16.601433,4.0,12,"(Translated by Google) Super sa will be fine

(Original)
Super sa va être bien"
9,Parc Edmond-Hamelin,ChZDSUhNMG9nS0VJQ0FnSURnbE9TS2FREAE,Wolfgang Ricky,https://www.google.com/maps/contrib/100634207990960619337/reviews?hl=en-CA,4 years ago,2021-06-21 12:18:16.602281,5.0,8,"(Translated by Google) Peaceful neighborhood and welcome. The ideal place to meet surprising people or just as well throw the ball with friends.

(Original)
Voisinage paisible et accueillent. L'endroit idéal où faire des rencontres surprenante ou tout aussi bien ce lancer la balle entre amis."
