,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUNxNE9HZTh3RRAB,Neha Kumari,https://www.google.com/maps/contrib/103212914122110969912/reviews?hl=en-US,a month ago,2021-06-24 10:11:45.516454,5.0,63,Good place for sports and activities.
1,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSURZdmFheTdnRRAB,Olga Karpenko,https://www.google.com/maps/contrib/117900591382755774029/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.517273,5.0,98,"A nice place to spend time with friends and family. There's a playground and a barbecue spot. Tennis courts, stadium and a free public swimming pool in the summer"
2,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSUN3dXVmVlpBEAE,Lorena GS,https://www.google.com/maps/contrib/100667292002094309075/reviews?hl=en-US,4 years ago,2021-06-24 10:11:45.518062,4.0,76,Beautiful park
3,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSURndzZUUjh3RRAB,J.C. Fernandez,https://www.google.com/maps/contrib/113115774784021077493/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.518847,5.0,35,"Great community access park for the residents in the nun's island. It is possible to cook on BBQ installed and provided for the residents as well as there is a children play ground in the premises next to a tennis court, it is a good place to spend time with family and friends as well as to interact with the neighbours."
4,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSUM0cDluZmVREAE,MenameFCDDD,https://www.google.com/maps/contrib/106823410078298361268/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.519635,4.0,9,"It`s nice, however things are changing on the IDS in general. Still a nice place and the Elgar center can stand to have more activities."
5,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUQwMUlYZ3N3RRAB,Sam,https://www.google.com/maps/contrib/112575249250755351063/reviews?hl=en-US,a year ago,2021-06-24 10:11:45.520420,5.0,6,Beautiful and breath taking natural garden.
6,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSUN3NXJEM1pnEAE,IVAN LEAL,https://www.google.com/maps/contrib/115862456668950210353/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.521204,5.0,23,"Great space. Public BBQs. A community center a community store. Amazing for kids. Tennis courts, mini climbing wall and lots of fun."
7,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUNRd0tmSWlRRRAB,Lethiwe Nkwanyana,https://www.google.com/maps/contrib/100004284408906347372/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.522433,4.0,10,I always bring my daughter here... she loves it because she meets Her school friends. Fun play area
8,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSURZNnFuelNnEAE,Tian Xin Yang,https://www.google.com/maps/contrib/107338939966993479519/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.523226,3.0,5,Not bad but needs some renovations.
9,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSURVNmQ3LThnRRAB,SamLGND,https://www.google.com/maps/contrib/101642161466257311179/reviews?hl=en-US,a year ago,2021-06-24 10:11:45.524013,5.0,31,Enjoyable atmosphere in a nice part of town
10,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSUR3LW9yR1N3EAE,Kade Farmer,https://www.google.com/maps/contrib/105368375129791743442/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.524799,5.0,11,Great Community Park. Met a lot of friendly parents.
11,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUMwa0lPV25nRRAB,Nata Mol,https://www.google.com/maps/contrib/112692408433833313974/reviews?hl=en-US,a year ago,2021-06-24 10:11:45.525639,5.0,5,👍🌞Very nice!
12,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUNvcDV1T193RRAB,Eco Eco,https://www.google.com/maps/contrib/100285642219119680900/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.526421,5.0,330,We enjoyed the park and skating was fun
13,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSURRbF9UQU13EAE,Andres Pineda,https://www.google.com/maps/contrib/103800283843814339967/reviews?hl=en-US,4 years ago,2021-06-24 10:11:45.527203,5.0,31,"Great to visit with your family and friends. It has Tenis, Basketball, football and a few games for the kids."
14,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSUN3dUtHWVJ3EAE,Elena L,https://www.google.com/maps/contrib/108747604307177868515/reviews?hl=en-US,4 years ago,2021-06-24 10:11:45.528291,4.0,43,"Very nice park, lots of children's games in the kiddie park."
15,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSURnMDg2NXpnRRAB,Alexandre Trudel,https://www.google.com/maps/contrib/115176258313627477770/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.529079,5.0,80,I had an awesome moment there with my friends!
16,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSUM0dUlQbVVBEAE,ildar ildar,https://www.google.com/maps/contrib/115901561304974545985/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.529867,5.0,33,Can make bbq
17,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSURRN29iZkl3EAE,Fernando Stabile,https://www.google.com/maps/contrib/100058655126091541827/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.530655,5.0,167,Very frequent children playing at the end of the day. Locals enjoy a lot.
18,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUMwaE1hbnRnRRAB,Ricky Royce,https://www.google.com/maps/contrib/109593393246028192009/reviews?hl=en-US,a year ago,2021-06-24 10:11:45.531440,4.0,85,Almost Zen.
19,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSURRZ0xhWDN3RRAB,Stavros Talaganis,https://www.google.com/maps/contrib/115561493704722720641/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.532242,5.0,7,Good place to play tennis!
20,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUNRaE9EZHFnRRAB,Faisal M Ahmed,https://www.google.com/maps/contrib/116350877333171558235/reviews?hl=en-US,4 years ago,2021-06-24 10:11:45.533043,4.0,278,Beautiful n fun place to visit.
21,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSURrbXVpYWt3RRAB,Chiari Suarez,https://www.google.com/maps/contrib/108313120239776963533/reviews?hl=en-US,a year ago,2021-06-24 10:11:45.534118,4.0,11,You have a lot of games for kids :)
22,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUNRNlAyLXpnRRAB,Stavros Messinis,https://www.google.com/maps/contrib/113956795283078959926/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.534912,5.0,26,Fantastic place for Tennis
23,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUNJdTQ2ZTZRRRAB,mohammad alishahi,https://www.google.com/maps/contrib/104967084819210682017/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.535698,4.0,318,Nice
24,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSURReEx5clRnEAE,Ahmed Mamdouh,https://www.google.com/maps/contrib/114800835573896642351/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.536485,4.0,21,Tennis courts.
25,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUN3eDhuXzZ3RRAB,Mohamed ElKhouly,https://www.google.com/maps/contrib/109065914757941440712/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.537273,3.0,229,Relax but requires more attention
26,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUNBdi16Z2tnRRAB,Gilson Stedile Pereira,https://www.google.com/maps/contrib/116091939175006512659/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.538057,5.0,167,Very good
27,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSURnbU96SUNREAE,Michel Melki,https://www.google.com/maps/contrib/105351509988096981395/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.538842,5.0,16,needs improvement
28,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSURBbWM2aE5BEAE,ysandra rodrigues,https://www.google.com/maps/contrib/115283856758867979708/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.540302,4.0,250,"(Translated by Google) I really enjoyed the park, it has swimming pools, restrooms, a small shopping center, parking and children's toys.

(Original)
Gostei muito do parque, tem piscinas, banheiros, um pequeno centro comercial, estacionamento e brinquedos de crianças."
29,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSUN5MVo2RWRnEAE,Rémi biette,https://www.google.com/maps/contrib/117220299790734427564/reviews?hl=en-US,4 months ago,2021-06-24 10:11:45.541806,5.0,32,"(Translated by Google) Very safe for children

(Original)
Très sécurisé pour les enfants"
30,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSURFcHZPX0N3EAE,Isaias Cardenas,https://www.google.com/maps/contrib/105427818521090793840/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.543208,4.0,1,"(Translated by Google) A very special place to share and enjoy with the grandchildren.

(Original)
Un lugar muy especial para compartir y disfrutar con los nietos."
31,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSUNJcXVyTEJREAE,Robert,https://www.google.com/maps/contrib/113944611065516644029/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.544650,4.0,21,"(Translated by Google) Some of the children's games could use some repairs and updating. Otherwise, a very pretty and peaceful place.

(Original)
Certains des jeux pour enfants auraient besoin de réparations et mise à jour. Sinon, un très joli et tranquile endroit."
32,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUN3al9uenJ3RRAB,Marcos Guimaraes,https://www.google.com/maps/contrib/108093020816770881475/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.545646,5.0,106,"(Translated by Google) Great place for kids and adults. Lots of toys, green area and more.

(Original)
Excelente local para as crianças e adultos.  Muitos brinquedos,  área verde e muito mais."
33,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSURZazhhc1BBEAE,Atik Blues,https://www.google.com/maps/contrib/109102194507708733625/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.546621,5.0,92,"(Translated by Google) Quite big park for children of different ages.

(Original)
Assez grand parc pour enfants de différents âges."
34,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUNnNVBUemdBRRAB,Stephane Leblanc,https://www.google.com/maps/contrib/107239613156758572196/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.547878,2.0,24,"(Translated by Google) The tennis courts are old and cracked. The lights do not work.

(Original)
Les terrains de tennis sont vieux et craqué. Les lumieres fonctionnent pas."
35,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSUMwX2VHOEZ3EAE,Jouer Pourjouerok,https://www.google.com/maps/contrib/107690329578087889804/reviews?hl=en-US,a year ago,2021-06-24 10:11:45.549200,5.0,15,"(Translated by Google) For tennis! A-1

(Original)
Pour le tennis! A-1"
36,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSUNnZ2NHZU5nEAE,Maria Laura Pereira Lima,https://www.google.com/maps/contrib/106477647577318683268/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.550471,5.0,7,"(Translated by Google) There are children playing because it is a park

(Original)
Il y des enfants qui joue car c'est un parc"
37,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSUNRaWJPVFlBEAE,Dora sam,https://www.google.com/maps/contrib/101154868926207866384/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.551408,4.0,34,"(Translated by Google) Well laid out for BBQ

(Original)
Bien aménagé  pour BBQ"
38,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSURndFpxNEVREAE,MARCELA VELEZ,https://www.google.com/maps/contrib/115039751190589888495/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.552523,2.0,30,"(Translated by Google) The sandbox is harmful to the health of children, you have to have special old clothes so as not to end up with the closet.

(Original)
El arenero es perjudicial para la salud de los niños, hay que tener ropa especial vieja  para no acabar con el ropero."
39,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUNvZ1A2dXZBRRAB,Glow Humptypal,https://www.google.com/maps/contrib/107002641758282728780/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.553323,5.0,26,"(Translated by Google) Its a park for children 🧒

(Original)
Ses un parc 🏞 pour enfant 🧒"
40,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSUN3d08yY1dREAE,Natalia Gouveia Albuquerque,https://www.google.com/maps/contrib/110228411740244714007/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.554152,5.0,19,"(Translated by Google) Children love

(Original)
Crianças amam"
41,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSURnd3MzQUdREAE,Igor S.,https://www.google.com/maps/contrib/116110142397820124361/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.554978,4.0,4,"(Translated by Google) Thank you amazingly!

(Original)
Спасибо воликолепно!"
42,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSUNRNWEtSlpBEAE,baohua qi,https://www.google.com/maps/contrib/105738346736060332669/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.555762,5.0,11,"(Translated by Google) Fun, fun

(Original)
有趣，好玩"
43,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSUNnZ3BQUlR3EAE,Sylvain Bédard,https://www.google.com/maps/contrib/100259831637882757176/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.556566,5.0,379,"(Translated by Google) Cool for the little ones

(Original)
Cool pour les petits"
44,Parc Elgar,ChZDSUhNMG9nS0VJQ0FnSURRZ1l1MFN3EAE,Cecilia Marcano,https://www.google.com/maps/contrib/115137766697770153839/reviews?hl=en-US,4 years ago,2021-06-24 10:11:45.557860,5.0,38,"(Translated by Google) It has barbecue grills, playground, library, public swimming pools, tennis courts and wifi.

(Original)
Tiene área para parrillas, parque infantil, biblioteca, piscinas públicas, canchas de tenis y wifi."
45,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUR3a3BhaF93RRAB,Ricardo Vergara,https://www.google.com/maps/contrib/115601826472887472051/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.559228,5.0,1,
46,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSURrMi1hQ19nRRAB,Bruno Roussel,https://www.google.com/maps/contrib/105410591965860691631/reviews?hl=en-US,a year ago,2021-06-24 10:11:45.560193,5.0,97,
47,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSURjaU16RF9RRRAB,Jorge Martinez,https://www.google.com/maps/contrib/114064021389692431600/reviews?hl=en-US,a year ago,2021-06-24 10:11:45.561354,3.0,0,
48,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSURnbnNidi1nRRAB,Marcelo Agudelo,https://www.google.com/maps/contrib/118336482583748732928/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.562508,5.0,2,
49,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSURBbHNhLTlRRRAB,Pedro Henrique Magalhães Ramos,https://www.google.com/maps/contrib/114097076250039016324/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.563300,5.0,3,
50,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSURRd19mUzhRRRAB,Rodrigo Cerqueira,https://www.google.com/maps/contrib/109692961675517477323/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.564110,5.0,5,
51,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUNBeHBTdTRBRRAB,Jeffery J. Y.,https://www.google.com/maps/contrib/117660192079532698691/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.564890,3.0,3,
52,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUMwaC1ISDNBRRAB,Mirian S,https://www.google.com/maps/contrib/108628465484794810717/reviews?hl=en-US,a year ago,2021-06-24 10:11:45.565671,4.0,48,
53,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSURRcU1IQzJnRRAB,Gisele Salamouny,https://www.google.com/maps/contrib/103462932997857779548/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.566454,3.0,7,
54,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUNBazdtUTJRRRAB,Andrei Macana,https://www.google.com/maps/contrib/117054812323217709971/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.567235,5.0,22,
55,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUNnajhMbTBnRRAB,PiG TAiLs,https://www.google.com/maps/contrib/103184450921044647701/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.568014,5.0,6,
56,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSURndEpxUjBBRRAB,Falé Do,https://www.google.com/maps/contrib/101077407919818500575/reviews?hl=en-US,4 years ago,2021-06-24 10:11:45.568840,5.0,33,
57,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUMwc0pYYnp3RRAB,Gobinath Palanisamy,https://www.google.com/maps/contrib/104081793497884056564/reviews?hl=en-US,a year ago,2021-06-24 10:11:45.569635,4.0,1,
58,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUNRNHVLSXpRRRAB,Philippe Tremblay,https://www.google.com/maps/contrib/101619940324581291375/reviews?hl=en-US,2 years ago,2021-06-24 10:11:45.570434,5.0,219,
59,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSURrZzhTNHpBRRAB,Boris Borissov,https://www.google.com/maps/contrib/109875320712237205631/reviews?hl=en-US,a year ago,2021-06-24 10:11:45.571226,4.0,17,
60,Parc Elgar,ChdDSUhNMG9nS0VJQ0FnSUN3eElUcHhnRRAB,Tatiana Gnedko,https://www.google.com/maps/contrib/101328907244516244431/reviews?hl=en-US,3 years ago,2021-06-24 10:11:45.572099,5.0,7,
