,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Ernest-Rouleau,ChdDSUhNMG9nS0VJQ0FnSURZbmZYT19nRRAB,John Vastopoulos,https://www.google.com/maps/contrib/109768061539069454212/reviews?hl=en-CA,2 years ago,2021-06-21 12:24:11.164079,5.0,1,Always vibe with this spot 🔥🙌🏼🦋
1,Parc Ernest-Rouleau,ChZDSUhNMG9nS0VJQ0FnSURja18tNlR3EAE,Dan Giunta,https://www.google.com/maps/contrib/110087430574734428356/reviews?hl=en-CA,a year ago,2021-06-21 12:24:11.164985,5.0,90,"A very nice vista while cycling, also a great feature for crossing the river.  Makes it easier.  There are two beautiful Island's filled with Wildlife nearby, and you can even visit the conservation site, once the city is finished wiping out most of the fauna and flora...."
2,Parc Ernest-Rouleau,ChZDSUhNMG9nS0VJQ0FnSURDcG9UdFh3EAE,Moushumi Nath,https://www.google.com/maps/contrib/104797794279043754720/reviews?hl=en-CA,8 months ago,2021-06-21 12:24:11.166232,5.0,116,Serene view. Riviere des prairies is so calm. There are a few benches to view the river and very few people
3,Parc Ernest-Rouleau,ChZDSUhNMG9nS0VJQ0FnSURjaXYtMFRBEAE,ALICE-M M.,https://www.google.com/maps/contrib/108112292978868141281/reviews?hl=en-CA,a year ago,2021-06-21 12:24:11.167196,5.0,13,Fine your inner peace here🤎🤎❤
4,Parc Ernest-Rouleau,ChdDSUhNMG9nS0VJQ0FnSUNpazlpWm1RRRAB,keep fishing Yacin,https://www.google.com/maps/contrib/111192504888832612491/reviews?hl=en-CA,7 months ago,2021-06-21 12:24:11.168095,5.0,2,Simple and  calm!
5,Parc Ernest-Rouleau,ChZDSUhNMG9nS0VJQ0FnSURRZ1B2V1dBEAE,Giuseppe Cammarrota,https://www.google.com/maps/contrib/113382150054190005181/reviews?hl=en-CA,3 years ago,2021-06-21 12:24:11.168989,5.0,8,"One of my favourite places to be when meditating with the ancient trees. Unfortunately, this used to be a beautiful forest that was destroyed for the construction of the hideous A25 bridge. What's also unfortunate is that people litter a lot, and I spend a good portion of my time when visiting to be cleaning up after humans. If you visit, I ask that the greenery be respected."
6,Parc Ernest-Rouleau,ChdDSUhNMG9nS0VJQ0FnSUR5d2Z2VTN3RRAB,Elstephane Hebert,https://www.google.com/maps/contrib/104410084276847256183/reviews?hl=en-CA,3 months ago,2021-06-21 12:24:11.169928,5.0,2,Nice
7,Parc Ernest-Rouleau,ChdDSUhNMG9nS0VJQ0FnSUQwNlBudGhRRRAB,Lena Montana,https://www.google.com/maps/contrib/108899127153106435093/reviews?hl=en-CA,a year ago,2021-06-21 12:24:11.170787,5.0,50,Nice spot for Wi-Fi
8,Parc Ernest-Rouleau,ChZDSUhNMG9nS0VJQ0FnSUNZc3R2ZUpnEAE,Eugenie Robitaille,https://www.google.com/maps/contrib/113240989281386592429/reviews?hl=en-CA,2 years ago,2021-06-21 12:24:11.171642,5.0,410,"Very tiny space, under the autoroute 25. Nice view of river."
9,Parc Ernest-Rouleau,ChdDSUhNMG9nS0VJQ0FnSUNnN29fUzVnRRAB,Douglas “IrishDoug” Sheehan,https://www.google.com/maps/contrib/101536965988083330468/reviews?hl=en-CA,2 years ago,2021-06-21 12:24:11.172507,4.0,161,A park is sort of a big word for this place. I would say it's more of a peddle or walk rest stop. No bathrooms available at this location
10,Parc Ernest-Rouleau,ChZDSUhNMG9nS0VJQ0FnSUNRbE9pelBBEAE,Don Redmond,https://www.google.com/maps/contrib/114861642908366363035/reviews?hl=en-CA,4 years ago,2021-06-21 12:24:11.173358,4.0,131,A nice little park right on the water...has a nice spot under the bridge. ..away from people with children so you can smoke
11,Parc Ernest-Rouleau,ChdDSUhNMG9nS0VJQ0FnSUNVMWVta2lRRRAB,Cem Tulunay,https://www.google.com/maps/contrib/118240868997554757393/reviews?hl=en-CA,a year ago,2021-06-21 12:24:11.174473,5.0,81,Calm place
12,Parc Ernest-Rouleau,ChZDSUhNMG9nS0VJQ0FnSUNBM3Q2RWNREAE,Zachary Bergeron,https://www.google.com/maps/contrib/108089563422823507436/reviews?hl=en-CA,5 years ago,2021-06-21 12:24:11.175487,5.0,132,Gorgeous view! Perfect place for wedding photos!
13,Parc Ernest-Rouleau,ChZDSUhNMG9nS0VJQ0FnSURjNXF1OUlnEAE,Youssef Oubrahim,https://www.google.com/maps/contrib/102125841969158415574/reviews?hl=en-CA,a year ago,2021-06-21 12:24:11.176490,5.0,28,Nice
14,Parc Ernest-Rouleau,ChdDSUhNMG9nS0VJQ0FnSURVcDYydDJBRRAB,Enrico Pietraroia,https://www.google.com/maps/contrib/109539604410916993142/reviews?hl=en-CA,a year ago,2021-06-21 12:24:11.177510,4.0,69,"Love the place, so-so for fishing"
15,Parc Ernest-Rouleau,ChZDSUhNMG9nS0VJQ0FnSURVLTVTTWR3EAE,Selene Y,https://www.google.com/maps/contrib/102676549278767981171/reviews?hl=en-CA,a year ago,2021-06-21 12:24:11.178388,4.0,40,nice way to relax
16,Parc Ernest-Rouleau,ChZDSUhNMG9nS0VJQ0FnSURRM19QTlJREAE,Cristina Roos,https://www.google.com/maps/contrib/113677283410692116901/reviews?hl=en-CA,3 years ago,2021-06-21 12:24:11.179314,4.0,25,A cute spot under the bridge.
17,Parc Ernest-Rouleau,ChdDSUhNMG9nS0VJQ0FnSUMwa2FyUmhRRRAB,Just Fabulously fabulous,https://www.google.com/maps/contrib/104319082102687025742/reviews?hl=en-CA,a year ago,2021-06-21 12:24:11.180177,5.0,387,Good
18,Parc Ernest-Rouleau,ChZDSUhNMG9nS0VJQ0FnSUNxd3AtRlRnEAE,NICOLE MARTEL,https://www.google.com/maps/contrib/112272668045348649656/reviews?hl=en-CA,2 weeks ago,2021-06-21 12:24:11.181195,5.0,26,"(Translated by Google) It is a very calm and peaceful place I liked the place

(Original)
C'est un  endroit très calme et  paisible  j'ai bien aimé la place"
19,Parc Ernest-Rouleau,ChdDSUhNMG9nS0VJQ0FnSUNLc082ZnJ3RRAB,emilie bourdage,https://www.google.com/maps/contrib/112459360033709646329/reviews?hl=en-CA,2 months ago,2021-06-21 12:24:11.183211,5.0,6,"(Translated by Google) Very beautiful to go there in summer with a big sun its perfect

(Original)
Très beau aller y en été avec un gros soleil ses parfait"
20,Parc Ernest-Rouleau,ChZDSUhNMG9nS0VJQ0FnSURVdkpYNUxREAE,Melinda Rahmayanti,https://www.google.com/maps/contrib/112891798737575464778/reviews?hl=en-CA,a year ago,2021-06-21 12:24:11.184913,4.0,187,"(Translated by Google) I like to walk along the bike path looking at the river

(Original)
J'aime marcher au long du piste cyclable en regardant le fleuve"
21,Parc Ernest-Rouleau,ChZDSUhNMG9nS0VJQ0FnSUM4Z2NfVmJnEAE,Sophie,https://www.google.com/maps/contrib/104899252202403252721/reviews?hl=en-CA,7 months ago,2021-06-21 12:24:11.186617,5.0,25,"(Translated by Google) This park is separated into three parts; west (next to the 25 bridge), center and east. It is good to continue east on Gouin because the other two parts are cute mini parks with a view of Lapierre Island.

(Original)
Ce parc est séparés en trois parties ; ouest (à côté du pont de la 25), centre et est. Il est bon de continuer vers l'est sur Gouin car les deux autres parties sont des mini parcs tout mignons avec vue sur l'Ile Lapierre."
22,Parc Ernest-Rouleau,ChZDSUhNMG9nS0VJQ0FnSURLM3VDUElREAE,All Kind,https://www.google.com/maps/contrib/107333649649313691934/reviews?hl=en-CA,a month ago,2021-06-21 12:24:11.188282,5.0,66,"(Translated by Google) Beauty is NATURE

(Original)
La beauté c'est la NATURE"
