,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Francis-Daoust,ChdDSUhNMG9nS0VJQ0FnSURLN0lQaHN3RRAB,Amanda booms,https://www.google.com/maps/contrib/101435011513381710346/reviews?hl=en-CA,a month ago,2021-06-21 12:37:35.744655,1.0,14,Never been
1,Parc Francis-Daoust,ChdDSUhNMG9nS0VJQ0FnSURnaDdDRXBBRRAB,Margaro Manriquez,https://www.google.com/maps/contrib/102891083265934786338/reviews?hl=en-CA,3 years ago,2021-06-21 12:37:35.746783,4.0,7,Great place
2,Parc Francis-Daoust,ChZDSUhNMG9nS0VJQ0FnSUN3X2VIdE5REAE,Gerard Labadie,https://www.google.com/maps/contrib/109340795040065282368/reviews?hl=en-CA,4 years ago,2021-06-21 12:37:35.748705,5.0,127,Fantastic
3,Parc Francis-Daoust,ChdDSUhNMG9nS0VJQ0FnSUNRbmJ6RnFBRRAB,Josée Ouellette,https://www.google.com/maps/contrib/104547700558587039694/reviews?hl=en-CA,3 years ago,2021-06-21 12:37:35.750445,3.0,20,"(Translated by Google) Quiet place, but lack of fun for children

(Original)
Place tranquille, mais manque d'amusement pour les enfants"
4,Parc Francis-Daoust,ChdDSUhNMG9nS0VJQ0FnSURnODdXZXl3RRAB,David Pascoli,https://www.google.com/maps/contrib/109041698728892852383/reviews?hl=en-CA,3 years ago,2021-06-21 12:37:35.752252,4.0,171,"(Translated by Google) I always said that Montreal lacked a park and trees and an atmosphere to breathe and also to relax with all its orange cones. At this place I find it good and I still say there is a lack of trees.

(Original)
J'ai roujours dit que Montréal manquait de parc et des arbres et une ambiance pour respirer et aussi pour relaxer avec tout ses cône orange .A cette endroit je trouve cela bien et je dit encore il manque des arbres .Voilà"
5,Parc Francis-Daoust,ChdDSUhNMG9nS0VJQ0FnSURJaVo2YjhnRRAB,Ivan K,https://www.google.com/maps/contrib/109226117732506404038/reviews?hl=en-CA,2 years ago,2021-06-21 12:37:35.754256,5.0,3,
6,Parc Francis-Daoust,ChdDSUhNMG9nS0VJQ0FnSUNRemJUSTBBRRAB,Marc-André “TheMark” Duplantie,https://www.google.com/maps/contrib/109744696479872855479/reviews?hl=en-CA,3 years ago,2021-06-21 12:37:35.757784,1.0,35,
7,Parc Francis-Daoust,ChdDSUhNMG9nS0VJQ0FnSUNnLUtUNHlRRRAB,Pouppa,https://www.google.com/maps/contrib/106881142607304937242/reviews?hl=en-CA,4 years ago,2021-06-21 12:37:35.759752,4.0,77,
8,Parc Francis-Daoust,ChdDSUhNMG9nS0VJQ0FnSUNRalAyX3lBRRAB,Paulina Sklivas,https://www.google.com/maps/contrib/109395435786212328452/reviews?hl=en-CA,3 years ago,2021-06-21 12:37:35.762227,5.0,25,
9,Parc Francis-Daoust,ChdDSUhNMG9nS0VJQ0FnSURBcXV5SnhnRRAB,wildhund78,https://www.google.com/maps/contrib/106118128508231906571/reviews?hl=en-CA,2 years ago,2021-06-21 12:37:35.763618,4.0,5,
10,Parc Francis-Daoust,ChdDSUhNMG9nS0VJQ0FnSURjb3ZfamxRRRAB,Véronique Aumais,https://www.google.com/maps/contrib/101120177089128284574/reviews?hl=en-CA,a year ago,2021-06-21 12:37:35.765069,3.0,42,
11,Parc Francis-Daoust,ChdDSUhNMG9nS0VJQ0FnSUNpMEwzbGtBRRAB,Mihaly Kis,https://www.google.com/maps/contrib/109401502166318719543/reviews?hl=en-CA,8 months ago,2021-06-21 12:37:35.766810,5.0,45,
12,Parc Francis-Daoust,ChZDSUhNMG9nS0VJQ0FnSUNRMi1LQ2VREAE,Richard Lelièvre,https://www.google.com/maps/contrib/104126493311878254525/reviews?hl=en-CA,3 years ago,2021-06-21 12:37:35.768970,3.0,228,
13,Parc Francis-Daoust,ChZDSUhNMG9nS0VJQ0FnSURVNy1qRllnEAE,peter durame,https://www.google.com/maps/contrib/113497433753014230271/reviews?hl=en-CA,a year ago,2021-06-21 12:37:35.770358,3.0,2,
14,Parc Francis-Daoust,ChZDSUhNMG9nS0VJQ0FnSURBenAzVVdREAE,Rach Paquette,https://www.google.com/maps/contrib/104739846602592543018/reviews?hl=en-CA,2 years ago,2021-06-21 12:37:35.772075,5.0,2,
15,Parc Francis-Daoust,ChZDSUhNMG9nS0VJQ0FnSUNnNE1pMU5BEAE,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-21 12:37:35.773510,5.0,140,
16,Parc Francis-Daoust,ChZDSUhNMG9nS0VJQ0FnSUNRMnJ2cUx3EAE,Paul Van Buren,https://www.google.com/maps/contrib/107447753863572124074/reviews?hl=en-CA,3 years ago,2021-06-21 12:37:35.774891,5.0,140,
17,Parc Francis-Daoust,ChZDSUhNMG9nS0VJQ0FnSURnck1lMEVREAE,Victor Amisi,https://www.google.com/maps/contrib/114704622396708928252/reviews?hl=en-CA,3 years ago,2021-06-21 12:37:35.776557,3.0,6,
18,Parc Francis-Daoust,ChRDSUhNMG9nS0VJQ0FnSURBcGJSYxAB,Zeina Fakhri,https://www.google.com/maps/contrib/108375362773879061853/reviews?hl=en-CA,3 years ago,2021-06-21 12:37:35.777961,4.0,58,
