,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc François-Vaillancourt,ChdDSUhNMG9nS0VJQ0FnSUNxMXR1OTd3RRAB,Arianne Briere,https://www.google.com/maps/contrib/115536630241635078327/reviews?hl=en-US,2 weeks ago,2021-06-24 10:27:39.186657,5.0,25,"(Translated by Google) Well maintained, and a little more good slush for children next door!

(Original)
Bien entretenue , et un petit plus des bonne slush pour les enfants au dep a cote !"
1,Parc François-Vaillancourt,ChdDSUhNMG9nS0VJQ0FnSUNLZ0ppWHlnRRAB,Sarah Rudge,https://www.google.com/maps/contrib/109738874113794445129/reviews?hl=en-US,3 months ago,2021-06-24 10:27:39.187789,5.0,54,"(Translated by Google) Beautiful play modules. It's brand new! Too bad it no longer goes the big slips on the hill.

(Original)
Beaux modules de jeux. C'est tout neuf! Dommage qu'il n'aille plus les grosses glissades sur la coline."
2,Parc François-Vaillancourt,ChdDSUhNMG9nS0VJQ0FnSURTNjlpSXBBRRAB,Stevie Gauvinsky,https://www.google.com/maps/contrib/100936564384576851032/reviews?hl=en-US,5 months ago,2021-06-24 10:27:39.188820,5.0,64,"(Translated by Google) Beautiful family place, the small mountain is very practical in both winter

(Original)
Belle place familial , la petite montagne ete comme hiver très pratique"
3,Parc François-Vaillancourt,ChZDSUhNMG9nS0VJQ0FnSURDdXB1a1VnEAE,Thierry Alexandre Leguay,https://www.google.com/maps/contrib/105908810982508332739/reviews?hl=en-US,9 months ago,2021-06-24 10:27:39.189922,4.0,177,"(Translated by Google) Modules of recent games and in good condition, lots of trees, a hill to slide in the winter or go down by bike in the summer (there is an asphalt path) which is surrounded by a gravel track for running and on which there are 4 exercise stations with several training levels.

(Original)
Modules de jeux récents et en bon état, beaucoup d'arbres, une colline pour glisser l'hiver ou descendre en vélo l'été (il y a un chemin asphalté) qui est entourée d'une piste en gravier pour la course et sur laquelle on retrouve 4 stations d'exercice avec plusieurs niveaux d'entraînement."
4,Parc François-Vaillancourt,ChdDSUhNMG9nS0VJQ0FnSURjd3RLaG9BRRAB,Richard Lampron,https://www.google.com/maps/contrib/110826903467331610253/reviews?hl=en-US,a year ago,2021-06-24 10:27:39.191412,3.0,78,"(Translated by Google) Lack of love. Lots of ground papers and long grass.

(Original)
Manque d'amour. Beaucoup de papiers au sol et gazon long."
5,Parc François-Vaillancourt,ChdDSUhNMG9nS0VJQ0FnSUNNLS12VXJnRRAB,rascator69,https://www.google.com/maps/contrib/112493177090248759648/reviews?hl=en-US,a year ago,2021-06-24 10:27:39.192599,5.0,8,"(Translated by Google) Park with a large hill that allows the winter to do activities such as sledding. Location very well maintained with a benefit. There is hardly anyone.

(Original)
Parc avec une grande colline qui permet l'hivers de faire des activités telle que de la luge. Lieu très bien entretenu avec un avantage. Il n'y a presque jamais personne."
6,Parc François-Vaillancourt,ChZDSUhNMG9nS0VJQ0FnSURTbWFtZU9BEAE,Yann Grégoire,https://www.google.com/maps/contrib/110465363602858115929/reviews?hl=en-US,5 months ago,2021-06-24 10:27:39.193620,3.0,2,"(Translated by Google) Nice place to slide.

(Original)
Bel endroit pour glisser."
7,Parc François-Vaillancourt,ChdDSUhNMG9nS0VJQ0FnSURNd1oycWlBRRAB,Bruno gervais,https://www.google.com/maps/contrib/110195469757573807963/reviews?hl=en-US,a year ago,2021-06-24 10:27:39.194687,5.0,3,"(Translated by Google) According to my 5 year old oh wow its sliding fast

(Original)
Selon mon 5 ans oh wow sa glisse vite"
8,Parc François-Vaillancourt,ChdDSUhNMG9nS0VJQ0FnSUM0bVlIbnJRRRAB,David Corbeil,https://www.google.com/maps/contrib/114023692666713458680/reviews?hl=en-US,a year ago,2021-06-24 10:27:39.195713,5.0,33,"(Translated by Google) Great for sliding with kids

(Original)
Super pour glissé avec les enfants"
9,Parc François-Vaillancourt,ChdDSUhNMG9nS0VJQ0FnSURZcnZXajdnRRAB,jean-francois ruel,https://www.google.com/maps/contrib/115830839706617220310/reviews?hl=en-US,2 years ago,2021-06-24 10:27:39.196961,5.0,121,
10,Parc François-Vaillancourt,ChdDSUhNMG9nS0VJQ0FnSUNpZ3ZtWDZnRRAB,Erin Victoria Linares,https://www.google.com/maps/contrib/113459721396538081326/reviews?hl=en-US,7 months ago,2021-06-24 10:27:39.198142,4.0,12,
11,Parc François-Vaillancourt,ChdDSUhNMG9nS0VJQ0FnSURLaGUzTDVnRRAB,jose luis martinez A,https://www.google.com/maps/contrib/104756553377226421492/reviews?hl=en-US,a month ago,2021-06-24 10:27:39.199169,3.0,29,
12,Parc François-Vaillancourt,ChdDSUhNMG9nS0VJQ0FnSUNDdXViTTBRRRAB,Oswaldo Mendez,https://www.google.com/maps/contrib/106928816199487141302/reviews?hl=en-US,10 months ago,2021-06-24 10:27:39.200144,4.0,1,
13,Parc François-Vaillancourt,ChdDSUhNMG9nS0VJQ0FnSURTNzVHR3l3RRAB,Philippe Provencher,https://www.google.com/maps/contrib/103258736541872552137/reviews?hl=en-US,5 months ago,2021-06-24 10:27:39.201085,5.0,10,
14,Parc François-Vaillancourt,ChdDSUhNMG9nS0VJQ0FnSURpME1EdHh3RRAB,Florence Aubuchon,https://www.google.com/maps/contrib/107789767557229954803/reviews?hl=en-US,7 months ago,2021-06-24 10:27:39.202018,4.0,3,
15,Parc François-Vaillancourt,ChdDSUhNMG9nS0VJQ0FnSUNxa1pmLXRRRRAB,jonathan page,https://www.google.com/maps/contrib/109245320304970954810/reviews?hl=en-US,2 weeks ago,2021-06-24 10:27:39.203441,4.0,6,
16,Parc François-Vaillancourt,ChdDSUhNMG9nS0VJQ0FnSUMwMUlERmxRRRAB,Lucian Ionut,https://www.google.com/maps/contrib/107040042827341886701/reviews?hl=en-US,a year ago,2021-06-24 10:27:39.204777,5.0,0,
