,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc George-Vernot,ChZDSUhNMG9nS0VJQ0FnSUNzajVXeFdREAE,Christopher Smith,https://www.google.com/maps/contrib/107026614788072994820/reviews?hl=en-US,a week ago,2021-06-24 10:34:30.182657,5.0,37,Parks automatically get 5 stars from me
1,Parc George-Vernot,ChdDSUhNMG9nS0VJQ0FnSURja2NmNjhRRRAB,Samuel Legare,https://www.google.com/maps/contrib/104691440023464949667/reviews?hl=en-US,a year ago,2021-06-24 10:34:30.183855,2.0,27,It's a big parc but I find it boring to go there. In my books it's not a very nice parc to hangout
2,Parc George-Vernot,ChZDSUhNMG9nS0VJQ0FnSUNjeDVfdkxREAE,Pallav Bhargav,https://www.google.com/maps/contrib/105795148386258412258/reviews?hl=en-US,3 weeks ago,2021-06-24 10:34:30.185010,5.0,86,This place is so special spent almost every evening last summer here playing basketball and football.
3,Parc George-Vernot,ChZDSUhNMG9nS0VJQ0FnSUNpZ2RQcmV3EAE,Fayolle Jean baptiste,https://www.google.com/maps/contrib/102443946445174738230/reviews?hl=en-US,7 months ago,2021-06-24 10:34:30.186099,4.0,55,pure beauty
4,Parc George-Vernot,ChZDSUhNMG9nS0VJQ0FnSUNnb0xuUGJREAE,Manny Afonso,https://www.google.com/maps/contrib/111134010143980798075/reviews?hl=en-US,3 years ago,2021-06-24 10:34:30.188400,5.0,78,"Big and quiet location. From Softball, Skate Ramp, Basketball court and a Tennis Court. Nice place to bring your kids and just enjoy a funfill day."
5,Parc George-Vernot,ChdDSUhNMG9nS0VJQ0FnSUNncm9mZjNBRRAB,Adriana Ma,https://www.google.com/maps/contrib/104588211733000719199/reviews?hl=en-US,6 years ago,2021-06-24 10:34:30.190404,3.0,9,"This is a nice neighbourhood park. It doesn't have as much equipment as in the past for children, yet there is plenty of space for a sports game, bocce,  biking, tennis/badminton and a beautiful pool. I was disappointed they wouldn't let me swim with shorts and T-shirt. Apparently city law only allows people with swimsuits."
6,Parc George-Vernot,ChdDSUhNMG9nS0VJQ0FnSUNneV9YSjV3RRAB,ImJustA Turkey,https://www.google.com/maps/contrib/100942416425788046915/reviews?hl=en-US,3 years ago,2021-06-24 10:34:30.192596,3.0,2,It's diverse but there is too much left over space
7,Parc George-Vernot,ChZDSUhNMG9nS0VJQ0FnSUNRazRTTkJBEAE,jes louis,https://www.google.com/maps/contrib/116654562983461641199/reviews?hl=en-US,4 years ago,2021-06-24 10:34:30.194568,5.0,3,Nice park alot of activities for kids during the summer
8,Parc George-Vernot,ChZDSUhNMG9nS0VJQ0FnSUNnbGJEMFVBEAE,Patrick Wu (Wunderful),https://www.google.com/maps/contrib/112794414588315527195/reviews?hl=en-US,4 years ago,2021-06-24 10:34:30.196619,5.0,458,"Nice park with A LOT of space with a basketball court, a skate park and a tennis court as well"
9,Parc George-Vernot,ChZDSUhNMG9nS0VJQ0FnSUNZNXFLdUJREAE,tv pub,https://www.google.com/maps/contrib/105423782731926567873/reviews?hl=en-US,2 years ago,2021-06-24 10:34:30.198945,1.0,1,Pomal b.s
10,Parc George-Vernot,ChZDSUhNMG9nS0VJQ0FnSUNndnBQamZBEAE,Young Nega,https://www.google.com/maps/contrib/114785674107209333312/reviews?hl=en-US,4 years ago,2021-06-24 10:34:30.200068,5.0,8,Best place to play outside basketball
11,Parc George-Vernot,ChZDSUhNMG9nS0VJQ0FnSURnM2NYWVlREAE,EMMA AND MJ PLAY AND GAMING,https://www.google.com/maps/contrib/115004582995012000863/reviews?hl=en-US,3 years ago,2021-06-24 10:34:30.201012,4.0,24,Cool
12,Parc George-Vernot,ChdDSUhNMG9nS0VJQ0FnSUNRXzhPNjNnRRAB,Minh Chau,https://www.google.com/maps/contrib/105383872998484718407/reviews?hl=en-US,3 years ago,2021-06-24 10:34:30.202217,5.0,469,Good park
13,Parc George-Vernot,ChZDSUhNMG9nS0VJQ0FnSURLaXNuQk9BEAE,l,https://www.google.com/maps/contrib/111967711138832499657/reviews?hl=en-US,a month ago,2021-06-24 10:34:30.203169,5.0,2,"(Translated by Google) It's very good I'm having a lot of fun.

(Original)
C'est très bien je m'amuse beaucoup."
14,Parc George-Vernot,ChdDSUhNMG9nS0VJQ0FnSUNpMllxZ3pRRRAB,Vanna-Lusa Noel,https://www.google.com/maps/contrib/114095705175827017976/reviews?hl=en-US,7 months ago,2021-06-24 10:34:30.204098,1.0,238,"(Translated by Google) Park really, but REALLY OLD ... It's really pitiful! An investment would be beneficial in the long term for children's amusement. In addition, it would be good to return to the pool as at the time.

(Original)
Parc vraiment, mais VRAIMENT DÉSUET.... Il fait réellement pitié! Un investissement serait bénéfique à long terme pour l'amusement des enfants. De plus, il serait bien de réintégrer la piscine comme à l'époque."
15,Parc George-Vernot,ChdDSUhNMG9nS0VJQ0FnSUNBb1lyZndBRRAB,PoulpoZoR Eric Millot,https://www.google.com/maps/contrib/108932292348174083702/reviews?hl=en-US,2 months ago,2021-06-24 10:34:30.205187,3.0,47,"(Translated by Google) Perfect for taking a relaxing break

(Original)
Parfait pour prendre une pause détente"
16,Parc George-Vernot,ChdDSUhNMG9nS0VJQ0FnSUNxZ011djJ3RRAB,Mario Pietrograzio,https://www.google.com/maps/contrib/104339952450429983122/reviews?hl=en-US,a month ago,2021-06-24 10:34:30.206125,5.0,106,"(Translated by Google) Very quiet park, very little frequented.

(Original)
Parc très tranquille, très peu fréquenté."
17,Parc George-Vernot,ChdDSUhNMG9nS0VJQ0FnSURjNnRiQnRRRRAB,Sndousa Nemli,https://www.google.com/maps/contrib/117752549104336158180/reviews?hl=en-US,a year ago,2021-06-24 10:34:30.207054,1.0,2,"(Translated by Google) I didn't really like the maintenance and the cleanliness.

(Original)
J'ai pas trop aimé  manque beaucoup de chose  la maintenance ,la propreté aussi."
18,Parc George-Vernot,ChZDSUhNMG9nS0VJQ0FnSUNLN3JMQmRnEAE,Abdennour Daikha,https://www.google.com/maps/contrib/117051809073882482980/reviews?hl=en-US,2 months ago,2021-06-24 10:34:30.208042,4.0,5,"(Translated by Google) Perfect park

(Original)
Perfect parc"
19,Parc George-Vernot,ChZDSUhNMG9nS0VJQ0FnSUMwcDd6Nk1BEAE,Shlery Croisanf,https://www.google.com/maps/contrib/104857230401769535329/reviews?hl=en-US,a year ago,2021-06-24 10:34:30.209009,5.0,22,"(Translated by Google) Beautiful outdoors, always interesting sports activities and playground for parents / children.

(Original)
Plein air magnifique, tjrs des activités sportives intéressants et place de jeux pour parents/enfants."
20,Parc George-Vernot,ChdDSUhNMG9nS0VJQ0FnSUMwcTdhTm1nRRAB,Julia Henriquez,https://www.google.com/maps/contrib/116171326443115410069/reviews?hl=en-US,a year ago,2021-06-24 10:34:30.209940,5.0,62,"(Translated by Google) Always full of free activities with good animators and for the whole family

(Original)
Toujours plein dacitivites gratuites avec de bon animateurs et pour toute la famille"
21,Parc George-Vernot,ChdDSUhNMG9nS0VJQ0FnSUN3b0lfNjdBRRAB,Daphnee Desjardins,https://www.google.com/maps/contrib/103859116126751067340/reviews?hl=en-US,2 years ago,2021-06-24 10:34:30.210871,3.0,85,"(Translated by Google) Beautiful park but not ideal in winter. Summer is wonderful and warm.

(Original)
Beau parc mais pas idéal en hiver. L'été par contre c'est merveilleux et chaleureux."
22,Parc George-Vernot,ChdDSUhNMG9nS0VJQ0FnSURVNzg2dDhBRRAB,Michel Desrosiers,https://www.google.com/maps/contrib/102802819706725061190/reviews?hl=en-US,a year ago,2021-06-24 10:34:30.211801,3.0,29,"(Translated by Google) Ordinary balls land with broken fence and marble lighting on the ground # 2 a bit dark needs adjustments; there were 2 chemical toilets however the park was clean.

(Original)
Terrains balles ordinaire avec clôture brisée et l'éclairage au marbre sur le terrain # 2 un peu sombre  besoins d'ajustements ; il y avait 2 toilettes chimiques par contre le parc était propre."
23,Parc George-Vernot,ChdDSUhNMG9nS0VJQ0FnSUNDODgycDh3RRAB,Chi An Huynh,https://www.google.com/maps/contrib/110999478754821620296/reviews?hl=en-US,9 months ago,2021-06-24 10:34:30.212728,5.0,27,"(Translated by Google) Well-lit park

(Original)
Parc bien illuminé"
24,Parc George-Vernot,ChdDSUhNMG9nS0VJQ0FnSURNcnVlcDJBRRAB,alain leveille,https://www.google.com/maps/contrib/105622166662932336151/reviews?hl=en-US,a year ago,2021-06-24 10:34:30.213745,5.0,90,"(Translated by Google) Very nice place

(Original)
Très belle place"
25,Parc George-Vernot,ChZDSUhNMG9nS0VJQ0FnSUNBaWF6MFhREAE,Catherine Lamothe-Sauvé,https://www.google.com/maps/contrib/104136811306332572023/reviews?hl=en-US,2 years ago,2021-06-24 10:34:30.214829,5.0,51,"(Translated by Google) Super park with beautiful softball fields!

(Original)
Super parc avec des beaux terrains de balle-molle!"
26,Parc George-Vernot,ChdDSUhNMG9nS0VJQ0FnSURnaGFmUDFnRRAB,Robert Paul Bedard,https://www.google.com/maps/contrib/111697194340573145845/reviews?hl=en-US,3 years ago,2021-06-24 10:34:30.215775,1.0,13,"(Translated by Google) I am furious that the George Vernot Center remains closed.

(Original)
Je suis en rage de constater que le Centre George Vernot  reste fermé."
27,Parc George-Vernot,ChZDSUhNMG9nS0VJQ0FnSUN3bmRiX1dnEAE,Real Filteau,https://www.google.com/maps/contrib/106729719271659256231/reviews?hl=en-US,2 years ago,2021-06-24 10:34:30.216708,5.0,13,"(Translated by Google) A very beautiful park for playing sports

(Original)
Un très beau parc pour faire du sport"
28,Parc George-Vernot,ChdDSUhNMG9nS0VJQ0FnSURZbmZiT2xnRRAB,Rachel Fournier,https://www.google.com/maps/contrib/113476227415259668704/reviews?hl=en-US,2 years ago,2021-06-24 10:34:30.217642,3.0,77,"(Translated by Google) The park is abandoned. The toilets are not functional. The terrain is poorly maintained.

(Original)
Le parc est à l'abandon. Les toilettes ne sont pas fonctionnelles. Le terrain est mal entretenu."
29,Parc George-Vernot,ChdDSUhNMG9nS0VJQ0FnSURJdGRpTXlRRRAB,Sylvain Forgues,https://www.google.com/maps/contrib/103737149924813672178/reviews?hl=en-US,2 years ago,2021-06-24 10:34:30.218570,4.0,90,"(Translated by Google) What fun with but 2 sons

(Original)
Que du plaisir avec mais 2 fils"
30,Parc George-Vernot,ChZDSUhNMG9nS0VJQ0FnSUNRbFlEcmVBEAE,Sébastien Tremblay,https://www.google.com/maps/contrib/113518072699682717725/reviews?hl=en-US,3 years ago,2021-06-24 10:34:30.219552,2.0,20,"(Translated by Google) Remember to go to the bathroom before you go because they are constantly being repaired

(Original)
Pensez à aller aux toilettes avant d'y aller car elles sont constamment en réparation"
