,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Gilbert-Layton,ChZDSUhNMG9nS0VJQ0FnSUN5dk9XYUNnEAE,THE ARCHITECT,https://www.google.com/maps/contrib/109538970169750389147/reviews?hl=en-CA,4 months ago,2021-06-21 14:08:14.284864,3.0,3,"Really nice park, except for one of the soccer fields that is now mostly sand."
1,Parc Gilbert-Layton,ChdDSUhNMG9nS0VJQ0FnSUNBejltMnNnRRAB,Creator of Drama “Welcome_lit”,https://www.google.com/maps/contrib/103937687259774865950/reviews?hl=en-CA,2 years ago,2021-06-21 14:08:14.286334,5.0,4,Visit plz
2,Parc Gilbert-Layton,ChdDSUhNMG9nS0VJQ0FnSUNDbW9mTDRBRRAB,Ben Kasapiano,https://www.google.com/maps/contrib/106116881956457318262/reviews?hl=en-CA,10 months ago,2021-06-21 14:08:14.289103,5.0,154,Nice small park. Nothing special. It's calm but is attached to a school so during the day it's a little noisy but quiet in general...
3,Parc Gilbert-Layton,ChdDSUhNMG9nS0VJQ0FnSUNBb01yRHNRRRAB,Jason Lavers,https://www.google.com/maps/contrib/102934159239459189703/reviews?hl=en-CA,8 months ago,2021-06-21 14:08:14.291577,5.0,109,Very nice little park. Need more garbage cans though. But really nice to sit and relax.
4,Parc Gilbert-Layton,ChZDSUhNMG9nS0VJQ0FnSURjLVBDT0lnEAE,ROSTISLAV SMOUTINE,https://www.google.com/maps/contrib/116259299644233282084/reviews?hl=en-CA,a year ago,2021-06-21 14:08:14.293907,5.0,3,"Beautiful and friendly park. Like it a lot, visiting it very often"
5,Parc Gilbert-Layton,ChdDSUhNMG9nS0VJQ0FnSUNDZ2NMMnNRRRAB,Lucy Rodriguez Munoz,https://www.google.com/maps/contrib/107660328116475794846/reviews?hl=en-CA,9 months ago,2021-06-21 14:08:14.295121,4.0,68,Nice place for kids  and pets owners
6,Parc Gilbert-Layton,ChdDSUhNMG9nS0VJQ0FnSURVb0l6R2xBRRAB,Sifiso Hlabangans,https://www.google.com/maps/contrib/114373699768941704927/reviews?hl=en-CA,a year ago,2021-06-21 14:08:14.296111,4.0,81,Very good place to meet up and have some fun with your family and friends
7,Parc Gilbert-Layton,ChdDSUhNMG9nS0VJQ0FnSURJbDR2amlnRRAB,Sean Mccluskey,https://www.google.com/maps/contrib/112853994246916558190/reviews?hl=en-CA,2 years ago,2021-06-21 14:08:14.298396,4.0,91,Gilbert Layton is a great part. Built for soccer and bocce ball. The only reason I was there is to get my truck towed. So that day it wasn't too nice.
8,Parc Gilbert-Layton,ChZDSUhNMG9nS0VJQ0FnSUQwNnNDeElnEAE,Angela Bowens,https://www.google.com/maps/contrib/114507163333648379561/reviews?hl=en-CA,a year ago,2021-06-21 14:08:14.300162,5.0,2,Very clean nice to hangouts abit
9,Parc Gilbert-Layton,ChZDSUhNMG9nS0VJQ0FnSUQwOGVDSFlBEAE,Hassan Walker,https://www.google.com/maps/contrib/110791465358278235902/reviews?hl=en-CA,a year ago,2021-06-21 14:08:14.301552,2.0,123,Needs a gog park...if you know what i mean
