,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSURLdGJfMDB3RRAB,Karl Xavier Dagenais,https://www.google.com/maps/contrib/100051612450688931280/reviews?hl=en-CA,a week ago,2021-06-21 14:09:02.733722,4.0,89,"No dogs allowed. Seems more for children, that's fine. People do picnic here on the limited tables."
1,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSURLemQ3VlJ3EAE,Jonathan De Castro,https://www.google.com/maps/contrib/108083383998076469941/reviews?hl=en-CA,a month ago,2021-06-21 14:09:02.735824,5.0,159,Quite calm park even though Mont-Royal street is just south of the park. Great for kids. Small playground for young children.
2,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUNLaGZyYU9nEAE,Amadou Tall,https://www.google.com/maps/contrib/111503961083419153976/reviews?hl=en-CA,2 months ago,2021-06-21 14:09:02.737754,4.0,69,"Perfect quiet neighborhood park, and a nice playground for the litte ones.
Koodo ✌"
3,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUR5dS1tUWdBRRAB,Angelique Caplette,https://www.google.com/maps/contrib/106121395168371897323/reviews?hl=en-CA,3 months ago,2021-06-21 14:09:02.742477,3.0,6,Not very clean..garbage cans overflowing and no snow maintenance.
4,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUQ4bWNhYV9nRRAB,Edouard FERRON-MALLETT,https://www.google.com/maps/contrib/105778354040717977002/reviews?hl=en-CA,11 months ago,2021-06-21 14:09:02.745075,5.0,49,We love this parc to enjoy the water jets. It's precious when it's warm outside and you need a quick refresh. Plus it's right over the mont Royal Avenue so if you need to do shopping before or after it's a good spot
5,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUM4eHVfUjhnRRAB,Tati,https://www.google.com/maps/contrib/107633825074376433694/reviews?hl=en-CA,11 months ago,2021-06-21 14:09:02.747008,5.0,12,Very nice park with a lot of trees and a playground for kids. Very family friendly. We loved it!
6,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUNpamZtelFnEAE,Roberta Cuttler,https://www.google.com/maps/contrib/106438910085805784940/reviews?hl=en-CA,7 months ago,2021-06-21 14:09:02.748728,5.0,162,Beautiful park
7,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUNVeXNtUU5REAE,Hugo,https://www.google.com/maps/contrib/116380604591820895190/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.750626,5.0,38,Good place to have a picnic with your friends!
8,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSURBdmFqdTZBRRAB,Ramin Eshraghi-Yazdi (Nur Films),https://www.google.com/maps/contrib/117745242193245334409/reviews?hl=en-CA,2 years ago,2021-06-21 14:09:02.752817,3.0,158,Great family hideout close to mtl street however there are often times people passed out after a night of party and or different communities using the water park for hygenic purposes which I am actually ok with but it might not be your thing if you have small kids with you. When with the kido we opt out for water parks that are kids only.
9,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSURDaVo2eXF3RRAB,Samwell Delacosta,https://www.google.com/maps/contrib/111293299850398311241/reviews?hl=en-CA,8 months ago,2021-06-21 14:09:02.754713,4.0,18,Swaggalicious
10,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSURrMzYydlhBEAE,Adam Lenny,https://www.google.com/maps/contrib/101963793685640028077/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.757864,3.0,53,"Cigarette butts and empty bottles abound, but there's a nice sand pit and sprinkler system for the kids."
11,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUNRaWZHUnp3RRAB,Gian-Paul Simpson,https://www.google.com/maps/contrib/110247926985373493109/reviews?hl=en-CA,3 years ago,2021-06-21 14:09:02.759813,3.0,46,Small little park. Nice and quaint.
12,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSURRbTlDcS13RRAB,Vitaly Musatov,https://www.google.com/maps/contrib/111820058133676491973/reviews?hl=en-CA,2 years ago,2021-06-21 14:09:02.761727,5.0,31,Quiet and nice park with playground.
13,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUMwXzZ6aElREAE,Mukunda Muzquiz,https://www.google.com/maps/contrib/116859798654268352711/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.763852,5.0,20,Chill small and sunny!
14,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUNnNl8zTTZBRRAB,michael mckane,https://www.google.com/maps/contrib/117543806946386068971/reviews?hl=en-CA,2 years ago,2021-06-21 14:09:02.766380,5.0,3,So dope
15,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUNRNTlDUWN3EAE,Tati Cris,https://www.google.com/maps/contrib/116850019426545540720/reviews?hl=en-CA,4 years ago,2021-06-21 14:09:02.769417,5.0,6,Great little parc
16,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUR5ai1lYVZnEAE,smago smago,https://www.google.com/maps/contrib/106197572450298973043/reviews?hl=en-CA,2 months ago,2021-06-21 14:09:02.771526,4.0,23,"(Translated by Google) Small neighborhood park not a lot of play for the children but few people. In summer there are water games

(Original)
Petit parc de quartier pas beaucoup de jeu pour les enfants mais peu de monde. En été il y a des jeux d'eaux"
17,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUNxanAyR3ZnRRAB,Marie-Pierre Tremblay,https://www.google.com/maps/contrib/113788373124414909888/reviews?hl=en-CA,2 weeks ago,2021-06-21 14:09:02.777137,3.0,38,"(Translated by Google) Basic water games and small modules.

(Original)
Jeux d'eau de base et petits modules."
18,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSURDM3JIdjBRRRAB,ciprian cuciurean,https://www.google.com/maps/contrib/102428930298014077537/reviews?hl=en-CA,8 months ago,2021-06-21 14:09:02.778974,5.0,15,"(Translated by Google) Beautiful little park

(Original)
Beau petit parc"
19,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUNpeUpfRXlRRRAB,Marc Perreault,https://www.google.com/maps/contrib/100037965111165372840/reviews?hl=en-CA,8 months ago,2021-06-21 14:09:02.781401,3.0,179,"(Translated by Google) Adequate space for parents and young children.

(Original)
Espace adéquat pour parents et jeunes enfants."
20,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUM0aVBfZWRnEAE,E. M.,https://www.google.com/maps/contrib/112248783160657954939/reviews?hl=en-CA,2 years ago,2021-06-21 14:09:02.782824,5.0,318,"(Translated by Google) Super park of summer days with water games for children & families. For evenings and days, walkers wishing to relax can sit quietly and rest in the rays of the moon or the sun. I like the benches that are at the bottom right of the park for friendly discussions, ""brainstorms"" and all forms of interpersonal connections allowed by the municipality on these very pleasant places!

(Original)
Super parc de jours d'été avec jeux d'eau pour enfants & familles. De soirs comme de jours, les promeneurs désirant s'y prélasser pourront s'y installer tranquillement et se reposer aux rayons de la lune ou du soleil. J'aime bien les bancs qui se trouvent au fond à droite du parc pour des discussions amicales, ”brainstorms"" et toutes formes de connexions interpersonnelles permises par la municipalité sur ces lieux bien agréables!"
21,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSURnODUzQ0ZBEAE,RIGNON Noël,https://www.google.com/maps/contrib/105180115902966908213/reviews?hl=en-CA,3 years ago,2021-06-21 14:09:02.784469,4.0,148,"(Translated by Google) Very welcoming park for both children and adults despite its small size.

A small flat: we could not put a button to activate the water for a certain period rather than wasting it during the long day when there is no one? : /

(Original)
Parc très accueillant aussi bien pour les enfants que les adultes malgré sa petite taille.

Un petit bémol : on pourrais pas mettre un bouton pour activer l'eau pendant une certaines durée plutôt que de la gaspiller ainsi pendant la journée longue quand il n'y a personne ? :/"
22,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUNBOVlPQmpBRRAB,Béa Prevosto,https://www.google.com/maps/contrib/111361209566460998504/reviews?hl=en-CA,3 years ago,2021-06-21 14:09:02.785856,5.0,13,"(Translated by Google) Clean park, lots of shade, plenty of space to sit. My son loved the swing :)

(Original)
Parc propre, très ombragé, plein d'espace pour s'asseoir. Mon fils a adoré la balançoire :)"
23,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUNzX01LYllnEAE,Maxime Tanguay,https://www.google.com/maps/contrib/108076232472363065552/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.787918,5.0,231,"(Translated by Google) Beautiful park

(Original)
Beau parc"
24,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSURVODlHQm5RRRAB,Arnaud DAILLY,https://www.google.com/maps/contrib/109398967176164222254/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.790179,3.0,41,"(Translated by Google) Friendly neighborhood park

(Original)
Parc de quartier sympathique"
25,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSURBMGFmeUhnEAE,C Gauthier,https://www.google.com/maps/contrib/110037552099526923964/reviews?hl=en-CA,3 years ago,2021-06-21 14:09:02.794077,4.0,95,"(Translated by Google) Last park my first apartment in the 90s.

(Original)
Parc dernière mon première appartement dans les années 90."
26,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSURVMnZURV9RRRAB,Jonathan Chapman,https://www.google.com/maps/contrib/116479971257086240272/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.796184,5.0,13,
27,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUNVaWIyMi13RRAB,Joël Bédard,https://www.google.com/maps/contrib/103911322414544504306/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.798266,4.0,40,
28,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUMwaXJLNTdnRRAB,sophie levesque,https://www.google.com/maps/contrib/114380271264865595385/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.800387,2.0,0,
29,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUNVdzR6azZnRRAB,Véronique Goyette,https://www.google.com/maps/contrib/114902060756326950402/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.802481,4.0,2,
30,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUM4OHBMSjR3RRAB,Hayet Choua,https://www.google.com/maps/contrib/112979526206028347480/reviews?hl=en-CA,11 months ago,2021-06-21 14:09:02.804381,5.0,21,
31,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUMwdU9xTzJBRRAB,Kevin Larrivée,https://www.google.com/maps/contrib/108239472696886445537/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.806901,4.0,0,
32,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUNxZ2J2dzFBRRAB,Yves Bireme,https://www.google.com/maps/contrib/112915832254617839959/reviews?hl=en-CA,a week ago,2021-06-21 14:09:02.809213,5.0,21,
33,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUMwX0p6NnpnRRAB,Mickey Dragon,https://www.google.com/maps/contrib/104400740828201325330/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.811136,2.0,5,
34,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUQ4d2JhZHhnRRAB,Alexandre Craig Préfontaine,https://www.google.com/maps/contrib/105399986445906803770/reviews?hl=en-CA,11 months ago,2021-06-21 14:09:02.813043,5.0,11,
35,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSURpNlpybXhRRRAB,Balam Guzman,https://www.google.com/maps/contrib/108615646896520084152/reviews?hl=en-CA,6 months ago,2021-06-21 14:09:02.814934,5.0,24,
36,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUNnOHRIMnV3RRAB,Natalia Naranjo,https://www.google.com/maps/contrib/108154135695867897782/reviews?hl=en-CA,4 years ago,2021-06-21 14:09:02.818959,4.0,14,
37,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUNnOTRYSnR3RRAB,Tr8n Tr8n,https://www.google.com/maps/contrib/100265053079525136382/reviews?hl=en-CA,3 years ago,2021-06-21 14:09:02.820983,4.0,31,
38,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUNxMGNyRXRnRRAB,Karan Minhas,https://www.google.com/maps/contrib/107697846383756615570/reviews?hl=en-CA,a week ago,2021-06-21 14:09:02.824158,4.0,56,
39,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSURBbll2dXRBRRAB,Julien Paquier-Galliard,https://www.google.com/maps/contrib/102591920577692288246/reviews?hl=en-CA,3 years ago,2021-06-21 14:09:02.826394,5.0,1,
40,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSURjb2NYY3NnRRAB,Romain LE BIHAN,https://www.google.com/maps/contrib/105448171537019788429/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.828348,4.0,49,
41,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSURzeklIOXBBRRAB,Josiane Beaulieu,https://www.google.com/maps/contrib/117134867146072722283/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.830255,5.0,12,
42,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUNRaU9ITG9BRRAB,Mouna S,https://www.google.com/maps/contrib/110265759106542464515/reviews?hl=en-CA,2 years ago,2021-06-21 14:09:02.832155,4.0,211,
43,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUNTNE9EX25BRRAB,Francois Berube,https://www.google.com/maps/contrib/109009849526870960816/reviews?hl=en-CA,6 months ago,2021-06-21 14:09:02.834054,4.0,17,
44,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSURJeE0zdW1BRRAB,Tomasz Pawlik,https://www.google.com/maps/contrib/118373236102024567687/reviews?hl=en-CA,2 years ago,2021-06-21 14:09:02.835979,5.0,45,
45,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSURVNDZXOGxRRRAB,Lucas Granzotto,https://www.google.com/maps/contrib/109422810564567393430/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.837878,5.0,9,
46,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUNDM3JDSmxBRRAB,Gabriel Simard,https://www.google.com/maps/contrib/116624451751218541524/reviews?hl=en-CA,9 months ago,2021-06-21 14:09:02.841905,5.0,6,
47,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUQ4eVl6c2t3RRAB,Edu Meneses,https://www.google.com/maps/contrib/112993121412949621409/reviews?hl=en-CA,11 months ago,2021-06-21 14:09:02.844613,5.0,26,
48,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUQ4dDd1UWl3RRAB,Lissette de Hasbun,https://www.google.com/maps/contrib/110214069287138059022/reviews?hl=en-CA,10 months ago,2021-06-21 14:09:02.846537,2.0,1,
49,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSURZanFma2hRRRAB,maw,https://www.google.com/maps/contrib/116562419178146782682/reviews?hl=en-CA,2 years ago,2021-06-21 14:09:02.848454,5.0,122,
50,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUMwc095QWhRRRAB,Keven Kelly,https://www.google.com/maps/contrib/104506807756994207329/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.850642,5.0,0,
51,Parc Gilles-Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUNZcUttR2hBRRAB,nicolas vézeau,https://www.google.com/maps/contrib/109272658071035982388/reviews?hl=en-CA,2 years ago,2021-06-21 14:09:02.852617,2.0,21,
52,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUQwOElua1pnEAE,José H.J. Liu,https://www.google.com/maps/contrib/111974428879873280751/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.854518,3.0,33,
53,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUNNb2JIVFpREAE,Myriam Clark,https://www.google.com/maps/contrib/118366398244584431701/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.857371,5.0,59,
54,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUN3MV9mV1VREAE,Pratik Joshi,https://www.google.com/maps/contrib/104352167168484204889/reviews?hl=en-CA,2 years ago,2021-06-21 14:09:02.859590,5.0,9,
55,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUNnMnRpWVRREAE,Zhiyong Yu,https://www.google.com/maps/contrib/117141312242392479741/reviews?hl=en-CA,3 years ago,2021-06-21 14:09:02.861025,3.0,103,
56,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSURrbXZ5SVNBEAE,Veronika Kieken,https://www.google.com/maps/contrib/112291096460085886423/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.862401,4.0,2,
57,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUNZcXJEc1J3EAE,Aurelie Sanhaji,https://www.google.com/maps/contrib/116420730107242873764/reviews?hl=en-CA,2 years ago,2021-06-21 14:09:02.863767,4.0,321,
58,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUR3bkx6YlJnEAE,M vroms,https://www.google.com/maps/contrib/116433050642367737784/reviews?hl=en-CA,2 years ago,2021-06-21 14:09:02.865283,5.0,6,
59,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUNLM2REMlFREAE,Chloe& Noah,https://www.google.com/maps/contrib/104741703972545048299/reviews?hl=en-CA,2 months ago,2021-06-21 14:09:02.869010,3.0,5,
60,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSURLck5Tc01BEAE,Kathryn Baillargeon,https://www.google.com/maps/contrib/103689298268453797519/reviews?hl=en-CA,a month ago,2021-06-21 14:09:02.870987,5.0,50,
61,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUNJaHZpTE1BEAE,Zdeněk Musil,https://www.google.com/maps/contrib/113350986636990848194/reviews?hl=en-CA,2 years ago,2021-06-21 14:09:02.874226,4.0,190,
62,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUN3NDdibEtREAE,Stéphane D'Astous,https://www.google.com/maps/contrib/110836821597289343058/reviews?hl=en-CA,4 years ago,2021-06-21 14:09:02.876225,4.0,9,
63,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUNvbUwzcEpREAE,leslie l,https://www.google.com/maps/contrib/117834610020496121216/reviews?hl=en-CA,2 years ago,2021-06-21 14:09:02.878343,4.0,564,
64,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUQwOG9hT0l3EAE,Christine Wilson,https://www.google.com/maps/contrib/104891782816000212922/reviews?hl=en-CA,a year ago,2021-06-21 14:09:02.880252,5.0,611,
65,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSURBN0tmQ0lnEAE,Catherine Labelle,https://www.google.com/maps/contrib/114032377389805481016/reviews?hl=en-CA,3 years ago,2021-06-21 14:09:02.882152,4.0,3,
66,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUNxMDVPcElREAE,zied eddine arfaoui,https://www.google.com/maps/contrib/108989459231414273049/reviews?hl=en-CA,3 days ago,2021-06-21 14:09:02.884046,3.0,10,
67,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUM4dG9yWEZ3EAE,Cédric Labelle,https://www.google.com/maps/contrib/102134953944978180701/reviews?hl=en-CA,11 months ago,2021-06-21 14:09:02.886200,3.0,0,
68,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSURRczl5b0Z3EAE,Isabel Vks,https://www.google.com/maps/contrib/103361947132316024872/reviews?hl=en-CA,3 years ago,2021-06-21 14:09:02.888241,3.0,0,
69,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUNLbGZUTEZREAE,Altin Raxhimi,https://www.google.com/maps/contrib/111081834734755998518/reviews?hl=en-CA,2 months ago,2021-06-21 14:09:02.891604,3.0,0,
70,Parc Gilles-Lefebvre,ChZDSUhNMG9nS0VJQ0FnSUM4c09YbkR3EAE,Oscar Vegas,https://www.google.com/maps/contrib/110467682398349498319/reviews?hl=en-CA,11 months ago,2021-06-21 14:09:02.894785,4.0,0,
