,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Giuseppe-Garibaldi,ChdDSUhNMG9nS0VJQ0FnSURLLWJuZDNBRRAB,MAVIC 514,https://www.google.com/maps/contrib/114401808966935452078/reviews?hl=en-CA,a month ago,2021-06-21 14:10:29.525183,5.0,54,My favorite park in St Leonard
1,Parc Giuseppe-Garibaldi,ChdDSUhNMG9nS0VJQ0FnSUM4NXRqanVRRRAB,Brian Nowry,https://www.google.com/maps/contrib/103988508259185133038/reviews?hl=en-CA,11 months ago,2021-06-21 14:10:29.535522,5.0,154,"My son played a game on the Astro turf field.  Beautiful diamond, great dugouts, lots of room to spread out."
2,Parc Giuseppe-Garibaldi,ChdDSUhNMG9nS0VJQ0FnSUNxa0xMSG93RRAB,Hritcu Ioana,https://www.google.com/maps/contrib/100894173201853662315/reviews?hl=en-CA,4 weeks ago,2021-06-21 14:10:29.541313,5.0,8,Lovely park
3,Parc Giuseppe-Garibaldi,ChdDSUhNMG9nS0VJQ0FnSURTdnNfbDBBRRAB,Stefano Cofini,https://www.google.com/maps/contrib/107795199981513109751/reviews?hl=en-CA,5 months ago,2021-06-21 14:10:29.543889,4.0,38,Its not bad
4,Parc Giuseppe-Garibaldi,ChZDSUhNMG9nS0VJQ0FnSUM4d2NpVElREAE,Massi Frenz,https://www.google.com/maps/contrib/100429938290985754764/reviews?hl=en-CA,11 months ago,2021-06-21 14:10:29.548351,5.0,44,Big nick plays baseball here sometimes real treat to all
5,Parc Giuseppe-Garibaldi,ChZDSUhNMG9nS0VJQ0FnSURVMU5mdEl3EAE,S. Bouchard,https://www.google.com/maps/contrib/102514637776047631027/reviews?hl=en-CA,a year ago,2021-06-21 14:10:29.550593,4.0,23,"AMAZING and BRAND NEW baseball field. But bathroom or WC needed directly on site. Swimming pool destroyed, why? :O"
6,Parc Giuseppe-Garibaldi,ChdDSUhNMG9nS0VJQ0FnSURVNU12Q3RBRRAB,Angela Best,https://www.google.com/maps/contrib/109059862608884194741/reviews?hl=en-CA,a year ago,2021-06-21 14:10:29.552900,4.0,90,"Cute park. Has lots of fun equipment, splash pad and an area with equipmwnt for exercising. Sand ground so kinda mess but that's just a part of a kid."
7,Parc Giuseppe-Garibaldi,ChdDSUhNMG9nS0VJQ0FnSUNDdko2M19nRRAB,barachie's gaming,https://www.google.com/maps/contrib/113851884750758300253/reviews?hl=en-CA,10 months ago,2021-06-21 14:10:29.554596,5.0,1,It really is a wonderful park
8,Parc Giuseppe-Garibaldi,ChdDSUhNMG9nS0VJQ0FnSURrMWRYS2hnRRAB,Morgana Palaysi (youtube loup),https://www.google.com/maps/contrib/107091782397368019271/reviews?hl=en-CA,a year ago,2021-06-21 14:10:29.559871,5.0,5,Wow beautiful baseball park . The players can really practice and play with class . Makes Montreal look good in the baseball world!!!
9,Parc Giuseppe-Garibaldi,ChZDSUhNMG9nS0VJQ0FnSURjOTVQVlpnEAE,No Nazr,https://www.google.com/maps/contrib/109103612991211624237/reviews?hl=en-CA,a year ago,2021-06-21 14:10:29.562351,2.0,36,Not so big you get annoyed quickly
