,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Gohier,ChdDSUhNMG9nS0VJQ0FnSUNxOW9fVHBnRRAB,Winh's,https://www.google.com/maps/contrib/110715389771268289333/reviews?hl=en-US,2 weeks ago,2021-06-24 10:40:53.925266,5.0,49,"This is my childhood park, it's nice.

It has green grass in the summer and sno le in the Winter.

I love going there as it reminds me of my troubling childhood.. psych. As it reminds me of good times I had there as a child.

Want basketball, you got it, want to swing on swings? Got it. Want line dance? That's Thursday.

I really like it .

Oh and they have a dog park too"
1,Parc Gohier,ChdDSUhNMG9nS0VJQ0FnSURLcl9MX3Z3RRAB,Tina Sau,https://www.google.com/maps/contrib/108045853967317017518/reviews?hl=en-US,a month ago,2021-06-24 10:40:53.927292,5.0,82,"Picnic tables, tennis, water games for kids during summer, big park with lots of places to run. Perfect spot for families and kids."
2,Parc Gohier,ChdDSUhNMG9nS0VJQ0FnSUNxak1tRDh3RRAB,Abdul Rahman Nashawi,https://www.google.com/maps/contrib/112576956507112141305/reviews?hl=en-US,3 weeks ago,2021-06-24 10:40:53.930097,4.0,126,"Small calm park in the middle of Saint-Laurent, close to schools and full of students.

Very limited parking, no fence to protect little kids from the streets."
3,Parc Gohier,ChdDSUhNMG9nS0VJQ0FnSURnMGZuT3ZBRRAB,Omar Benzekri,https://www.google.com/maps/contrib/104684102420878390835/reviews?hl=en-US,a week ago,2021-06-24 10:40:53.932234,4.0,16,"Nice park with a lot to do like basket ball, soccer, tennis and it has a very beautiful dog park"
4,Parc Gohier,ChZDSUhNMG9nS0VJQ0FnSUNLbWJiOEZREAE,Alex L,https://www.google.com/maps/contrib/110458097962638722352/reviews?hl=en-US,2 months ago,2021-06-24 10:40:53.934702,3.0,12,Too many kids\people not wearing masks
5,Parc Gohier,ChZDSUhNMG9nS0VJQ0FnSUM4c0wzWENREAE,Christian Kindarji,https://www.google.com/maps/contrib/101895569619289509484/reviews?hl=en-US,a year ago,2021-06-24 10:40:53.936710,4.0,4,Park needs some love but very friendly folks with friendly dogs. Definitely a great destination for a dog park. There is also water for the dogs.
6,Parc Gohier,ChdDSUhNMG9nS0VJQ0FnSUQ4ajhMbjN3RRAB,julian velez,https://www.google.com/maps/contrib/101643734143145860840/reviews?hl=en-US,10 months ago,2021-06-24 10:40:53.938513,5.0,58,"Good park, clean, accesible but gets too crowded, you need arabic to get around"
7,Parc Gohier,ChZDSUhNMG9nS0VJQ0FnSUM4M0xtQ1ZBEAE,Bernadine Fontaine,https://www.google.com/maps/contrib/109410815046865318033/reviews?hl=en-US,4 days ago,2021-06-24 10:40:53.940100,5.0,173,Best place for Tennis. Love this place. Courts are always clean❤❤❤
8,Parc Gohier,ChdDSUhNMG9nS0VJQ0FnSUNxbHZTaDZRRRAB,Roberto Gannon,https://www.google.com/maps/contrib/113290893121662941600/reviews?hl=en-US,2 weeks ago,2021-06-24 10:40:53.941537,4.0,7,Awesome park
9,Parc Gohier,ChdDSUhNMG9nS0VJQ0FnSUNDM29LaXpnRRAB,yanjye,https://www.google.com/maps/contrib/100752546051331250953/reviews?hl=en-US,10 months ago,2021-06-24 10:40:53.942690,5.0,69,"Nice and big park with a lot of picnic table, very clean park."
10,Parc Gohier,ChdDSUhNMG9nS0VJQ0FnSURjMXFHeWdBRRAB,Saeed Rafiee,https://www.google.com/maps/contrib/114062494651739464504/reviews?hl=en-US,a year ago,2021-06-24 10:40:53.943968,5.0,121,The best playground for kids in the district
11,Parc Gohier,ChdDSUhNMG9nS0VJQ0FnSUNRLU12Qmx3RRAB,Daniel Kenji Toyama,https://www.google.com/maps/contrib/108067726806187598484/reviews?hl=en-US,2 years ago,2021-06-24 10:40:53.946434,5.0,122,"This park has a bunch of stuff, including a large playground for kids, tennis courts and water splash. It also has toilets which is great. It's also easy to find parking on the street."
12,Parc Gohier,ChdDSUhNMG9nS0VJQ0FnSUNBbnBLSHdnRRAB,TheAyasan,https://www.google.com/maps/contrib/103272964459645216595/reviews?hl=en-US,2 years ago,2021-06-24 10:40:53.947892,5.0,34,"5 stars since it is a well kept park. It is a beautiful saturday afternoon and it's quiet here, not to many people, a few kids playing with the water games, 2 tenis players, a lady sleeping on a blanket in the grass. Sad to see no dogs in the cute dag park. But... Plenty of butterflies and a nice blue sky. Perfect day and perfect place."
