,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Grand Trunk–Shearer,ChZDSUhNMG9nS0VJQ0FnSUNVdzY3RmZ3EAE,Steve P. Mackin,https://www.google.com/maps/contrib/105107291375858026166/reviews?hl=en-US,a year ago,2021-06-24 10:46:59.298737,5.0,488,"True green spaces in the city are to be protected and looked after. This is one such green space. Great spot to unwind and relax or walk your dog. Enjoy the trees and oh, the squirrels. Lots of squirrels."
1,Parc Grand Trunk–Shearer,ChZDSUhNMG9nS0VJQ0FnSUNpMUpyLUZBEAE,Elle Campbell,https://www.google.com/maps/contrib/101388532709003632112/reviews?hl=en-US,8 months ago,2021-06-24 10:46:59.300801,5.0,155,Its beautiful here in the fall.
2,Parc Grand Trunk–Shearer,ChdDSUhNMG9nS0VJQ0FnSUQwOElpUXp3RRAB,C LL,https://www.google.com/maps/contrib/115400249341097228749/reviews?hl=en-US,a year ago,2021-06-24 10:46:59.302415,5.0,75,"A very nice place to happen upon while out for a walk in the area. Parc Saint-Gabriel has a pleasant feel. Walking through it does not seem as if some artificially human made destination, created just to add some green space in an otherwise residential and some commercial area. There are pieces of art type-esque additions that were added but are not intrusive, rather, they're complementary. The trees are the calming charm - old enough to be developed. There is a path that diagonally goes through the park which is convenient if headed to the nearby commercial destinations however the green space would be an enjoyable place to have a picnic, sit and read or throw around a frisbee. It's not especially large but does not feel cramped. Street parking."
3,Parc Grand Trunk–Shearer,ChdDSUhNMG9nS0VJQ0FnSURZbmJlODhRRRAB,Christopher Labre,https://www.google.com/maps/contrib/100247783858327252994/reviews?hl=en-US,2 years ago,2021-06-24 10:46:59.305031,5.0,233,"A beautiful little Park in the heart of Point Saint Charles,,, right next to Saint Gabriels elementary school. A great place to read a book,,, feed the squirrels,,, and watch the birds as you enjoy the afternoon away! Remember to pay it forward everybody peace out and have a great day!!!"
4,Parc Grand Trunk–Shearer,ChdDSUhNMG9nS0VJQ0FnSUNLZ01mMGp3RRAB,steve Brown,https://www.google.com/maps/contrib/101013547145838009122/reviews?hl=en-US,3 months ago,2021-06-24 10:46:59.306779,4.0,1,You could relax
5,Parc Grand Trunk–Shearer,ChdDSUhNMG9nS0VJQ0FnSUNLcGUtWXNRRRAB,Gordon Andrews,https://www.google.com/maps/contrib/117938902050826931560/reviews?hl=en-US,2 months ago,2021-06-24 10:46:59.308464,3.0,5,Relaxing
6,Parc Grand Trunk–Shearer,ChZDSUhNMG9nS0VJQ0FnSUNnMjlLM2ZREAE,Laura A,https://www.google.com/maps/contrib/104127517112323105175/reviews?hl=en-US,4 years ago,2021-06-24 10:46:59.310293,4.0,18,"Nice little park with a good number of benches, great for a light morning coffee & pastry. I love the trees; they are huge. it's nice to have little patches of green space and the diagonal path cutting through is handy."
7,Parc Grand Trunk–Shearer,ChdDSUhNMG9nS0VJQ0FnSUNJajVtdXBBRRAB,philippe legault,https://www.google.com/maps/contrib/103329515358417590430/reviews?hl=en-US,2 years ago,2021-06-24 10:46:59.311795,4.0,15,"Feels safe at night. Looks good, its small, overall a nice place to sit for a couple minutes to eat your lunch or something."
8,Parc Grand Trunk–Shearer,ChdDSUhNMG9nS0VJQ0FnSUNRakw3WWp3RRAB,Brandon Nolet (Linux Liaison),https://www.google.com/maps/contrib/107631039839691810915/reviews?hl=en-US,4 years ago,2021-06-24 10:46:59.313752,4.0,43,"Love the new jungle gym that they gave the kids. Always see kids playing around here, not much crime in this area anymore thanks to this park. Kids always have something to do and stay out of trouble :)"
9,Parc Grand Trunk–Shearer,ChdDSUhNMG9nS0VJQ0FnSUNRbWRHdTl3RRAB,Matt “Mmmcgyver” MMM,https://www.google.com/maps/contrib/117942340318825761967/reviews?hl=en-US,3 years ago,2021-06-24 10:46:59.315380,5.0,178,"Its a quaint little park with outdoor rinks for ice skating and hockey. There's a playground for kids, green space, benches, baseball, and a splash pad in the warmer months."
