,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Grier,ChdDSUhNMG9nS0VJQ0FnSUNxLVpITHF3RRAB,Yuvy Goodtime,https://www.google.com/maps/contrib/110691809300031641825/reviews?hl=en-CA,a week ago,2021-06-21 14:17:19.089484,5.0,82,"Beautiful park great for outdoor sports like Basketball, Soccer, Tennis, Hockey, etc. There is an all season rink for ball hockey which is super convenient. There is also a playground for youngsters and the entire park is next to an outdoor public pool which opens in the afternoon. Overall a great place for weekend activities!"
1,Parc Grier,ChdDSUhNMG9nS0VJQ0FnSURLd01penVBRRAB,Eco Eco,https://www.google.com/maps/contrib/100285642219119680900/reviews?hl=en-CA,a month ago,2021-06-21 14:17:19.092082,5.0,330,Beautiful and quiet park. A wonderful place to practice sports
2,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSUNxbTYySVJnEAE,Mo,https://www.google.com/maps/contrib/111846097703259442754/reviews?hl=en-CA,a day ago,2021-06-21 14:17:19.093588,5.0,78,"Really nice parc. It has a section for kids, a section for water games and a huge and clean soccer field for practices and games. At night the lights turn on and you feel like you are in a completely different place. The soccer field is made of synthetic grass which means that shoes with cleats are strongly recommended if you don't want to slip and embarrass yourself in front of everyone. I would definitely go back there and play with friends or family."
3,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSUNxcUtublBBEAE,Mathieu Dufresne,https://www.google.com/maps/contrib/101966685778099401092/reviews?hl=en-CA,3 weeks ago,2021-06-21 14:17:19.095731,5.0,63,"Great play parc for young kids, the playground floor is a rubber type material for the 4yo + section. Some of the floor section are damaged and a few installation are slightly damaged (both spinning structures) but overall a lot of fun !!!"
4,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSUNLOGRUcUVnEAE,Michael Wasfy,https://www.google.com/maps/contrib/111336188746343102230/reviews?hl=en-CA,2 months ago,2021-06-21 14:17:19.096978,4.0,6,Great Parc with a variety of sport fields including an outdoor swimming pool. Expect it to be very packed on the weekends.
5,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSURDMFBiSE53EAE,Jeanine Wassef,https://www.google.com/maps/contrib/118436984716769170777/reviews?hl=en-CA,9 months ago,2021-06-21 14:17:19.098797,5.0,4,"This is an amazing park
Tons of services, starting spring till end of autumn the park is busy with young and old, many ppl go there for sport practice, ride their bike, walk the dog, kids play in the playground area and many grown ups get to mingle together
There’s a swimming pool attached to the park and a cantine that serves a small area both in the swimming area and the park so one can buy a sofa or a bag of chips
Whenever we r bored we always hang around the park, two large play area for kids one area has sand and one soft ground
2 large football court, baseball field, hockey circle, basketball court and 4 tennis fields, bike area, a chalet that offer washrooms and some activities, few tables near the cantine  where most ppl do an outdoor birthday party and an activity dog park, hills for bike lovers or walkers and lots of space and benches to sit around the park
I can’t say enough how amazing this park is and it’s well maintained and it brings ppl together"
6,Parc Grier,ChdDSUhNMG9nS0VJQ0FnSUN5NVl6RXlRRRAB,Giovanna Chaudhary,https://www.google.com/maps/contrib/103299746091135492205/reviews?hl=en-CA,4 months ago,2021-06-21 14:17:19.099856,5.0,6,Great small hills perfect for family with little ones.
7,Parc Grier,ChdDSUhNMG9nS0VJQ0FnSUNDMy16cnl3RRAB,Francis Haley,https://www.google.com/maps/contrib/110320527374359418830/reviews?hl=en-CA,9 months ago,2021-06-21 14:17:19.101605,5.0,120,"Beautiful park with several sporting amenities. There is a pool nearby, a baseball field, a basketball court, a soccer field and wooded areas. The community center ties the park together."
8,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSURTMllLUmFREAE,Elodie M.,https://www.google.com/maps/contrib/105033049639617227697/reviews?hl=en-CA,5 months ago,2021-06-21 14:17:19.102746,5.0,101,Nice big hills for sliding! Lots is fun!
9,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSUQ4OWEzcUp3EAE,Jose Infante,https://www.google.com/maps/contrib/105932163264332233469/reviews?hl=en-CA,10 months ago,2021-06-21 14:17:19.103779,5.0,7,"Basketball court, soccer field, tennis courts, pool and a hockey rink. Very well kept park, there are washrooms nearby. Nice place to to for a walk"
10,Parc Grier,ChdDSUhNMG9nS0VJQ0FnSUN3cDctdTZRRRAB,Seren Dagdeviren,https://www.google.com/maps/contrib/117110068101629087412/reviews?hl=en-CA,3 years ago,2021-06-21 14:17:19.104791,5.0,336,"Great park. Soccer fields, hockey rinks, baseball field, 2 jungle gyms, pool, dog park, basketball court, tennis courts and lots of greenery and hills (for biking, sledding etc...)"
11,Parc Grier,ChdDSUhNMG9nS0VJQ0FnSUNDcWZPM3VBRRAB,Stanley Vinson,https://www.google.com/maps/contrib/103615986986105946823/reviews?hl=en-CA,9 months ago,2021-06-21 14:17:19.106292,5.0,5,"People , I have a lot of time on my hands . I will review this park. Out come . Lots of fresh air . Lots of games to play. Omg I reviewed a park yo."
12,Parc Grier,ChdDSUhNMG9nS0VJQ0FnSURLLTYzZTNRRRAB,Ansley Coelho,https://www.google.com/maps/contrib/111558220293539596277/reviews?hl=en-CA,a month ago,2021-06-21 14:17:19.107437,5.0,3,4 courts to play tennis which are nicr
13,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSURpMVBDcFhnEAE,Stephen Alarcon,https://www.google.com/maps/contrib/115354545406394853560/reviews?hl=en-CA,6 months ago,2021-06-21 14:17:19.108480,5.0,52,Great dog park. So many friendly dogs!
14,Parc Grier,ChdDSUhNMG9nS0VJQ0FnSUQ4bmJyUW5BRRAB,Hamidreza Nadalizadeh,https://www.google.com/maps/contrib/105626403486415436496/reviews?hl=en-CA,9 months ago,2021-06-21 14:17:19.110028,4.0,15,"Beautiful park with local people... There is a huge play court for kids, Tennis, Basketball, Soccer and volleyball fields."
15,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSUQ4aUkyS1JnEAE,MICHAEL L.,https://www.google.com/maps/contrib/108972156868320881035/reviews?hl=en-CA,11 months ago,2021-06-21 14:17:19.111261,5.0,42,A multi purpose outdoor sports complex located in  Pierrefonds West that has all the major sporting facilities.  It also includes a semi-private state of the art pool (Valleycrest) that was built recently!!
16,Parc Grier,ChdDSUhNMG9nS0VJQ0FnSUNLODlQNXNBRRAB,Golgo13,https://www.google.com/maps/contrib/115950737767407643849/reviews?hl=en-CA,2 months ago,2021-06-21 14:17:19.112356,4.0,12,good for the kids.
17,Parc Grier,ChdDSUhNMG9nS0VJQ0FnSUNpbHNyRGpRRRAB,Nara Fata,https://www.google.com/maps/contrib/111614055471605425159/reviews?hl=en-CA,7 months ago,2021-06-21 14:17:19.113743,4.0,120,Very nice with different types of activities for the kids.
18,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSUM4NXRlOUZBEAE,Marlo Jr. Chu,https://www.google.com/maps/contrib/105990697175386488756/reviews?hl=en-CA,11 months ago,2021-06-21 14:17:19.115344,5.0,27,Great park to hang out with friends and do sports.  Nice and clean!
19,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSUQwLU9yMk9nEAE,Anita Stevens,https://www.google.com/maps/contrib/105889064901450724176/reviews?hl=en-CA,a year ago,2021-06-21 14:17:19.117367,4.0,123,We went to the school next door for advanced voting. But even after school hours the park had a lot of kids playing. There were beautiful trees to provide shade on a hot sunny day. There were benches to sit and watch the kids. It looked good for all ages.
20,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSUM4eU1uOU5REAE,Alex Marte Rojas,https://www.google.com/maps/contrib/103204338982736216696/reviews?hl=en-CA,6 months ago,2021-06-21 14:17:19.118481,4.0,2,"I love this park! I always go there with my friends, it's amazing!"
21,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSUQ4aGJ5cU1nEAE,Elisabeth T-L,https://www.google.com/maps/contrib/101535943020365892289/reviews?hl=en-CA,10 months ago,2021-06-21 14:17:19.121723,4.0,42,"Nice modern installations, little trails to walk around, hills."
22,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSUM4Z0ptUmNREAE,1_HighDuke (1_HighDuke),https://www.google.com/maps/contrib/104415434415454004501/reviews?hl=en-CA,a year ago,2021-06-21 14:17:19.122923,2.0,8,Great sports fields and pool. But no water fountains anywhere in this huge park. Absolutely ridiculous...
23,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSUNpallxbFZ3EAE,Jane La Torre,https://www.google.com/maps/contrib/104261309943937841603/reviews?hl=en-CA,7 months ago,2021-06-21 14:17:19.123922,5.0,132,Spacious park and beautiful landscape too
24,Parc Grier,ChdDSUhNMG9nS0VJQ0FnSUNDb1pHTDN3RRAB,Juan Felipe Montoya,https://www.google.com/maps/contrib/103617490883759487370/reviews?hl=en-CA,9 months ago,2021-06-21 14:17:19.125418,4.0,25,Free parking. Only saw one toilet for everybody. Swimming pool was closed
25,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSURjMk51QlRnEAE,tony zaidi,https://www.google.com/maps/contrib/112450023780220613175/reviews?hl=en-CA,a year ago,2021-06-21 14:17:19.127916,5.0,317,"Great park with everything you could want, soccer, tennis, basketball, even a hockey rink in winter and summer.  Jungle gym, too."
26,Parc Grier,ChdDSUhNMG9nS0VJQ0FnSUNpeklhR2h3RRAB,Arsany Asad,https://www.google.com/maps/contrib/106798350219138422042/reviews?hl=en-CA,7 months ago,2021-06-21 14:17:19.130981,5.0,7,Best tennis court in the west island
27,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSURjajh5YUpBEAE,Dave Owers,https://www.google.com/maps/contrib/109011016621346665287/reviews?hl=en-CA,a year ago,2021-06-21 14:17:19.134275,5.0,130,"Nice park with a variety of play structures for kids, basketball nets, tennis courts"
28,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSURjZ3N2Ukl3EAE,thefast_rabbit,https://www.google.com/maps/contrib/113358113612706912689/reviews?hl=en-CA,a year ago,2021-06-21 14:17:19.136998,5.0,87,A lot of space for all sorts of activities. Recommend 100%
29,Parc Grier,ChdDSUhNMG9nS0VJQ0FnSURTdzVyNC1RRRAB,Filomena Decristofaro,https://www.google.com/maps/contrib/100270185243375204170/reviews?hl=en-CA,5 months ago,2021-06-21 14:17:19.138491,5.0,1,Beautiful park!
30,Parc Grier,ChZDSUhNMG9nS0VJQ0FnSUQwbEtuZVpBEAE,Hilary L. Archer,https://www.google.com/maps/contrib/102446904348355474253/reviews?hl=en-CA,a year ago,2021-06-21 14:17:19.139875,5.0,21,Love this park. Kids love to play here. And we always run into people we know or make new friends.
