,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Grovehill,ChZDSUhNMG9nS0VJQ0FnSUN5Z0thUU9nEAE,Mara Penate,https://www.google.com/maps/contrib/104723484903778571489/reviews?hl=en-CA,5 months ago,2021-06-21 14:19:35.361470,3.0,59,"Nice place in Lachine to take a walk, have some fun or enjoy some nature."
1,Parc Grovehill,ChdDSUhNMG9nS0VJQ0FnSURzOGEyVjlRRRAB,Rosa Isela,https://www.google.com/maps/contrib/103243460534498596292/reviews?hl=en-CA,a year ago,2021-06-21 14:19:35.363735,5.0,281,"Free sliding, family environment rosting marshmallows and drinking hot chocolate around the fire."
2,Parc Grovehill,ChZDSUhNMG9nS0VJQ0FnSUN5cnQ2SWJBEAE,James Laliberté,https://www.google.com/maps/contrib/113744036344871003929/reviews?hl=en-CA,4 months ago,2021-06-21 14:19:35.365932,4.0,1,So fun!!! Come in winter
3,Parc Grovehill,ChdDSUhNMG9nS0VJQ0FnSUN5MDlXbXZRRRAB,Elana Podvalniuk,https://www.google.com/maps/contrib/103009480919679690435/reviews?hl=en-CA,4 months ago,2021-06-21 14:19:35.368831,4.0,123,Locke snow mountain for sleds in the winter
4,Parc Grovehill,ChdDSUhNMG9nS0VJQ0FnSUQwdHMyWV9nRRAB,Ken Tf,https://www.google.com/maps/contrib/116275850634177347028/reviews?hl=en-CA,a year ago,2021-06-21 14:19:35.371870,3.0,85,Great place to because of the good size hill that can be used in summer spring winter and fall.my rating is actually 3 and a half  stars.The parking lot could use some maintenance as far as more gravel to prevent holes in the lot with big muddy puddles during rain ect.
5,Parc Grovehill,ChdDSUhNMG9nS0VJQ0FnSUNDOTV5T3VRRRAB,Francis DeGraaf,https://www.google.com/maps/contrib/106983088759818376183/reviews?hl=en-CA,9 months ago,2021-06-21 14:19:35.374619,4.0,24,Nice green space.
6,Parc Grovehill,ChZDSUhNMG9nS0VJQ0FnSUNvN3ZlS0hBEAE,James D'Silva,https://www.google.com/maps/contrib/115909025591525711003/reviews?hl=en-CA,2 years ago,2021-06-21 14:19:35.376730,5.0,48,"Great setup for families. Need more publicity on what is available & when. Limited hours for toddlers, but still great place to drop in during the winter"
7,Parc Grovehill,ChdDSUhNMG9nS0VJQ0FnSURzbUtDQmdnRRAB,Mark Anthony Mier,https://www.google.com/maps/contrib/101619237505234021483/reviews?hl=en-CA,a year ago,2021-06-21 14:19:35.378658,5.0,27,"Much improved with the benches, little shacks, washrooms , and even a snack shack!"
8,Parc Grovehill,ChZDSUhNMG9nS0VJQ0FnSUNzOExPR1V3EAE,Antoine couture,https://www.google.com/maps/contrib/107455227191509816993/reviews?hl=en-CA,a year ago,2021-06-21 14:19:35.380626,4.0,23,Love skating there at night its butifull
9,Parc Grovehill,ChZDSUhNMG9nS0VJQ0FnSUNBcmRTOVBBEAE,Ethan Negev,https://www.google.com/maps/contrib/100123902027509460261/reviews?hl=en-CA,3 years ago,2021-06-21 14:19:35.383479,4.0,83,"This place is fun. There is a skate park to play around,  there is 2 basketball courts to play some basketball. There is also a volley ball area to play volleyball and there is more. I come here all the time."
10,Parc Grovehill,ChZDSUhNMG9nS0VJQ0FnSURjMnNxUFV3EAE,Just Fabulously fabulous,https://www.google.com/maps/contrib/104319082102687025742/reviews?hl=en-CA,a year ago,2021-06-21 14:19:35.386232,5.0,387,Clean and good place to visit
11,Parc Grovehill,ChZDSUhNMG9nS0VJQ0FnSURBb0tidlJREAE,Jean-Michel Vincent,https://www.google.com/maps/contrib/116355484707648474741/reviews?hl=en-CA,4 years ago,2021-06-21 14:19:35.388912,4.0,4,Nice ball field no night lights.  300 feet fence with net.
12,Parc Grovehill,ChZDSUhNMG9nS0VJQ0FnSUNvdVlxY1NnEAE,Cedric Marchand,https://www.google.com/maps/contrib/114430553802634929231/reviews?hl=en-CA,2 years ago,2021-06-21 14:19:35.390247,3.0,12,"Awesome place to slide in the winter!

Locked and mostly unused soccerfield in the summer... quite a letdown."
13,Parc Grovehill,ChZDSUhNMG9nS0VJQ0FnSUM0X2NDMVpnEAE,Daniel Tango,https://www.google.com/maps/contrib/117735711081093089380/reviews?hl=en-CA,2 years ago,2021-06-21 14:19:35.391387,4.0,98,Nice green space with a skate park and a basball diamond
14,Parc Grovehill,ChdDSUhNMG9nS0VJQ0FnSUNRbnA2WjBRRRAB,Rasha Anfela,https://www.google.com/maps/contrib/111783320677553773228/reviews?hl=en-CA,3 years ago,2021-06-21 14:19:35.392574,4.0,154,It has great variety and scenery. I was disappointed the soccer field was chained off. What's the purpose of that?
15,Parc Grovehill,ChdDSUhNMG9nS0VJQ0FnSURnel8tWXlRRRAB,Jamie Schoel,https://www.google.com/maps/contrib/106736539944937367198/reviews?hl=en-CA,3 years ago,2021-06-21 14:19:35.393635,4.0,14,It was clean. What else can you say about a park. Unless it's a mess really.
16,Parc Grovehill,ChdDSUhNMG9nS0VJQ0FnSURTcGIyaTl3RRAB,Tyler Ball,https://www.google.com/maps/contrib/113470025056902028816/reviews?hl=en-CA,5 months ago,2021-06-21 14:19:35.394687,5.0,5,Lots of snow!
17,Parc Grovehill,ChZDSUhNMG9nS0VJQ0FnSUNBam9PZUlBEAE,David Cardinal,https://www.google.com/maps/contrib/100378522067183208726/reviews?hl=en-CA,3 years ago,2021-06-21 14:19:35.395684,3.0,4,"Lack of light on the beach volleyball courts, lack of sand of the beach courts (you hit the foundation through the sand in some places). But great place overall!"
18,Parc Grovehill,ChZDSUhNMG9nS0VJQ0FnSUNJMzdYeEpREAE,Igor Pivovar,https://www.google.com/maps/contrib/100437564816998521282/reviews?hl=en-CA,a year ago,2021-06-21 14:19:35.396974,5.0,447,Beautiful small park.
19,Parc Grovehill,ChdDSUhNMG9nS0VJQ0FnSUN3azdMejFBRRAB,Lisa James,https://www.google.com/maps/contrib/114685035752182252453/reviews?hl=en-CA,4 years ago,2021-06-21 14:19:35.398001,3.0,30,Huge sledding hill in the winter. Basketball court in the summer. Utilities close by.
20,Parc Grovehill,ChdDSUhNMG9nS0VJQ0FnSURBbkk3Szd3RRAB,Rami Negev,https://www.google.com/maps/contrib/116899233306623451284/reviews?hl=en-CA,3 years ago,2021-06-21 14:19:35.399153,4.0,58,"Small park with toboggan hill, baseball diamond, basketball  court and beach volleyball in summer.  Has a small skateboard ramp but lacks a rest room."
21,Parc Grovehill,ChdDSUhNMG9nS0VJQ0FnSUMwb3RHZ2d3RRAB,Kayitesi Aimee,https://www.google.com/maps/contrib/101569599680029863101/reviews?hl=en-CA,a year ago,2021-06-21 14:19:35.400420,5.0,26,"Nice place, for kids and grownups"
22,Parc Grovehill,ChdDSUhNMG9nS0VJQ0FnSUNva2R2bzZBRRAB,Bernard Nijdam,https://www.google.com/maps/contrib/109950002333300078101/reviews?hl=en-CA,2 years ago,2021-06-21 14:19:35.401519,1.0,23,A nightmare for when you want to go sliding unless you are walking distance go anywhere else
23,Parc Grovehill,ChZDSUhNMG9nS0VJQ0FnSUNNNTU2Vk9REAE,Misha G.,https://www.google.com/maps/contrib/111603376131032546187/reviews?hl=en-CA,a year ago,2021-06-21 14:19:35.402808,5.0,448,Pretty cool
24,Parc Grovehill,ChZDSUhNMG9nS0VJQ0FnSURVbTQtMWJREAE,Dima Moraru,https://www.google.com/maps/contrib/106254849478555776050/reviews?hl=en-CA,a year ago,2021-06-21 14:19:35.404078,5.0,426,Clean
25,Parc Grovehill,ChdDSUhNMG9nS0VJQ0FnSUNnM2FENl9RRRAB,Steven Chassé,https://www.google.com/maps/contrib/114537170329169545747/reviews?hl=en-CA,4 years ago,2021-06-21 14:19:35.405122,4.0,14,Nice hangout place
26,Parc Grovehill,ChdDSUhNMG9nS0VJQ0FnSUN5b0xfZ3RnRRAB,hicham nafi,https://www.google.com/maps/contrib/112209470743741421650/reviews?hl=en-CA,5 months ago,2021-06-21 14:19:35.406123,5.0,39,"(Translated by Google) Very fun park a lot of choice for kids

(Original)
Parc très amusant beaucoup de choix pour les enfants"
27,Parc Grovehill,ChZDSUhNMG9nS0VJQ0FnSUN5dU5MbExREAE,Olivier Morin,https://www.google.com/maps/contrib/110847894401689677770/reviews?hl=en-CA,5 months ago,2021-06-21 14:19:35.407686,5.0,6,"(Translated by Google) Beautiful slides nearby, a real pleasure for the whole family!

(Original)
De belles glissades à proximité, un réel plaisir pour toute la famille !"
