,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Guido-Nincheri,ChZDSUhNMG9nS0VJQ0FnSURjei03YUd3EAE,Qasem Elagez,https://www.google.com/maps/contrib/112093090945544612178/reviews?hl=en-CA,a year ago,2021-06-21 14:20:26.253920,5.0,21,Great nice park with lots of places to sit
1,Parc Guido-Nincheri,ChZDSUhNMG9nS0VJQ0FnSURRaFpXSEVREAE,Vg G,https://www.google.com/maps/contrib/114092399265107358982/reviews?hl=en-CA,3 years ago,2021-06-21 14:20:26.255835,4.0,755,Small park with ping pong table and benches. The swimming pool is just close by.
2,Parc Guido-Nincheri,ChZDSUhNMG9nS0VJQ0FnSURjdVpXX1RBEAE,Josh Silver,https://www.google.com/maps/contrib/109655699899244902923/reviews?hl=en-CA,a year ago,2021-06-21 14:20:26.257225,4.0,86,Beautiful waterfall entrance
3,Parc Guido-Nincheri,ChZDSUhNMG9nS0VJQ0FnSURVczhQQ05nEAE,Renaud Pouliot,https://www.google.com/maps/contrib/104264909901267428286/reviews?hl=en-CA,a year ago,2021-06-21 14:20:26.258889,5.0,50,Cool skate spot
4,Parc Guido-Nincheri,ChZDSUhNMG9nS0VJQ0FnSURjdVl5d0Z3EAE,Christian Bergeron,https://www.google.com/maps/contrib/112666553559403496990/reviews?hl=en-CA,a year ago,2021-06-21 14:20:26.260358,4.0,10,"(Translated by Google) Nice little simple and well maintained park. Perfect for a break after a walk or a bike.

(Original)
Beau petit parc simple et bien entretenu. Parfait pour une pause suite à une marche ou du vélo."
5,Parc Guido-Nincheri,ChdDSUhNMG9nS0VJQ0FnSUNjci12cDNnRRAB,Alain Johnson,https://www.google.com/maps/contrib/105982048539596755781/reviews?hl=en-CA,a year ago,2021-06-21 14:20:26.262311,4.0,247,"(Translated by Google) Very beautiful modern and dynamic development which replaces the intersection of rue Rachel and Pie IX in memory of an unknown painter and master glassmaker. Original sculptures from the gift walk for athletes from Quebec City for the 350 th anniversary of Montreal

(Original)
Très bel aménagement moderne et dynamique qui remplace l'intersection de la rue Rachel et Pie IX en mémoire d'un peintre et maître verrier méconnu. Sculptures originales de la promenade des athlètes cadeau de la Ville de Québec offerte pour le 350 ième de Montréal"
6,Parc Guido-Nincheri,ChZDSUhNMG9nS0VJQ0FnSURVeDRIZGNBEAE,Marie Lou Thomas,https://www.google.com/maps/contrib/102005325794509901128/reviews?hl=en-CA,a year ago,2021-06-21 14:20:26.264224,3.0,75,"(Translated by Google) Personally I do not find this park very pretty but it is always better than concrete.

(Original)
Perso je ne trouve pas ce parc très joli mais c'est toujours mieux que du béton."
7,Parc Guido-Nincheri,ChZDSUhNMG9nS0VJQ0FnSUNZcDdySFZREAE,Thierry Christian,https://www.google.com/maps/contrib/115905497964382242023/reviews?hl=en-CA,2 years ago,2021-06-21 14:20:26.266131,5.0,97,"(Translated by Google) In this park, there is a sculptural ensemble that represents the links between Quebec and Montreal. Four teenagers in sportswear stand on collars of classic inspiration. They are part of an imaginary team whose uniform numbers represent great moments in the history of Quebec: the founding of Quebec City (1608), the founding of Montreal (1642), the Montreal World's Fair Expo 67 (1967) and the Olympic Games (1976). Each cast aluminum column is engraved with artistic symbols inspired by Laurentian and Nordic nature.

(Original)
Dans ce parc, il y a un ensemble sculptural qui représente les liens entre Québec et Montréal. Quatre adolescents en tenue sportive se dressent sur des collones d'inspiratyion classique. Ils font partie d'une équipe imaginaire dont les numéros d'uniformes représentent de grands moments de l'histoire du Québec: la fondation de la ville de Québec (1608), la fondation de Montréal (1642), l'Exposition universelle de Montréal, Expo 67 (1967) et les Jeux olympiques (1976). Chaque colonne en aluminium moulé est gravée de symboles artistiques inspirés de la nature laurentienne et nordique."
8,Parc Guido-Nincheri,ChZDSUhNMG9nS0VJQ0FnSURvZ3NDdlJREAE,David Lothar,https://www.google.com/maps/contrib/104086549758516649272/reviews?hl=en-CA,2 years ago,2021-06-21 14:20:26.268036,1.0,96,"(Translated by Google) Bad snow for pedestrians

(Original)
Mal déneigé pour les piétons"
9,Parc Guido-Nincheri,ChdDSUhNMG9nS0VJQ0FnSURjbGJmRG1BRRAB,Globule Agrumes,https://www.google.com/maps/contrib/108391267602700261080/reviews?hl=en-CA,a year ago,2021-06-21 14:20:26.269932,3.0,455,"(Translated by Google) A place to relax ...

(Original)
Un endroit où relaxer..."
