,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Guillaume-Couture,ChdDSUhNMG9nS0VJQ0FnSUM4dlp5ZC1nRRAB,Nancyl Edouard,https://www.google.com/maps/contrib/111348891074640123213/reviews?hl=en-US,11 months ago,2021-06-23 11:56:06.503870,4.0,7,Doing ⚽️  for kids with Sports ball. Awesome
1,Parc Guillaume-Couture,ChZDSUhNMG9nS0VJQ0FnSUQ4NmY3V1FBEAE,Raymundo Sanchez,https://www.google.com/maps/contrib/116723707604266921194/reviews?hl=en-US,11 months ago,2021-06-23 11:56:06.504828,4.0,80,Cute small park
2,Parc Guillaume-Couture,ChdDSUhNMG9nS0VJQ0FnSUNVcS1ieWtRRRAB,Tahmidur Rahman,https://www.google.com/maps/contrib/108772308019540778890/reviews?hl=en-US,a year ago,2021-06-23 11:56:06.505756,5.0,1,Beautiful compact park
3,Parc Guillaume-Couture,ChZDSUhNMG9nS0VJQ0FnSUN3ek1yM1F3EAE,Leonardo Aboud,https://www.google.com/maps/contrib/109872960522373858546/reviews?hl=en-US,3 years ago,2021-06-23 11:56:06.506676,5.0,26,Really good place.
4,Parc Guillaume-Couture,ChdDSUhNMG9nS0VJQ0FnSURRajZHNWpBRRAB,Angelo Bentivegna,https://www.google.com/maps/contrib/112780800206643732541/reviews?hl=en-US,2 years ago,2021-06-23 11:56:06.507698,4.0,45,Nice little park
5,Parc Guillaume-Couture,ChZDSUhNMG9nS0VJQ0FnSUM4NXRPZVlBEAE,Gaetano Rosato,https://www.google.com/maps/contrib/101662876274777319286/reviews?hl=en-US,11 months ago,2021-06-23 11:56:06.508604,5.0,5,Great
6,Parc Guillaume-Couture,ChdDSUhNMG9nS0VJQ0FnSUNBeWJYQmd3RRAB,Mohamed Reab Zakkour,https://www.google.com/maps/contrib/114689097918088140161/reviews?hl=en-US,3 years ago,2021-06-23 11:56:06.509503,4.0,10,Good
7,Parc Guillaume-Couture,ChZDSUhNMG9nS0VJQ0FnSURDMVlLaGR3EAE,Vanessa Tremblay,https://www.google.com/maps/contrib/116307651564548360757/reviews?hl=en-US,8 months ago,2021-06-23 11:56:06.510395,5.0,12,(Translated by Google) Notice for those under 5 years old. My 18 month old son loves going to this park. He has fun with modules from 2 to 5 years old. They like to play with the other children who go there. The other parents are very nice …
8,Parc Guillaume-Couture,ChdDSUhNMG9nS0VJQ0FnSUNLNnYybnpRRRAB,Dani B.,https://www.google.com/maps/contrib/106243044498352609200/reviews?hl=en-US,2 months ago,2021-06-23 11:56:06.511296,5.0,51,"(Translated by Google) Bonn small park for children and there is a public swimming pool

(Original)
Bonn petite parc pour les enfants et il y a une piscine public"
9,Parc Guillaume-Couture,ChZDSUhNMG9nS0VJQ0FnSUNLNGNuZlhBEAE,Molosse De Glace,https://www.google.com/maps/contrib/110151605617060516137/reviews?hl=en-US,2 months ago,2021-06-23 11:56:06.512155,4.0,7,"(Translated by Google) There is a lack of games for children and it will take water games thank you

(Original)
Il manque  des jeux  pour  les enfants  et il faudra  des jeux  d'eau  merci"
