,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUNxMF96NXpBRRAB,Mauro Peña,https://www.google.com/maps/contrib/105614546613626861622/reviews?hl=en-US,5 days ago,2021-06-23 13:47:40.440832,4.0,27,"Mad decent parc, right by the Canal, just missing a bit more trees in certain parts that feel exposed on sunny days."
1,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUNxLTRxdXNRRRAB,George Sutherland,https://www.google.com/maps/contrib/110952161087642063542/reviews?hl=en-US,3 days ago,2021-06-23 13:47:40.441852,4.0,153,Beautiful linear parc near the canal. Camouflaged heron doing some fishing.
2,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUNxZ05ybDRRRRAB,Kevin Collie,https://www.google.com/maps/contrib/114756947688435413410/reviews?hl=en-US,a month ago,2021-06-23 13:47:40.442780,4.0,250,Sweet little spot by the canal for a picnic. There have been quite a few people here during the pandemic (to keep in mind)
3,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUN3a19DbnNRRRAB,Amélia Koeppel,https://www.google.com/maps/contrib/110592290476506092587/reviews?hl=en-US,3 years ago,2021-06-23 13:47:40.443923,5.0,33,Nice place to relax
4,Parc Gédéon-De Catalogne,ChZDSUhNMG9nS0VJQ0FnSUNxaGZDWkZREAE,Marco Stacey,https://www.google.com/maps/contrib/106646244552155021719/reviews?hl=en-US,a week ago,2021-06-23 13:47:40.444872,4.0,42,Good place to sit and relax and wonder where it all went wrong
5,Parc Gédéon-De Catalogne,ChZDSUhNMG9nS0VJQ0FnSURLOUpiMEdBEAE,Milad Mokhtari,https://www.google.com/maps/contrib/114912814666021331897/reviews?hl=en-US,a month ago,2021-06-23 13:47:40.445811,5.0,39,Well located park. There's a Bixi station right next to it.
6,Parc Gédéon-De Catalogne,ChZDSUhNMG9nS0VJQ0FnSURDbExQWmVnEAE,Anka Kochanowska,https://www.google.com/maps/contrib/113332825003217357816/reviews?hl=en-US,9 months ago,2021-06-23 13:47:40.446746,4.0,11,"No picnic tables, otherwise nice."
7,Parc Gédéon-De Catalogne,ChZDSUhNMG9nS0VJQ0FnSUNzNy1DTmNREAE,adam crawford,https://www.google.com/maps/contrib/101953586133650180254/reviews?hl=en-US,a year ago,2021-06-23 13:47:40.447712,4.0,130,1 of my fav parts of the city. Beautiful residential area near the water and close to Atwater market
8,Parc Gédéon-De Catalogne,ChZDSUhNMG9nS0VJQ0FnSURjbXRPLUVBEAE,Ghost Ghost,https://www.google.com/maps/contrib/101550154874183898662/reviews?hl=en-US,a year ago,2021-06-23 13:47:40.448643,5.0,58,Nice day clean park
9,Parc Gédéon-De Catalogne,ChZDSUhNMG9nS0VJQ0FnSURndmJPWFVBEAE,Gemechu Fanta Garuma,https://www.google.com/maps/contrib/117249781922832996368/reviews?hl=en-US,3 years ago,2021-06-23 13:47:40.449572,4.0,68,Cool place to breath good oxygen from the park trees and escape from the noises.
10,Parc Gédéon-De Catalogne,ChZDSUhNMG9nS0VJQ0FnSUNDdkxpNlV3EAE,Dan Poenaru,https://www.google.com/maps/contrib/103436591463788881266/reviews?hl=en-US,10 months ago,2021-06-23 13:47:40.450505,4.0,204,Nice and peaceful
11,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSURVNzVhMzl3RRAB,Milne Kerry,https://www.google.com/maps/contrib/105352830536512587046/reviews?hl=en-US,a year ago,2021-06-23 13:47:40.451436,5.0,28,The sunset is beautiful here.
12,Parc Gédéon-De Catalogne,ChZDSUhNMG9nS0VJQ0FnSURRcVBYNU9REAE,Alpha Sow,https://www.google.com/maps/contrib/113979550831676506878/reviews?hl=en-US,3 years ago,2021-06-23 13:47:40.452363,3.0,37,Nice parc. Kids like play there.
13,Parc Gédéon-De Catalogne,ChZDSUhNMG9nS0VJQ0FnSURRaFpyd0RREAE,Vg G,https://www.google.com/maps/contrib/114092399265107358982/reviews?hl=en-US,3 years ago,2021-06-23 13:47:40.453294,4.0,755,Beautiful park.
14,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUNRX2Jib3h3RRAB,Ankush Lamba,https://www.google.com/maps/contrib/102124638403905495927/reviews?hl=en-US,3 years ago,2021-06-23 13:47:40.454223,4.0,171,Bike next to the canal
15,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSURnM3VYZXdnRRAB,Vikrant Tomar,https://www.google.com/maps/contrib/116587254364459103281/reviews?hl=en-US,4 years ago,2021-06-23 13:47:40.455156,3.0,162,Cool spot beside the canal.
16,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUNnaGFuMjRnRRAB,PAULO R,https://www.google.com/maps/contrib/102349047475617652843/reviews?hl=en-US,4 years ago,2021-06-23 13:47:40.456085,3.0,104,Good green space in a crowded area
17,Parc Gédéon-De Catalogne,ChZDSUhNMG9nS0VJQ0FnSUNxem8yV1J3EAE,Alexia Khaou,https://www.google.com/maps/contrib/109211130463450937610/reviews?hl=en-US,2 weeks ago,2021-06-23 13:47:40.457023,5.0,76,"(Translated by Google) Spaced and pleasant cycle track to pass on all the length of the canal!

(Original)
Piste cycliste espacée et agréable à passer sur tout le long du canal !"
18,Parc Gédéon-De Catalogne,ChZDSUhNMG9nS0VJQ0FnSUNxbVpQd2NREAE,The Great,https://www.google.com/maps/contrib/118296807087458867409/reviews?hl=en-US,a week ago,2021-06-23 13:47:40.457957,4.0,142,"(Translated by Google) Tranquility

(Original)
Tranquillité"
19,Parc Gédéon-De Catalogne,ChZDSUhNMG9nS0VJQ0FnSUN5aFpEYU1REAE,so lit “raggamuffinjojo” the so lit family,https://www.google.com/maps/contrib/113238085529400679385/reviews?hl=en-US,4 months ago,2021-06-23 13:47:40.458883,5.0,49,"(Translated by Google) Great for sneaking nicking

(Original)
Super pour faire du nicking en douce"
20,Parc Gédéon-De Catalogne,ChZDSUhNMG9nS0VJQ0FnSURVOC0ybll3EAE,Yoann Lussier,https://www.google.com/maps/contrib/108366424979984064344/reviews?hl=en-US,a year ago,2021-06-23 13:47:40.459814,5.0,3,"(Translated by Google) Very peaceful place and little achalendé. If you find yourself on Notre Dame and want to admire the Lachine Canal this green plot is a good choice. Here, find peace in St-Henri where the gentrified buildings of the Montréal revival are growing.

(Original)
Endroit très paisible et peu achalendé. Si vous vous retrouvez sur Notre-Dame et que vous désirez admirer le Canal Lachine cette parcelle de terrain vert est un bon choix. Ici, trouver la paix dans St-Henri où croissent les bâtiments gentrifiés du renouveau montréalais."
21,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUQwMk9MbXpnRRAB,Colette Martel,https://www.google.com/maps/contrib/106077272927243763533/reviews?hl=en-US,a year ago,2021-06-23 13:47:40.460746,5.0,23,"(Translated by Google) Beautiful little park to appreciate the nature.

(Original)
Beau petit parc pour apprécier la nature."
22,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSURBMzhyOTF3RRAB,Gilles Laurin,https://www.google.com/maps/contrib/100650535670502651131/reviews?hl=en-US,3 years ago,2021-06-23 13:47:40.461672,4.0,184,"(Translated by Google) Good day xoxo WOW Youppi xoxo. ..

(Original)
Bonne journée xoxo WOW Youppi xoxo. .."
23,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUNpcXNyRzlBRRAB,Diane Beauregard,https://www.google.com/maps/contrib/112650831400483022938/reviews?hl=en-US,7 months ago,2021-06-23 13:47:40.462602,5.0,71,"(Translated by Google) Detachment connection

(Original)
Connexion détachement"
24,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSURNODdIWmpnRRAB,M Pariente,https://www.google.com/maps/contrib/106758872167602404675/reviews?hl=en-US,a year ago,2021-06-23 13:47:40.463530,4.0,625,"(Translated by Google) Under construction for 2 years

(Original)
En construction depuis 2 ans"
25,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUNBMzhLZHJBRRAB,François Legris,https://www.google.com/maps/contrib/112238039562576386525/reviews?hl=en-US,3 years ago,2021-06-23 13:47:40.464466,4.0,420,"(Translated by Google) Quiet.

(Original)
Tranquille."
26,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUNnb1l2Ml9RRRAB,Stéphane Dupupet,https://www.google.com/maps/contrib/116492557857912212939/reviews?hl=en-US,4 years ago,2021-06-23 13:47:40.465396,4.0,6,
27,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSURncU1leTlBRRAB,S.B.M,https://www.google.com/maps/contrib/108070579158667394971/reviews?hl=en-US,3 years ago,2021-06-23 13:47:40.466327,5.0,12,
28,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSURjNXFxSzhRRRAB,ARCHER *.,https://www.google.com/maps/contrib/115340214543246878124/reviews?hl=en-US,a year ago,2021-06-23 13:47:40.467253,3.0,17,
29,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSURVNlozVDRnRRAB,Virginia Lareau,https://www.google.com/maps/contrib/104739325050828893799/reviews?hl=en-US,a year ago,2021-06-23 13:47:40.468178,5.0,7,
30,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUN3b0xqcjNRRRAB,Juyeon JEON,https://www.google.com/maps/contrib/116606737542808470655/reviews?hl=en-US,3 years ago,2021-06-23 13:47:40.469105,3.0,1,
31,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSURLNkxYbDNRRRAB,Yanick Aubry,https://www.google.com/maps/contrib/116151958069392869656/reviews?hl=en-US,a month ago,2021-06-23 13:47:40.470042,4.0,200,
32,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUNxN1lyazJ3RRAB,Shriyans Athalye,https://www.google.com/maps/contrib/117988682900139838082/reviews?hl=en-US,a week ago,2021-06-23 13:47:40.470964,4.0,1,
33,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSURRck9PeTFBRRAB,Sophie Lamarche,https://www.google.com/maps/contrib/116372383620738886709/reviews?hl=en-US,2 years ago,2021-06-23 13:47:40.472003,4.0,158,
34,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSURLejVfdHdRRRAB,Gary Mac Donald,https://www.google.com/maps/contrib/107782671826047856038/reviews?hl=en-US,a month ago,2021-06-23 13:47:40.473046,5.0,0,
35,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUNDdHQzcHZBRRAB,Sai Krishna,https://www.google.com/maps/contrib/108796856915237968239/reviews?hl=en-US,10 months ago,2021-06-23 13:47:40.473971,5.0,31,
36,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUNxNmNQcXNBRRAB,Niki Lovely,https://www.google.com/maps/contrib/108776539013420787091/reviews?hl=en-US,a week ago,2021-06-23 13:47:40.475059,5.0,15,
37,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUM4OU9PWHJ3RRAB,Ace Moutaouakil,https://www.google.com/maps/contrib/105122944188402659370/reviews?hl=en-US,11 months ago,2021-06-23 13:47:40.476076,5.0,11,
38,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSURBczZmVXJBRRAB,Patof Clown,https://www.google.com/maps/contrib/112755602531840386934/reviews?hl=en-US,2 years ago,2021-06-23 13:47:40.477142,5.0,0,
39,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSURRdWU2NnBBRRAB,Phaidra Duchastel-Vassaramva,https://www.google.com/maps/contrib/100467325615412963141/reviews?hl=en-US,3 years ago,2021-06-23 13:47:40.478248,4.0,143,
40,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUR5bEpHRW9BRRAB,mohamed sefraoui,https://www.google.com/maps/contrib/105590833120819626454/reviews?hl=en-US,3 months ago,2021-06-23 13:47:40.479500,5.0,1,
41,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUM4X0kzeG53RRAB,dc productions,https://www.google.com/maps/contrib/113938059038366477066/reviews?hl=en-US,11 months ago,2021-06-23 13:47:40.480495,5.0,1,
42,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUNnOGV1cG53RRAB,AFknUsername,https://www.google.com/maps/contrib/104944095383201550929/reviews?hl=en-US,4 years ago,2021-06-23 13:47:40.483078,3.0,32,
43,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSURjdzkzX25nRRAB,Anguel Houbenov,https://www.google.com/maps/contrib/101876558556360127196/reviews?hl=en-US,a year ago,2021-06-23 13:47:40.486136,5.0,2,
44,Parc Gédéon-De Catalogne,ChdDSUhNMG9nS0VJQ0FnSUNxanNMZG5RRRAB,Michel Léveillée,https://www.google.com/maps/contrib/107954188163450171375/reviews?hl=en-US,2 weeks ago,2021-06-23 13:47:40.488939,5.0,0,
45,Parc Gédéon-De Catalogne,ChZDSUhNMG9nS0VJQ0FnSURBMjdTX2ZnEAE,Aaron Zhao,https://www.google.com/maps/contrib/109044718023381128059/reviews?hl=en-US,3 years ago,2021-06-23 13:47:40.497189,5.0,2,
46,Parc Gédéon-De Catalogne,ChZDSUhNMG9nS0VJQ0FnSUNxOE0tZ2ZBEAE,Sahara Ess,https://www.google.com/maps/contrib/103563179744800493114/reviews?hl=en-US,4 weeks ago,2021-06-23 13:47:40.499383,5.0,5,
47,Parc Gédéon-De Catalogne,ChZDSUhNMG9nS0VJQ0FnSUNRaGZfZ2VREAE,Jorge León,https://www.google.com/maps/contrib/117040114484429096847/reviews?hl=en-US,4 years ago,2021-06-23 13:47:40.502619,5.0,17,
48,Parc Gédéon-De Catalogne,ChZDSUhNMG9nS0VJQ0FnSUNxNGFuYWFnEAE,vincent bouhard,https://www.google.com/maps/contrib/112835770831706525817/reviews?hl=en-US,a week ago,2021-06-23 13:47:40.503779,5.0,6,
