,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Herbert-Outerbridge,ChZDSUhNMG9nS0VJQ0FnSUM0dWNXemZREAE,Gunnar Heiberg,https://www.google.com/maps/contrib/110400695524318828684/reviews?hl=en-CA,2 years ago,2021-06-21 16:39:53.346860,3.0,47,"Nice but small, has benches picnic tables, trash cans, and bike racks with a recycling bin area. Trees for shade and space for sun."
1,Parc Herbert-Outerbridge,ChZDSUhNMG9nS0VJQ0FnSUMwc2JfYkVREAE,Domingo Amarillo-Brillantes,https://www.google.com/maps/contrib/104604176920272933356/reviews?hl=en-CA,a year ago,2021-06-21 16:39:53.347898,2.0,466,Always nice to have a park even if it's small.
2,Parc Herbert-Outerbridge,ChdDSUhNMG9nS0VJQ0FnSUNVc042X3J3RRAB,Robert J Dunn,https://www.google.com/maps/contrib/100679267685447433969/reviews?hl=en-CA,a year ago,2021-06-21 16:39:53.348851,4.0,57,"Small little  park , good for a sit down.  Lots of shade."
3,Parc Herbert-Outerbridge,ChdDSUhNMG9nS0VJQ0FnSUNBNjV5TjRBRRAB,Oscar J. Acosta,https://www.google.com/maps/contrib/113883076459331265165/reviews?hl=en-CA,3 years ago,2021-06-21 16:39:53.349775,3.0,237,"Nice little park to chill out and relax, it has a few composters and a few cute little paths. Great for short meditative walks."
4,Parc Herbert-Outerbridge,ChdDSUhNMG9nS0VJQ0FnSUN3MU1TQ3RnRRAB,SOOWOONG CHO (coolpilot),https://www.google.com/maps/contrib/107023277692936734204/reviews?hl=en-CA,4 years ago,2021-06-21 16:39:53.350694,5.0,193,Beautiful big trees and benches where you can take a rest with kids and dogs. There are Benny library and indoor swimming pool not far away.
5,Parc Herbert-Outerbridge,ChZDSUhNMG9nS0VJQ0FnSUNROEsyZVZnEAE,Alena Kastsiukevich,https://www.google.com/maps/contrib/105924133863595336216/reviews?hl=en-CA,3 years ago,2021-06-21 16:39:53.351684,5.0,38,It's a good place for children. It's very calm and peaceful.
6,Parc Herbert-Outerbridge,ChdDSUhNMG9nS0VJQ0FnSUNnM29LTGh3RRAB,Nara,https://www.google.com/maps/contrib/102181079316162644790/reviews?hl=en-CA,3 years ago,2021-06-21 16:39:53.352609,5.0,13,"Small, but I love it in the spring because of the blooming trees"
7,Parc Herbert-Outerbridge,ChdDSUhNMG9nS0VJQ0FnSUNNemVUVDB3RRAB,Jean-Michel Matte,https://www.google.com/maps/contrib/106485197875932034557/reviews?hl=en-CA,a year ago,2021-06-21 16:39:53.353539,5.0,13,Great park.
8,Parc Herbert-Outerbridge,ChdDSUhNMG9nS0VJQ0FnSUNRbEtTYWxBRRAB,Don Redmond,https://www.google.com/maps/contrib/114861642908366363035/reviews?hl=en-CA,5 years ago,2021-06-21 16:39:53.354589,4.0,131,A beautiful place to hand out and relax
9,Parc Herbert-Outerbridge,ChZDSUhNMG9nS0VJQ0FnSUN3dUlQOUd3EAE,The Walking PotHead,https://www.google.com/maps/contrib/101519673418192145913/reviews?hl=en-CA,4 years ago,2021-06-21 16:39:53.355522,3.0,55,Nice parc
10,Parc Herbert-Outerbridge,ChdDSUhNMG9nS0VJQ0FnSUN5bkppTHR3RRAB,Arrasoumane Stephane Saba,https://www.google.com/maps/contrib/116994441434380542345/reviews?hl=en-CA,4 months ago,2021-06-21 16:39:53.356466,5.0,6,"(Translated by Google) A small quiet park in the heart of NDG

(Original)
Un petit parc calme au cœur NDG"
11,Parc Herbert-Outerbridge,ChZDSUhNMG9nS0VJQ0FnSUM0Nk9TTktnEAE,Liliane Synnott,https://www.google.com/maps/contrib/112536099053113575401/reviews?hl=en-CA,2 years ago,2021-06-21 16:39:53.357674,3.0,135,"(Translated by Google) Delicious apple trees in May / June

(Original)
Délicieux pommiers décoratifs en mai/juin"
12,Parc Herbert-Outerbridge,ChZDSUhNMG9nS0VJQ0FnSUNnOExQdUpBEAE,Valeriu Tihai,https://www.google.com/maps/contrib/106077873424472551858/reviews?hl=en-CA,5 years ago,2021-06-21 16:39:53.358698,4.0,69,"(Translated by Google) Little and cute.

(Original)
Mic și drăguț."
13,Parc Herbert-Outerbridge,ChdDSUhNMG9nS0VJQ0FnSUM0cUpfQS13RRAB,mojtaba fallah,https://www.google.com/maps/contrib/115050418186156188730/reviews?hl=en-CA,2 years ago,2021-06-21 16:39:53.359848,3.0,1,
