,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Highlands,ChdDSUhNMG9nS0VJQ0FnSUNvX3BQTjh3RRAB,pierre clavette,https://www.google.com/maps/contrib/104406335051916899595/reviews?hl=en-US,2 years ago,2021-06-24 10:58:05.051000,5.0,48,
1,Parc Highlands,ChdDSUhNMG9nS0VJQ0FnSUNBNTlHZDh3RRAB,Mathieu Malette,https://www.google.com/maps/contrib/112260603550529253252/reviews?hl=en-US,3 years ago,2021-06-24 10:58:05.052048,3.0,138,
2,Parc Highlands,ChdDSUhNMG9nS0VJQ0FnSUMweFB6RDZ3RRAB,mike brousseau,https://www.google.com/maps/contrib/109544360345860816379/reviews?hl=en-US,a year ago,2021-06-24 10:58:05.052984,5.0,7,
3,Parc Highlands,ChdDSUhNMG9nS0VJQ0FnSUNpMjVDdzR3RRAB,pamela davy,https://www.google.com/maps/contrib/114138423001526564790/reviews?hl=en-US,7 months ago,2021-06-24 10:58:05.053921,4.0,10,
4,Parc Highlands,ChdDSUhNMG9nS0VJQ0FnSUN5dGZqZzFRRRAB,Luke,https://www.google.com/maps/contrib/106266070432727070319/reviews?hl=en-US,4 months ago,2021-06-24 10:58:05.054931,1.0,104,
5,Parc Highlands,ChdDSUhNMG9nS0VJQ0FnSUNVeF9QTHZ3RRAB,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-US,4 years ago,2021-06-24 10:58:05.056209,4.0,140,
6,Parc Highlands,ChdDSUhNMG9nS0VJQ0FnSUNZcWFxX2xBRRAB,Jason Dawes,https://www.google.com/maps/contrib/116932854831601763697/reviews?hl=en-US,2 years ago,2021-06-24 10:58:05.057261,4.0,22,
7,Parc Highlands,ChdDSUhNMG9nS0VJQ0FnSUM0MmZ6Q2tBRRAB,francois cayer,https://www.google.com/maps/contrib/106817299079243195875/reviews?hl=en-US,2 years ago,2021-06-24 10:58:05.058209,3.0,27,
8,Parc Highlands,ChdDSUhNMG9nS0VJQ0FnSUN3cGFQbGlRRRAB,Christine Lapierre,https://www.google.com/maps/contrib/104270319629323445246/reviews?hl=en-US,4 years ago,2021-06-24 10:58:05.059216,2.0,25,
9,Parc Highlands,ChZDSUhNMG9nS0VJQ0FnSUNZMTZYOEx3EAE,Claudine Roy,https://www.google.com/maps/contrib/107925566561354523362/reviews?hl=en-US,2 years ago,2021-06-24 10:58:05.060197,4.0,21,
10,Parc Highlands,ChZDSUhNMG9nS0VJQ0FnSURJeGV5TklBEAE,Eric Brind'Amour,https://www.google.com/maps/contrib/109978809014781919864/reviews?hl=en-US,2 years ago,2021-06-24 10:58:05.061343,5.0,22,
11,Parc Highlands,ChZDSUhNMG9nS0VJQ0FnSURBeDVqcEdREAE,Émile Benoit-Faille,https://www.google.com/maps/contrib/100599169177632402891/reviews?hl=en-US,3 years ago,2021-06-24 10:58:05.062280,5.0,4,
