,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Hirsch-Wolofsky,ChdDSUhNMG9nS0VJQ0FnSURLOWFiWjJnRRAB,Behrooz Ebrahimi,https://www.google.com/maps/contrib/115460043799043348029/reviews?hl=en-CA,a month ago,2021-06-21 16:41:05.577790,4.0,45,"Smallest park I've ever seen, and it has a playground too 😁 Not to mention smallest playground I've ever seen 🙂"
1,Parc Hirsch-Wolofsky,ChZDSUhNMG9nS0VJQ0FnSURVZ3RDWFhBEAE,Andrei Sereda,https://www.google.com/maps/contrib/116974770865143809578/reviews?hl=en-CA,a year ago,2021-06-21 16:41:05.578717,1.0,7,Its not a park
2,Parc Hirsch-Wolofsky,ChdDSUhNMG9nS0VJQ0FnSURVOU9MMDFnRRAB,Joey C,https://www.google.com/maps/contrib/101123123622885511487/reviews?hl=en-CA,a year ago,2021-06-21 16:41:05.579647,1.0,105,Small and limited
3,Parc Hirsch-Wolofsky,ChdDSUhNMG9nS0VJQ0FnSURZbTRuVjdRRRAB,Beatriz Trejo Treviño,https://www.google.com/maps/contrib/100926480018664037248/reviews?hl=en-CA,2 years ago,2021-06-21 16:41:05.580570,4.0,178,"(Translated by Google) Small .. Pretty ... quiet ... to sunbathe ... observe squirrel wings. Or simply read without so much noise ..

(Original)
Pequeño.. Bonito..tranquilo..para tomar el sol...observar alas ardillas.o simplete leer sin tanto ruido.."
4,Parc Hirsch-Wolofsky,ChdDSUhNMG9nS0VJQ0FnSUNBdy1QdS1BRRAB,Guillaume Mignot,https://www.google.com/maps/contrib/117998663233724117020/reviews?hl=en-CA,3 years ago,2021-06-21 16:41:05.581602,3.0,0,
5,Parc Hirsch-Wolofsky,ChdDSUhNMG9nS0VJQ0FnSURDOGZPVjFRRRAB,perry fogel,https://www.google.com/maps/contrib/108104922868579313868/reviews?hl=en-CA,8 months ago,2021-06-21 16:41:05.582521,5.0,1,
6,Parc Hirsch-Wolofsky,ChdDSUhNMG9nS0VJQ0FnSUN3bzczRDBRRRAB,Elena Sanguino,https://www.google.com/maps/contrib/117555127365639297061/reviews?hl=en-CA,3 years ago,2021-06-21 16:41:05.583453,5.0,33,
7,Parc Hirsch-Wolofsky,ChdDSUhNMG9nS0VJQ0FnSUNVX2E2R3NRRRAB,Patrice Moss,https://www.google.com/maps/contrib/117486684763595513382/reviews?hl=en-CA,a year ago,2021-06-21 16:41:05.584431,1.0,50,
8,Parc Hirsch-Wolofsky,ChdDSUhNMG9nS0VJQ0FnSURJcWRMRWxBRRAB,Julien RICHARD,https://www.google.com/maps/contrib/100098969762227361924/reviews?hl=en-CA,2 years ago,2021-06-21 16:41:05.585371,5.0,70,
9,Parc Hirsch-Wolofsky,ChZDSUhNMG9nS0VJQ0FnSUNNcTludGJBEAE,Esteves Emilia,https://www.google.com/maps/contrib/102388420431244981359/reviews?hl=en-CA,a year ago,2021-06-21 16:41:05.586297,3.0,28,
10,Parc Hirsch-Wolofsky,ChZDSUhNMG9nS0VJQ0FnSURLamZURlNBEAE,Michael Malone,https://www.google.com/maps/contrib/111688945165591346095/reviews?hl=en-CA,a month ago,2021-06-21 16:41:05.587216,5.0,277,
