,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Hochelaga,ChZDSUhNMG9nS0VJQ0FnSUNpaTdMaU1BEAE,Jeremy Breau,https://www.google.com/maps/contrib/106847068318263952139/reviews?hl=en-CA,7 months ago,2021-06-21 22:02:22.452332,5.0,4,"This is very chill. Only 3 picnic tables but can easily accommodate you and a few friends.

It easily gives off a feeling of nostalgia because kids play in this park like it was the 90's.

People bring their instruments to play in the park and some people have their radio blasting 90's punk music while other people practice on their skate boards.

As older person... this oddly felt comforting. It's a really nice park."
1,Parc Hochelaga,ChZDSUhNMG9nS0VJQ0FnSURrMGNYUFBREAE,Solecitosays,https://www.google.com/maps/contrib/108798097057039465587/reviews?hl=en-CA,a year ago,2021-06-21 22:02:22.453419,5.0,322,Nice and quiet parc. I enjoyed a lot my first visit.
2,Parc Hochelaga,ChZDSUhNMG9nS0VJQ0FnSUNxd0tXZlZ3EAE,Tatiana Becerra,https://www.google.com/maps/contrib/116301054847574191349/reviews?hl=en-CA,4 weeks ago,2021-06-21 22:02:22.454349,4.0,61,It's a small but nice park
3,Parc Hochelaga,ChdDSUhNMG9nS0VJQ0FnSURZa3VYMzd3RRAB,Gaëtan Trellu,https://www.google.com/maps/contrib/106696269068896465161/reviews?hl=en-CA,10 months ago,2021-06-21 22:02:22.455278,4.0,274,"Very cool for kids, water games and playground!"
4,Parc Hochelaga,ChZDSUhNMG9nS0VJQ0FnSUNDeFBqY0dnEAE,Annabelle Pare,https://www.google.com/maps/contrib/108811614704393524606/reviews?hl=en-CA,10 months ago,2021-06-21 22:02:22.456223,4.0,52,good for kids but should be renovated soon
5,Parc Hochelaga,ChdDSUhNMG9nS0VJQ0FnSUM0LWJDWm13RRAB,Zym Otic,https://www.google.com/maps/contrib/100668729397330672857/reviews?hl=en-CA,2 years ago,2021-06-21 22:02:22.457195,5.0,10,Love to go there and sit at the picnic table by myself in - 35 and sip a nice cold PBR and think about existence. The ambience is great and the frog makes good company. Definitely would recommend.
6,Parc Hochelaga,ChZDSUhNMG9nS0VJQ0FnSURDbVBuWkp3EAE,Kristin MH,https://www.google.com/maps/contrib/103514407592067584488/reviews?hl=en-CA,9 months ago,2021-06-21 22:02:22.458202,5.0,69,Nice little neoghbourhood park
7,Parc Hochelaga,ChZDSUhNMG9nS0VJQ0FnSURjOHFqWUhREAE,patrice bilodeau,https://www.google.com/maps/contrib/103099463099889190133/reviews?hl=en-CA,a year ago,2021-06-21 22:02:22.459121,3.0,7,Fun small park with rest area
8,Parc Hochelaga,ChdDSUhNMG9nS0VJQ0FnSUNVNVpibGlRRRAB,Parise Vautour,https://www.google.com/maps/contrib/107671412153048997870/reviews?hl=en-CA,a year ago,2021-06-21 22:02:22.460038,4.0,32,"Nice parc to cool off in, It has a splash pad where dogs are allowed!"
9,Parc Hochelaga,ChdDSUhNMG9nS0VJQ0FnSURDN1luNGx3RRAB,Teslaw,https://www.google.com/maps/contrib/107030392292591189255/reviews?hl=en-CA,8 months ago,2021-06-21 22:02:22.460957,4.0,31,"Friendly, in the middle of a less fortunate neighbourhood"
10,Parc Hochelaga,ChdDSUhNMG9nS0VJQ0FnSURveDR5TTB3RRAB,Carlos,https://www.google.com/maps/contrib/111901797205128569324/reviews?hl=en-CA,2 years ago,2021-06-21 22:02:22.461883,3.0,373,At this time frozen. Not really usable at this time. Otherwise lokks good
11,Parc Hochelaga,ChZDSUhNMG9nS0VJQ0FnSUNpMmJqblBnEAE,Katharine,https://www.google.com/maps/contrib/102370261024143939812/reviews?hl=en-CA,7 months ago,2021-06-21 22:02:22.462805,4.0,58,Nice park
