,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Honoré-Mercier,ChdDSUhNMG9nS0VJQ0FnSUNxdElhenJnRRAB,Melodie Belanger,https://www.google.com/maps/contrib/118432678498623750145/reviews?hl=en-CA,3 weeks ago,2021-06-24 19:59:01.313177,5.0,61,"Awesome Parc .... lots of place to roam wild and free, will return again in the near future"
1,Parc Honoré-Mercier,ChdDSUhNMG9nS0VJQ0FnSUNVdjZqSTN3RRAB,Francine Chevrier,https://www.google.com/maps/contrib/105737074733111073331/reviews?hl=en-CA,a year ago,2021-06-24 19:59:01.317431,5.0,19,"To get away from the hustle and bustle of Montreal. Tranquility  fresh air, water close by. Perfect day!!"
2,Parc Honoré-Mercier,ChZDSUhNMG9nS0VJQ0FnSUN5M2Z5R2VREAE,jessica L,https://www.google.com/maps/contrib/103786006790131145744/reviews?hl=en-CA,4 months ago,2021-06-24 19:59:01.321855,4.0,21,Beautiful place
3,Parc Honoré-Mercier,ChdDSUhNMG9nS0VJQ0FnSUNxaXQyQjNBRRAB,daniel poulin,https://www.google.com/maps/contrib/105833331399431673106/reviews?hl=en-CA,3 weeks ago,2021-06-24 19:59:01.323958,5.0,25,Sweet spot
4,Parc Honoré-Mercier,ChZDSUhNMG9nS0VJQ0FnSURDM29McVZ3EAE,Lys Mk,https://www.google.com/maps/contrib/104410973007460413604/reviews?hl=en-CA,8 months ago,2021-06-24 19:59:01.325964,5.0,24,The scenery is absolutely beautiful. 🍂🍁
5,Parc Honoré-Mercier,ChZDSUhNMG9nS0VJQ0FnSUM4a04zZlZnEAE,Najib Ridouane,https://www.google.com/maps/contrib/105847707157871361283/reviews?hl=en-CA,a year ago,2021-06-24 19:59:01.332297,4.0,37,"Cool for fishing, but until now zero Fish for me"
6,Parc Honoré-Mercier,ChZDSUhNMG9nS0VJQ0FnSURDNVA2YVRBEAE,Alexey Alexeev,https://www.google.com/maps/contrib/105683370899988268054/reviews?hl=en-CA,9 months ago,2021-06-24 19:59:01.333454,5.0,270,"Very popular parc!
Nice"
7,Parc Honoré-Mercier,ChdDSUhNMG9nS0VJQ0FnSUNxOUp1cmpBRRAB,Karthic R,https://www.google.com/maps/contrib/107972443943079714931/reviews?hl=en-CA,3 weeks ago,2021-06-24 19:59:01.334517,5.0,21,Beautiful!
8,Parc Honoré-Mercier,ChdDSUhNMG9nS0VJQ0FnSURpLXNldXpBRRAB,Rodney Williams,https://www.google.com/maps/contrib/116476771369432458277/reviews?hl=en-CA,6 months ago,2021-06-24 19:59:01.335652,5.0,30,Great place to walk and enjoy
9,Parc Honoré-Mercier,ChZDSUhNMG9nS0VJQ0FnSURrd2RyZUt3EAE,Dennis Tu-Ba,https://www.google.com/maps/contrib/102621954663677863937/reviews?hl=en-CA,a year ago,2021-06-24 19:59:01.337528,4.0,15,Who does like throwing rocks in the water
10,Parc Honoré-Mercier,ChZDSUhNMG9nS0VJQ0FnSURNMkxPRUhnEAE,Basil Raza Butt,https://www.google.com/maps/contrib/101738130273879886943/reviews?hl=en-CA,a year ago,2021-06-24 19:59:01.339632,5.0,230,"Very nice park, river looks amazing, boat tours available."
11,Parc Honoré-Mercier,ChZDSUhNMG9nS0VJQ0FnSUNVekpfZVp3EAE,COCO BEADZ,https://www.google.com/maps/contrib/103606050459695421139/reviews?hl=en-CA,a year ago,2021-06-24 19:59:01.341057,4.0,128,"Great park for the kids to enjoy a day out. There are different games and 2 differents parks, a big field, some pic nic tables and the information center is nearby wich is ideal as there have the lavatory and they also selling ice cream. Ask for the activity program for summer as there are a loads of interesting activities who are taking place in front off the information center."
12,Parc Honoré-Mercier,ChZDSUhNMG9nS0VJQ0FnSURrNktLa0N3EAE,Mech anica,https://www.google.com/maps/contrib/109032909936460781527/reviews?hl=en-CA,2 years ago,2021-06-24 19:59:01.342158,5.0,12,Great place to hang out for all family members.
13,Parc Honoré-Mercier,ChdDSUhNMG9nS0VJQ0FnSURVZ3U3NnVnRRAB,Lisa_Mtl,https://www.google.com/maps/contrib/114644422635690158424/reviews?hl=en-CA,a year ago,2021-06-24 19:59:01.343979,3.0,46,"Great green space,  very family friendly"
14,Parc Honoré-Mercier,ChZDSUhNMG9nS0VJQ0FnSUM0OE12NUt3EAE,Mendy Marcus,https://www.google.com/maps/contrib/111161318118987183159/reviews?hl=en-CA,2 years ago,2021-06-24 19:59:01.345140,4.0,191,This is a beautiful relaxing place
15,Parc Honoré-Mercier,ChdDSUhNMG9nS0VJQ0FnSUQwOXRmMTRnRRAB,blondy the superdog,https://www.google.com/maps/contrib/118100496791670439114/reviews?hl=en-CA,a year ago,2021-06-24 19:59:01.346424,1.0,157,Total dump avoid at all cost.
16,Parc Honoré-Mercier,ChdDSUhNMG9nS0VJQ0FnSURZejZHS2l3RRAB,Hugo “hugog2773” Giles,https://www.google.com/maps/contrib/110676064748284286524/reviews?hl=en-CA,2 years ago,2021-06-24 19:59:01.348228,5.0,32,Great park with fun for all!!
17,Parc Honoré-Mercier,ChdDSUhNMG9nS0VJQ0FnSURZNXB1MDdRRRAB,shovel denis,https://www.google.com/maps/contrib/102590429180795826139/reviews?hl=en-CA,2 years ago,2021-06-24 19:59:01.350580,4.0,131,Real nice worth the stop
18,Parc Honoré-Mercier,ChZDSUhNMG9nS0VJQ0FnSUM4aXNES0ZBEAE,Rhym Watson,https://www.google.com/maps/contrib/110499753116452610132/reviews?hl=en-CA,11 months ago,2021-06-24 19:59:01.352588,4.0,5,Amazing!
19,Parc Honoré-Mercier,ChZDSUhNMG9nS0VJQ0FnSUN3b2NhcGRREAE,Zoir Radjabov,https://www.google.com/maps/contrib/100249706059581510387/reviews?hl=en-CA,3 years ago,2021-06-24 19:59:01.354285,5.0,637,Really nice park!
20,Parc Honoré-Mercier,ChdDSUhNMG9nS0VJQ0FnSUNVa0k3Njd3RRAB,D. BSE.M,https://www.google.com/maps/contrib/114708289198216990525/reviews?hl=en-CA,a year ago,2021-06-24 19:59:01.355444,5.0,124,Loved it
21,Parc Honoré-Mercier,ChZDSUhNMG9nS0VJQ0FnSURrMlkteWJBEAE,JULI PAU,https://www.google.com/maps/contrib/112012625519785007835/reviews?hl=en-CA,a year ago,2021-06-24 19:59:01.356721,5.0,30,Beatiful
22,Parc Honoré-Mercier,ChdDSUhNMG9nS0VJQ0FnSUNFck5mRTF3RRAB,Jacques Maheu,https://www.google.com/maps/contrib/105603028777250718707/reviews?hl=en-CA,2 years ago,2021-06-24 19:59:01.358438,5.0,54,Relax
23,Parc Honoré-Mercier,ChdDSUhNMG9nS0VJQ0FnSUNxajktTTRnRRAB,We506 Anjou,https://www.google.com/maps/contrib/113119700536443672388/reviews?hl=en-CA,a day ago,2021-06-24 19:59:01.360372,4.0,114,Bel endroit pour un pique-nique. Beaucoup de monde et la distanciation est respecté. Ça respire la joie.
24,Parc Honoré-Mercier,ChZDSUhNMG9nS0VJQ0FnSUR5djlHMEZnEAE,Mickaël B. (MikhaLOurs),https://www.google.com/maps/contrib/115145535088496529008/reviews?hl=en-CA,3 months ago,2021-06-24 19:59:01.365823,5.0,177,"(Translated by Google) Very beautiful park, it reminds me of ""Au loin les dinosaures"", a short film by Arthur Cahn.
From spring, the course and the various stopping areas (the pontoon, the double terrace, the picnic tables) have a lot of charm.
However, it should be noted that when the snow melts some paths are impassable, either flooded or muddy.

(Original)
Très beau parc, il me rappelle ""Au loin les dinosaures"", un court métrage d'Arthur Cahn.
Dès le printemps, le parcours et les différentes zones d'arrêts (le ponton, la double terrasse, les tables à pic nique) ont beaucoup de charme.
Il faut cependant remarquer que lors de la fonte des neiges certains chemins sont impraticables soit inondés soit boueux."
25,Parc Honoré-Mercier,ChdDSUhNMG9nS0VJQ0FnSUNxeDRpWTRnRRAB,Stephanie Lepine,https://www.google.com/maps/contrib/112652464871952578782/reviews?hl=en-CA,3 days ago,2021-06-24 19:59:01.367211,3.0,10,"(Translated by Google) Nice place, but no wifi.

(Original)
Belle place, mais pas de wifi."
26,Parc Honoré-Mercier,ChdDSUhNMG9nS0VJQ0FnSURLNm96MjdnRRAB,weezo hoolic,https://www.google.com/maps/contrib/113981321948277956918/reviews?hl=en-CA,a month ago,2021-06-24 19:59:01.369008,4.0,28,"(Translated by Google) Great very family park, perfect for spending a beautiful weekend day by the water

(Original)
Super parc très familiale, parfait pour passer une belle journée de fin de semaine au bord de l'eau"
