,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUNLOWQyR1N3EAE,Adele Piccioli,https://www.google.com/maps/contrib/108929776187226052229/reviews?hl=en-US,2 months ago,2021-06-24 10:53:03.404901,5.0,12,"I went today to walk my mom in her wheelchair. Nice walkway includes training sports.  Fun  pool for kids, newly paved basketball and tennis courts, 2 great playgrounds for young children and toddlers. Also has 4 bocce lanes and the best Football stadium in Montreal where even the Alouettes practice,"
1,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSURLNS0zdjJ3RRAB,Yasmanis Sanchez Dorta,https://www.google.com/maps/contrib/112600032863427107885/reviews?hl=en-US,a month ago,2021-06-24 10:53:03.406261,5.0,1,Excellent Park
2,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSURpckpPVDN3RRAB,mounir moufakkir,https://www.google.com/maps/contrib/107747789514305297899/reviews?hl=en-US,6 months ago,2021-06-24 10:53:03.407372,5.0,71,Good
3,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUM0NGZiMDN3RRAB,jean leon,https://www.google.com/maps/contrib/106099817880546931431/reviews?hl=en-US,2 years ago,2021-06-24 10:53:03.408466,4.0,20,Nice..
4,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUNVMVpYWDl3RRAB,Andrea Morales,https://www.google.com/maps/contrib/117424591547059662390/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.409472,4.0,38,"Clean,nice and family welcoming"
5,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUNLdGVUaVJnEAE,TARA TATA,https://www.google.com/maps/contrib/112378230526163261299/reviews?hl=en-US,2 months ago,2021-06-24 10:53:03.410709,5.0,4,"(Translated by Google) For children, there is nothing better, full of various play facilities for children from 2-12 years old, it gets young and old to move well. Very good park.

(Original)
Pour les enfants il n'y a pas mieux, plein de installations de jeux variés pour enfants de 2-12 ans , ça fait bien bouger les grands comme les petits.Trés bon park."
6,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUNLeWZEVm1nRRAB,Mohamed Redouane Rejdal,https://www.google.com/maps/contrib/108240542490355891170/reviews?hl=en-US,2 months ago,2021-06-24 10:53:03.411821,5.0,24,"(Translated by Google) I live right next to Hamdoullah I'm lucky 🤍

(Original)
J'habite juste a coté hamdoullah j'ai la chance 🤍"
7,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUNVb3JxaVp3EAE,Pierre Desbiens,https://www.google.com/maps/contrib/115591611523558588848/reviews?hl=en-US,10 months ago,2021-06-24 10:53:03.412758,4.0,21,"(Translated by Google) Small park with medium paddling pool (about 4 feet deep) soccer field and pétanque, children's play modules. Very well!

(Original)
Petit parc avec moyenne pataugeoire (environ 4 pied au plus creux) terrain de soccer et pétanque, modules de jeux pour enfants. Très bien!"
8,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSURDcnVqQy1BRRAB,Vanna-Lusa Noel,https://www.google.com/maps/contrib/114095705175827017976/reviews?hl=en-US,8 months ago,2021-06-24 10:53:03.413697,4.0,238,"(Translated by Google) This is called a park. Several games for children from 2 to 12 years old. In addition, free parking from 7 am to 11 pm.

(Original)
Voilà ce qu'on appelle un parc. Plusieurs jeux pour les enfants de 2 à 12 ans. En plus, un stationnement gratuit de 7h à 23h."
9,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSURDeU5IS1JREAE,rabab benjeddi,https://www.google.com/maps/contrib/102798088395544225683/reviews?hl=en-US,9 months ago,2021-06-24 10:53:03.414633,4.0,3,"(Translated by Google) We need to put in place officers to monitor the park.
Today there were young children of about 13 years old who screwed up the swings but nobody spoke to them

(Original)
Il faut mettre en place des agents qui surveillent le parc .
Aujourd'hui y'avait des jeunes enfants de 13 ans environ qui bousillaient les balançoires mais personnes ne leur parlaient"
10,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUQ4NjlQX0pBEAE,christian cholette,https://www.google.com/maps/contrib/113134795309292464522/reviews?hl=en-US,10 months ago,2021-06-24 10:53:03.415563,4.0,7,"(Translated by Google) A little of everything for children is good

(Original)
Un peu de tout pour les enfants c'est bien"
11,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUM4aVlQUVpREAE,Momo Zizou,https://www.google.com/maps/contrib/111413923909556090184/reviews?hl=en-US,11 months ago,2021-06-24 10:53:03.416785,2.0,3,"(Translated by Google) At the pool I am asked to keep my two children at arm's length while my three year old guy was wearing floats I wonder Is the instructions require that or is it the incompetence rescuers that takes over

(Original)
A la piscine on me demande de garder mes deux enfants à bout de bras alors que mon gars de trois ans portait des flotteurs je me demande Est ce que les instructions exige ça ou bien c'est l'incompétence  sauveteurs qui prend le dessus"
12,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUNDbGZxM2tnRRAB,Geraldine Bernard,https://www.google.com/maps/contrib/116757728113364238782/reviews?hl=en-US,9 months ago,2021-06-24 10:53:03.418137,4.0,3,"(Translated by Google) The double swing was cool

(Original)
La balançoire double était cool"
13,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSURVeXN1RmdRRRAB,Mustafizur Rahman,https://www.google.com/maps/contrib/102724185109118996987/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.419081,5.0,84,"(Translated by Google) Excellent corner for children between 1-12 years old. There are two playgrounds for different age groups, games rooms and even a pool for young people.

(Original)
Excellent coin pour les enfants entre 1-12 ans. Il y deux terrains de jeux qui s'adressent à différents groupes d'âges, des salles de jeux et même une piscine pour les jeunes."
14,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUNVaWVXeENBEAE,RM R,https://www.google.com/maps/contrib/104718349015861043673/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.420015,3.0,6,"(Translated by Google) Under the summer sun, impossible to find shade .. especially in this Park it is played local competitions .. Near VIAU mall (walmart .. dolarama ..)

(Original)
Sous le soleil d'été, impossible de trouver de l'ombre .. surtout que dans ce Parc il se joue  des compétitions locales .. Tout prés de centre commercial VIAU (walmart .. dolarama ..)"
15,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUMwbnVyeWFBEAE,Ali BAK,https://www.google.com/maps/contrib/100221576320189522660/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.420945,3.0,199,"(Translated by Google) Clean but not the best compared to other parks in Montreal.

(Original)
Propre mais pas le top par-rapport aux autres parcs de Montréal."
16,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUNzX2FHNUFREAE,Chalets Zone Nature,https://www.google.com/maps/contrib/109604183041490586110/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.421877,5.0,435,"(Translated by Google) Well-appointed space!

(Original)
Espace bien aménagé !"
17,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSURjN1ktOFFBEAE,Lydie Kuvituanga,https://www.google.com/maps/contrib/101990223398420159224/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.423143,4.0,40,☺😚☺
18,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSURDeTV6Ni13RRAB,Tuan Richard,https://www.google.com/maps/contrib/116156461820026597632/reviews?hl=en-US,8 months ago,2021-06-24 10:53:03.424086,5.0,88,
19,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUNLaTl1ZjlnRRAB,Simon Salvatore,https://www.google.com/maps/contrib/101043868243082819787/reviews?hl=en-US,2 months ago,2021-06-24 10:53:03.425020,5.0,56,
20,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUQwNktDdjdRRRAB,Kim Swailes,https://www.google.com/maps/contrib/104736001951780611827/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.426083,3.0,58,
21,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUM0bVluUjV3RRAB,islam Elmehraji,https://www.google.com/maps/contrib/100069027911986328846/reviews?hl=en-US,2 years ago,2021-06-24 10:53:03.427038,5.0,21,
22,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSURrcE1ETDNnRRAB,Jair Slater,https://www.google.com/maps/contrib/108480134105587878091/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.427969,5.0,1,
23,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSURLMWNQdjJBRRAB,Talhi Nassim,https://www.google.com/maps/contrib/115805991056199492577/reviews?hl=en-US,a month ago,2021-06-24 10:53:03.428972,4.0,14,
24,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSURrMWJLNzF3RRAB,MEGAFAST,https://www.google.com/maps/contrib/115006314948563003680/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.430010,5.0,0,
25,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUNZcVpUTnpnRRAB,シ꧁ᴀᴜʀᴏʀᴀ꧂,https://www.google.com/maps/contrib/112566530044731436270/reviews?hl=en-US,2 years ago,2021-06-24 10:53:03.430934,2.0,17,
26,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSURja2NpU3pRRRAB,fatma Agguini fatma,https://www.google.com/maps/contrib/111565711925478972141/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.431860,1.0,6,
27,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUM4b3BiU3h3RRAB,José de Jesús Ceballos Contreras,https://www.google.com/maps/contrib/112264347233030930605/reviews?hl=en-US,11 months ago,2021-06-24 10:53:03.432859,4.0,2,
28,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUQ4aTctaHhBRRAB,Valentin sarabia,https://www.google.com/maps/contrib/113137048088785429968/reviews?hl=en-US,10 months ago,2021-06-24 10:53:03.433798,5.0,6,
29,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUNZdzVtMHdnRRAB,Israel Ludena,https://www.google.com/maps/contrib/116969539332852114024/reviews?hl=en-US,2 years ago,2021-06-24 10:53:03.434880,3.0,14,
30,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSURDaXBYZ3dRRRAB,P. Simon Lachapelle,https://www.google.com/maps/contrib/112972366093834897203/reviews?hl=en-US,9 months ago,2021-06-24 10:53:03.435897,4.0,130,
31,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUM4eWZYOXZnRRAB,Nouredine KACER,https://www.google.com/maps/contrib/101263532909338513322/reviews?hl=en-US,11 months ago,2021-06-24 10:53:03.436927,2.0,2,
32,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUNpeFpiWnV3RRAB,Cassia S.,https://www.google.com/maps/contrib/113544932522081519824/reviews?hl=en-US,7 months ago,2021-06-24 10:53:03.437934,5.0,2,
33,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUNLMFpxQnVnRRAB,Amine Hadbi,https://www.google.com/maps/contrib/108503432144641326257/reviews?hl=en-US,2 months ago,2021-06-24 10:53:03.439065,5.0,0,
34,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUNVbDVpMHJ3RRAB,Dustie Lafleur,https://www.google.com/maps/contrib/101076322367839881813/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.440179,4.0,6,
35,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUQ0dHZTWHBnRRAB,Hossein Pourmand,https://www.google.com/maps/contrib/118269926536822927930/reviews?hl=en-US,2 years ago,2021-06-24 10:53:03.441139,4.0,53,
36,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUQwN2ZLYm9RRRAB,Dany Hébert,https://www.google.com/maps/contrib/111901608186278784925/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.442109,5.0,9,
37,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUQwdGZqbW9BRRAB,Sara M&P,https://www.google.com/maps/contrib/111303795969997442041/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.443102,4.0,15,
38,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSURVakttWm9BRRAB,Man Har,https://www.google.com/maps/contrib/112401035634118801121/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.444149,5.0,0,
39,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUQwalA2Z253RRAB,John Lanni,https://www.google.com/maps/contrib/109862740499549851289/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.445410,4.0,78,
40,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUNFbEtfTW5BRRAB,KHADIDJAPLAYS -roblox,https://www.google.com/maps/contrib/117680290779087024641/reviews?hl=en-US,2 years ago,2021-06-24 10:53:03.447098,5.0,0,
41,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUNpOHBTYmx3RRAB,Marlene Vela,https://www.google.com/maps/contrib/113699405098402959794/reviews?hl=en-US,7 months ago,2021-06-24 10:53:03.448190,4.0,1,
42,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUNVMzhyY2xnRRAB,Leidy Mimi,https://www.google.com/maps/contrib/112629249173492508416/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.449393,5.0,1,
43,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUR5cnVUWWtBRRAB,Alex Ha,https://www.google.com/maps/contrib/110538686152570511058/reviews?hl=en-US,3 months ago,2021-06-24 10:53:03.450689,2.0,3,
44,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUNpaGJINmpnRRAB,Mohamed Zirari,https://www.google.com/maps/contrib/105486630332900637602/reviews?hl=en-US,7 months ago,2021-06-24 10:53:03.451878,4.0,3,
45,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUMwcVpMRGlRRRAB,Kabongo Kambaji,https://www.google.com/maps/contrib/104388175347282359705/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.453201,5.0,0,
46,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSUNVeDVHV2lBRRAB,Massi,https://www.google.com/maps/contrib/105986322702864028722/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.454609,5.0,6,
47,Parc Hébert,ChdDSUhNMG9nS0VJQ0FnSURrdnZ6bmdnRRAB,ghizlane lakhroufi,https://www.google.com/maps/contrib/117628494045096861554/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.455607,3.0,8,
48,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUMwM3JUeGZ3EAE,Samira Garces,https://www.google.com/maps/contrib/110844555134583345751/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.456539,5.0,0,
49,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUNxeGVXZmZ3EAE,Mariem R,https://www.google.com/maps/contrib/107709885202696668645/reviews?hl=en-US,a week ago,2021-06-24 10:53:03.457908,3.0,3,
50,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSURVN2VEVGZnEAE,Marbella Hernández Gómez,https://www.google.com/maps/contrib/112031547667347460029/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.458895,5.0,6,
51,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSURDbU4yNWNnEAE,Crayz Chrystal,https://www.google.com/maps/contrib/115572794400647131742/reviews?hl=en-US,9 months ago,2021-06-24 10:53:03.459833,5.0,5,
52,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSURVN3JDQmJBEAE,Mahbouba Balay,https://www.google.com/maps/contrib/102348337626774278793/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.460768,4.0,8,
53,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSURvMjRuRVpBEAE,Pierre-Marc Denault,https://www.google.com/maps/contrib/111490593080949971182/reviews?hl=en-US,2 years ago,2021-06-24 10:53:03.461706,5.0,21,
54,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSURLdHRMTllBEAE,RIKTRIK81,https://www.google.com/maps/contrib/118160421527307241409/reviews?hl=en-US,a month ago,2021-06-24 10:53:03.462639,5.0,13,
55,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSURrdDg3d1hBEAE,Hélène Demers,https://www.google.com/maps/contrib/104943177380679199463/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.463717,4.0,4,
56,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUNDd091blVBEAE,Rachel Fournier,https://www.google.com/maps/contrib/113476227415259668704/reviews?hl=en-US,10 months ago,2021-06-24 10:53:03.464668,4.0,77,
57,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUNxZ2EtRlBBEAE,nana sal,https://www.google.com/maps/contrib/114247973121561976029/reviews?hl=en-US,2 weeks ago,2021-06-24 10:53:03.465612,4.0,114,
58,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUNNdDVYdU9BEAE,Gabrielle Roy,https://www.google.com/maps/contrib/111290432488858353166/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.466551,4.0,0,
59,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUQ4cV83R05nEAE,Belaid bensider,https://www.google.com/maps/contrib/113813763553349953655/reviews?hl=en-US,10 months ago,2021-06-24 10:53:03.467495,5.0,13,
60,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUNxM19hdEl3EAE,taki syed,https://www.google.com/maps/contrib/114459280042599492748/reviews?hl=en-US,7 hours ago,2021-06-24 10:53:03.468471,5.0,37,
61,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUR5LTcyMEhREAE,volubilis,https://www.google.com/maps/contrib/110376187536514569679/reviews?hl=en-US,3 months ago,2021-06-24 10:53:03.469415,3.0,3,
62,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUNpeHREQUd3EAE,Eduardo Correa,https://www.google.com/maps/contrib/100233847087745485774/reviews?hl=en-US,7 months ago,2021-06-24 10:53:03.470353,4.0,4,
63,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUMwMnJDckV3EAE,3MKIDS CANADA,https://www.google.com/maps/contrib/105613228569686614804/reviews?hl=en-US,a year ago,2021-06-24 10:53:03.471291,2.0,4,
64,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUNxcHM2VERBEAE,Kelvin Racine,https://www.google.com/maps/contrib/101191455873969058571/reviews?hl=en-US,2 weeks ago,2021-06-24 10:53:03.472229,3.0,11,
65,Parc Hébert,ChZDSUhNMG9nS0VJQ0FnSUNxaUtuSEF3EAE,Joanisse Guillaume,https://www.google.com/maps/contrib/111934458382386474470/reviews?hl=en-US,4 weeks ago,2021-06-24 10:53:03.473167,4.0,159,
