,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSUNpcU9pSUxREAE,Mina Medhat,https://www.google.com/maps/contrib/104764314160153844980/reviews?hl=en-CA,8 months ago,2021-06-21 14:29:07.000369,5.0,5,Calm N Lovely ✨
1,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSURBb29Tamh3RRAB,Shaden Ghazal,https://www.google.com/maps/contrib/111865669980781394357/reviews?hl=en-CA,4 years ago,2021-06-21 14:29:07.001299,5.0,37,"Perfect if you want to sit quietly by the water. It's not crowded at all and it's pretty clean. But there are not a lot of options for the kids, only one game for the toddlers and one for the older kids, along with two outdated baby swings."
2,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSUMwNkplckh3EAE,Shiva Bagheri,https://www.google.com/maps/contrib/112745158620993939729/reviews?hl=en-CA,a year ago,2021-06-21 14:29:07.002216,5.0,17,It is a great and quite place
3,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSURZaFBQS0lBEAE,Norberto Jr “DJ Yuwie” Mandin,https://www.google.com/maps/contrib/100498158816067819056/reviews?hl=en-CA,2 years ago,2021-06-21 14:29:07.003245,5.0,5,Cool
4,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSURZdnBDT0JnEAE,Shola Wealthoney O,https://www.google.com/maps/contrib/111164447447924809863/reviews?hl=en-CA,2 years ago,2021-06-21 14:29:07.004173,5.0,38,Beautiful environment
5,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSUN3dU5pc19BRRAB,Mark Krusemer,https://www.google.com/maps/contrib/111840310417085857336/reviews?hl=en-CA,3 years ago,2021-06-21 14:29:07.005092,4.0,98,Nice water front park
6,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSURrMkwzTGx3RRAB,Wael Fawzi,https://www.google.com/maps/contrib/102023689086487696304/reviews?hl=en-CA,a year ago,2021-06-21 14:29:07.006009,5.0,11,Wonderful place
7,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSURBMVlHeGRnEAE,Ted Nehme,https://www.google.com/maps/contrib/104929307060067590155/reviews?hl=en-CA,3 years ago,2021-06-21 14:29:07.007179,5.0,8,"Beautiful, quiet park by the water"
8,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSUNBa3VubTdRRRAB,James Amend,https://www.google.com/maps/contrib/113956097024371674465/reviews?hl=en-CA,4 years ago,2021-06-21 14:29:07.008295,3.0,12,Snow Removal is lacking during Winter.
9,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSURTd1pLaHF3RRAB,Bin Zheng,https://www.google.com/maps/contrib/106563423229949602750/reviews?hl=en-CA,5 months ago,2021-06-21 14:29:07.009231,5.0,3,"(Translated by Google) Summer and autumn are good places for people to walk and relax. Riverside scenery, fishing, and entertainment are all in their own right.

(Original)
夏秋季是人们遛弯和休闲的好去处，河畔赏景、垂钓、娱乐，各得其所。"
10,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSURnaE1TYlBnEAE,Annie Lafrance,https://www.google.com/maps/contrib/105391889668496281626/reviews?hl=en-CA,4 years ago,2021-06-21 14:29:07.010153,5.0,89,"(Translated by Google) Great for the nics peaks. Station at the edge of the water that is not protected by a fence

(Original)
Génial pour les pics nics. Gare au bord de l'eau qui n'est pas protégé par une clôture"
11,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSUNLZ1BPcV93RRAB,Franco Bettoni,https://www.google.com/maps/contrib/111706517754931580450/reviews?hl=en-CA,2 months ago,2021-06-21 14:29:07.011182,3.0,0,
12,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSUM4dklESi1BRRAB,Sally j,https://www.google.com/maps/contrib/114641421116688155659/reviews?hl=en-CA,11 months ago,2021-06-21 14:29:07.012270,5.0,1,
13,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSURLLTRPaThRRRAB,Audrey Sweeney,https://www.google.com/maps/contrib/102197896966204632555/reviews?hl=en-CA,a month ago,2021-06-21 14:29:07.013320,5.0,3,
14,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSURreGZ2WjhBRRAB,Tony Montana,https://www.google.com/maps/contrib/111752766643281807198/reviews?hl=en-CA,a year ago,2021-06-21 14:29:07.014545,4.0,120,
15,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSUNxak5EanpRRRAB,Mohammad Izadi,https://www.google.com/maps/contrib/116613095501018950138/reviews?hl=en-CA,3 weeks ago,2021-06-21 14:29:07.015477,5.0,16,
16,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSUNVeC1mZnh3RRAB,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-21 14:29:07.016395,4.0,140,
17,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSUNnM09hc3d3RRAB,Vincent Pilon,https://www.google.com/maps/contrib/117042907981840010586/reviews?hl=en-CA,3 years ago,2021-06-21 14:29:07.017304,5.0,0,
18,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSUNpNXVUcXFnRRAB,K.Reimers,https://www.google.com/maps/contrib/110447298515204930283/reviews?hl=en-CA,7 months ago,2021-06-21 14:29:07.018217,2.0,6,
19,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSUNpenRpYm93RRAB,rhys,https://www.google.com/maps/contrib/111070654961331366557/reviews?hl=en-CA,7 months ago,2021-06-21 14:29:07.019131,5.0,2,
20,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSUN3eHNqRW13RRAB,Sami a voir,https://www.google.com/maps/contrib/107468234826103255461/reviews?hl=en-CA,2 years ago,2021-06-21 14:29:07.020043,3.0,4,
21,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSURjb0wyY2t3RRAB,Daniel Anderson,https://www.google.com/maps/contrib/107952029866658229620/reviews?hl=en-CA,a year ago,2021-06-21 14:29:07.020977,5.0,3,
22,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSURDdlBmMGl3RRAB,Liana Chaaban,https://www.google.com/maps/contrib/111459156397590161335/reviews?hl=en-CA,9 months ago,2021-06-21 14:29:07.021890,5.0,42,
23,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSUNFbWZfQmlnRRAB,David Liu,https://www.google.com/maps/contrib/110952260093020020436/reviews?hl=en-CA,2 years ago,2021-06-21 14:29:07.022844,3.0,188,
24,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSUQ4cWMyNGlBRRAB,Mitin Patel,https://www.google.com/maps/contrib/116205023307098443549/reviews?hl=en-CA,11 months ago,2021-06-21 14:29:07.023882,5.0,12,
25,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSUNLbWUzYmhRRRAB,Mehran Ishanian,https://www.google.com/maps/contrib/107440696969660145396/reviews?hl=en-CA,2 months ago,2021-06-21 14:29:07.024800,3.0,3,
26,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSUNBcmJxUGhRRRAB,Vishnu Priyan,https://www.google.com/maps/contrib/115644571543723550265/reviews?hl=en-CA,5 years ago,2021-06-21 14:29:07.025774,4.0,18,
27,Parc Hélène-Legault,ChdDSUhNMG9nS0VJQ0FnSURjLXZMZWdnRRAB,Vassil Dimov,https://www.google.com/maps/contrib/111982344314206219366/reviews?hl=en-CA,a year ago,2021-06-21 14:29:07.026714,5.0,10,
28,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSURzNE1XSmV3EAE,Dani dani,https://www.google.com/maps/contrib/106304797946195220910/reviews?hl=en-CA,a year ago,2021-06-21 14:29:07.027630,4.0,77,
29,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSUNZNTQ2LWVnEAE,David Mercier,https://www.google.com/maps/contrib/108538449720321655903/reviews?hl=en-CA,2 years ago,2021-06-21 14:29:07.028538,5.0,16,
30,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSURBdkozVmNREAE,Mohamed Meguid,https://www.google.com/maps/contrib/109961655856911814556/reviews?hl=en-CA,4 years ago,2021-06-21 14:29:07.029555,3.0,0,
31,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSUNzMThDUGF3EAE,sir_manly_man,https://www.google.com/maps/contrib/101927797958985369581/reviews?hl=en-CA,a year ago,2021-06-21 14:29:07.030464,1.0,1,
32,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSUNpM0pLamFBEAE,Dagenais Marie-Josée,https://www.google.com/maps/contrib/116381518152906924361/reviews?hl=en-CA,7 months ago,2021-06-21 14:29:07.031372,4.0,2,
33,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSUNVMjRtWGFBEAE,LA,https://www.google.com/maps/contrib/101912017243872094602/reviews?hl=en-CA,a year ago,2021-06-21 14:29:07.032279,5.0,23,
34,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSUNBeGNXNVp3EAE,Jasmin Zephir,https://www.google.com/maps/contrib/101575417837354248460/reviews?hl=en-CA,4 years ago,2021-06-21 14:29:07.033218,4.0,14,
35,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSUNBcDVIV1N3EAE,Sean Czako,https://www.google.com/maps/contrib/102460182261409036733/reviews?hl=en-CA,4 years ago,2021-06-21 14:29:07.034159,5.0,22,
36,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSUNRanZQMlFnEAE,Omid Jamali,https://www.google.com/maps/contrib/114257316429419013640/reviews?hl=en-CA,3 years ago,2021-06-21 14:29:07.035364,3.0,12,
37,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSUNnMC03eFFBEAE,Engineer Mansion,https://www.google.com/maps/contrib/109655910136284030646/reviews?hl=en-CA,6 years ago,2021-06-21 14:29:07.036314,3.0,6,
38,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSUNVemVtWU9nEAE,Deepti Kakde,https://www.google.com/maps/contrib/104573173655771895861/reviews?hl=en-CA,a year ago,2021-06-21 14:29:07.037478,4.0,0,
39,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSUN3Nk1Qck53EAE,Alvic Parise,https://www.google.com/maps/contrib/115095931680936869606/reviews?hl=en-CA,4 years ago,2021-06-21 14:29:07.038437,4.0,140,
40,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSURvMTc2UU53EAE,Taxation,https://www.google.com/maps/contrib/102341085122283368397/reviews?hl=en-CA,2 years ago,2021-06-21 14:29:07.039651,5.0,12,
41,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSURVck5pdU5nEAE,Bob Desy,https://www.google.com/maps/contrib/115225078220815416462/reviews?hl=en-CA,a year ago,2021-06-21 14:29:07.040584,3.0,4,
42,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSUNxZ05LM0xBEAE,maderlyn machado,https://www.google.com/maps/contrib/102628891431189340623/reviews?hl=en-CA,4 weeks ago,2021-06-21 14:29:07.041505,5.0,22,
43,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSUQ4bklfckdBEAE,Prem “கணக்குபிள்ளை” Raghes,https://www.google.com/maps/contrib/112360457803146835140/reviews?hl=en-CA,11 months ago,2021-06-21 14:29:07.042529,5.0,0,
44,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSURrX2Q2X0VREAE,Alex Braga,https://www.google.com/maps/contrib/105844232232439663196/reviews?hl=en-CA,a year ago,2021-06-21 14:29:07.043447,5.0,9,
45,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSURrc1pqNERBEAE,Carmen Bérubé,https://www.google.com/maps/contrib/111748358682230435562/reviews?hl=en-CA,a year ago,2021-06-21 14:29:07.044363,4.0,67,
46,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSUNBcmFXdENBEAE,Christine Farmer,https://www.google.com/maps/contrib/105563066942476131414/reviews?hl=en-CA,3 years ago,2021-06-21 14:29:07.045281,4.0,204,
47,Parc Hélène-Legault,ChZDSUhNMG9nS0VJQ0FnSUR5OThlTEF3EAE,gigi nosekai,https://www.google.com/maps/contrib/109640725074664501422/reviews?hl=en-CA,2 months ago,2021-06-21 14:29:07.046249,5.0,28,
