,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Idola-Saint-Jean,ChdDSUhNMG9nS0VJQ0FnSURNdmN1WGhBRRAB,Miran TV,https://www.google.com/maps/contrib/104347896547281234902/reviews?hl=en-CA,a year ago,2021-06-21 21:24:48.094536,5.0,14,My little son love this place
1,Parc Idola-Saint-Jean,ChZDSUhNMG9nS0VJQ0FnSURZcDRhYkV3EAE,Khaled dandachli,https://www.google.com/maps/contrib/117476180497860311977/reviews?hl=en-CA,2 years ago,2021-06-21 21:24:48.095931,5.0,82,New tools has been added last summer
2,Parc Idola-Saint-Jean,ChZDSUhNMG9nS0VJQ0FnSURnbzQ2akR3EAE,Katt Gonzalez,https://www.google.com/maps/contrib/101058086420229555005/reviews?hl=en-CA,4 years ago,2021-06-21 21:24:48.097135,5.0,13,Nice space to spend time with family.
3,Parc Idola-Saint-Jean,ChdDSUhNMG9nS0VJQ0FnSUN3bExMRXJRRRAB,Yannick Shaw,https://www.google.com/maps/contrib/101022726842122722001/reviews?hl=en-CA,3 years ago,2021-06-21 21:24:48.098208,4.0,84,Wow
4,Parc Idola-Saint-Jean,ChZDSUhNMG9nS0VJQ0FnSURRZ29XQ0dBEAE,Steven Toussaint,https://www.google.com/maps/contrib/109937251155169885432/reviews?hl=en-CA,6 years ago,2021-06-21 21:24:48.099229,1.0,1,Tyler
5,Parc Idola-Saint-Jean,ChdDSUhNMG9nS0VJQ0FnSUNxdk5lVWdBRRAB,S J,https://www.google.com/maps/contrib/100076338116179300365/reviews?hl=en-CA,3 weeks ago,2021-06-21 21:24:48.100240,2.0,180,"(Translated by Google) Very simple and bland playpen, only the double swing in the baby play area is worth the detour.

(Original)
Parc très simple et fade, seul la balançoire double dans l’air de jeu bébé vaut le détour .."
6,Parc Idola-Saint-Jean,ChdDSUhNMG9nS0VJQ0FnSUNDeFAtQmxnRRAB,Joranne F.,https://www.google.com/maps/contrib/101679138121747343382/reviews?hl=en-CA,10 months ago,2021-06-21 21:24:48.101282,5.0,146,"(Translated by Google) Perfect for a little relaxation under the trees !! There is a small playground for toddlers and children! No water feature or toilet on the other hand !!

(Original)
Parfait pour une petite détente sous les arbres!! Il y a un petit terrain de jeux pour les tout petits et les enfants! Pas de jeu d'eau ni toilettes par contre!!"
7,Parc Idola-Saint-Jean,ChdDSUhNMG9nS0VJQ0FnSURLMHBDcDNRRRAB,Kim Cronier,https://www.google.com/maps/contrib/102515357098615257408/reviews?hl=en-CA,a month ago,2021-06-21 21:24:48.102237,4.0,16,"(Translated by Google) Relaxed park, despite the nearby boulevard Rosemont

(Original)
Parc relaxe, malgré le boulevard Rosemont a proximité"
8,Parc Idola-Saint-Jean,ChdDSUhNMG9nS0VJQ0FnSURRZ3JmeXVRRRAB,Francine Chevalier,https://www.google.com/maps/contrib/112519647202421718988/reviews?hl=en-CA,2 years ago,2021-06-21 21:24:48.103191,1.0,2,"(Translated by Google) A nice little park which has been under restoration since May. It is the children who are penalized. How come that pocket-sized games take so long to be handed out to their users?

(Original)
Un joli petit parc qui est en restauration depuis mai. Ce sont les enfants qui sont pénalisés. Comment se fait-il qu'ait de jeux grand comme un mouchoir de poche prend autant de temps à  être remis à  ses utilisateurs?"
9,Parc Idola-Saint-Jean,ChdDSUhNMG9nS0VJQ0FnSUQwM1lIcG9nRRAB,Claudia Lavallee,https://www.google.com/maps/contrib/117812373251403140752/reviews?hl=en-CA,a year ago,2021-06-21 21:24:48.104133,2.0,71,"(Translated by Google) I like to swing Quan I have nothing to do that passes the time.Claudia

(Original)
J'aime me balancer Quan j'ai rien a faire ça passe le temps.Claudia"
10,Parc Idola-Saint-Jean,ChdDSUhNMG9nS0VJQ0FnSURja2RubXVBRRAB,Kamaelle McKay,https://www.google.com/maps/contrib/110551447286259878602/reviews?hl=en-CA,a year ago,2021-06-21 21:24:48.105515,4.0,33,"(Translated by Google) Quiet park good for young and old

(Original)
Parc tranquille bon pour les petits et grands"
11,Parc Idola-Saint-Jean,ChdDSUhNMG9nS0VJQ0FnSURDeFBDdjdBRRAB,Carole Smith,https://www.google.com/maps/contrib/113522369847268825494/reviews?hl=en-CA,9 months ago,2021-06-21 21:24:48.106759,5.0,10,"(Translated by Google) I love this park.

(Original)
J'adore ce parc."
12,Parc Idola-Saint-Jean,ChdDSUhNMG9nS0VJQ0FnSUNzdGM2WGdRRRAB,jojo jojo,https://www.google.com/maps/contrib/104482087591324700138/reviews?hl=en-CA,a year ago,2021-06-21 21:24:48.107857,4.0,20,"(Translated by Google) beautiful little park

(Original)
beau ptit parc"
13,Parc Idola-Saint-Jean,ChZDSUhNMG9nS0VJQ0FnSUQ4bjdubU5REAE,Ancheleau Vil,https://www.google.com/maps/contrib/100022819091503134791/reviews?hl=en-CA,10 months ago,2021-06-21 21:24:48.108916,5.0,23,"(Translated by Google) Peaceful

(Original)
Paisible"
14,Parc Idola-Saint-Jean,ChZDSUhNMG9nS0VJQ0FnSURrc19PdWFBEAE,Paul Valté,https://www.google.com/maps/contrib/107272115288582698733/reviews?hl=en-CA,a year ago,2021-06-21 21:24:48.109990,3.0,80,"(Translated by Google) Pretty little park Rosemont, recently refitted, a haven of sweetness of life.

(Original)
Joli petit parc de Rosemont, récemment réaménagé, un havre de douceur de vivre."
