,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Ignace-Bourget,ChdDSUhNMG9nS0VJQ0FnSURTdHFpcTd3RRAB,Israel Germán,https://www.google.com/maps/contrib/106157408115828884567/reviews?hl=en-CA,5 months ago,2021-06-21 21:28:08.435447,5.0,52,"As a foreigner, from Mexico, this park was an absolutely interesting place,  because you can practice ski, snowboard or just go down on a snow tub (I hope I said it correctly) and with prices not that high. The day we went there, past January 2020, it was snowing and had a blast there and if we go back to Montreal, we would gladly return to that park. They have a little coffe shop there, the menu is very limited but it it's cold you can have a nice cup of coffee to get warm."
1,Parc Ignace-Bourget,ChdDSUhNMG9nS0VJQ0FnSURTanVHWGdBRRAB,Lucy Rodriguez Munoz,https://www.google.com/maps/contrib/107660328116475794846/reviews?hl=en-CA,5 months ago,2021-06-21 21:28:08.437858,5.0,68,We had a wonderful time. Excellent hills for sledding. A lot of fun and very convenient for its location.
2,Parc Ignace-Bourget,ChdDSUhNMG9nS0VJQ0FnSUN5bTZtdDVRRRAB,Amjed Khalil,https://www.google.com/maps/contrib/115599148675639945852/reviews?hl=en-CA,4 months ago,2021-06-21 21:28:08.440676,5.0,21,"I really loved the place. Kids had a lot of fun.
It is small, but more than enough to have fun.
If you don't have your own sleds, you will have to book 24 hours in advance. Best thing: everything is FREE.
Parking is available and people there are very friendly.
Overall experience: definitely something you and your family will love."
3,Parc Ignace-Bourget,ChdDSUhNMG9nS0VJQ0FnSUNxaVlibnJBRRAB,Anton Golikov,https://www.google.com/maps/contrib/105476875873837367511/reviews?hl=en-CA,a week ago,2021-06-21 21:28:08.443039,5.0,10,"It's magical, callisthenics and basketball court with ping pong tables and a hill with nice sunsets? Do it"
4,Parc Ignace-Bourget,ChZDSUhNMG9nS0VJQ0FnSURLdGJ1ekRBEAE,Lilian Toledo,https://www.google.com/maps/contrib/118362989952628071750/reviews?hl=en-CA,a month ago,2021-06-21 21:28:08.444228,5.0,43,"Love this park! Many activities all year long!!
Plus the doggy park it’s amazing! My puppy 🐶 loves it!"
5,Parc Ignace-Bourget,ChZDSUhNMG9nS0VJQ0FnSUN5MWY2NUxREAE,Ilir Orana,https://www.google.com/maps/contrib/113955270566914189336/reviews?hl=en-CA,4 months ago,2021-06-21 21:28:08.447256,5.0,53,What a great hidden gem in LaSalle! Will be back here regularly with the kids and the sled.
6,Parc Ignace-Bourget,ChZDSUhNMG9nS0VJQ0FnSURLejVUZ1dnEAE,Meisam aghajani,https://www.google.com/maps/contrib/117128313940576982650/reviews?hl=en-CA,a month ago,2021-06-21 21:28:08.449894,5.0,22,"If you stock in the city, best place to go for have a nice picnic and enjoy front water view. You can find a lot of spots around"
7,Parc Ignace-Bourget,ChdDSUhNMG9nS0VJQ0FnSUR5dm9pWl9nRRAB,David Bourget,https://www.google.com/maps/contrib/114234713489256414652/reviews?hl=en-CA,3 months ago,2021-06-21 21:28:08.452156,5.0,36,Big park. Nice hills if you want to go sledding. You can also reserve tubes which is really fun for kids
8,Parc Ignace-Bourget,ChdDSUhNMG9nS0VJQ0FnSURLXzVucy1RRRAB,Maria Villanueva,https://www.google.com/maps/contrib/100824077545898390214/reviews?hl=en-CA,4 weeks ago,2021-06-21 21:28:08.453609,5.0,28,"It's not to crowded most importantly the washroom is clean, sport facilities.
They have two section of playground.
On summer time they have a big swimming pool ( I dont know if they will open this year Due to covid)
They have a lot of picnic table sorry you cant BBQ ( I dont know why)."
9,Parc Ignace-Bourget,ChdDSUhNMG9nS0VJQ0FnSURTa1phSjVnRRAB,S A,https://www.google.com/maps/contrib/103694496112966475312/reviews?hl=en-CA,5 months ago,2021-06-21 21:28:08.455521,4.0,50,"Incredibly spacious park and very well equipped! I really appreciate how they have a calisthenic exercise section geared towards seniors from the residence nearby. Last winter the park hosted winter activities such as sledding, skiing, and snowboarding! There have been talks that the city will not be renewing the winter activities this year which is a real shame...for this reason I'm giving the venue 4 stars instead of 5."
