,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc J.-Arthur-Champagne,ChZDSUhNMG9nS0VJQ0FnSURZMS1xUGJ3EAE,Mike Kale,https://www.google.com/maps/contrib/116301523275342406559/reviews?hl=en-CA,2 years ago,2021-06-21 21:32:26.707283,4.0,51,"I really enjoy going to this park.
Going mostly every day to do some yoga and meditation. Very peaceful and relaxing with the water fountain.
Great place to go lay in the grass and relax"
1,Parc J.-Arthur-Champagne,ChZDSUhNMG9nS0VJQ0FnSUNxbTlYQVR3EAE,Isabel V,https://www.google.com/maps/contrib/114540039279245463884/reviews?hl=en-CA,2 days ago,2021-06-21 21:32:26.708611,5.0,11,beautiful  fontain . relaxing
2,Parc J.-Arthur-Champagne,ChZDSUhNMG9nS0VJQ0FnSURBODhHNVl3EAE,Marina ydg,https://www.google.com/maps/contrib/110706565679661111196/reviews?hl=en-CA,2 years ago,2021-06-21 21:32:26.710732,5.0,17,"This park is beautiful, especially for a romantic walk. Lots of people bring their dogs and it is in a nice area."
3,Parc J.-Arthur-Champagne,ChdDSUhNMG9nS0VJQ0FnSUNBMi16ZzFBRRAB,Gabriel Ricard,https://www.google.com/maps/contrib/109144321472489483825/reviews?hl=en-CA,2 years ago,2021-06-21 21:32:26.711672,5.0,4,Cool park weird people
4,Parc J.-Arthur-Champagne,ChZDSUhNMG9nS0VJQ0FnSURVck5pbmJnEAE,Ashley Muir,https://www.google.com/maps/contrib/110927039585878065173/reviews?hl=en-CA,a year ago,2021-06-21 21:32:26.712596,5.0,61,"Very lovely intimate space with lots of grass, trees, areas to picnic, a beautiful fountain with seats and small tables, and a small play area for children to play!

Oh, and 2 Pokéstops and a Gym, if that's your jam."
5,Parc J.-Arthur-Champagne,ChZDSUhNMG9nS0VJQ0FnSUNLdU9qTUxnEAE,Karin Bruna,https://www.google.com/maps/contrib/113322395871201925820/reviews?hl=en-CA,2 months ago,2021-06-21 21:32:26.713890,4.0,75,Nice place!!
6,Parc J.-Arthur-Champagne,ChZDSUhNMG9nS0VJQ0FnSURVMlBtQkVnEAE,Maher Kouraytem (MAHERK76),https://www.google.com/maps/contrib/108185597258421269136/reviews?hl=en-CA,a year ago,2021-06-21 21:32:26.715597,5.0,153,Family friendly park great location
7,Parc J.-Arthur-Champagne,ChZDSUhNMG9nS0VJQ0FnSUMweE43MUpBEAE,Anas,https://www.google.com/maps/contrib/116075977463457322571/reviews?hl=en-CA,a year ago,2021-06-21 21:32:26.729718,3.0,2,Big enough to play frisbee. The fountain was underwhelming.
8,Parc J.-Arthur-Champagne,ChdDSUhNMG9nS0VJQ0FnSUNnbWF2MTdnRRAB,Charles-Mathieu Seguin,https://www.google.com/maps/contrib/104862850893705410782/reviews?hl=en-CA,3 years ago,2021-06-21 21:32:26.731053,4.0,104,Cool park
9,Parc J.-Arthur-Champagne,ChdDSUhNMG9nS0VJQ0FnSURReXRyRjhnRRAB,Gunnar Heiberg,https://www.google.com/maps/contrib/110400695524318828684/reviews?hl=en-CA,4 years ago,2021-06-21 21:32:26.732455,5.0,47,Nice park with water fountain
10,Parc J.-Arthur-Champagne,ChZDSUhNMG9nS0VJQ0FnSUN3Z3FUd1l3EAE,Bilal Qandeel,https://www.google.com/maps/contrib/118415279608286685885/reviews?hl=en-CA,2 years ago,2021-06-21 21:32:26.736138,4.0,48,Would be 5* if it had a drinking fountain.
11,Parc J.-Arthur-Champagne,ChZDSUhNMG9nS0VJQ0FnSUN3eXNDVVBnEAE,Artemiy Kryukov,https://www.google.com/maps/contrib/110465784461556276833/reviews?hl=en-CA,3 years ago,2021-06-21 21:32:26.737915,5.0,57,Good parc
12,Parc J.-Arthur-Champagne,ChdDSUhNMG9nS0VJQ0FnSUNpM3BEZWpnRRAB,Dominique Gervais,https://www.google.com/maps/contrib/116023939157518425786/reviews?hl=en-CA,7 months ago,2021-06-21 21:32:26.739877,4.0,175,"(Translated by Google) This is my park, I am there every day. I find that at the end of spring we take much too long to open our beautiful fountains which make this park a jewel of Rosemont. The bins are not emptied often enough. Otherwise, it is good to walk there. Very safe place.

(Original)
C'est mon parc, j'y suis à chaque jour. Je trouve qu'à la fin du printemps on tarde beaucoup trop à ouvrir nos belles fontaines qui font de ce parc un joyaux de Rosemont.  Les poubelles ne sont pas assez vidées souvent. Sinon, il fait bon s'y promener. Endroit très sécuritaire."
13,Parc J.-Arthur-Champagne,ChdDSUhNMG9nS0VJQ0FnSUNxdEpyYjFRRRAB,Catherine Belair,https://www.google.com/maps/contrib/102414340899716871009/reviews?hl=en-CA,3 weeks ago,2021-06-21 21:32:26.742334,4.0,35,"(Translated by Google) Beautiful little park, rather intimate and well maintained, in spring the flowering trees are magnificent.

(Original)
Magnifique petit parc plutôt intime et bien entretenu , au printemps les arbres en fleurs y sont magnifique ."
14,Parc J.-Arthur-Champagne,ChdDSUhNMG9nS0VJQ0FnSUNxOWFlOGlRRRAB,Jean-François Garneau,https://www.google.com/maps/contrib/100990767864554279602/reviews?hl=en-CA,a week ago,2021-06-21 21:32:26.745199,5.0,12,"(Translated by Google) Beautiful

(Original)
Très beau"
15,Parc J.-Arthur-Champagne,ChZDSUhNMG9nS0VJQ0FnSUNxaExMck13EAE,Daniele Barbosa,https://www.google.com/maps/contrib/113189506569178162552/reviews?hl=en-CA,3 weeks ago,2021-06-21 21:32:26.746883,5.0,59,"(Translated by Google) Lots of trees, very nice !!

(Original)
Beaucoup des arbres, très agréable !!"
