,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc J.-D.-Ducharme,ChZDSUhNMG9nS0VJQ0FnSURLajY3ellREAE,Val Alexander,https://www.google.com/maps/contrib/108938792114516139663/reviews?hl=en-CA,a month ago,2021-06-21 21:33:23.492826,4.0,6,This Parked is in a beautiful environment very peaceful our water fountain needs a facelift etc but very grateful for it thanks for asking
1,Parc J.-D.-Ducharme,ChZDSUhNMG9nS0VJQ0FnSURLM3YybVBBEAE,Jibril Marley,https://www.google.com/maps/contrib/112413941290081770845/reviews?hl=en-CA,a month ago,2021-06-21 21:33:23.495034,5.0,18,"This place is good for young peaple
If u have ur kids please bring them here if u want them to be happy"
2,Parc J.-D.-Ducharme,ChZDSUhNMG9nS0VJQ0FnSUNLbTU3c0pREAE,Just Fabulously fabulous,https://www.google.com/maps/contrib/104319082102687025742/reviews?hl=en-CA,2 months ago,2021-06-21 21:33:23.497085,5.0,387,"Love going here, its a good and safe place for kids"
3,Parc J.-D.-Ducharme,ChdDSUhNMG9nS0VJQ0FnSUNxMl9MLTN3RRAB,Mamadou Alpha Ba,https://www.google.com/maps/contrib/107087979216732248505/reviews?hl=en-CA,a day ago,2021-06-21 21:33:23.499001,5.0,6,It's nice place for kids
4,Parc J.-D.-Ducharme,ChdDSUhNMG9nS0VJQ0FnSUNDMjlpRGlBRRAB,Andree Martin (Empress Levi),https://www.google.com/maps/contrib/113672900181428512751/reviews?hl=en-CA,9 months ago,2021-06-21 21:33:23.501098,5.0,46,Very nice installations. Lots of space. Kids love it
5,Parc J.-D.-Ducharme,ChZDSUhNMG9nS0VJQ0FnSURLbGNIakFREAE,Blandine Muteba,https://www.google.com/maps/contrib/110431821307953437080/reviews?hl=en-CA,a month ago,2021-06-21 21:33:23.503043,4.0,42,Nice place
6,Parc J.-D.-Ducharme,ChZDSUhNMG9nS0VJQ0FnSUQwa29pc2FnEAE,Ian Melchers,https://www.google.com/maps/contrib/103883948514718612085/reviews?hl=en-CA,a year ago,2021-06-21 21:33:23.505134,5.0,31,Good for kids. Street parking. Clean.
7,Parc J.-D.-Ducharme,ChZDSUhNMG9nS0VJQ0FnSUNVeDVHT1lBEAE,Raúl Farías,https://www.google.com/maps/contrib/114143822347907436663/reviews?hl=en-CA,a year ago,2021-06-21 21:33:23.507396,4.0,69,Good playground where small and big kids can play and enjoy the time. The only bad thing we found garbage around all the place
8,Parc J.-D.-Ducharme,ChZDSUhNMG9nS0VJQ0FnSUN3b0lhUk1nEAE,Patrick Bayne,https://www.google.com/maps/contrib/111526116118077688643/reviews?hl=en-CA,2 years ago,2021-06-21 21:33:23.509332,3.0,78,Neat little park with a good selection of play equipment for various ages.
9,Parc J.-D.-Ducharme,ChdDSUhNMG9nS0VJQ0FnSURjNTgyeG5RRRAB,Lyta Laponte,https://www.google.com/maps/contrib/108547057596178641062/reviews?hl=en-CA,a year ago,2021-06-21 21:33:23.511241,5.0,64,Crowded but nice for the kids
10,Parc J.-D.-Ducharme,ChZDSUhNMG9nS0VJQ0FnSUNVdU5DQ0NREAE,Rosa Isela,https://www.google.com/maps/contrib/103243460534498596292/reviews?hl=en-CA,a year ago,2021-06-21 21:33:23.513275,5.0,281,Nice and relaxing place to spend the day with the family.
11,Parc J.-D.-Ducharme,ChdDSUhNMG9nS0VJQ0FnSURDbHQzUHp3RRAB,Jaswinder Singh,https://www.google.com/maps/contrib/118047951213129028242/reviews?hl=en-CA,8 months ago,2021-06-21 21:33:23.515390,5.0,3,Worthy to visit
12,Parc J.-D.-Ducharme,ChdDSUhNMG9nS0VJQ0FnSUNDdTVDMjdnRRAB,gurpreet Kalsi,https://www.google.com/maps/contrib/111250338499953278299/reviews?hl=en-CA,9 months ago,2021-06-21 21:33:23.517453,4.0,17,Very nice
13,Parc J.-D.-Ducharme,ChZDSUhNMG9nS0VJQ0FnSUMwbnVhOUx3EAE,verere adasen,https://www.google.com/maps/contrib/105413426479532701323/reviews?hl=en-CA,a year ago,2021-06-21 21:33:23.519362,3.0,121,I love this parc.
14,Parc J.-D.-Ducharme,ChdDSUhNMG9nS0VJQ0FnSUNRMnJ2bTFnRRAB,Paul Van Buren,https://www.google.com/maps/contrib/107447753863572124074/reviews?hl=en-CA,3 years ago,2021-06-21 21:33:23.521650,4.0,140,A good park but could do with a better sprinkler for the kids.
