,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Jean-Amyot,ChZDSUhNMG9nS0VJQ0FnSURDOUpuY1dREAE,Joey Good,https://www.google.com/maps/contrib/108101262279499954807/reviews?hl=en-US,9 months ago,2021-06-24 11:08:04.133296,3.0,16,"Great park, but the huge amount of adult themed graffiti in the children's play area is absurd.
Also, teens smoke a lot of weed there, so if you don't want your child getting second hand high, I'd recommend going before 4pm"
1,Parc Jean-Amyot,ChZDSUhNMG9nS0VJQ0FnSUNLNnNuekpREAE,gustavo veras,https://www.google.com/maps/contrib/111256575686082485939/reviews?hl=en-US,2 months ago,2021-06-24 11:08:04.134287,2.0,59,The park for kids isn't well maintained
2,Parc Jean-Amyot,ChZDSUhNMG9nS0VJQ0FnSUM4OG9YS1pnEAE,Christopher Smith,https://www.google.com/maps/contrib/107026614788072994820/reviews?hl=en-US,11 months ago,2021-06-24 11:08:04.135233,5.0,37,"It's a park, in the summer in beautiful weather, does anybody even ""rate"" parks? Jeez
Anything less than 5 stars would just be dishonest"
3,Parc Jean-Amyot,ChZDSUhNMG9nS0VJQ0FnSUNpeTRuQVVBEAE,Erasmo Magoulas,https://www.google.com/maps/contrib/113187207863161456348/reviews?hl=en-US,7 months ago,2021-06-24 11:08:04.136163,5.0,43,Wonderful park and great neighborhood.
4,Parc Jean-Amyot,ChZDSUhNMG9nS0VJQ0FnSUNZd3ZYX0xnEAE,Eric Chicoine,https://www.google.com/maps/contrib/104960699368157809096/reviews?hl=en-US,2 years ago,2021-06-24 11:08:04.137088,4.0,18,"Great park! For big or small ^^ old or young, there's something for everyone. Two sets of game spaces ( one for younger kids, one for older ones), a skate park and for summer time, a small paddling. Also with two baseball fields and a petanque playing area, there really is something for all! Have fun ! ^^"
5,Parc Jean-Amyot,ChdDSUhNMG9nS0VJQ0FnSUNpdjVmTzlRRRAB,Emiliano García,https://www.google.com/maps/contrib/113177885689419216484/reviews?hl=en-US,7 months ago,2021-06-24 11:08:04.138044,5.0,22,It's perfect to walk
6,Parc Jean-Amyot,ChdDSUhNMG9nS0VJQ0FnSUM0cU5QZm1BRRAB,Carol Francois Cadieux,https://www.google.com/maps/contrib/112385323228608688662/reviews?hl=en-US,2 years ago,2021-06-24 11:08:04.139671,4.0,49,"Nice park, two play sets for the kids, a shallow pool for the hot summer days and a decent little skatepark."
7,Parc Jean-Amyot,ChdDSUhNMG9nS0VJQ0FnSUNDc3NUaXZBRRAB,Cassy Jones,https://www.google.com/maps/contrib/102683871698203562701/reviews?hl=en-US,10 months ago,2021-06-24 11:08:04.140674,5.0,58,Nice pokestops
8,Parc Jean-Amyot,ChZDSUhNMG9nS0VJQ0FnSURZMzdIUmRREAE,Luc-André Grégoire,https://www.google.com/maps/contrib/107264667194346278937/reviews?hl=en-US,2 years ago,2021-06-24 11:08:04.141605,3.0,50,"Nice, public toilet, always good with young children."
9,Parc Jean-Amyot,ChdDSUhNMG9nS0VJQ0FnSUNpeEkyODZRRRAB,Yash Barot,https://www.google.com/maps/contrib/107362925547363605062/reviews?hl=en-US,8 months ago,2021-06-24 11:08:04.142536,4.0,197,Better for kids
