,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Jean-Drapeau,ChdDSUhNMG9nS0VJQ0FnSUNxbG9Yc3hRRRAB,Maxime Thibodeau,https://www.google.com/maps/contrib/106717203044390149210/reviews?hl=en-CA,2 weeks ago,2021-06-24 19:56:53.307877,5.0,42,"Great place to swim! Staff looked organized and were friendly. Covid safety measures seemed to be well respected by both staff and patrons.

The pool was at a nice temperature to swim in even on a cloudy day. There were a few leaves in it at the bottom here and there, but it was still very clean, especially for the first day open of the season!"
1,Parc Jean-Drapeau,ChdDSUhNMG9nS0VJQ0FnSUNxX3JqbnVRRRAB,Lieven M,https://www.google.com/maps/contrib/105609986976905685808/reviews?hl=en-CA,a week ago,2021-06-24 19:56:53.309069,5.0,5,"Parc Jean Drapeau is by far my favorite parc in Montréal so far. It’s a great location for families on a picnic day trip, for amateurs, semi pro and professional bikers, joggers, lovers, or for those who love photography especially flowers macro photography.

It’s a one parc on 2 islands system and the beauty of it is that one can escape the city and its noise, cars, humans, Covid, literally just by crossing the bridge.

A wonderful location to spend hours enjoying nature, birds singing,  color change of our rivers as a factor of skies reflection, trees, greens, and of course my favorite, macro photography.

The sight is even absolutely breathtaking in the fall when leaves colors go from green to red and everything in between the spectrum.

My extra special thank yous to the women and men who work on a daily basis keeping the parc as pretty as it is every day, and to the city for this wonderful treasure."
2,Parc Jean-Drapeau,ChdDSUhNMG9nS0VJQ0FnSUNxazdiUDBBRRAB,Gilbert Ekale Amoding,https://www.google.com/maps/contrib/103408265176117354583/reviews?hl=en-CA,a week ago,2021-06-24 19:56:53.314966,5.0,10,The park is beautiful. The serenity is wonderful if you want to escape the noise of the city. It's got a cool breeze from river saint lawrence. You can have a peaceful day out here.
3,Parc Jean-Drapeau,ChZDSUhNMG9nS0VJQ0FnSUNxaE16X2F3EAE,Danny A. Ignacio,https://www.google.com/maps/contrib/108032108462887481491/reviews?hl=en-CA,4 weeks ago,2021-06-24 19:56:53.316780,4.0,164,"Fun place to visit, I prefer to get around on a bicycle. It's a pretty good big place to walk around.
You can bring picnic and enjoy the view.
You can visit early in the morning to avoid crowds, or at night to enjoy the illuminated areas."
4,Parc Jean-Drapeau,ChZDSUhNMG9nS0VJQ0FnSURLcjhyaVNnEAE,Raed,https://www.google.com/maps/contrib/109721032978951822804/reviews?hl=en-CA,a month ago,2021-06-24 19:56:53.318743,5.0,87,"Many outdoor activities like Rock-climbing Kayaking Wildlife observation Outdoor pool  not sure if it is opened Hiking  25 km Cycling and Picnic area BBQ allowed as well as   metro station inside the park moreover the parking is paid 8$ per hour and 15$ full day time, there is 12 parking areas it is
jewel nestling in the St. Lawrence River, Parc Jean-Drapeau is without doubt one of Montreal most precious assets and a one-of-a-kind place in Canada.
Discover this amazing  urban park."
5,Parc Jean-Drapeau,ChZDSUhNMG9nS0VJQ0FnSUNxNVlHS0JnEAE,Raunak T.,https://www.google.com/maps/contrib/107217959346533403198/reviews?hl=en-CA,a week ago,2021-06-24 19:56:53.321200,5.0,71,Always a beautiful place to visit. You can cycle around everywhere and enjoy the views.
6,Parc Jean-Drapeau,ChdDSUhNMG9nS0VJQ0FnSURLdXRlNDV3RRAB,Julia St. Marthe,https://www.google.com/maps/contrib/105244226630224013005/reviews?hl=en-CA,a month ago,2021-06-24 19:56:53.323178,5.0,147,Beautiful. Relaxing. Can't wait for more colors to bloom on the trees.
7,Parc Jean-Drapeau,ChZDSUhNMG9nS0VJQ0FnSURLanJtcER3EAE,Giorgio Russo,https://www.google.com/maps/contrib/111184710198126708314/reviews?hl=en-CA,a month ago,2021-06-24 19:56:53.325846,5.0,132,"Very nice, peaceful. Cool views, clean, toilets availables, picnic tables, parking. Worth the visit."
8,Parc Jean-Drapeau,ChdDSUhNMG9nS0VJQ0FnSURLcGJfczZnRRAB,Hossie H,https://www.google.com/maps/contrib/100727022582424059712/reviews?hl=en-CA,a month ago,2021-06-24 19:56:53.327670,5.0,64,"Very beautiful park with couple of parkings with hourly rate of 8 dollars.
Has a trail along the river."
9,Parc Jean-Drapeau,ChZDSUhNMG9nS0VJQ0FnSUNxNWRUMkFREAE,Elias Youssef,https://www.google.com/maps/contrib/107857815290256550421/reviews?hl=en-CA,a week ago,2021-06-24 19:56:53.331269,5.0,24,"Very big park where you can hike, do a picnic and even swim
You can go there by metro jean Drappeau station."
