,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Jean-Duceppe,ChdDSUhNMG9nS0VJQ0FnSUNxbnZQM2pnRRAB,Meenakshi Singh,https://www.google.com/maps/contrib/115376387338487415918/reviews?hl=en-US,2 weeks ago,2021-06-24 11:12:01.347027,5.0,27,"It's a beautiful park. I go for run there, they also have tennis court which is really impressive. Always filled up with cute kids."
1,Parc Jean-Duceppe,ChZDSUhNMG9nS0VJQ0FnSUNxMS02TlVnEAE,Fred Funkel,https://www.google.com/maps/contrib/101147568200861559960/reviews?hl=en-US,2 days ago,2021-06-24 11:12:01.348051,3.0,35,Close to chocolat favoris
2,Parc Jean-Duceppe,ChdDSUhNMG9nS0VJQ0FnSURLd1BDaXhBRRAB,Chitra Sewsagur,https://www.google.com/maps/contrib/108825213736067685052/reviews?hl=en-US,a month ago,2021-06-24 11:12:01.348994,5.0,15,"Great for outdoor picnics, ice cream shop nearby 🤗"
3,Parc Jean-Duceppe,ChZDSUhNMG9nS0VJQ0FnSURLLTcyMFB3EAE,Cristian Pidborski,https://www.google.com/maps/contrib/109132145064179054251/reviews?hl=en-US,a month ago,2021-06-24 11:12:01.349925,5.0,36,"There were a lot of people playing or walking or just sitting and talking. Kids, dogs, balls, ice cream, coffee, BBQ.... Almost like in old times before the pandemic."
4,Parc Jean-Duceppe,ChdDSUhNMG9nS0VJQ0FnSUNDM0pPQnJRRRAB,6132,https://www.google.com/maps/contrib/101868873514779336128/reviews?hl=en-US,10 months ago,2021-06-24 11:12:01.350852,5.0,55,"Every park in the city is important, this one included. There's even water fountains for the kids. Usually not too many people and rather quiet."
5,Parc Jean-Duceppe,ChdDSUhNMG9nS0VJQ0FnSURLcjlMczNRRRAB,tony e,https://www.google.com/maps/contrib/117047613871094897847/reviews?hl=en-US,a month ago,2021-06-24 11:12:01.352068,5.0,114,Family friendly spot
6,Parc Jean-Duceppe,ChdDSUhNMG9nS0VJQ0FnSURRaFlUZ293RRAB,Vg G,https://www.google.com/maps/contrib/114092399265107358982/reviews?hl=en-US,3 years ago,2021-06-24 11:12:01.353017,4.0,755,"Clean and well-maintained park, tennis courts, playground for kids."
7,Parc Jean-Duceppe,ChZDSUhNMG9nS0VJQ0FnSUNDcVk2ekNnEAE,Jean-Philippe Daigle,https://www.google.com/maps/contrib/109703244794682161824/reviews?hl=en-US,9 months ago,2021-06-24 11:12:01.353945,5.0,20,The park of Angus shop. Crowded during the day and quiet in the late evening/night. Lots of families.
8,Parc Jean-Duceppe,ChZDSUhNMG9nS0VJQ0FnSUM4bHBpSk1nEAE,Alex Brosseau,https://www.google.com/maps/contrib/110708940058078658996/reviews?hl=en-US,11 months ago,2021-06-24 11:12:01.354882,5.0,14,"Beautiful park! Elaborate splash zone, pétanque courts and beach volleyball!"
9,Parc Jean-Duceppe,ChdDSUhNMG9nS0VJQ0FnSURVcHVuNWhBRRAB,Crystalbeauty Jasmine,https://www.google.com/maps/contrib/118306732609793035309/reviews?hl=en-US,a year ago,2021-06-24 11:12:01.355810,5.0,33,"This is a remarkable water park! The beauty and tranquility you feel with the sprays cooling off your hot skin from the summer heat is indescribably pleasant.
I enjoyed every moment spent here .
I got so carried away, it felt like time stood still ."
10,Parc Jean-Duceppe,ChdDSUhNMG9nS0VJQ0FnSURLaExyZHVnRRAB,Nar Ci,https://www.google.com/maps/contrib/112007065265117840901/reviews?hl=en-US,a month ago,2021-06-24 11:12:01.356743,5.0,10,Love it.
11,Parc Jean-Duceppe,ChZDSUhNMG9nS0VJQ0FnSUM4ck16eWNnEAE,Francis Beauchamp Verdon,https://www.google.com/maps/contrib/112752688762048200031/reviews?hl=en-US,11 months ago,2021-06-24 11:12:01.357670,5.0,26,Lots of trees. Overall the park smelled good.
12,Parc Jean-Duceppe,ChZDSUhNMG9nS0VJQ0FnSURNMWVTaE9nEAE,Ken Sin Lo,https://www.google.com/maps/contrib/109788835451898678359/reviews?hl=en-US,a year ago,2021-06-24 11:12:01.358899,5.0,34,"Great city park, with lots of space. There are also 3 tennis courts. Close to many local shops."
13,Parc Jean-Duceppe,ChdDSUhNMG9nS0VJQ0FnSUNDbnNIa19RRRAB,Stan Hickey,https://www.google.com/maps/contrib/102505001868692026920/reviews?hl=en-US,10 months ago,2021-06-24 11:12:01.359856,3.0,120,Very little shade. Makes for very hot afternoons.
14,Parc Jean-Duceppe,ChdDSUhNMG9nS0VJQ0FnSUMwOWFlU2p3RRAB,Kostya Zhukoff,https://www.google.com/maps/contrib/110351934645979959015/reviews?hl=en-US,a year ago,2021-06-24 11:12:01.360943,5.0,221,Very nice park to visit with family or friends
15,Parc Jean-Duceppe,ChdDSUhNMG9nS0VJQ0FnSUNnc0wzY3NRRRAB,Francois Lord,https://www.google.com/maps/contrib/106430407837730518395/reviews?hl=en-US,3 years ago,2021-06-24 11:12:01.361884,4.0,18,"It will be fantastic in 15 years once the trees are bigger.
The water jets are fun. The area for toddlers is great."
16,Parc Jean-Duceppe,ChdDSUhNMG9nS0VJQ0FnSUM0aFpuUmdBRRAB,Incze Karoly,https://www.google.com/maps/contrib/113614025218446174166/reviews?hl=en-US,2 years ago,2021-06-24 11:12:01.363652,5.0,12,Good family place. Water and sports
17,Parc Jean-Duceppe,ChdDSUhNMG9nS0VJQ0FnSUQ4Mzd5SF9nRRAB,Daniel Lagace,https://www.google.com/maps/contrib/100603620458325114055/reviews?hl=en-US,10 months ago,2021-06-24 11:12:01.364675,4.0,127,Always love parks
