,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Jean-et-Éva-Tremblay,ChdDSUhNMG9nS0VJQ0FnSUR5NzRUY3ZRRRAB,robin singh,https://www.google.com/maps/contrib/100164907211886384070/reviews?hl=en-CA,a month ago,2021-06-24 21:44:11.634611,4.0,20,Good
1,Parc Jean-et-Éva-Tremblay,ChdDSUhNMG9nS0VJQ0FnSURrMk1pUjNBRRAB,Gail Charles,https://www.google.com/maps/contrib/116035006540303665315/reviews?hl=en-CA,2 years ago,2021-06-24 21:44:11.635929,4.0,62,Beautiful park. Kids having fun. Lots of trees.
2,Parc Jean-et-Éva-Tremblay,ChdDSUhNMG9nS0VJQ0FnSUNJaWVmVjNBRRAB,Mickyboy1 youtube Production Affamer team tv2,https://www.google.com/maps/contrib/116938975639537050234/reviews?hl=en-CA,2 years ago,2021-06-24 21:44:11.636897,4.0,32,Good
3,Parc Jean-et-Éva-Tremblay,ChdDSUhNMG9nS0VJQ0FnSUNxa04yRWhRRRAB,Nicolas Masquelier,https://www.google.com/maps/contrib/101805130222188993724/reviews?hl=en-CA,a month ago,2021-06-24 21:44:11.637882,4.0,2,"(Translated by Google) infrequent games for all ages

(Original)
peu frequenté jeux pour tout âge"
4,Parc Jean-et-Éva-Tremblay,ChdDSUhNMG9nS0VJQ0FnSURnbVoybzh3RRAB,Frederick Butz,https://www.google.com/maps/contrib/101292952993764957810/reviews?hl=en-CA,2 years ago,2021-06-24 21:44:11.640742,5.0,128,"(Translated by Google) Very good park

(Original)
Très bon parc"
5,Parc Jean-et-Éva-Tremblay,ChdDSUhNMG9nS0VJQ0FnSURDX1l1Qnp3RRAB,Serge Tanguay,https://www.google.com/maps/contrib/102908907651905120647/reviews?hl=en-CA,8 months ago,2021-06-24 21:44:11.643497,4.0,6,"(Translated by Google) Very nice neighborhood park with children's games.

(Original)
Très joli parc de quartier avec jeux d'enfants."
6,Parc Jean-et-Éva-Tremblay,ChZDSUhNMG9nS0VJQ0FnSUM4NXRiTU13EAE,Hdelorme,https://www.google.com/maps/contrib/108171413469985835264/reviews?hl=en-CA,11 months ago,2021-06-24 21:44:11.645345,5.0,15,"(Translated by Google) Very good park!

(Original)
Très bon parc!"
7,Parc Jean-et-Éva-Tremblay,ChdDSUhNMG9nS0VJQ0FnSUM4bTRUNnlRRRAB,Tere Sanz Teresanz,https://www.google.com/maps/contrib/106897853257077479282/reviews?hl=en-CA,11 months ago,2021-06-24 21:44:11.647634,4.0,28,"(Translated by Google) Nice little park to go with the family

(Original)
Beau petit parc pour aller en famille"
8,Parc Jean-et-Éva-Tremblay,ChZDSUhNMG9nS0VJQ0FnSURpMktfek1BEAE,Yakup Cicek,https://www.google.com/maps/contrib/108580943852027184067/reviews?hl=en-CA,7 months ago,2021-06-24 21:44:11.653150,4.0,92,"(Translated by Google) Clean

(Original)
Propre"
9,Parc Jean-et-Éva-Tremblay,ChdDSUhNMG9nS0VJQ0FnSURZbjlMQnh3RRAB,Mylène Daneau,https://www.google.com/maps/contrib/100185902161872112746/reviews?hl=en-CA,2 years ago,2021-06-24 21:44:11.655037,5.0,1,"(Translated by Google) beautiful spot
quiet street
it's a pleasure to live in front of this beautiful space

(Original)
beau spot
rue calme
c'est un bonheur d'habiter en face de ce bel espace"
10,Parc Jean-et-Éva-Tremblay,ChdDSUhNMG9nS0VJQ0FnSURreDl6MWxnRRAB,Marie-France Lavoie-Sergerie,https://www.google.com/maps/contrib/104113053114118958311/reviews?hl=en-CA,a year ago,2021-06-24 21:44:11.656895,5.0,36,"(Translated by Google) Surrounded by Place Guillet and Marius-Dufresne Street, the park is like an island of greenery, in a quiet area. Modules interesting and in good condition. The 0-5 age group is in wood chips, while the 6-12 year old part is in sand. The modules for 6-12 year olds are used by toddlers too. A gem of a neighborhood park, this is the ultimate RV for families in the area and those attending the CPE opposite.

(Original)
Entouré de la Place Guillet et de la rue Marius-Dufresne, le parc est comme une île de verdure, dans un secteur tranquille. Modules intéressants et en bon état. La partie 0-5 ans est en copeaux de bois, tandis que la partie 6-12 ans est en sable. Les modules pour les 6-12 ans sont utilisés par des tout-petits aussi. Petit bijou de parc de quartier, c'est le RV par excellence des familles du coin et de celles fréquentant le CPE juste en face."
11,Parc Jean-et-Éva-Tremblay,ChdDSUhNMG9nS0VJQ0FnSURZeTRpYTZRRRAB,David Marcone,https://www.google.com/maps/contrib/118056734663361391961/reviews?hl=en-CA,2 years ago,2021-06-24 21:44:11.657861,5.0,79,"(Translated by Google) Well located and landscaped, shaded by mature trees, an ideal family park in Rosemont. Annual picnic of the park's friends, a must!

(Original)
Bien situé et aménagé, ombragé par des arbres matures, un parc familial idéal dans rosemont. Pique nique annuel des amis du parc, un must!"
12,Parc Jean-et-Éva-Tremblay,ChdDSUhNMG9nS0VJQ0FnSURZMG83ZC1BRRAB,Sorin Tudose,https://www.google.com/maps/contrib/100460306499055575314/reviews?hl=en-CA,2 years ago,2021-06-24 21:44:11.660251,5.0,117,"(Translated by Google) A lot of rides for children and it's closed with a fence

(Original)
Beaucoup de manège pour les enfants et c'est fermé avec une clôture"
13,Parc Jean-et-Éva-Tremblay,ChdDSUhNMG9nS0VJQ0FnSUNnck43QXB3RRAB,Patrick Lariviere,https://www.google.com/maps/contrib/112834891086748870994/reviews?hl=en-CA,2 years ago,2021-06-24 21:44:11.662608,4.0,100,"(Translated by Google) Nice place for the little ones .... ps dog owner picking up the needs of your pet and not in the section of the children's park .... a little respect already that children can not even play in the grass without to fall on a ta ......

(Original)
Belle endroit pour les tout petit....ps proprietaire de chien ramasser les besoin de votre animal et pas dans la section du parc d enfants....un peu de respect deja que les enfants ne peuvent même plus jouer dans le gazon sans tomber sur un ta de m......"
14,Parc Jean-et-Éva-Tremblay,ChZDSUhNMG9nS0VJQ0FnSUNRLVlHdFlREAE,yves dreyfus,https://www.google.com/maps/contrib/107787048839082138635/reviews?hl=en-CA,3 years ago,2021-06-24 21:44:11.664616,5.0,131,"(Translated by Google) Superb small park very quiet
Toddlers love it

(Original)
Superbe petit parc très calme
Les tout petits adorent"
15,Parc Jean-et-Éva-Tremblay,ChdDSUhNMG9nS0VJQ0FnSURremRtaG93RRAB,Marie-Pierre Tremblay,https://www.google.com/maps/contrib/113788373124414909888/reviews?hl=en-CA,a year ago,2021-06-24 21:44:11.666587,5.0,38,"(Translated by Google) Beautiful park for children

(Original)
Beau parc pour les enfants"
16,Parc Jean-et-Éva-Tremblay,ChdDSUhNMG9nS0VJQ0FnSUNnd1pDd2hnRRAB,Yoena Dominguez Rivero,https://www.google.com/maps/contrib/110198889112573083740/reviews?hl=en-CA,4 years ago,2021-06-24 21:44:11.668166,5.0,4,"(Translated by Google) An amazing place

(Original)
Un lugar asombroso"
17,Parc Jean-et-Éva-Tremblay,ChdDSUhNMG9nS0VJQ0FnSUNBOXNYVDR3RRAB,Alexis Gagné-LeBrun,https://www.google.com/maps/contrib/116235470226589347790/reviews?hl=en-CA,2 years ago,2021-06-24 21:44:11.669922,5.0,2,"(Translated by Google) Varied games for children of all ages.

(Original)
Jeux variés pour les enfants de tous les âges."
18,Parc Jean-et-Éva-Tremblay,ChdDSUhNMG9nS0VJQ0FnSURVZ3RmaDRBRRAB,Christian Lefebvre,https://www.google.com/maps/contrib/102926291539878642161/reviews?hl=en-CA,a year ago,2021-06-24 21:44:11.672188,5.0,24,"(Translated by Google) Beautiful park!

(Original)
Beau parc!"
