,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Jeanne-Mance,ChZDSUhNMG9nS0VJQ0FnSUNxX1liU0d3EAE,Stephany Vinas,https://www.google.com/maps/contrib/108273006547620440377/reviews?hl=en-US,6 days ago,2021-06-23 14:16:35.282189,5.0,20,"I don’t think there’s much to say about this place. It’s great for a picnic, or an outside gathering with friends. Bixis and bike paths are near this place, as well as mount royal and many restaurants as you are between plateau and downtown."
1,Parc Jeanne-Mance,ChZDSUhNMG9nS0VJQ0FnSUR5ejQ2Z0JBEAE,Max Salmela,https://www.google.com/maps/contrib/114773031300172206610/reviews?hl=en-US,3 months ago,2021-06-23 14:16:35.283549,5.0,50,"A little covid won't hold back the fun and games to be had at the park! Have a picnic, BBQ, watch people play tennis or hockey in winter, and tam tams whenever the weather is acceptable. There's softball as well, just bring all the equipment and teams. It's a great part of the city and I hope it never changes."
2,Parc Jeanne-Mance,ChZDSUhNMG9nS0VJQ0FnSURLOWZXX01nEAE,Andrés Delgado,https://www.google.com/maps/contrib/113804990196130302942/reviews?hl=en-US,a month ago,2021-06-23 14:16:35.284606,5.0,21,"Great place for family and friends. Lots of amenities, great playground, beach volleyball, soccer fields and skating rink."
3,Parc Jeanne-Mance,ChZDSUhNMG9nS0VJQ0FnSUNLLWVLWmFnEAE,cedric Knight,https://www.google.com/maps/contrib/105693581267621375540/reviews?hl=en-US,2 months ago,2021-06-23 14:16:35.285754,4.0,7,Its a great place to play sports or to Barbecue. They finally reopen the Bathroom but there is only one outhouse. Yes one for hundreds of Park dwellers. Still a nice place to hang out and 420 with a couple of IPA's..
4,Parc Jeanne-Mance,ChdDSUhNMG9nS0VJQ0FnSUNxMjh5bTZ3RRAB,Nagina Zarin,https://www.google.com/maps/contrib/106397133233333166379/reviews?hl=en-US,3 days ago,2021-06-23 14:16:35.288203,5.0,3,We enjoyed walking through the woods to the Mount Royal cross. It was an amazing experience.
5,Parc Jeanne-Mance,ChdDSUhNMG9nS0VJQ0FnSURLdjlLeTFRRRAB,Chetna Mohanty,https://www.google.com/maps/contrib/117037980116645880559/reviews?hl=en-US,a month ago,2021-06-23 14:16:35.289852,5.0,34,I had such a great time today! Met a new friend here :) I must say this place is a few degrees vooler than the city! 😉
6,Parc Jeanne-Mance,ChdDSUhNMG9nS0VJQ0FnSUNxazViOXBBRRAB,Gilbert Ekale Amoding,https://www.google.com/maps/contrib/103408265176117354583/reviews?hl=en-US,5 days ago,2021-06-23 14:16:35.291051,5.0,10,"The park is close the mountain. If you like smoking weed, here is the popular spot. There is a bixi stop as well."
7,Parc Jeanne-Mance,ChZDSUhNMG9nS0VJQ0FnSUNxd1BtOEp3EAE,Kate Taylor,https://www.google.com/maps/contrib/100225815075662710541/reviews?hl=en-US,a month ago,2021-06-23 14:16:35.292100,4.0,46,"Needs a few more open bathrooms for the amount of people taking advantage of the green space, but it's a beautiful park!"
8,Parc Jeanne-Mance,ChZDSUhNMG9nS0VJQ0FnSUNLdjdxSGFBEAE,Emilie Noel,https://www.google.com/maps/contrib/115605471157011860922/reviews?hl=en-US,a month ago,2021-06-23 14:16:35.293273,4.0,82,"Great big park in the heart of Montreal. Lots of small shops around to grab a bite to eat. However, public bathrooms are HORRIBLE so make sure you do your business somewhere else or wait to get home!"
9,Parc Jeanne-Mance,ChdDSUhNMG9nS0VJQ0FnSUNxeXA2Y3RRRRAB,contr crese,https://www.google.com/maps/contrib/109161757487919998865/reviews?hl=en-US,2 weeks ago,2021-06-23 14:16:35.294374,5.0,3,"a good park to hang out, you always hear the music and beats every sunday from across the street"
10,Parc Jeanne-Mance,ChZDSUhNMG9nS0VJQ0FnSURLaFBIRWF3EAE,Mamadou Moussa Camara,https://www.google.com/maps/contrib/116014413006772780504/reviews?hl=en-US,a month ago,2021-06-23 14:16:35.295445,5.0,48,Very nice and well maintained park. So convenient for joggers as well as bicycling and of course walkers 😁
11,Parc Jeanne-Mance,ChdDSUhNMG9nS0VJQ0FnSUNLNElIM29BRRAB,Mike Long,https://www.google.com/maps/contrib/114147039877406529779/reviews?hl=en-US,2 months ago,2021-06-23 14:16:35.296610,5.0,284,"I fell asleep here once in 2007, no one bothered me"
