,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Joe-Beef,ChdDSUhNMG9nS0VJQ0FnSUR5bDdmbWxBRRAB,Mathias Ranft,https://www.google.com/maps/contrib/117468070949354527695/reviews?hl=en-CA,3 months ago,2021-06-21 23:41:58.573067,4.0,215,It's a neat park for the whole neighborhood. It's ideal for families to go with their kids to the playfield and also for people who like to play football (soccer). Not very big.
1,Parc Joe-Beef,ChdDSUhNMG9nS0VJQ0FnSUQ0aE12Z3l3RRAB,Roger Chabot,https://www.google.com/maps/contrib/111382870095697570549/reviews?hl=en-CA,2 years ago,2021-06-21 23:41:58.576126,5.0,11,Not enough tree on sunny day. Nice playground
2,Parc Joe-Beef,ChZDSUhNMG9nS0VJQ0FnSUNxeGZXOUZnEAE,Mateo Stabio,https://www.google.com/maps/contrib/111759343188901737728/reviews?hl=en-CA,a week ago,2021-06-21 23:41:58.578508,5.0,29,Nice seating options. Clean park.
3,Parc Joe-Beef,ChdDSUhNMG9nS0VJQ0FnSUMwNzdERXpnRRAB,Neal Irvine,https://www.google.com/maps/contrib/114552320878176698982/reviews?hl=en-CA,a year ago,2021-06-21 23:41:58.580384,5.0,187,Fantastic new park!
4,Parc Joe-Beef,ChdDSUhNMG9nS0VJQ0FnSUNVM3FQSWx3RRAB,David,https://www.google.com/maps/contrib/109575511781193792417/reviews?hl=en-CA,a year ago,2021-06-21 23:41:58.582072,4.0,64,New park
5,Parc Joe-Beef,ChdDSUhNMG9nS0VJQ0FnSURDd3RuZnlnRRAB,Christian Guilbault,https://www.google.com/maps/contrib/107189055764688129838/reviews?hl=en-CA,9 months ago,2021-06-21 23:41:58.583338,5.0,6,"(Translated by Google) The perfect place with young children! Very clean, well landscaped and fenced!

(Original)
L'endroit idéal avec de jeunes enfants! Très propre, bien aménagé et clôturé!"
6,Parc Joe-Beef,ChdDSUhNMG9nS0VJQ0FnSUNVN3BEc3FRRRAB,David Germain,https://www.google.com/maps/contrib/116401737492739538561/reviews?hl=en-CA,a year ago,2021-06-21 23:41:58.585230,4.0,35,"(Translated by Google) Beautiful large children's park surrounded by a fence that closes. Several modules for small and older, as well as water games. There is a nice grassy area with chairs and tall trees that offer shadows in summer.

(Original)
Beau grand parc pour enfants entouré d'une clôture qui se ferme. Plusieurs modules pour petits et plus vieux, ainsi que des jeux d'eau. Il y a un bel endroit gazonné avec des chaises et de grands arbres qui offrent des zones d'ombres en été."
7,Parc Joe-Beef,ChdDSUhNMG9nS0VJQ0FnSURDanJUejNnRRAB,Lise Taché,https://www.google.com/maps/contrib/103483750551264489832/reviews?hl=en-CA,8 months ago,2021-06-21 23:41:58.587315,5.0,6,"(Translated by Google) Beautiful play structures and water games

(Original)
Belles structures de jeux et jeux d'eau"
8,Parc Joe-Beef,ChdDSUhNMG9nS0VJQ0FnSUNLNU1tTF93RRAB,pablo polo,https://www.google.com/maps/contrib/111259819434584240757/reviews?hl=en-CA,2 months ago,2021-06-21 23:41:58.589729,4.0,5,
9,Parc Joe-Beef,ChdDSUhNMG9nS0VJQ0FnSUNLMzdmLS1BRRAB,Marie-Pier Carpentier,https://www.google.com/maps/contrib/114114264585389458282/reviews?hl=en-CA,a month ago,2021-06-21 23:41:58.592360,5.0,37,
10,Parc Joe-Beef,ChdDSUhNMG9nS0VJQ0FnSURVXy1DUzN3RRAB,Johnny George,https://www.google.com/maps/contrib/104639442002223754505/reviews?hl=en-CA,a year ago,2021-06-21 23:41:58.594603,4.0,70,
11,Parc Joe-Beef,ChdDSUhNMG9nS0VJQ0FnSURDX2U2MHVBRRAB,Laura Cousineau,https://www.google.com/maps/contrib/102195481340001667933/reviews?hl=en-CA,8 months ago,2021-06-21 23:41:58.596003,5.0,56,
12,Parc Joe-Beef,ChdDSUhNMG9nS0VJQ0FnSURDazUzVnR3RRAB,Jess Amiot,https://www.google.com/maps/contrib/110102710340887304653/reviews?hl=en-CA,8 months ago,2021-06-21 23:41:58.598901,5.0,3,
