,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Jonathan-Wilson,ChdDSUhNMG9nS0VJQ0FnSUNDbGVpOWpBRRAB,Yuval Kisin,https://www.google.com/maps/contrib/117620512046698017799/reviews?hl=en-CA,9 months ago,2021-06-21 23:43:56.994023,4.0,57,"It's a really nice park with a lot of things to do like a splash around in the splash park and also exercise in the exercise park. There are so many things to do including tennis, playing in sand, etc."
1,Parc Jonathan-Wilson,ChZDSUhNMG9nS0VJQ0FnSURDcnJxckRnEAE,Bogdan Badulescu,https://www.google.com/maps/contrib/103214028289576408567/reviews?hl=en-CA,8 months ago,2021-06-21 23:43:56.995979,5.0,17,It's a great place for a walk and for a tennis match. With all the leaves falling it needs a broom on the courts.
2,Parc Jonathan-Wilson,ChZDSUhNMG9nS0VJQ0FnSUNxenFhdEdBEAE,Rui B.,https://www.google.com/maps/contrib/105904994177743328838/reviews?hl=en-CA,2 weeks ago,2021-06-21 23:43:56.999334,5.0,77,Slides and soccer nets
3,Parc Jonathan-Wilson,ChdDSUhNMG9nS0VJQ0FnSUMwbjkzODJBRRAB,Canadian Visitor,https://www.google.com/maps/contrib/101303311829233924875/reviews?hl=en-CA,a year ago,2021-06-21 23:43:57.002948,5.0,83,Nice clean and quiet. Water fountain. Water parc. Lot of trees. Parking lot. Outdoor fitness machines for adults.  Playground for kids.
4,Parc Jonathan-Wilson,ChdDSUhNMG9nS0VJQ0FnSUNnaThUSS1nRRAB,Karl Xavier Dagenais,https://www.google.com/maps/contrib/100051612450688931280/reviews?hl=en-CA,4 years ago,2021-06-21 23:43:57.005257,5.0,89,"Great tennis courts with high fence. Quiet, with park for kids and decent sized soccer field. Also has a basketball court and not far from forest trails."
5,Parc Jonathan-Wilson,ChZDSUhNMG9nS0VJQ0FnSUNvdzl1NE5BEAE,Louis-Thomas Griffin,https://www.google.com/maps/contrib/106106523212451755931/reviews?hl=en-CA,2 years ago,2021-06-21 23:43:57.007185,4.0,2,Probably the best part of going to the school tbh.
6,Parc Jonathan-Wilson,ChZDSUhNMG9nS0VJQ0FnSUNnc0s2YU1nEAE,Mr.dodle,https://www.google.com/maps/contrib/112090873972483254356/reviews?hl=en-CA,3 years ago,2021-06-21 23:43:57.009530,4.0,11,It's really amazing for summer and I would probably visit the place every day if I could
7,Parc Jonathan-Wilson,ChdDSUhNMG9nS0VJQ0FnSUNDbDdUNzhBRRAB,Henri Thai,https://www.google.com/maps/contrib/102423519394954392369/reviews?hl=en-CA,9 months ago,2021-06-21 23:43:57.011474,5.0,310,My grandchildren go to the school nearby!!!!
8,Parc Jonathan-Wilson,ChZDSUhNMG9nS0VJQ0FnSURBNjhLR0ZnEAE,Donna Mccallum,https://www.google.com/maps/contrib/104552288621411783586/reviews?hl=en-CA,2 years ago,2021-06-21 23:43:57.013850,5.0,34,Great local park
9,Parc Jonathan-Wilson,ChdDSUhNMG9nS0VJQ0FnSUNDbUx1cnFBRRAB,Revah Virdi,https://www.google.com/maps/contrib/116528625782076520601/reviews?hl=en-CA,10 months ago,2021-06-21 23:43:57.015791,5.0,19,Beautiful parc!!!!
10,Parc Jonathan-Wilson,ChdDSUhNMG9nS0VJQ0FnSUN3X2RDVWd3RRAB,Martin Clermont,https://www.google.com/maps/contrib/114065796993144915633/reviews?hl=en-CA,4 years ago,2021-06-21 23:43:57.018128,3.0,173,Good place down there
11,Parc Jonathan-Wilson,ChdDSUhNMG9nS0VJQ0FnSURZejhIUXBRRRAB,Hicham Jahami,https://www.google.com/maps/contrib/101999086613593114929/reviews?hl=en-CA,2 years ago,2021-06-21 23:43:57.022370,5.0,7,Amazing
12,Parc Jonathan-Wilson,ChZDSUhNMG9nS0VJQ0FnSUNDcV82NmVnEAE,Nikolaki T,https://www.google.com/maps/contrib/102518643318126096277/reviews?hl=en-CA,9 months ago,2021-06-21 23:43:57.025901,5.0,176,It's clean
13,Parc Jonathan-Wilson,ChZDSUhNMG9nS0VJQ0FnSUN3blphRklBEAE,Tom Plesz,https://www.google.com/maps/contrib/110909044320593049569/reviews?hl=en-CA,4 years ago,2021-06-21 23:43:57.027878,5.0,202,Huge
14,Parc Jonathan-Wilson,ChdDSUhNMG9nS0VJQ0FnSUNRdnRUc193RRAB,Mathieu Taddeo,https://www.google.com/maps/contrib/105579412307866679223/reviews?hl=en-CA,4 years ago,2021-06-21 23:43:57.030627,5.0,60,Nice spacious area
15,Parc Jonathan-Wilson,ChdDSUhNMG9nS0VJQ0FnSUNRb3NmRTRBRRAB,Sam Attia,https://www.google.com/maps/contrib/117430673359754206735/reviews?hl=en-CA,4 years ago,2021-06-21 23:43:57.032947,5.0,34,Kids love it
