,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Jos-Montferrand,ChdDSUhNMG9nS0VJQ0FnSURzeVotRWpRRRAB,Mario Palardy,https://www.google.com/maps/contrib/102621330595361467715/reviews?hl=en-CA,a year ago,2021-06-21 23:44:50.244307,5.0,3,A beautiful spring day in the park with dad! Passing through with my leash on of course 🐾🐾
1,Parc Jos-Montferrand,ChZDSUhNMG9nS0VJQ0FnSUNxb05DOUx3EAE,Bro Man,https://www.google.com/maps/contrib/113412890592287577479/reviews?hl=en-CA,4 weeks ago,2021-06-21 23:44:50.245675,4.0,75,"Cute little park for a dog, but nobody wrsds a mark when working out."
2,Parc Jos-Montferrand,ChZDSUhNMG9nS0VJQ0FnSUMwX3FMSUdnEAE,David Jackson Blue Garbage Tupper Ware House,https://www.google.com/maps/contrib/114013054847664948046/reviews?hl=en-CA,a year ago,2021-06-21 23:44:50.246767,4.0,111,I love this place. Not for the fire works but i do LOVE it.
3,Parc Jos-Montferrand,ChZDSUhNMG9nS0VJQ0FnSURROHF2R1hREAE,Clownsadik,https://www.google.com/maps/contrib/115419318951773031284/reviews?hl=en-CA,3 years ago,2021-06-21 23:44:50.247869,3.0,244,Nice place to walk ! fresh air and relaxing ...
4,Parc Jos-Montferrand,ChdDSUhNMG9nS0VJQ0FnSUQ4OWJtNjdBRRAB,Serge Balimaka,https://www.google.com/maps/contrib/115723103117493913963/reviews?hl=en-CA,10 months ago,2021-06-21 23:44:50.249330,4.0,164,Nice place to be
5,Parc Jos-Montferrand,ChZDSUhNMG9nS0VJQ0FnSUN3b1o3WEVREAE,Zoir Radjabov,https://www.google.com/maps/contrib/100249706059581510387/reviews?hl=en-CA,4 years ago,2021-06-21 23:44:50.250293,5.0,637,Small but cozy park.
6,Parc Jos-Montferrand,ChdDSUhNMG9nS0VJQ0FnSURrXzRhRjJBRRAB,Cassandre St-Louis,https://www.google.com/maps/contrib/115710263563161882799/reviews?hl=en-CA,a year ago,2021-06-21 23:44:50.251439,4.0,32,Nice
7,Parc Jos-Montferrand,ChdDSUhNMG9nS0VJQ0FnSURNMTRhNnlBRRAB,Kayla Kendall,https://www.google.com/maps/contrib/107515599809060542012/reviews?hl=en-CA,a year ago,2021-06-21 23:44:50.252389,5.0,300,Beautiful
8,Parc Jos-Montferrand,ChZDSUhNMG9nS0VJQ0FnSUNnaDlqTVR3EAE,Mun eeb,https://www.google.com/maps/contrib/105763720081692306426/reviews?hl=en-CA,3 years ago,2021-06-21 23:44:50.253364,4.0,249,It was good
9,Parc Jos-Montferrand,ChdDSUhNMG9nS0VJQ0FnSUN3Mklmd3NBRRAB,HYP NOTIK,https://www.google.com/maps/contrib/102914995319799998619/reviews?hl=en-CA,3 years ago,2021-06-21 23:44:50.254425,5.0,16,Firework
