,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Joseph-Avila-Proulx,ChdDSUhNMG9nS0VJQ0FnSUQ4OTV5YnVBRRAB,Ali Aladdin,https://www.google.com/maps/contrib/110165603786811769024/reviews?hl=en-CA,10 months ago,2021-06-21 23:45:20.454126,4.0,79,Very nice and quiet park. Has lots of shades and a bike path. It also has a basketball court and a grass area for soccer. It is very well taken care of. It has a couple of picnic tables and some benches too
1,Parc Joseph-Avila-Proulx,ChdDSUhNMG9nS0VJQ0FnSURTMnVEYm1nRRAB,Yash Barot,https://www.google.com/maps/contrib/107362925547363605062/reviews?hl=en-CA,5 months ago,2021-06-21 23:45:20.457490,4.0,197,Its good but not that good
2,Parc Joseph-Avila-Proulx,ChdDSUhNMG9nS0VJQ0FnSURZeUxhUHhRRRAB,Leonid Chukhovsky,https://www.google.com/maps/contrib/115241095032474906469/reviews?hl=en-CA,2 years ago,2021-06-21 23:45:20.459227,4.0,733,"Small, but we'll maintained"
3,Parc Joseph-Avila-Proulx,ChdDSUhNMG9nS0VJQ0FnSURrM1lEU2pnRRAB,kevin patel,https://www.google.com/maps/contrib/100670350507566616171/reviews?hl=en-CA,a year ago,2021-06-21 23:45:20.461352,5.0,1,Nice place
4,Parc Joseph-Avila-Proulx,ChdDSUhNMG9nS0VJQ0FnSUNBLXFHc2p3RRAB,Jack Daniel,https://www.google.com/maps/contrib/113669521136632183591/reviews?hl=en-CA,2 years ago,2021-06-21 23:45:20.462937,5.0,15,Take a break
5,Parc Joseph-Avila-Proulx,ChZDSUhNMG9nS0VJQ0FnSUMwaXVITEt3EAE,Guylaine Desjardins,https://www.google.com/maps/contrib/101802080522592723167/reviews?hl=en-CA,a year ago,2021-06-21 23:45:20.464340,4.0,30,"(Translated by Google) Parcontre should not put the trash cans next to the benches because its the carrion and also the insects rust around us. There are also people who do not pick up the feces of their dog.

(Original)
Parcontre devrait pas mettre les poubelles a côté des bancs car sa pu la charogne et aussi les insectes rodent autour de nous. Il y a des gens aussi qui ramassent pas les excréments de leur chien."
6,Parc Joseph-Avila-Proulx,ChdDSUhNMG9nS0VJQ0FnSURzNEltVjlBRRAB,Dani dani,https://www.google.com/maps/contrib/106304797946195220910/reviews?hl=en-CA,a year ago,2021-06-21 23:45:20.465724,4.0,77,
7,Parc Joseph-Avila-Proulx,ChdDSUhNMG9nS0VJQ0FnSUQwdGNydzJBRRAB,Chris Calalang,https://www.google.com/maps/contrib/110967536976662496624/reviews?hl=en-CA,a year ago,2021-06-21 23:45:20.467198,5.0,4,
8,Parc Joseph-Avila-Proulx,ChdDSUhNMG9nS0VJQ0FnSURLeHJTdTFnRRAB,Reda Metwally,https://www.google.com/maps/contrib/107957867798353989405/reviews?hl=en-CA,a month ago,2021-06-21 23:45:20.469559,5.0,1,
9,Parc Joseph-Avila-Proulx,ChdDSUhNMG9nS0VJQ0FnSUNReFlidnBRRRAB,Patrick Chouinard,https://www.google.com/maps/contrib/103463060913828638884/reviews?hl=en-CA,8 years ago,2021-06-21 23:45:20.471536,4.0,0,
10,Parc Joseph-Avila-Proulx,ChdDSUhNMG9nS0VJQ0FnSURZcXJHNm5RRRAB,Hicham Jahami,https://www.google.com/maps/contrib/101999086613593114929/reviews?hl=en-CA,2 years ago,2021-06-21 23:45:20.473906,5.0,7,
11,Parc Joseph-Avila-Proulx,ChdDSUhNMG9nS0VJQ0FnSUM4OXZ1Z2d3RRAB,Kevin Boyer,https://www.google.com/maps/contrib/109640814743870239953/reviews?hl=en-CA,11 months ago,2021-06-21 23:45:20.475255,5.0,56,
12,Parc Joseph-Avila-Proulx,ChZDSUhNMG9nS0VJQ0FnSUNzNWZ5YmZ3EAE,Daniel Deschatelets,https://www.google.com/maps/contrib/105337591323306983912/reviews?hl=en-CA,a year ago,2021-06-21 23:45:20.476636,4.0,6,
13,Parc Joseph-Avila-Proulx,ChZDSUhNMG9nS0VJQ0FnSUNRc1lENmJnEAE,Luc Bialowas,https://www.google.com/maps/contrib/100234583109905492086/reviews?hl=en-CA,3 years ago,2021-06-21 23:45:20.478237,3.0,9,
14,Parc Joseph-Avila-Proulx,ChZDSUhNMG9nS0VJQ0FnSUNDNFluX1J3EAE,Jonathan Bohbot,https://www.google.com/maps/contrib/108018441883209313339/reviews?hl=en-CA,9 months ago,2021-06-21 23:45:20.480230,4.0,25,
15,Parc Joseph-Avila-Proulx,ChZDSUhNMG9nS0VJQ0FnSUN3c3FQek13EAE,Math Berth,https://www.google.com/maps/contrib/102621588060992027378/reviews?hl=en-CA,3 years ago,2021-06-21 23:45:20.482536,5.0,3,
16,Parc Joseph-Avila-Proulx,ChZDSUhNMG9nS0VJQ0FnSURRcDVQVkN3EAE,David Poulin,https://www.google.com/maps/contrib/113848406190005736790/reviews?hl=en-CA,2 years ago,2021-06-21 23:45:20.484483,5.0,4,
17,Parc Joseph-Avila-Proulx,ChZDSUhNMG9nS0VJQ0FnSUM4bTVMSENREAE,Hugo Bonenfant,https://www.google.com/maps/contrib/103763475360672780079/reviews?hl=en-CA,11 months ago,2021-06-21 23:45:20.486846,3.0,0,
