,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Joseph-Paré,ChdDSUhNMG9nS0VJQ0FnSUNxZzhpMXpnRRAB,Calin Giurgiu,https://www.google.com/maps/contrib/114056647584033297511/reviews?hl=en-CA,5 days ago,2021-06-21 23:48:20.722705,4.0,11,"Nice park, but it gets crowded after early morning. The walkways could use some TLC and would be nice to have more benches. The Adirondack chair on top of the hill is a nice touch. should have more of those to enjoy the top of the hill view."
1,Parc Joseph-Paré,ChZDSUhNMG9nS0VJQ0FnSURLM19tdEN3EAE,Robert Mumba,https://www.google.com/maps/contrib/112077783364252784438/reviews?hl=en-CA,a month ago,2021-06-21 23:48:20.723714,5.0,4,A very nice and  refreshing place. So quiet and clean environment. One would always want to be there.
2,Parc Joseph-Paré,ChZDSUhNMG9nS0VJQ0FnSUR5aVBySlFBEAE,Liana Chaaban,https://www.google.com/maps/contrib/111459156397590161335/reviews?hl=en-CA,3 months ago,2021-06-21 23:48:20.724752,5.0,42,"Enjoyed the sliding! Lovely little park! I noticed a little round skating ⛸ area, i will definitely try it out! Fun park for kids, family and adults that are young at heart ❤💙😆😁"
3,Parc Joseph-Paré,ChZDSUhNMG9nS0VJQ0FnSURTeWUzcUt3EAE,ultraviolet light,https://www.google.com/maps/contrib/104844479845696368101/reviews?hl=en-CA,5 months ago,2021-06-21 23:48:20.725676,4.0,352,"One side of the hill is steeper and has slushy parts, the other side is not as smooth. There's also an icy path you can slide down without a sled, just watch out for slow kids and the posts protecting a young tree."
4,Parc Joseph-Paré,ChZDSUhNMG9nS0VJQ0FnSUNxdzZMaFh3EAE,Marc-Olivier Cauchy,https://www.google.com/maps/contrib/106200768324438753765/reviews?hl=en-CA,5 days ago,2021-06-21 23:48:20.726885,5.0,3,Great park to hang out with a beautiful view
5,Parc Joseph-Paré,ChZDSUhNMG9nS0VJQ0FnSURLd0lMZEtnEAE,EEA EFA,https://www.google.com/maps/contrib/104472791412317110480/reviews?hl=en-CA,a month ago,2021-06-21 23:48:20.730232,4.0,9,"nice, but quite small park"
6,Parc Joseph-Paré,ChdDSUhNMG9nS0VJQ0FnSURDeTZpczhRRRAB,Jake Wong,https://www.google.com/maps/contrib/107062559260029866297/reviews?hl=en-CA,8 months ago,2021-06-21 23:48:20.731844,5.0,225,A good park suitable for kids
7,Parc Joseph-Paré,ChZDSUhNMG9nS0VJQ0FnSURDLWMzcUVnEAE,Devansh Shrivastava,https://www.google.com/maps/contrib/115730173232556552273/reviews?hl=en-CA,8 months ago,2021-06-21 23:48:20.733170,5.0,56,"Love this parc, great for kids and love the hill to run up and down on."
8,Parc Joseph-Paré,ChZDSUhNMG9nS0VJQ0FnSURLa3R1cGJBEAE,Alex Arnatsiaq,https://www.google.com/maps/contrib/115579255138935584797/reviews?hl=en-CA,a month ago,2021-06-21 23:48:20.735584,4.0,12,Great spot to chill
9,Parc Joseph-Paré,ChdDSUhNMG9nS0VJQ0FnSURVdXJpeXFRRRAB,Milosz Janda,https://www.google.com/maps/contrib/114567164782757255874/reviews?hl=en-CA,4 weeks ago,2021-06-21 23:48:20.738395,4.0,250,Very natural spot
10,Parc Joseph-Paré,ChdDSUhNMG9nS0VJQ0FnSUNFakpXcC1nRRAB,Mustafizur Rahman,https://www.google.com/maps/contrib/102724185109118996987/reviews?hl=en-CA,a year ago,2021-06-21 23:48:20.750791,4.0,84,Great spot to relax while your kids play in the park. Too bad there isn't a BBQ spot.
11,Parc Joseph-Paré,ChdDSUhNMG9nS0VJQ0FnSURjNHREWXFRRRAB,Montreal Nazareo R,https://www.google.com/maps/contrib/113663520278904661405/reviews?hl=en-CA,8 months ago,2021-06-21 23:48:20.755608,5.0,47,nice big park with alot of games for kids an a nice  free pool in summer
12,Parc Joseph-Paré,ChdDSUhNMG9nS0VJQ0FnSUNLMDQybjRBRRAB,Denis Querry,https://www.google.com/maps/contrib/117649729842274933093/reviews?hl=en-CA,2 months ago,2021-06-21 23:48:20.757191,5.0,30,Awesome 👌
13,Parc Joseph-Paré,ChZDSUhNMG9nS0VJQ0FnSUM4cXRHdkd3EAE,ANTONIO MIOZZI,https://www.google.com/maps/contrib/105935067571648751653/reviews?hl=en-CA,11 months ago,2021-06-21 23:48:20.758762,4.0,80,Nice place to walk around or go for a swim
14,Parc Joseph-Paré,ChdDSUhNMG9nS0VJQ0FnSUNDbU5la2t3RRAB,Heather,https://www.google.com/maps/contrib/103799602582415582135/reviews?hl=en-CA,10 months ago,2021-06-21 23:48:20.760488,5.0,19,"Cute park, outdoor pool, great lounging benches"
15,Parc Joseph-Paré,ChZDSUhNMG9nS0VJQ0FnSURLM0lMNFJREAE,albert plke,https://www.google.com/maps/contrib/102663897588292292208/reviews?hl=en-CA,a month ago,2021-06-21 23:48:20.762250,3.0,8,It's OK
16,Parc Joseph-Paré,ChZDSUhNMG9nS0VJQ0FnSUMwMnFiMUlBEAE,Josh Sneep,https://www.google.com/maps/contrib/102866653434950471843/reviews?hl=en-CA,a year ago,2021-06-21 23:48:20.764003,3.0,20,"Nice place, police were making an arrest when we pulled up so I question the area. Not great parking options, but hey its Montreal."
17,Parc Joseph-Paré,ChdDSUhNMG9nS0VJQ0FnSURRbHVTVWx3RRAB,Heartreiz,https://www.google.com/maps/contrib/114341347392843433612/reviews?hl=en-CA,3 years ago,2021-06-21 23:48:20.765338,5.0,1,Nice park with a nice name. Lots of activities can be done there. It seem a great place to bring your dog by the amount of people I see meeting up there.
18,Parc Joseph-Paré,ChdDSUhNMG9nS0VJQ0FnSURreVplcjNBRRAB,Elizabeth Martinez,https://www.google.com/maps/contrib/114080165757871460482/reviews?hl=en-CA,a year ago,2021-06-21 23:48:20.766633,4.0,35,"The installations need a revamp but overall, nice parc"
19,Parc Joseph-Paré,ChZDSUhNMG9nS0VJQ0FnSUM4a3NtT053EAE,Aislan Luiz Wendling,https://www.google.com/maps/contrib/114799578610607001982/reviews?hl=en-CA,10 months ago,2021-06-21 23:48:20.769489,5.0,164,Great for kids and picnics
20,Parc Joseph-Paré,ChZDSUhNMG9nS0VJQ0FnSURBeWEyTGRBEAE,Steve Pellan (Coach Steve),https://www.google.com/maps/contrib/105718037212773135591/reviews?hl=en-CA,7 years ago,2021-06-21 23:48:20.770836,4.0,4,"Great park. Ideal for working outs.
Nice basketball courts, bars, swimming pool and hills.

Coach Steve's favorite!"
21,Parc Joseph-Paré,ChdDSUhNMG9nS0VJQ0FnSUNRdUwtUmhRRRAB,Jeff Murphy,https://www.google.com/maps/contrib/106125625102525164085/reviews?hl=en-CA,3 years ago,2021-06-21 23:48:20.772515,3.0,97,Meh. It's a cute little part that's about it
22,Parc Joseph-Paré,ChZDSUhNMG9nS0VJQ0FnSUNVcDhtUmJREAE,Phil.,https://www.google.com/maps/contrib/117815600900273384033/reviews?hl=en-CA,a year ago,2021-06-21 23:48:20.774445,4.0,30,Nice place for families to hangout
23,Parc Joseph-Paré,ChdDSUhNMG9nS0VJQ0FnSUNnbUtUUWdRRRAB,kenadanamana,https://www.google.com/maps/contrib/105121402563726222661/reviews?hl=en-CA,3 years ago,2021-06-21 23:48:20.776774,5.0,208,Neat l'arc. Cool benches.
24,Parc Joseph-Paré,ChZDSUhNMG9nS0VJQ0FnSURRMW82Q1hBEAE,Badr Agday,https://www.google.com/maps/contrib/103734544830508346830/reviews?hl=en-CA,3 years ago,2021-06-21 23:48:20.781051,4.0,37,"Very crawded, nice little mountain, cozy swimming pool too"
25,Parc Joseph-Paré,ChdDSUhNMG9nS0VJQ0FnSUQ0bU9URGxRRRAB,marc vaillant,https://www.google.com/maps/contrib/113252559967641654332/reviews?hl=en-CA,2 years ago,2021-06-21 23:48:20.782296,2.0,37,Ok
26,Parc Joseph-Paré,ChZDSUhNMG9nS0VJQ0FnSURrX3VDdUZnEAE,Alexander Martinez,https://www.google.com/maps/contrib/113535441655966259668/reviews?hl=en-CA,a year ago,2021-06-21 23:48:20.783720,4.0,12,Good
27,Parc Joseph-Paré,ChZDSUhNMG9nS0VJQ0FnSUMwcF9iWlhnEAE,MAX BADIBROSS,https://www.google.com/maps/contrib/105284221469678258215/reviews?hl=en-CA,a year ago,2021-06-21 23:48:20.786766,4.0,126,Ok
28,Parc Joseph-Paré,ChZDSUhNMG9nS0VJQ0FnSURrNjltcklnEAE,TheDon_ Sunny95,https://www.google.com/maps/contrib/104170723329161726104/reviews?hl=en-CA,a year ago,2021-06-21 23:48:20.789333,1.0,66,Nothing special.
29,Parc Joseph-Paré,ChdDSUhNMG9nS0VJQ0FnSUNDOHVuXzFRRRAB,Regine Auguste,https://www.google.com/maps/contrib/108758895205937634924/reviews?hl=en-CA,10 months ago,2021-06-21 23:48:20.790647,5.0,15,Cool
30,Parc Joseph-Paré,ChdDSUhNMG9nS0VJQ0FnSURVbV9ESXRnRRAB,Mike Jazini,https://www.google.com/maps/contrib/114716677570850608159/reviews?hl=en-CA,a year ago,2021-06-21 23:48:20.792907,5.0,20,Nice place
