,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Joseph-Robin,ChdDSUhNMG9nS0VJQ0FnSUNxckkyQzlRRRAB,Yunier René Pérez Valdes,https://www.google.com/maps/contrib/100288890233635797200/reviews?hl=en-CA,3 weeks ago,2021-06-24 19:44:11.760235,5.0,2,"Excellent park for all ages, Big enough playground for kids, spaces for picnics, and not many people in place. Only tjing is that there are not many trees so the sun is strong."
1,Parc Joseph-Robin,ChdDSUhNMG9nS0VJQ0FnSUNpZ1pQSnFRRRAB,Stan Hickey,https://www.google.com/maps/contrib/102505001868692026920/reviews?hl=en-CA,7 months ago,2021-06-24 19:44:11.762641,4.0,120,Good park. Some pieces were broken or close to breaking. My 5 yr old had a blast.
2,Parc Joseph-Robin,ChZDSUhNMG9nS0VJQ0FnSUNLbTY3U1JnEAE,dontaco86,https://www.google.com/maps/contrib/111101997789192373682/reviews?hl=en-CA,2 months ago,2021-06-24 19:44:11.765619,5.0,219,Great park for kids
3,Parc Joseph-Robin,ChZDSUhNMG9nS0VJQ0FnSUNpbjV5UVZnEAE,Уляна Пришляк,https://www.google.com/maps/contrib/115690179240372946962/reviews?hl=en-CA,7 months ago,2021-06-24 19:44:11.766646,5.0,46,"(Translated by Google) I love this park. It is designed for children of all ages. From 2 to 11. Convenient and interesting.

(Original)
Обожнюю цей парк. Він розрахований для діток різного віку. Від 2 до 11. Зручний і цікавий."
4,Parc Joseph-Robin,ChdDSUhNMG9nS0VJQ0FnSUNpOHJIS3Z3RRAB,Vanna-Lusa Noel,https://www.google.com/maps/contrib/114095705175827017976/reviews?hl=en-CA,7 months ago,2021-06-24 19:44:11.767627,3.0,238,"(Translated by Google) Very good park for children, with great variety of games

(Original)
Très bon parc pour enfants, avec belles variétés de jeux"
5,Parc Joseph-Robin,ChZDSUhNMG9nS0VJQ0FnSUNDa3VhMmVnEAE,KHEMIRI HICHEM,https://www.google.com/maps/contrib/116534570051961073117/reviews?hl=en-CA,10 months ago,2021-06-24 19:44:11.768675,5.0,109,"(Translated by Google) A good place for children

(Original)
Un bon endroit pour enfants"
6,Parc Joseph-Robin,ChdDSUhNMG9nS0VJQ0FnSUNpaHNmbXdBRRAB,Catherina Payet,https://www.google.com/maps/contrib/111646827622883154329/reviews?hl=en-CA,7 months ago,2021-06-24 19:44:11.770140,5.0,2,
7,Parc Joseph-Robin,ChZDSUhNMG9nS0VJQ0FnSUNpajczSlZnEAE,Yuli katherine Carmona sanchez,https://www.google.com/maps/contrib/103827249135003243132/reviews?hl=en-CA,7 months ago,2021-06-24 19:44:11.772060,3.0,0,
8,Parc Joseph-Robin,ChZDSUhNMG9nS0VJQ0FnSUNLdXBuYlFnEAE,Benny Cheung,https://www.google.com/maps/contrib/110951303931043062173/reviews?hl=en-CA,2 months ago,2021-06-24 19:44:11.773062,5.0,31,
9,Parc Joseph-Robin,ChZDSUhNMG9nS0VJQ0FnSUNxck1UOEh3EAE,Jenny Brouillette,https://www.google.com/maps/contrib/111888738809901261330/reviews?hl=en-CA,3 weeks ago,2021-06-24 19:44:11.774102,5.0,0,
10,Parc Joseph-Robin,ChZDSUhNMG9nS0VJQ0FnSUNLanJUekdnEAE,Slimi Bilal,https://www.google.com/maps/contrib/113363887659670988854/reviews?hl=en-CA,2 months ago,2021-06-24 19:44:11.775045,5.0,3,
