,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Jovette-Marchessault,ChdDSUhNMG9nS0VJQ0FnSUN5aXRQTHZ3RRAB,Leah Parisella,https://www.google.com/maps/contrib/114425783465615395943/reviews?hl=en-US,4 months ago,2021-06-24 11:21:19.188194,3.0,71,Pretty icy 🤷🏾‍♀️
1,Parc Jovette-Marchessault,ChZDSUhNMG9nS0VJQ0FnSUNZMmJMY0xBEAE,Denis G Mercier,https://www.google.com/maps/contrib/100655266201193215414/reviews?hl=en-US,2 years ago,2021-06-24 11:21:19.189457,4.0,229,Nice place to relax
2,Parc Jovette-Marchessault,ChdDSUhNMG9nS0VJQ0FnSUNZMmQ2ZWx3RRAB,Denis Mercier,https://www.google.com/maps/contrib/105164401984919573664/reviews?hl=en-US,2 years ago,2021-06-24 11:21:19.190479,4.0,264,Nice place
3,Parc Jovette-Marchessault,ChZDSUhNMG9nS0VJQ0FnSUNpaU0td053EAE,Marie Christine,https://www.google.com/maps/contrib/101200144857859382457/reviews?hl=en-US,8 months ago,2021-06-24 11:21:19.191416,5.0,43,"(Translated by Google) Small cars and tricycles included

(Original)
Petites voitures et tricycles inclus"
4,Parc Jovette-Marchessault,ChdDSUhNMG9nS0VJQ0FnSUMwb3VtMHR3RRAB,Marino,https://www.google.com/maps/contrib/107410939533391234771/reviews?hl=en-US,a year ago,2021-06-24 11:21:19.192344,5.0,144,"(Translated by Google) A very beautiful neighborhood park as there are several in my neighborhood and I must say that it is an excellent initiative from the city of Montreal! Bravo!

(Original)
Un très très beau parc de quartier comme il en …"
5,Parc Jovette-Marchessault,ChZDSUhNMG9nS0VJQ0FnSUNzNHZucVpnEAE,RAM Okumura,https://www.google.com/maps/contrib/115283014064819390189/reviews?hl=en-US,a year ago,2021-06-24 11:21:19.193274,4.0,11,"(Translated by Google) Nice little neighborhood park for the little ones ... only negative point that sometimes junkies come in at night leaving their cigarette butts or other waste ...

(Original)
Beau petit parc de quartier pour les petits..seul point négatif que parfois des junkie y rentre la nuit en laissant leur mégot de cigarette ou autres dechets..."
6,Parc Jovette-Marchessault,ChdDSUhNMG9nS0VJQ0FnSUNRbWVpbC13RRAB,sonia petrila,https://www.google.com/maps/contrib/102982805849203089053/reviews?hl=en-US,3 years ago,2021-06-24 11:21:19.194506,5.0,135,
7,Parc Jovette-Marchessault,ChdDSUhNMG9nS0VJQ0FnSUNnc2E2SDJ3RRAB,Claude Beaudry,https://www.google.com/maps/contrib/105175944013076853311/reviews?hl=en-US,3 years ago,2021-06-24 11:21:19.195522,4.0,18,
8,Parc Jovette-Marchessault,ChdDSUhNMG9nS0VJQ0FnSURVNzRDMDFRRRAB,Darcksage,https://www.google.com/maps/contrib/117726669673203983913/reviews?hl=en-US,a year ago,2021-06-24 11:21:19.196483,4.0,2,
9,Parc Jovette-Marchessault,ChdDSUhNMG9nS0VJQ0FnSUNvbXNQNHN3RRAB,Ionathas Forner,https://www.google.com/maps/contrib/100258986504151019340/reviews?hl=en-US,2 years ago,2021-06-24 11:21:19.197415,4.0,14,
10,Parc Jovette-Marchessault,ChdDSUhNMG9nS0VJQ0FnSUNRcnJMTWdRRRAB,y minhod,https://www.google.com/maps/contrib/115771777312303294116/reviews?hl=en-US,2 years ago,2021-06-24 11:21:19.198347,4.0,13,
11,Parc Jovette-Marchessault,ChZDSUhNMG9nS0VJQ0FnSUNVemFPaWJREAE,Alexandre Joubert,https://www.google.com/maps/contrib/101315646472999117465/reviews?hl=en-US,a year ago,2021-06-24 11:21:19.199277,2.0,58,
12,Parc Jovette-Marchessault,ChZDSUhNMG9nS0VJQ0FnSURZMWJ5N1pREAE,Rodolphe MAILLOT,https://www.google.com/maps/contrib/115601791167225810346/reviews?hl=en-US,2 years ago,2021-06-24 11:21:19.200474,1.0,2,
13,Parc Jovette-Marchessault,ChZDSUhNMG9nS0VJQ0FnSUNnX19LbldnEAE,Sylvain-Luc Richard,https://www.google.com/maps/contrib/102586700727589375425/reviews?hl=en-US,3 years ago,2021-06-24 11:21:19.201426,5.0,2,
14,Parc Jovette-Marchessault,ChZDSUhNMG9nS0VJQ0FnSURDMGRhTlZREAE,Grace Lin,https://www.google.com/maps/contrib/114999070118993087303/reviews?hl=en-US,8 months ago,2021-06-24 11:21:19.202389,5.0,13,
15,Parc Jovette-Marchessault,ChZDSUhNMG9nS0VJQ0FnSUNnanBEZlVREAE,Taupe Muette,https://www.google.com/maps/contrib/109364905741479744075/reviews?hl=en-US,3 years ago,2021-06-24 11:21:19.203326,4.0,2,
16,Parc Jovette-Marchessault,ChZDSUhNMG9nS0VJQ0FnSURVaElxSFR3EAE,Vicky Perreault Vaillancourt,https://www.google.com/maps/contrib/116506724411888335377/reviews?hl=en-US,a year ago,2021-06-24 11:21:19.204378,3.0,0,
