,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Joyce,ChZDSUhNMG9nS0VJQ0FnSUNLNE9haUFnEAE,Mike Long,https://www.google.com/maps/contrib/114147039877406529779/reviews?hl=en-US,2 months ago,2021-06-24 11:22:36.460799,5.0,284,"This place has a vibe. It’s usually pretty quiet, there’s a lot of little hills in various areas of the park to relax on. Some nice large trees, and the homes surrounding are large and somehow inviting. They say to me, don’t you wanna live here? I never see anyone enter or exit them. Nice in the sun or after dark here."
1,Parc Joyce,ChZDSUhNMG9nS0VJQ0FnSUNxaUlIWlVREAE,Juan Segura,https://www.google.com/maps/contrib/109357864520021474275/reviews?hl=en-US,4 weeks ago,2021-06-24 11:22:36.462134,5.0,38,"Nice place to spend some time with nature. Take with you a blanket, a book and some sangria."
2,Parc Joyce,ChZDSUhNMG9nS0VJQ0FnSUNLdWRXZVlREAE,Carmine Rossignoli,https://www.google.com/maps/contrib/103185229258060202860/reviews?hl=en-US,2 months ago,2021-06-24 11:22:36.463227,5.0,90,"Great place to relax or have picnic, well treed, there's a playground area for young kids. Park is about one block square. Not much open area for sports games etc."
3,Parc Joyce,ChZDSUhNMG9nS0VJQ0FnSUNpMEtHMUdBEAE,Michael Meltchenko,https://www.google.com/maps/contrib/112352934632007108891/reviews?hl=en-US,8 months ago,2021-06-24 11:22:36.464176,5.0,121,"Beautiful and clean park. Especially in the fall with all the leaves colors 🍁🍂. There's public restrooms, a tennis court and clean drinking water. Awesome place for picnic in the summer too."
4,Parc Joyce,ChZDSUhNMG9nS0VJQ0FnSUM4MjV6UlBBEAE,Jeremy,https://www.google.com/maps/contrib/103201730824958914855/reviews?hl=en-US,11 months ago,2021-06-24 11:22:36.465111,5.0,84,It’s nice and realizing. I like the mountain with the green benches and light pole. Nice spot to hang out in.
5,Parc Joyce,ChdDSUhNMG9nS0VJQ0FnSURRaFpLVzFnRRAB,Vg G,https://www.google.com/maps/contrib/114092399265107358982/reviews?hl=en-US,3 years ago,2021-06-24 11:22:36.466395,4.0,755,Excellent well designed park. Playground for kids and tennis court.
6,Parc Joyce,ChdDSUhNMG9nS0VJQ0FnSURVN2ZTenZnRRAB,Yahya El Baba,https://www.google.com/maps/contrib/102203904318358262017/reviews?hl=en-US,a year ago,2021-06-24 11:22:36.467338,5.0,101,Very beautiful parc in the middle of outremont.  Very quit .drinking water..bathrooms.. tennis court  kids playground..  old 🌲 🌲.
7,Parc Joyce,ChdDSUhNMG9nS0VJQ0FnSUQwNGF2bjd3RRAB,Viktoriya M,https://www.google.com/maps/contrib/111288717328601883208/reviews?hl=en-US,a year ago,2021-06-24 11:22:36.468277,5.0,77,Beautiful park! Lots of space to walk with a lot of trees and paths. Nice place to read a book on warm days or just seat on a bench enjoying quietness. Lots of shade in the summer.  There is also a kids playground on  the corner of the park.
8,Parc Joyce,ChZDSUhNMG9nS0VJQ0FnSUM4eXMtUVJnEAE,marc-antoine fetting,https://www.google.com/maps/contrib/105173156919141592674/reviews?hl=en-US,11 months ago,2021-06-24 11:22:36.469324,4.0,2,Beautiful and peaceful park in a nice neighborhood + a tennis court next to it
9,Parc Joyce,ChdDSUhNMG9nS0VJQ0FnSURjb0syRDN3RRAB,Glen E. Grant,https://www.google.com/maps/contrib/106095515634635075805/reviews?hl=en-US,a year ago,2021-06-24 11:22:36.471938,4.0,379,"Always a great outdoors space for walks, workout or just sitting and watching the squirrels"
10,Parc Joyce,ChZDSUhNMG9nS0VJQ0FnSURBZ08yLUlBEAE,jean-claude Mareschal,https://www.google.com/maps/contrib/114836099894807368715/reviews?hl=en-US,2 years ago,2021-06-24 11:22:36.473904,5.0,65,This is a very pleasant little park surrounded by some of the nicest houses in Outremont. The park is on a gentle slope. Lots of trees provide plenty of shade and protection from the sun (well appreciated in summer). There are tennis courts and a small park for children. A destination for family picnics or children birthday parties. There could be a few more benches for sitting.
