,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc La Fontaine,ChdDSUhNMG9nS0VJQ0FnSUNxc291anpnRRAB,Alex Kong,https://www.google.com/maps/contrib/105557623980706252461/reviews?hl=en-CA,3 weeks ago,2021-06-24 18:41:58.600439,5.0,69,Beautiful big park where every day there's people enjoying life and all sorts of activities.
1,Parc La Fontaine,ChZDSUhNMG9nS0VJQ0FnSUNxdXNxV0Z3EAE,Jay Chitroda,https://www.google.com/maps/contrib/106600428243855656905/reviews?hl=en-CA,2 weeks ago,2021-06-24 18:41:58.612977,4.0,150,"Beautiful park, clean and fresh air all around it. I wish there were signs in English too a little difficult as I do not speak French. Also I wish people should not smoke in the park."
2,Parc La Fontaine,ChZDSUhNMG9nS0VJQ0FnSUNxX09EQ0NREAE,Enoch Tetteh,https://www.google.com/maps/contrib/101285651383444949363/reviews?hl=en-CA,3 weeks ago,2021-06-24 18:41:58.628245,5.0,25,"This is the biggest park I've been so far in Montreal. It has a water with beautiful ducks playing in it and benches to sit next to them. The place is huge, with courts for tennis, and other sport activities. I live this place. I've heard people express their joy about this place, and I was impressed to experience it. Definitely going there from time to time"
3,Parc La Fontaine,ChZDSUhNMG9nS0VJQ0FnSUNxX2V2alV3EAE,Barbara Komorowski,https://www.google.com/maps/contrib/104997055958763912128/reviews?hl=en-CA,a week ago,2021-06-24 18:41:58.630138,4.0,6,This park is beautiful. My favourite place to sit and get some sun on a lazy Saturday afternoon. There is some construction this year so the fountain is not on and the lake around it is drained but there are duckies on the other side.
4,Parc La Fontaine,ChZDSUhNMG9nS0VJQ0FnSUNxN2FmRUJREAE,Cosmic Mat,https://www.google.com/maps/contrib/111760948740025796178/reviews?hl=en-CA,a week ago,2021-06-24 18:41:58.632651,5.0,8,Extremely powerful. This Parc has immense energetic properties. A good place for those trying to connect with the cosmic web 🤍
5,Parc La Fontaine,ChdDSUhNMG9nS0VJQ0FnSUNxX1lYUnF3RRAB,Amal A,https://www.google.com/maps/contrib/106641584339010480808/reviews?hl=en-CA,a week ago,2021-06-24 18:41:58.634684,5.0,62,Just beautiful and has everything.  Even bike training space :) ice-cream shop is just next to it
6,Parc La Fontaine,ChdDSUhNMG9nS0VJQ0FnSUNxN1lxdjl3RRAB,Marika Simón,https://www.google.com/maps/contrib/102532507692462490102/reviews?hl=en-CA,a week ago,2021-06-24 18:41:58.637278,5.0,171,One of the most beautiful parks in the city. Great outdoor space.
7,Parc La Fontaine,ChdDSUhNMG9nS0VJQ0FnSUNLdTZXcmx3RRAB,Stephanie M,https://www.google.com/maps/contrib/110764721501698161308/reviews?hl=en-CA,4 weeks ago,2021-06-24 18:41:58.638513,5.0,82,"Great park, lots of green space to bring a blanket and have a BBQ. Currently, there is construction ongoing on the amphitheatre."
8,Parc La Fontaine,ChdDSUhNMG9nS0VJQ0FnSUNxME96U29RRRAB,jad moussalli,https://www.google.com/maps/contrib/107411849591790533183/reviews?hl=en-CA,a month ago,2021-06-24 18:41:58.639596,5.0,91,"One of my favorites parks in Montreal, the small lake has a good effect specially on sunny day.
Beautiful atmosphere and i notice that lot of young people here, and less families."
9,Parc La Fontaine,ChZDSUhNMG9nS0VJQ0FnSURjenRDdUlnEAE,ranen nongmaithem,https://www.google.com/maps/contrib/110618754673766353310/reviews?hl=en-CA,6 months ago,2021-06-24 18:41:58.641482,5.0,69,"A beautiful place to just sit and relax, in the heart of the city. It's really beautiful during the autumn season with lot of benches and cozy grass sit on. The lake is very peaceful in the summer with ducks floating around. It becomes an ice rink in winter. During summer and fall, there are lots of bixi stands around the park. Also you won't have trouble finding a parking spot. For those who prefer metro Sherbrooke is the closest."
