,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Lacharité,ChdDSUhNMG9nS0VJQ0FnSUNLaDc3NHVnRRAB,Donald Tassie,https://www.google.com/maps/contrib/106188943746744461178/reviews?hl=en-US,2 months ago,2021-06-24 11:32:48.972457,4.0,20,The electrical tower is gone and the adjacent land is being reclaimed. The park is clean and the sand / gravel keeps your feet dry during a light rain. Lots of room for your dog to run and most dogs are well socialized.
1,Parc Lacharité,ChdDSUhNMG9nS0VJQ0FnSUNBMXRyQ2hRRRAB,Lion TV 22,https://www.google.com/maps/contrib/113933267479541284938/reviews?hl=en-US,3 years ago,2021-06-24 11:32:48.974487,4.0,173,Finally a dog park.
2,Parc Lacharité,ChZDSUhNMG9nS0VJQ0FnSUNDeC11V0xREAE,alvaro farinacci,https://www.google.com/maps/contrib/108421529448817620111/reviews?hl=en-US,9 months ago,2021-06-24 11:32:48.978051,5.0,29,close by the Saint Lawrence River..good area for walks and Bicking..with nice views.
3,Parc Lacharité,ChZDSUhNMG9nS0VJQ0FnSUM4cTdpckhBEAE,L Christie,https://www.google.com/maps/contrib/115027119463496920517/reviews?hl=en-US,11 months ago,2021-06-24 11:32:48.979913,5.0,131,It's a great place for the kids to safely run and play.
4,Parc Lacharité,ChdDSUhNMG9nS0VJQ0FnSURVcS1TMjlnRRAB,Domingo Amarillo,https://www.google.com/maps/contrib/114710895218659758481/reviews?hl=en-US,a year ago,2021-06-24 11:32:48.982490,3.0,58,It's a beautiful park located along the river besides the cycling path. Great way to enjoy the outdoors nature within the city during the summer months.
5,Parc Lacharité,ChdDSUhNMG9nS0VJQ0FnSUN3X1lUTHJnRRAB,Nadine Hariri,https://www.google.com/maps/contrib/113087231433165032020/reviews?hl=en-US,3 years ago,2021-06-24 11:32:48.985399,5.0,5,"Lasalle recently built a new dog park here and it is great! Water fountain for the pups and their humans, big space for running, and there are even lights now. The sand is dirty but drains very well and doesn't hurt the little guys paws. Also a good gang of pet owners."
6,Parc Lacharité,ChZDSUhNMG9nS0VJQ0FnSUN3a2F6N2JBEAE,Patricia Taylor,https://www.google.com/maps/contrib/108583141336364327635/reviews?hl=en-US,3 years ago,2021-06-24 11:32:48.998600,3.0,6,It's a nice place visit because it's close to the waterfront. There's also lots of space for dogs to run.
7,Parc Lacharité,ChdDSUhNMG9nS0VJQ0FnSUNpamY3RS1nRRAB,Nora,https://www.google.com/maps/contrib/110908336251819896087/reviews?hl=en-US,7 months ago,2021-06-24 11:32:49.000469,5.0,36,Beautiful park
8,Parc Lacharité,ChZDSUhNMG9nS0VJQ0FnSUQwd2ZLc093EAE,Maxim Beiline,https://www.google.com/maps/contrib/104263569999100872729/reviews?hl=en-US,a year ago,2021-06-24 11:32:49.002143,5.0,335,"Great place,  highly recommend"
9,Parc Lacharité,ChZDSUhNMG9nS0VJQ0FnSUN3dlBUTEdREAE,Sarita Donaldson,https://www.google.com/maps/contrib/106288798898100467262/reviews?hl=en-US,2 years ago,2021-06-24 11:32:49.004041,4.0,56,Nice size park with a water fountain for dogs and humans.  Would be better if it had grass instead of sand.
10,Parc Lacharité,ChZDSUhNMG9nS0VJQ0FnSURRczUya0VREAE,Jim Strankinga,https://www.google.com/maps/contrib/106946374632727141959/reviews?hl=en-US,4 years ago,2021-06-24 11:32:49.005569,4.0,177,Nice clean outdoor pool with long opening times. Free for citizens.
11,Parc Lacharité,ChZDSUhNMG9nS0VJQ0FnSUNJMTd1MExREAE,Vince Mcloud,https://www.google.com/maps/contrib/111086852660573169729/reviews?hl=en-US,2 years ago,2021-06-24 11:32:49.007841,5.0,190,Great
12,Parc Lacharité,ChZDSUhNMG9nS0VJQ0FnSURZakpDSEVBEAE,Sacha Parris,https://www.google.com/maps/contrib/112239891299040735480/reviews?hl=en-US,2 years ago,2021-06-24 11:32:49.009342,5.0,120,amazing
13,Parc Lacharité,ChZDSUhNMG9nS0VJQ0FnSURneVluOUFREAE,Valerie Gingras,https://www.google.com/maps/contrib/113919915153500112479/reviews?hl=en-US,3 years ago,2021-06-24 11:32:49.010853,3.0,6,A dog park and  a baseball park
14,Parc Lacharité,ChdDSUhNMG9nS0VJQ0FnSUNnMHNLbXF3RRAB,Zak Kik,https://www.google.com/maps/contrib/104114873278005687133/reviews?hl=en-US,3 years ago,2021-06-24 11:32:49.012917,3.0,68,Ok small park
15,Parc Lacharité,ChZDSUhNMG9nS0VJQ0FnSURnazhIM0t3EAE,Christian St-Pierre,https://www.google.com/maps/contrib/104977625817431616482/reviews?hl=en-US,4 years ago,2021-06-24 11:32:49.014429,5.0,107,Cool
16,Parc Lacharité,ChZDSUhNMG9nS0VJQ0FnSUNvaWQzTU5BEAE,Françoise Boucher,https://www.google.com/maps/contrib/115923167535802455555/reviews?hl=en-US,2 years ago,2021-06-24 11:32:49.015909,2.0,116,"(Translated by Google) A well-appointed and well-maintained dog play area ... except that dogs can not run without the risk of hurting their legs.

(Original)
Aire de jeux pour chiens bien aménagée et bien tenue...sauf que les chiens ne peuvent pas courir sans prendre le risque de se blesser les pattes."
17,Parc Lacharité,ChZDSUhNMG9nS0VJQ0FnSUNBaUl6YU9nEAE,Pix El,https://www.google.com/maps/contrib/104432633137348347667/reviews?hl=en-US,3 years ago,2021-06-24 11:32:49.017362,3.0,604,"(Translated by Google) Place for young people, but people feed the gull which makes it unpleasant for those who want to eat there.
Now the municipality has created a confined space to let dogs run under the pylons

(Original)
Endroit pour les jeunes, mais les gens donnent à manger au goéland ce qui rend désagréable pour ceux qui veulent y manger.
Maintenant la municipalité a créé un espace confiné pour laisser courir les chiens sous les pylônes"
18,Parc Lacharité,ChZDSUhNMG9nS0VJQ0FnSUNVenJtbUlREAE,Miss Bénie,https://www.google.com/maps/contrib/101101637614035120587/reviews?hl=en-US,a year ago,2021-06-24 11:32:49.018992,4.0,79,"(Translated by Google) I love the new pool

(Original)
J'adore la nouvelle piscine"
19,Parc Lacharité,ChdDSUhNMG9nS0VJQ0FnSUN3NmNhTjBRRRAB,Alain Gingras,https://www.google.com/maps/contrib/117327158440944669316/reviews?hl=en-US,3 years ago,2021-06-24 11:32:49.021899,4.0,21,"(Translated by Google) Nice place to play baseball

(Original)
Belle endroit pour jouer au base-ball"
20,Parc Lacharité,ChdDSUhNMG9nS0VJQ0FnSURneTYyVmt3RRAB,Alain Gingras,https://www.google.com/maps/contrib/102276871898637701688/reviews?hl=en-US,3 years ago,2021-06-24 11:32:49.023286,4.0,8,"(Translated by Google) Perfect for playing baseball

(Original)
Parfait pour jouer au baseball"
21,Parc Lacharité,ChdDSUhNMG9nS0VJQ0FnSURnM2Z6S19BRRAB,Pop Pop,https://www.google.com/maps/contrib/102721936712330529688/reviews?hl=en-US,2 years ago,2021-06-24 11:32:49.024805,5.0,61,"(Translated by Google) Are demolishing it

(Original)
Sont entrain de le démolir"
