,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Lacoursière,ChdDSUhNMG9nS0VJQ0FnSUNxaGQ2NTJBRRAB,Shelly Gong,https://www.google.com/maps/contrib/111825871998823216514/reviews?hl=en-US,a week ago,2021-06-24 11:34:03.883687,5.0,27,Beautiful park! Love coming here in the spring and summer!
1,Parc Lacoursière,ChZDSUhNMG9nS0VJQ0FnSUNDdll5dkdnEAE,Adam & Michelle,https://www.google.com/maps/contrib/106170478575857004006/reviews?hl=en-US,9 months ago,2021-06-24 11:34:03.885144,5.0,39,"We really enjoy this park. We call it ""Duck Pond"" because we are always watching the ducks there. The playground is a bit boring but the kids love exploring the wildlife and plants."
2,Parc Lacoursière,ChZDSUhNMG9nS0VJQ0FnSUNxd0o3Y0VnEAE,Jamal Serawan,https://www.google.com/maps/contrib/106828737706715086281/reviews?hl=en-US,a month ago,2021-06-24 11:34:03.886934,5.0,24,Such a great place for a walk with your dog 🐩
3,Parc Lacoursière,ChZDSUhNMG9nS0VJQ0FnSUNxbUxyQ01BEAE,Evgenii Ludanov,https://www.google.com/maps/contrib/110657420237989633373/reviews?hl=en-US,4 weeks ago,2021-06-24 11:34:03.889350,4.0,2,Nice place to take a deep breath 👌
4,Parc Lacoursière,ChdDSUhNMG9nS0VJQ0FnSUN5dy1DeWlBRRAB,wei Li,https://www.google.com/maps/contrib/102264934978571514256/reviews?hl=en-US,4 months ago,2021-06-24 11:34:03.890880,4.0,10,"A small lake, You can see 🦆 and 🐢here in summer."
5,Parc Lacoursière,ChdDSUhNMG9nS0VJQ0FnSUNLem9USXhBRRAB,Andre B,https://www.google.com/maps/contrib/104111028871755819295/reviews?hl=en-US,2 months ago,2021-06-24 11:34:03.892160,5.0,1,"Idyllic pond, great place for a picnic"
6,Parc Lacoursière,ChZDSUhNMG9nS0VJQ0FnSURLbGE2Sk93EAE,Rz Az,https://www.google.com/maps/contrib/116302322723845916614/reviews?hl=en-US,a month ago,2021-06-24 11:34:03.894002,5.0,7,My everyday favorite place
7,Parc Lacoursière,ChdDSUhNMG9nS0VJQ0FnSUR3M0lUQWxnRRAB,Seven Stars,https://www.google.com/maps/contrib/108193826491344919314/reviews?hl=en-US,2 years ago,2021-06-24 11:34:03.896155,4.0,239,Nice park. Very calm and beautiful.
8,Parc Lacoursière,ChZDSUhNMG9nS0VJQ0FnSURDczVLdUNBEAE,Vladimir Todorov,https://www.google.com/maps/contrib/116180200780578645345/reviews?hl=en-US,8 months ago,2021-06-24 11:34:03.897372,5.0,85,Very nice park.
9,Parc Lacoursière,ChdDSUhNMG9nS0VJQ0FnSURLLUtMRTRnRRAB,Minh Chau,https://www.google.com/maps/contrib/105383872998484718407/reviews?hl=en-US,a month ago,2021-06-24 11:34:03.898477,5.0,469,Beautiful park
