,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUN5OVpQTTR3RRAB,Matan Dessaur,https://www.google.com/maps/contrib/104285230585824489002/reviews?hl=en-US,4 months ago,2021-06-24 11:36:27.025873,5.0,55,beautiful park!
1,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUNpdUtUWHVBRRAB,Luis Bellido C.,https://www.google.com/maps/contrib/114000065283096395848/reviews?hl=en-US,8 months ago,2021-06-24 11:36:27.027450,5.0,8,Big enough for walking
2,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSURVMFo3ZXdBRRAB,Jeanluc Michaud,https://www.google.com/maps/contrib/116348406206406371320/reviews?hl=en-US,a year ago,2021-06-24 11:36:27.029202,5.0,50,Beautiful park. Magnificent collection of different trees.
3,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUNVb0pDcHdnRRAB,Ivana Fulminis,https://www.google.com/maps/contrib/111704219455568629950/reviews?hl=en-US,a year ago,2021-06-24 11:36:27.032377,4.0,67,"Large well maintained park hosting a dance evening for a local italian french and english community on Saturday evening.
Reminiscent of village festivities in Europe!"
4,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUR3M09LXy1BRRAB,Luigi Mitrotti,https://www.google.com/maps/contrib/116062718576101915722/reviews?hl=en-US,2 years ago,2021-06-24 11:36:27.035518,4.0,15,"super clean park. good place to bring your kids and in the summer they hold a couple of italian festivals. juat remember to bring cash if there is food. as parks go its green, a place for your kids and alot of tables to simply take in the sun"
5,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSURBdXY3MnV3RRAB,How-to Tuto,https://www.google.com/maps/contrib/104061573759225158490/reviews?hl=en-US,3 years ago,2021-06-24 11:36:27.038273,5.0,18,"You will find everything in that park from a pool to a basketball court to a skating ring , love this park it's calm and refreshing"
6,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSURRX1lyTG9RRRAB,Fantino Violi,https://www.google.com/maps/contrib/117124402513834443175/reviews?hl=en-US,3 years ago,2021-06-24 11:36:27.040580,4.0,11,Great place to play baseball and go swimming.  Does get crowded when lots of sports being played there.
7,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSURBenJPYTZBRRAB,Steven Gentile,https://www.google.com/maps/contrib/100285842213964116748/reviews?hl=en-US,4 years ago,2021-06-24 11:36:27.049650,5.0,101,"Bruh, best park in St. Leo! Go check it out on a summer night because the old people bocce games are hot fire"
8,Parc Ladauversière,ChRDSUhNMG9nS0VJQ0FnSUN3NGYxaxAB,T,https://www.google.com/maps/contrib/111614066414582841129/reviews?hl=en-US,3 years ago,2021-06-24 11:36:27.074603,3.0,221,Good parc... too many ginos with camaros
9,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSUN3b2FiWURnEAE,Zoir Radjabov,https://www.google.com/maps/contrib/100249706059581510387/reviews?hl=en-US,3 years ago,2021-06-24 11:36:27.079096,5.0,637,Nice green park. Quite clean.
10,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUNBNC03N3JBRRAB,Orlando Scopelliti,https://www.google.com/maps/contrib/111193461489842065947/reviews?hl=en-US,2 years ago,2021-06-24 11:36:27.084345,4.0,9,Very nice place to spend a day
11,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUNjMllfcTNBRRAB,Joanisse Guillaume,https://www.google.com/maps/contrib/111934458382386474470/reviews?hl=en-US,a year ago,2021-06-24 11:36:27.088834,5.0,159,very nice
12,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSURBcHZpM093EAE,Chak Fois,https://www.google.com/maps/contrib/106931354552065496419/reviews?hl=en-US,3 years ago,2021-06-24 11:36:27.104613,4.0,61,Beautiful park and great swimming pool
13,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSURreDlUWTNBRRAB,Gina Massotti,https://www.google.com/maps/contrib/112051736452914512308/reviews?hl=en-US,a year ago,2021-06-24 11:36:27.187639,4.0,5,I like the music on Saturday night
14,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSURBckozdWxRRRAB,Modhaffer SAIDI,https://www.google.com/maps/contrib/104231496973208030330/reviews?hl=en-US,2 years ago,2021-06-24 11:36:27.192076,2.0,49,"Very small park, it is not well equipped"
15,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUNFLVlYc3F3RRAB,DjSOPEM Artiste Professionnel Compositeur Musicien,https://www.google.com/maps/contrib/114168861000701278286/reviews?hl=en-US,2 years ago,2021-06-24 11:36:27.207208,5.0,71,Good
16,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSUNZaVB1WUpBEAE,Louie L,https://www.google.com/maps/contrib/112832895686937838716/reviews?hl=en-US,2 years ago,2021-06-24 11:36:27.210550,3.0,624,Park needs more trees
17,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUNVaVllVzJBRRAB,yanis khaleche,https://www.google.com/maps/contrib/100806586709955426625/reviews?hl=en-US,a year ago,2021-06-24 11:36:27.212763,5.0,5,Relax
18,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUNZeHIyZDNRRRAB,Hector Palafox,https://www.google.com/maps/contrib/118151777387580944938/reviews?hl=en-US,2 years ago,2021-06-24 11:36:27.219995,5.0,10,Very good
19,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSURRb3ZuLVdBEAE,Claude Couture,https://www.google.com/maps/contrib/116364325531587184060/reviews?hl=en-US,3 years ago,2021-06-24 11:36:27.225019,5.0,78,Dunno
20,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSURnMklyNW9BRRAB,habofro,https://www.google.com/maps/contrib/100382956345842440493/reviews?hl=en-US,3 years ago,2021-06-24 11:36:27.271215,3.0,7,Issa park
21,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSURRaDgzZlVnEAE,Kamal Berraki,https://www.google.com/maps/contrib/107463289783001173793/reviews?hl=en-US,3 years ago,2021-06-24 11:36:27.286988,5.0,46,Wow
22,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUNRaWFIeDVnRRAB,Salim Amalou,https://www.google.com/maps/contrib/100339416884337796188/reviews?hl=en-US,3 years ago,2021-06-24 11:36:27.296062,3.0,2,good
23,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSURneC1MdWRBEAE,Super Unknown,https://www.google.com/maps/contrib/109729464591582936695/reviews?hl=en-US,4 years ago,2021-06-24 11:36:27.297900,4.0,143,baseball field is awesome
24,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSURRc0llUXJnRRAB,Vincent Nicolas Cicciu,https://www.google.com/maps/contrib/109590763919387138771/reviews?hl=en-US,4 years ago,2021-06-24 11:36:27.305029,4.0,274,good to play soccer
25,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUNLcFlhbXhRRRAB,Mario Prevost,https://www.google.com/maps/contrib/109685952613187991660/reviews?hl=en-US,a month ago,2021-06-24 11:36:27.446156,4.0,64,"(Translated by Google) Renovated tennis court

They ended up adding nets halfway up the fence to block the wind which is not high enough.

Plots 1 and 2 have a slope which is excessively inclined. Really for a patched ground not proud of the engineers.

(Original)
Terrain tennis rénové

Ils ont fini par rajouté des filets à demi hauteur de la clôture pour bloqué le vent ce qui n'est pas suffisamment haut.

Les terrains 1 et 2 ont une pente qui est exagérément inclinés. Vraiment pour un terrain retapé pas fière des ingénieurs."
26,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSURnOE1iWmx3RRAB,kawtar qaroun,https://www.google.com/maps/contrib/102429415258836495139/reviews?hl=en-US,3 years ago,2021-06-24 11:36:27.452637,5.0,14,"(Translated by Google) Beautiful park for sports

(Original)
Beau parc pour faire du sport"
27,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSUNxb3NtdFN3EAE,Alex Au,https://www.google.com/maps/contrib/100287944457855989320/reviews?hl=en-US,3 weeks ago,2021-06-24 11:36:27.458632,2.0,7,"(Translated by Google) There is a volleyball court but in the sand there are stones that can hurt easily if you jump hard (something common in volleyball jumping high)

Then there was a park employee who wanted to charge us a few dollars per person in my group to use the land.

We told him that we were going to pay nothing and that we were going to go to another park
In the end he said it was a joke and that it was to make people laugh
well joke bad taste and I wonder if there have been people who have already been fooled.

(Original)
Il y a un terrain de volleyball mais dans le sable il y a des pierres qui peuvent blesser facilement si on saute fort (quelque chose commun en volleyball sauter haut)

Puis il y a eu un employé du parc qui voulait nous faire payer quelques dolars par personne de mon groupe pour utiliser le terrain.

On lui a dit qu'on allait payer rien et qu'on allait partir à autre parc
Au final il a dit que c’était un blague et que c'était pour faire rire
well joke de mauvaise goute et je me demande s'il y a eu déjà des personnes qui se sont faire avoir."
28,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSURDaHNLSWVREAE,randy Dejean,https://www.google.com/maps/contrib/109126876455820647647/reviews?hl=en-US,8 months ago,2021-06-24 11:36:27.471318,3.0,5,"(Translated by Google) A good park if you include the schoolyard of LaDauversière an American football field which could be better maintained but in general with its swimming pool and its tennis court it is great.

(Original)
Un bon parc si on inclut la cours d'école de LaDauversière un terrain de football américain qui pourrait être mieux entretenu mais en général avec sa piscine et son terrain de tennis il est super."
29,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSURDMHRubXJRRRAB,Oceane Perreault,https://www.google.com/maps/contrib/110063552971115168788/reviews?hl=en-US,9 months ago,2021-06-24 11:36:27.474728,5.0,71,"(Translated by Google) Very nice facilities for both children and adults!

(Original)
Très belles installations autant pour les petits que pour les grands!"
30,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSUQwOXEtYlBREAE,mon meg,https://www.google.com/maps/contrib/109128455258628603706/reviews?hl=en-US,a year ago,2021-06-24 11:36:27.476902,4.0,13,"(Translated by Google) Nice little park with games for children, a tennis court and a good atmosphere for a neighborhood park. I advise for parents with children.

(Original)
Jolie peit parc avec des jeux pour enfants, un terrain de tennis et une bonne ambiance pour un parc de quartier. Je conseil pour les parents avec des enfants."
31,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSURDc09Qa2xBRRAB,Samir Chekori,https://www.google.com/maps/contrib/115835578854518185751/reviews?hl=en-US,9 months ago,2021-06-24 11:36:27.479340,4.0,49,"(Translated by Google) Beautiful as usual

(Original)
Beau comme d'habitude"
32,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUNVaTlucGx3RRAB,Sylvie Armstrong,https://www.google.com/maps/contrib/112710261915868030005/reviews?hl=en-US,a year ago,2021-06-24 11:36:27.482350,3.0,34,"(Translated by Google) Visit the cave of Saint-Léonard with my students: welcome, interesting presentation, visit a little disappointing: it is very short in time and distance 😲 It will surely be more interesting if and when the new discovery will be available to the public.

(Original)
Visite de la caverne de Saint-Léonard avec mes élèves: bon accueil, exposé intéressant, visite un peu décevante: c'est très court en temps et distance 😲 Ce sera sûrement plus intéressant si et quand la nouvelle partie découverte sera disponible au public."
33,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUQ4eThudzBRRRAB,Nabil H,https://www.google.com/maps/contrib/110852455803766406504/reviews?hl=en-US,10 months ago,2021-06-24 11:36:27.485298,5.0,1,"(Translated by Google) Clean and well maintained pool

(Original)
Piscine propre et bien entretenue"
34,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSURVM2R1M1V3EAE,Hichem Brahimi,https://www.google.com/maps/contrib/114676353508268639378/reviews?hl=en-US,a year ago,2021-06-24 11:36:27.487777,4.0,9,"(Translated by Google) Small friendly park with tables to restore and children's games with a sandpit.

(Original)
Petit parc convivial avec des tables pour ce restaurer et des jeux denfant avec un bac a sable."
35,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSURBaE52ZUtBEAE,ana Meyh,https://www.google.com/maps/contrib/118429816908883064979/reviews?hl=en-US,2 years ago,2021-06-24 11:36:27.498135,1.0,6,"(Translated by Google) It's a good place except that on Tuesday July 3, my cousin surprised one of the employees who was doing security at the door, called women sluts😡 just because he had a few bad experiences with some poorly brought up donuts . I wonder what he will do when he is in a real workplace surrounded by women if ever he is !!
Great lack of professionalism and his immediate supervisor was not better that day either !!! I don't like liars!

(Original)
C'est une bonne place sauf que mardi le 3 juillet dernier, ma cousine à surpris un des employés qui faisait la sécurité à la porte, traité les femmes de salope😡 juste parce qu'il a eu quelques mauvais expériences avec certaines beigneuses mal élevées. Je me demande ce qu'il va faire lorsqu'il sera dans un vrai milieux de travail entourée de femmes si jamais c'est le cas!!
Grand manque de professionnalisme et son supérieur immédiat n'était pas mieux non plus  cette journée là!!! Je n'aime pas les menteurs!"
36,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUNDODgzVGlBRRAB,Chi An Huynh,https://www.google.com/maps/contrib/110999478754821620296/reviews?hl=en-US,9 months ago,2021-06-24 11:36:27.502496,5.0,27,"(Translated by Google) Volleyball court always has rocks

(Original)
Terrain de volleyball a toujours des roches"
37,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUQwcWFlZDF3RRAB,sam Anais,https://www.google.com/maps/contrib/107587192782702814617/reviews?hl=en-US,a year ago,2021-06-24 11:36:27.505053,5.0,8,"(Translated by Google) I love this park

(Original)
J'adore ce parc"
38,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSUNZajd6QlR3EAE,Mohamed Anis Mekkaoui,https://www.google.com/maps/contrib/104806301492783806915/reviews?hl=en-US,2 years ago,2021-06-24 11:36:27.507562,4.0,17,"(Translated by Google) An open atmosphere if you want fresh air I recommend 👍

(Original)
Un atmosphère ouvert si vous voulez de l'air frais je recommande 👍"
39,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUMwaXVmMTVRRRAB,jim chabot,https://www.google.com/maps/contrib/110586705604743125634/reviews?hl=en-US,a year ago,2021-06-24 11:36:27.620587,5.0,86,"(Translated by Google) Very large park, it even has a swimming pool on site

(Original)
Tres grand parc , il a meme une piscine sur place"
40,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUN3cXNIbnVBRRAB,Stephanie Allaire,https://www.google.com/maps/contrib/103305609144023345751/reviews?hl=en-US,3 years ago,2021-06-24 11:36:27.646328,4.0,7,"(Translated by Google) It is a park near my home. I go there regularly to play with my boy or just to walk. Several activities are available and during the summer the pool is very popular. However, the small children's park lacks entertainment in my opinion, I would add things to make them have fun, such as a small bridge. During the winter, I will slide and make snowmen! Unfortunately, I hardly see anyone during this winter season. Yet toddlers love to play in the snow!

(Original)
C'est un parc à proximité de chez moi.  J'y vais régulièrement jouer avec mon garçon ou simplement marcher. Plusieurs activités sont disponible et durant l'été la piscine est très apprécié. Cependant, le petit parc pour enfant manque de divertissements à mon avis , j'y rajouterais des trucs pour qu'ils s'amusent , exemple un petit pont. Durant l'hiver , je vais glisser et faire des bonhommes de neige! Malheureusement, je voit presque personne durant cette saison d'hiver. Pourtant les touts petits adorent jouer dans la neige!"
41,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSUNVc0lIYmF3EAE,Aya Miftahi,https://www.google.com/maps/contrib/109988296722296528792/reviews?hl=en-US,a year ago,2021-06-24 11:36:27.657294,5.0,2,"(Translated by Google) It is very charming and the pool but I think that c more strict patogeoir than the large pool

(Original)
C'est tres charmand la piscine mais je trouve que c plus stricte la patogeoir que la grande piscine"
42,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSURrODkyVlZ3EAE,mario,https://www.google.com/maps/contrib/106133584586760492763/reviews?hl=en-US,a year ago,2021-06-24 11:36:27.663867,4.0,20,"(Translated by Google) Good place very cleaned

(Original)
Buen lugar muy limpió"
43,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSUNNaS1helZ3EAE,Thymagene Jamessadath,https://www.google.com/maps/contrib/111259159381732768206/reviews?hl=en-US,a year ago,2021-06-24 11:36:27.726699,5.0,48,"(Translated by Google) nature is beautiful, you have to see it point

(Original)
la nature c rs y magnifoque il faut le voir point"
44,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSUR3OHNqd1F3EAE,moundji achi,https://www.google.com/maps/contrib/101162190566962579260/reviews?hl=en-US,2 years ago,2021-06-24 11:36:27.740473,2.0,8,"(Translated by Google) Magnificent park I recommend it to all those who love nature and tranquility ...

(Original)
Magnifique parc je le recommande à tous ceux qui aime la nature et la tranquillité..."
45,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSURNM3RmTzJBRRAB,Nicolas Vaillancourt,https://www.google.com/maps/contrib/107286652507611084713/reviews?hl=en-US,a year ago,2021-06-24 11:36:27.748435,5.0,431,"(Translated by Google) The best franchise for lunch!

(Original)
La meilleure franchise où déjeuner!"
46,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSUNnX0lYTjRBRRAB,ΛLỈΞИ SИΞΛК,https://www.google.com/maps/contrib/117263766086446316880/reviews?hl=en-US,3 years ago,2021-06-24 11:36:27.752777,5.0,56,"(Translated by Google) Beautiful park with 2 football fields ... Home of St-Léonard Cougars! 🏉🏈

(Original)
Beau parc avec 2 terrains de football... Home of St-Léonard Cougars! 🏉🏈"
47,Parc Ladauversière,ChdDSUhNMG9nS0VJQ0FnSURZNUpqTTdnRRAB,Malai Alexei,https://www.google.com/maps/contrib/113974273404642810777/reviews?hl=en-US,2 years ago,2021-06-24 11:36:27.761080,5.0,3,"(Translated by Google) super good park

(Original)
super bon parc"
48,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSUNvODV5cFFBEAE,Sherly François,https://www.google.com/maps/contrib/112068465528329663848/reviews?hl=en-US,2 years ago,2021-06-24 11:36:27.762473,5.0,25,"(Translated by Google) Beautiful pool. Many people.

(Original)
Belle piscine. Bcp de gens."
49,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSUMweXRLQktnEAE,Casimiro Casale,https://www.google.com/maps/contrib/116043976106082322149/reviews?hl=en-US,a year ago,2021-06-24 11:36:27.766418,3.0,15,"(Translated by Google) You never find parking because it is full of people

(Original)
Non trovi mai parcheggio perché è pieno di gente"
50,Parc Ladauversière,ChZDSUhNMG9nS0VJQ0FnSUNBbHRMOUJnEAE,Luc Beauregard,https://www.google.com/maps/contrib/100575628751930726239/reviews?hl=en-US,3 years ago,2021-06-24 11:36:27.769100,4.0,240,"(Translated by Google) Very beautiful and boucou of beautiful thing to see.

(Original)
Très beau et boucou de belle chose à voir."
