,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Lawrence,ChZDSUhNMG9nS0VJQ0FnSUNxM3BiY0hBEAE,Simon B,https://www.google.com/maps/contrib/100655313180363962407/reviews?hl=en-US,2 weeks ago,2021-06-24 11:52:57.696305,5.0,41,This is a nice park with splashpad and play areas for different ages and a basketball court. There's also many trees so it's well shaded.
1,Parc Lawrence,ChdDSUhNMG9nS0VJQ0FnSURDN0xUY3NRRRAB,Seven Stars,https://www.google.com/maps/contrib/108193826491344919314/reviews?hl=en-US,9 months ago,2021-06-24 11:52:57.697968,5.0,239,It is a wonderful park fir kids
2,Parc Lawrence,ChZDSUhNMG9nS0VJQ0FnSUM4OC1UWkhnEAE,Eugène Gonzalez,https://www.google.com/maps/contrib/100326186132290865694/reviews?hl=en-US,11 months ago,2021-06-24 11:52:57.699968,5.0,20,"Good water playground , only problem Kids riding bike run over smaller kids even when is forbidden riding bikes inside water playground and parents doesn't care"
3,Parc Lawrence,ChZDSUhNMG9nS0VJQ0FnSUNncVpxUENnEAE,HUnewearl Sue,https://www.google.com/maps/contrib/107633268788044341076/reviews?hl=en-US,2 years ago,2021-06-24 11:52:57.703850,5.0,140,"The playground equipment maybe is a bit older, five or so years maybe, but the splash pad was AWESOME!!!"
4,Parc Lawrence,ChdDSUhNMG9nS0VJQ0FnSURBNk1uTjBnRRAB,Abdou,https://www.google.com/maps/contrib/117878162712124624186/reviews?hl=en-US,2 years ago,2021-06-24 11:52:57.705884,5.0,2,"Great little park to play with the kids, awesome water fountain"
5,Parc Lawrence,ChdDSUhNMG9nS0VJQ0FnSUNzNHJtd29nRRAB,nya thomas,https://www.google.com/maps/contrib/116351166275909597125/reviews?hl=en-US,a year ago,2021-06-24 11:52:57.709878,5.0,63,"Fun place on the right day ,,, lot of activities  ,,  for everyone"
6,Parc Lawrence,ChdDSUhNMG9nS0VJQ0FnSURjb1lXQndnRRAB,Octavian Florea,https://www.google.com/maps/contrib/107387600808957816425/reviews?hl=en-US,a year ago,2021-06-24 11:52:57.711678,5.0,11,It's ok
7,Parc Lawrence,ChZDSUhNMG9nS0VJQ0FnSUN3cDdlWlJnEAE,Seren Dagdeviren,https://www.google.com/maps/contrib/117110068101629087412/reviews?hl=en-US,3 years ago,2021-06-24 11:52:57.713172,5.0,336,"Nice, clean and good views of the canal."
8,Parc Lawrence,ChZDSUhNMG9nS0VJQ0FnSUNJenJXTFh3EAE,Jason Delvaille,https://www.google.com/maps/contrib/108993140984073722993/reviews?hl=en-US,2 years ago,2021-06-24 11:52:57.714587,4.0,15,Nice for kids of all ages
9,Parc Lawrence,ChZDSUhNMG9nS0VJQ0FnSURncThIQVhBEAE,Gustavo F N,https://www.google.com/maps/contrib/107174323130398465109/reviews?hl=en-US,4 years ago,2021-06-24 11:52:57.716457,4.0,352,Such a great place.
10,Parc Lawrence,ChZDSUhNMG9nS0VJQ0FnSUR5dl9IekV3EAE,Caroline Primeau,https://www.google.com/maps/contrib/113430317977026162074/reviews?hl=en-US,3 months ago,2021-06-24 11:52:57.718550,4.0,104,"(Translated by Google) Large park with fun children's modules. In addition to a moving bus and a hickey that allows a child and an adult to have fun together!

(Original)
Grand parc avec des modules pour enfants amusants. En plus d'un autobus qui bouge et un suçon qui permet à un enfant et un adulte de s'amuser ensemble!"
11,Parc Lawrence,ChdDSUhNMG9nS0VJQ0FnSURDMmFLV3FnRRAB,josée Petit,https://www.google.com/maps/contrib/108955214233332789431/reviews?hl=en-US,8 months ago,2021-06-24 11:52:57.720865,5.0,20,"(Translated by Google) The most wonderful place for Mya Rose 6 years old.

(Original)
L'endroit le plus merveilleux pour Mya Rose 6 ans."
12,Parc Lawrence,ChZDSUhNMG9nS0VJQ0FnSURzbHVTZVNnEAE,Serge Purtell,https://www.google.com/maps/contrib/116034081017365317692/reviews?hl=en-US,a year ago,2021-06-24 11:52:57.723650,4.0,161,"(Translated by Google) Superb park, basketball hoop, new skating rink, lots of fun for the kids

(Original)
Superbe parc, panier de basket, nouvelle patogeoire, beaucoup de plaisir pour les enfants"
13,Parc Lawrence,ChZDSUhNMG9nS0VJQ0FnSUN3cHR2b1V3EAE,Andrée-Ann Jacques,https://www.google.com/maps/contrib/108500040659434417818/reviews?hl=en-US,4 years ago,2021-06-24 11:52:57.728142,5.0,19,"(Translated by Google) Super park with different levels of games for children. The water games could be a bit more modern than a fountain but at least it does the trick!

(Original)
Super parc avec différents niveaux de jeux pour les enfants.  Les jeux d'eau pourraient être un peu plus moderne qu'une fontaine mais au moins, ça fait l'affaire!"
14,Parc Lawrence,ChZDSUhNMG9nS0VJQ0FnSUN3akl1clFnEAE,Приколы на вотсапп,https://www.google.com/maps/contrib/117667902229400800690/reviews?hl=en-US,3 years ago,2021-06-24 11:52:57.729425,5.0,12,"(Translated by Google) All perfectly . there are chess tables, a basketball court, a swing for different ages, etc.

(Original)
Всё отлично . есть шахматные столы , баскетбольная площадка , качели для разных возрастов и т.д"
15,Parc Lawrence,ChZDSUhNMG9nS0VJQ0FnSURrcGFEUUtnEAE,eri hahahaa,https://www.google.com/maps/contrib/116967762844259881474/reviews?hl=en-US,a year ago,2021-06-24 11:52:57.730639,5.0,2,"(Translated by Google) It's perfect for the little ones!

(Original)
C'est parfait pour les tout petits !"
16,Parc Lawrence,ChZDSUhNMG9nS0VJQ0FnSUNROWFDWWZ3EAE,Gulbarchin Mambetalieva,https://www.google.com/maps/contrib/118014877810490948755/reviews?hl=en-US,3 years ago,2021-06-24 11:52:57.732695,5.0,19,"(Translated by Google) A good place.

(Original)
Хорошее место."
17,Parc Lawrence,ChZDSUhNMG9nS0VJQ0FnSUN3cy1yQ0xBEAE,Abderrahim Rahho,https://www.google.com/maps/contrib/109567124868491289497/reviews?hl=en-US,3 years ago,2021-06-24 11:52:57.734721,3.0,29,"(Translated by Google) Distractions for children.

(Original)
Distractions pour enfants."
18,Parc Lawrence,ChdDSUhNMG9nS0VJQ0FnSURnLWUyT19RRRAB,Ruslan Isac,https://www.google.com/maps/contrib/111741894732212189816/reviews?hl=en-US,4 years ago,2021-06-24 11:52:57.736671,4.0,2,
19,Parc Lawrence,ChdDSUhNMG9nS0VJQ0FnSUN3OC1xRC13RRAB,josee aumont,https://www.google.com/maps/contrib/110804974969470499081/reviews?hl=en-US,3 years ago,2021-06-24 11:52:57.738929,5.0,4,
20,Parc Lawrence,ChdDSUhNMG9nS0VJQ0FnSUM4eU83cy1RRRAB,Dinith Karunanayake,https://www.google.com/maps/contrib/100664949205158656355/reviews?hl=en-US,a year ago,2021-06-24 11:52:57.744316,5.0,2,
21,Parc Lawrence,ChdDSUhNMG9nS0VJQ0FnSUNRb01DUDl3RRAB,Ilona (Ilo),https://www.google.com/maps/contrib/114524984477910345352/reviews?hl=en-US,3 years ago,2021-06-24 11:52:57.747565,4.0,81,
22,Parc Lawrence,ChdDSUhNMG9nS0VJQ0FnSUM0dVpPTTV3RRAB,Dominique Claude,https://www.google.com/maps/contrib/102822758234418048164/reviews?hl=en-US,2 years ago,2021-06-24 11:52:57.749600,5.0,26,
23,Parc Lawrence,ChdDSUhNMG9nS0VJQ0FnSURLcDV6SDRRRRAB,Catherine Aumont-Blanchette,https://www.google.com/maps/contrib/110783390634594514497/reviews?hl=en-US,a month ago,2021-06-24 11:52:57.752331,5.0,17,
24,Parc Lawrence,ChdDSUhNMG9nS0VJQ0FnSUMwN1kyMjJ3RRAB,manu bouclier,https://www.google.com/maps/contrib/108204792603304501606/reviews?hl=en-US,a year ago,2021-06-24 11:52:57.754695,4.0,13,
25,Parc Lawrence,ChdDSUhNMG9nS0VJQ0FnSUNVeWFxMjJBRRAB,Roberto Samson,https://www.google.com/maps/contrib/105673840028983696966/reviews?hl=en-US,a year ago,2021-06-24 11:52:57.756115,2.0,2,
26,Parc Lawrence,ChdDSUhNMG9nS0VJQ0FnSUNnNmR6QTB3RRAB,First Kutt,https://www.google.com/maps/contrib/108780655515992238841/reviews?hl=en-US,3 years ago,2021-06-24 11:52:57.757518,5.0,8,
27,Parc Lawrence,ChdDSUhNMG9nS0VJQ0FnSUNpNXFMWXlRRRAB,hi lo,https://www.google.com/maps/contrib/100804748339933677350/reviews?hl=en-US,7 months ago,2021-06-24 11:52:57.761687,5.0,11,
