,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSUR5bl9IVF9nRRAB,Rob Denton,https://www.google.com/maps/contrib/100238632616579188358/reviews?hl=en-US,3 months ago,2021-06-24 11:57:50.438105,5.0,41,"Nice park with lots to climb on. There's also a library, pool, and community centre."
1,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSURRdmJQUndnRRAB,Bharat T Shah,https://www.google.com/maps/contrib/107228572593286298090/reviews?hl=en-US,2 years ago,2021-06-24 11:57:50.440284,4.0,219,"Park Prèvost, on De La Roche Street, is a beautiful park that is good for both adults as well as children.
On our two day trip to Montreal from Toronto, my wife, son, and I lived at a friend's house on this street.
The park has a children playground with plenty of equipment to keep your children entertained & busy, a baseball field, and an ice rink in winter.
The park provides pollution free area to the people of the neighbourhood who like to walk, jog, run, or cycle on well maintained paved walkways in natural environment."
2,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSUR3N0t6aXNnRRAB,Quentin Auvray (golbarg),https://www.google.com/maps/contrib/112880212653104933391/reviews?hl=en-US,2 years ago,2021-06-24 11:57:50.442479,4.0,299,"It's a park. Kids modules, ice rink in the winter and baseball field, could do better with a little extra care."
3,Parc Le Prévost,ChZDSUhNMG9nS0VJQ0FnSURneUpya0V3EAE,Jamie Morabito,https://www.google.com/maps/contrib/106827283234670026664/reviews?hl=en-US,2 years ago,2021-06-24 11:57:50.444222,1.0,130,No dogs allowed
4,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSUN3dzVMLW93RRAB,Feriel B,https://www.google.com/maps/contrib/111736873691804973262/reviews?hl=en-US,3 years ago,2021-06-24 11:57:50.446579,4.0,199,Cute naiborhood park
5,Parc Le Prévost,ChZDSUhNMG9nS0VJQ0FnSUNBdHFpY1pBEAE,Cyril TOVENA,https://www.google.com/maps/contrib/100997010237848745254/reviews?hl=en-US,4 years ago,2021-06-24 11:57:50.448546,2.0,49,very small
6,Parc Le Prévost,ChZDSUhNMG9nS0VJQ0FnSUNzM3RxLU1BEAE,Jean C Loko Earth,https://www.google.com/maps/contrib/117475646469025133342/reviews?hl=en-US,a year ago,2021-06-24 11:57:50.452404,5.0,205,"(Translated by Google) Nice park to come and play hockey in winter and during summer in baseball / frisbee / soccer or with the children 🌞⛄🏒

(Original)
Beau parc pour venir jouer au hockey en hiver et pendant l'été au baseball/frisbee/soccer ou avec les enfants 🌞⛄🏒"
7,Parc Le Prévost,ChZDSUhNMG9nS0VJQ0FnSUNLaGV5b1pREAE,Daniel Veileux,https://www.google.com/maps/contrib/105196390513060435610/reviews?hl=en-US,2 months ago,2021-06-24 11:57:50.455132,5.0,29,"(Translated by Google) Well landscaped safe beautiful colors live

(Original)
Bien aménager sécuritaire de belle couleurs vivent"
8,Parc Le Prévost,ChZDSUhNMG9nS0VJQ0FnSUM4Z3NfRFBREAE,Andre Peloquin,https://www.google.com/maps/contrib/102693185665839538128/reviews?hl=en-US,11 months ago,2021-06-24 11:57:50.457138,3.0,4,"(Translated by Google) The children's section could be updated

(Original)
Le volet pour enfants pourrait être actualisé"
9,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSUQ4NWFYZF9nRRAB,:Thibault Coin,https://www.google.com/maps/contrib/113752862627270973140/reviews?hl=en-US,11 months ago,2021-06-24 11:57:50.459089,4.0,1,"(Translated by Google) This park is lacking in grass in some places

(Original)
Ce parc-ci manque d'herbe a certain endroit"
10,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSURrODlqSTBnRRAB,Yoann Lussier,https://www.google.com/maps/contrib/108366424979984064344/reviews?hl=en-US,a year ago,2021-06-24 11:57:50.461415,5.0,3,"(Translated by Google) Attached to Patro le Prévost, this park has the advantage of being near a abrevoir and a toilet. Several game modules allow little ones and teens to have fun. In this park, you can also practice baseball, hockey and soccer in the facilities.

(Original)
Accolé au Patro le Prévost, ce parc a l'avantage d'être près d'un abrevoir et d'une toilette. Plusieurs modules de jeux permettent aux petits et ados de bien s'amuser. Dans ce parc, vous pourrez aussi pratiquer le baseball, le hockey et le soccer vus les installations."
11,Parc Le Prévost,ChZDSUhNMG9nS0VJQ0FnSURRM3ZtWVVnEAE,Guillaume Bieth,https://www.google.com/maps/contrib/106881437232527753050/reviews?hl=en-US,4 years ago,2021-06-24 11:57:50.463489,5.0,156,"(Translated by Google) Small park with games for the youngest (3 to 5 years old) and the older ones (5 to 8 years old).

Benches are available for parents.

(Original)
Petit parc disposant de jeux pour les plus petits (3 à 5 ans) et les plus grands (5 à 8 ans).

Des bancs sont disponibles pour les parents."
12,Parc Le Prévost,ChZDSUhNMG9nS0VJQ0FnSUNzcGY3N0pBEAE,Danny,https://www.google.com/maps/contrib/107562252884073548477/reviews?hl=en-US,a year ago,2021-06-24 11:57:50.465849,4.0,384,"(Translated by Google) Beautiful park.

(Original)
Beau parc."
13,Parc Le Prévost,ChZDSUhNMG9nS0VJQ0FnSUNRc1liTWVnEAE,Abdelkader Akil,https://www.google.com/maps/contrib/105161397917059905440/reviews?hl=en-US,3 years ago,2021-06-24 11:57:50.467803,1.0,121,"(Translated by Google) A park reserved for children and adults, there are
Internal and external activities, with a large field for bisball, children's playground.

(Original)
Un parc réservée aux enfants et adultes,il ya
Des  activitées internes et externes,avec un gros terrain pour bisball , terrain jeux pour enfants."
14,Parc Le Prévost,ChZDSUhNMG9nS0VJQ0FnSUMwcV91RVV3EAE,Vedat Karakus,https://www.google.com/maps/contrib/113354440178029834720/reviews?hl=en-US,a year ago,2021-06-24 11:57:50.470721,5.0,19,"(Translated by Google) Best playground in the neighborhood

(Original)
Meilleure parc de jeux dans le cartier"
15,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSUNVd2FUMnhBRRAB,Isabelle Gagnon,https://www.google.com/maps/contrib/105965324474624681196/reviews?hl=en-US,a year ago,2021-06-24 11:57:50.472601,4.0,67,"(Translated by Google) Beautiful park.

(Original)
Beau parc."
16,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSURvNkl5Y2dRRRAB,Hugo Fradette,https://www.google.com/maps/contrib/106833275894642276463/reviews?hl=en-US,2 years ago,2021-06-24 11:57:50.474161,5.0,45,"(Translated by Google) Super beautiful park

(Original)
Super beau parc"
17,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSURRcmN1WnFRRRAB,Francois Soucy,https://www.google.com/maps/contrib/118276113670427591631/reviews?hl=en-US,4 years ago,2021-06-24 11:57:50.476998,4.0,91,"(Translated by Google) Beautiful park!

(Original)
Très beau parc!"
18,Parc Le Prévost,ChZDSUhNMG9nS0VJQ0FnSUNRaG9PM0p3EAE,Kader Akil,https://www.google.com/maps/contrib/117292414352754453341/reviews?hl=en-US,3 years ago,2021-06-24 11:57:50.479546,1.0,47,"(Translated by Google) It is a multi-activity park, a place for children's games and a field
For adult bisball, it also has internal activities such as the swimming pool and others.

(Original)
C'est un parc à activités multiples un endroits pour les jeux d'enfants et un terrain
Pour le bisball adultes, il dispose aussi des activités internes comme la piscine et autres."
19,Parc Le Prévost,ChZDSUhNMG9nS0VJQ0FnSUM0cUxya0pBEAE,Alain Lessard,https://www.google.com/maps/contrib/110888234646012957923/reviews?hl=en-US,2 years ago,2021-06-24 11:57:50.481528,5.0,388,"(Translated by Google) Beautiful place

(Original)
Belle endroit"
20,Parc Le Prévost,ChZDSUhNMG9nS0VJQ0FnSURncnZITFFBEAE,Caroline Fournier,https://www.google.com/maps/contrib/101929721266103917646/reviews?hl=en-US,2 years ago,2021-06-24 11:57:50.483504,5.0,39,"(Translated by Google) Good

(Original)
Bien"
21,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSUNvbHBXMzdnRRAB,Marc Andre chiasson,https://www.google.com/maps/contrib/109527999010530696884/reviews?hl=en-US,2 years ago,2021-06-24 11:57:50.485631,5.0,23,"(Translated by Google) I love

(Original)
J adore"
22,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSUN3cTkzS253RRAB,Valérie Poisson,https://www.google.com/maps/contrib/105786365351412218690/reviews?hl=en-US,4 years ago,2021-06-24 11:57:50.490179,5.0,217,"(Translated by Google) Lots of trees where you can take shelter

(Original)
Beaucoup d'arbres où on peut s' abriter"
23,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSURZd3Uzc193RRAB,Amal Cherouane,https://www.google.com/maps/contrib/111515629564095536571/reviews?hl=en-US,2 years ago,2021-06-24 11:57:50.491640,5.0,11,
24,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSUNpeklmNi1nRRAB,creepackk,https://www.google.com/maps/contrib/103171708314081328702/reviews?hl=en-US,8 months ago,2021-06-24 11:57:50.493055,5.0,5,
25,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSURLek1qRDl3RRAB,Gerard St Amand,https://www.google.com/maps/contrib/100411601181327071026/reviews?hl=en-US,a month ago,2021-06-24 11:57:50.495014,3.0,3,
26,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSURVd3ZTSjl3RRAB,adrien,https://www.google.com/maps/contrib/118273465344463251619/reviews?hl=en-US,a year ago,2021-06-24 11:57:50.497523,5.0,0,
27,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSUNDMWZfQTlRRRAB,Ben Strauss,https://www.google.com/maps/contrib/110412209284243896824/reviews?hl=en-US,9 months ago,2021-06-24 11:57:50.499498,5.0,10,
28,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSUQ4djZhSjhnRRAB,Chella Sadi,https://www.google.com/maps/contrib/106060362256512443630/reviews?hl=en-US,10 months ago,2021-06-24 11:57:50.503264,5.0,1,
29,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSUNzOU5MUjhBRRAB,Yannick St-Onge (Yünnick),https://www.google.com/maps/contrib/116261866429118608168/reviews?hl=en-US,a year ago,2021-06-24 11:57:50.510107,3.0,28,
30,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSUNZaU8zcTNRRRAB,jocelyn auclair,https://www.google.com/maps/contrib/114821281478652350760/reviews?hl=en-US,2 years ago,2021-06-24 11:57:50.511898,4.0,56,
31,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSURBMW82XzJ3RRAB,Bayron Reyes,https://www.google.com/maps/contrib/104733693870284403706/reviews?hl=en-US,4 years ago,2021-06-24 11:57:50.513309,5.0,76,
32,Parc Le Prévost,ChdDSUhNMG9nS0VJQ0FnSURRNjdXSzFnRRAB,Yann Odin,https://www.google.com/maps/contrib/106292572378945374450/reviews?hl=en-US,3 years ago,2021-06-24 11:57:50.514701,4.0,3,
