,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSUNxMGNub2xBRRAB,Alex Miklin,https://www.google.com/maps/contrib/104603226440482519628/reviews?hl=en-US,2 weeks ago,2021-06-24 12:04:35.574321,5.0,26,Kids love the park very much
1,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSUN5OU9icTF3RRAB,Michel Vaillancourt,https://www.google.com/maps/contrib/117805855999856569196/reviews?hl=en-US,5 months ago,2021-06-24 12:04:35.575289,4.0,46,Park has a variety of activities and is well maintained.
2,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSUMwMDQtV2tnRRAB,Mercy Ehm,https://www.google.com/maps/contrib/113753326687936230618/reviews?hl=en-US,a year ago,2021-06-24 12:04:35.576238,5.0,32,"If you're looking for a safe and fun halloween, THIS is where you want to be.  The whole park is converted into a themed halloween.  Last year it was Day of the Dead (tastefully done for little ones) activities, candy stations, haunted house, many MANY entertainers, fireworks and cherry on my sundae... the spotlights everywhere give off enough heat to make it comfortable for everyone.

The neighbouring streets have an 80% participation.  Hoises are decorated, people standing outdoors in costume handing out candy.  It feels like we're back in the 80s when it was safe to trick or treat, kids flooded the streets and people talked to each other.

I have been coming here with my kid since 2011 and plan to keep coming here until he says ""mom... im too old to trick or treat"".

Try it - you won't regret it."
3,Parc Leroux,ChZDSUhNMG9nS0VJQ0FnSUNDM18yWERnEAE,t gray,https://www.google.com/maps/contrib/107172702076315201644/reviews?hl=en-US,9 months ago,2021-06-24 12:04:35.577183,5.0,24,It's a good park but always has a lot of kids .
4,Parc Leroux,ChZDSUhNMG9nS0VJQ0FnSURNaElyZFR3EAE,Yannick Koehler,https://www.google.com/maps/contrib/106489840627284533185/reviews?hl=en-US,a year ago,2021-06-24 12:04:35.578126,4.0,21,"Lots of place for kids to play, two zones, about 3 big modules and. A couple of small one.  There is a square with water jets, but get some sandals.  Close to city’s pool and they’re is a toilet near (small walk).  Also water in summer is available near the pool to drink."
5,Parc Leroux,ChZDSUhNMG9nS0VJQ0FnSURTb2VUcElREAE,Gulbarchin Mambetalieva,https://www.google.com/maps/contrib/118014877810490948755/reviews?hl=en-US,5 months ago,2021-06-24 12:04:35.579072,5.0,19,Amazing place.
6,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSURDajlyOXJnRRAB,Mathieu Despatis,https://www.google.com/maps/contrib/107723796113678172368/reviews?hl=en-US,8 months ago,2021-06-24 12:04:35.580330,5.0,104,Perfect for young kids
7,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSUNDMmEzcTBRRRAB,Michael Ryan,https://www.google.com/maps/contrib/113042482998690378010/reviews?hl=en-US,9 months ago,2021-06-24 12:04:35.581279,5.0,194,Great park.
8,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSUNJam9iVDN3RRAB,Jacques Abecassis,https://www.google.com/maps/contrib/106803475778658348154/reviews?hl=en-US,2 years ago,2021-06-24 12:04:35.582218,5.0,6,Super cool kids event for Halloween!
9,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSUM0OXF1a3FBRRAB,Wilfred Liu,https://www.google.com/maps/contrib/113675545943123517144/reviews?hl=en-US,2 years ago,2021-06-24 12:04:35.583164,5.0,181,"It's very open, spacious, easy to supervise the children. It's fenced in for safety"
10,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSUNnemZ5U3VnRRAB,Rick Burgos,https://www.google.com/maps/contrib/117516445006970785921/reviews?hl=en-US,3 years ago,2021-06-24 12:04:35.584109,5.0,85,This park is beautiful and a good place to take pictures. You can bring your kids because there is a playground. People here play softball and soccer. And you can bring your pet.
11,Parc Leroux,ChZDSUhNMG9nS0VJQ0FnSURBaFB2aUhBEAE,devan pelletier,https://www.google.com/maps/contrib/112148757221197628649/reviews?hl=en-US,2 years ago,2021-06-24 12:04:35.585848,5.0,34,The dog love it and the waterfountain for them is great ! ( the park is all rocks and no grass for anyone wondering ) 😊
12,Parc Leroux,ChZDSUhNMG9nS0VJQ0FnSURRaXB1bFZnEAE,purlaine,https://www.google.com/maps/contrib/100704546431675693936/reviews?hl=en-US,2 years ago,2021-06-24 12:04:35.587098,3.0,21,The dogs have to run on gravel and cannot bark without being told to be quiet by a man across the street!
13,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSUM0ck42UzlBRRAB,Patrick Bayne,https://www.google.com/maps/contrib/111526116118077688643/reviews?hl=en-US,2 years ago,2021-06-24 12:04:35.588195,4.0,78,"Decent park with play area, pool and soccer field."
14,Parc Leroux,ChZDSUhNMG9nS0VJQ0FnSURNOTZmNVRREAE,amanda glenane,https://www.google.com/maps/contrib/107404818338796365224/reviews?hl=en-US,a year ago,2021-06-24 12:04:35.589261,5.0,8,Love it  lot of fun for kids
15,Parc Leroux,ChZDSUhNMG9nS0VJQ0FnSURndHU3RFhnEAE,Simon B,https://www.google.com/maps/contrib/100655313180363962407/reviews?hl=en-US,2 years ago,2021-06-24 12:04:35.590330,5.0,41,"Small park with a fully fenced in play area for toddlers and up, with a small water fountain to play in."
16,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSUNnc2VUYS1BRRAB,Johnny Evangelista,https://www.google.com/maps/contrib/108126486181947925052/reviews?hl=en-US,3 years ago,2021-06-24 12:04:35.592199,5.0,372,"Great park! Tennis, swimming pool, soccer field. Great Halloween party every year."
17,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSURRME5XU2tBRRAB,Ken Oliver,https://www.google.com/maps/contrib/116886655854610735501/reviews?hl=en-US,2 years ago,2021-06-24 12:04:35.594522,5.0,149,"Nice park with 2 baseball fields,  soccer fields, a park for kids, basketball court and 2 tennis courts.

Also a huge public pool"
18,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSUQwNU1paHh3RRAB,Virgil Bowles-dove,https://www.google.com/maps/contrib/110760190486405842214/reviews?hl=en-US,a year ago,2021-06-24 12:04:35.596356,3.0,216,nice family parc
19,Parc Leroux,ChZDSUhNMG9nS0VJQ0FnSUN3NV8tUFlREAE,Jena David,https://www.google.com/maps/contrib/104598523825109230686/reviews?hl=en-US,2 years ago,2021-06-24 12:04:35.598770,5.0,26,"Fun times; pool, sprinkler, park, tennis, baseball, footbol. Great place"
20,Parc Leroux,ChZDSUhNMG9nS0VJQ0FnSURRcG9xWGFREAE,Gabriela Galicia Vázquez,https://www.google.com/maps/contrib/104654899173652892483/reviews?hl=en-US,3 years ago,2021-06-24 12:04:35.605024,5.0,1,A very nice place for kids to hang out in the evening
21,Parc Leroux,ChZDSUhNMG9nS0VJQ0FnSUNRMzVHSUN3EAE,Jeffrey Pauletto,https://www.google.com/maps/contrib/100309383227075521128/reviews?hl=en-US,5 years ago,2021-06-24 12:04:35.606512,5.0,170,One of the better park for softball. Fairly well maintained.
22,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSUNRNTU2amdnRRAB,flavius mateus,https://www.google.com/maps/contrib/115558457908445885857/reviews?hl=en-US,3 years ago,2021-06-24 12:04:35.607849,5.0,101,Fun park for kids..nice swimming pool
23,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSUN3a0ltRnFRRRAB,Patrick Bérubé,https://www.google.com/maps/contrib/106495244081660430831/reviews?hl=en-US,4 years ago,2021-06-24 12:04:35.608876,5.0,12,"The best park in lasalle
Halloween events and much more"
24,Parc Leroux,ChZDSUhNMG9nS0VJQ0FnSUNBaXZPNFR3EAE,Christine Baldry,https://www.google.com/maps/contrib/102105235559887583611/reviews?hl=en-US,2 years ago,2021-06-24 12:04:35.612355,5.0,39,Fantastic pool. Very clean
25,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSURBMXI2TDBnRRAB,Edgar Manoukian,https://www.google.com/maps/contrib/110260749950374329021/reviews?hl=en-US,2 years ago,2021-06-24 12:04:35.614259,4.0,102,Nice park to relax or play sports
26,Parc Leroux,ChZDSUhNMG9nS0VJQ0FnSUN3eDdxVEtREAE,emilio musacchio,https://www.google.com/maps/contrib/110667996049556530101/reviews?hl=en-US,3 years ago,2021-06-24 12:04:35.616563,5.0,11,great place to bring kids.
27,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSURRNE12MHVnRRAB,Olga Osadcha,https://www.google.com/maps/contrib/111060485414595139059/reviews?hl=en-US,3 years ago,2021-06-24 12:04:35.619060,5.0,38,I love this park.
28,Parc Leroux,ChZDSUhNMG9nS0VJQ0FnSUNnOW9hX0xBEAE,Sergii Buchovskyi,https://www.google.com/maps/contrib/106556803256635879904/reviews?hl=en-US,3 years ago,2021-06-24 12:04:35.621045,5.0,37,Good place to go with kids
29,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSURBcTZIbTVBRRAB,Robert Green,https://www.google.com/maps/contrib/115968120064474077081/reviews?hl=en-US,3 years ago,2021-06-24 12:04:35.622264,5.0,1,Nice park
30,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSURBOHZhS3pnRRAB,Simon Fauteux,https://www.google.com/maps/contrib/101316651623239330214/reviews?hl=en-US,3 years ago,2021-06-24 12:04:35.623748,4.0,1,Leroux Park
31,Parc Leroux,ChZDSUhNMG9nS0VJQ0FnSUNnX01uTlhBEAE,Dina Guzun,https://www.google.com/maps/contrib/113711975630987428567/reviews?hl=en-US,2 years ago,2021-06-24 12:04:35.625943,2.0,21,The sand needs to be cleaned.
32,Parc Leroux,ChdDSUhNMG9nS0VJQ0FnSUNBdnMtTzBnRRAB,Dima Moraru,https://www.google.com/maps/contrib/106254849478555776050/reviews?hl=en-US,4 years ago,2021-06-24 12:04:35.627343,4.0,426,Pretty nice
