,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Louis-Marie-Gagnon,ChZDSUhNMG9nS0VJQ0FnSUMwOFpERFlBEAE,Maxim Beiline,https://www.google.com/maps/contrib/104263569999100872729/reviews?hl=en-CA,a year ago,2021-06-22 10:46:37.027289,5.0,335,Nice place
1,Parc Louis-Marie-Gagnon,ChdDSUhNMG9nS0VJQ0FnSUN3X29tdHNBRRAB,Gail Grant,https://www.google.com/maps/contrib/116189038458613731821/reviews?hl=en-CA,3 years ago,2021-06-22 10:46:37.028588,3.0,45,Nice place
2,Parc Louis-Marie-Gagnon,ChdDSUhNMG9nS0VJQ0FnSUNxaUx6ZHp3RRAB,Gerald Chartre,https://www.google.com/maps/contrib/103504362973697433694/reviews?hl=en-CA,4 weeks ago,2021-06-22 10:46:37.029821,3.0,147,"(Translated by Google) Small, quiet park with an amusement module for children.

(Original)
Petit Parc tranquille avec module d'amusement pour enfants."
3,Parc Louis-Marie-Gagnon,ChdDSUhNMG9nS0VJQ0FnSUNpaG8zR2dRRRAB,Nicolas Tremblay,https://www.google.com/maps/contrib/102555347437615944786/reviews?hl=en-CA,7 months ago,2021-06-22 10:46:37.031343,3.0,293,"(Translated by Google) Ok, but some small games need to be replaced

(Original)
Correct, mais certains petits jeux ont besoin d'être remplacé"
4,Parc Louis-Marie-Gagnon,ChdDSUhNMG9nS0VJQ0FnSUN3LWZtZzhBRRAB,Jéremy Bolduc,https://www.google.com/maps/contrib/108003027668822571461/reviews?hl=en-CA,3 years ago,2021-06-22 10:46:37.032758,4.0,16,"(Translated by Google) A small park, but ""huge"" according to the children 😉

(Original)
Un petit parc, mais ""énorme"" selon les enfants 😉"
5,Parc Louis-Marie-Gagnon,ChZDSUhNMG9nS0VJQ0FnSURRdXRMeU9REAE,Denis Thibault,https://www.google.com/maps/contrib/102680481244754577218/reviews?hl=en-CA,a year ago,2021-06-22 10:46:37.033840,5.0,17,"(Translated by Google) Good

(Original)
Bien"
6,Parc Louis-Marie-Gagnon,ChdDSUhNMG9nS0VJQ0FnSURRaUxHam13RRAB,taoufik bousselham,https://www.google.com/maps/contrib/114137884248582999311/reviews?hl=en-CA,3 years ago,2021-06-22 10:46:37.034927,3.0,208,"(Translated by Google) Must be better maintained ....

(Original)
Doit être mieux entretenu...."
7,Parc Louis-Marie-Gagnon,ChdDSUhNMG9nS0VJQ0FnSUNnOFkzdnpRRRAB,gilles vachet,https://www.google.com/maps/contrib/104552137419133300133/reviews?hl=en-CA,3 years ago,2021-06-22 10:46:37.035925,5.0,2,
8,Parc Louis-Marie-Gagnon,ChdDSUhNMG9nS0VJQ0FnSUNnc2Jmd29nRRAB,simon deschamps,https://www.google.com/maps/contrib/116190617029407217203/reviews?hl=en-CA,3 years ago,2021-06-22 10:46:37.036910,4.0,28,
9,Parc Louis-Marie-Gagnon,ChdDSUhNMG9nS0VJQ0FnSUNvaXFpN253RRAB,Tashana Shan,https://www.google.com/maps/contrib/102094570623941795945/reviews?hl=en-CA,2 years ago,2021-06-22 10:46:37.038447,5.0,0,
10,Parc Louis-Marie-Gagnon,ChdDSUhNMG9nS0VJQ0FnSURZcTd1ZGxBRRAB,Mishnel Vincent,https://www.google.com/maps/contrib/102646546446203934690/reviews?hl=en-CA,2 years ago,2021-06-22 10:46:37.040302,4.0,12,
11,Parc Louis-Marie-Gagnon,ChdDSUhNMG9nS0VJQ0FnSURjaExELWd3RRAB,Benamar Salem,https://www.google.com/maps/contrib/102137674210291417217/reviews?hl=en-CA,a year ago,2021-06-22 10:46:37.042220,5.0,31,
12,Parc Louis-Marie-Gagnon,ChZDSUhNMG9nS0VJQ0FnSURBeDZEV093EAE,Émile Benoit-Faille,https://www.google.com/maps/contrib/100599169177632402891/reviews?hl=en-CA,4 years ago,2021-06-22 10:46:37.044563,5.0,4,
13,Parc Louis-Marie-Gagnon,ChZDSUhNMG9nS0VJQ0FnSUNncTkyeUx3EAE,Andrés Bonilla,https://www.google.com/maps/contrib/104929867563078182675/reviews?hl=en-CA,4 years ago,2021-06-22 10:46:37.046482,5.0,18,
14,Parc Louis-Marie-Gagnon,ChZDSUhNMG9nS0VJQ0FnSURnOHBtWkpBEAE,Henri Bishop,https://www.google.com/maps/contrib/117672705271880785110/reviews?hl=en-CA,3 years ago,2021-06-22 10:46:37.048987,4.0,950,"(Translated by Google) Good

(Original)
Bien"
15,Parc Louis-Marie-Gagnon,ChZDSUhNMG9nS0VJQ0FnSURjel9DS0ZnEAE,D. G.,https://www.google.com/maps/contrib/106369537404308865255/reviews?hl=en-CA,a year ago,2021-06-22 10:46:37.051675,5.0,19,
