,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Louis-Riel,ChZDSUhNMG9nS0VJQ0FnSUNxa2ZQNmNREAE,Sebastien Duhamel,https://www.google.com/maps/contrib/103506801197561913385/reviews?hl=en-CA,a week ago,2021-06-22 10:49:25.800491,5.0,10,Nice soccer field.
1,Parc Louis-Riel,ChRDSUhNMG9nS0VJQ0FnSUQ4emVFZRAB,vlada m,https://www.google.com/maps/contrib/115266370450741997718/reviews?hl=en-CA,10 months ago,2021-06-22 10:49:25.801352,5.0,3,"Been coming here since the mid 70's when Ecole Secondaire Louis Riel was used as training center for the 1976 Olympics and it's 3 soccer fields (at the time) has made the park a hub for Montreal soccer for decades.
If your kids play soccer in Montreal and they play vs MHM, you will be coming here eventually.
Presently Parc Louis Riel has one lit turf  11v11 soccer field, one grass 9v9 and 3 grass 7v7 fields. There's also 2 lit softball fields, a kids park, a lot of nicely lit tennis courts, a small running track and it's pleasant to walk around. It's very well kept, in a safe neighborhood about 10mins walk to the Langelier metro.
If you want to get something to drink or eat from the park, you can walk 10 mins south to Sherbrooke E. street or 10mins north to Beaubien street."
2,Parc Louis-Riel,ChdDSUhNMG9nS0VJQ0FnSUM4a052dm9BRRAB,Golam Kibria,https://www.google.com/maps/contrib/107637645240186481734/reviews?hl=en-CA,a year ago,2021-06-22 10:49:25.802244,5.0,41,Nice cozy little park for hanging around. Great for kids.
3,Parc Louis-Riel,ChdDSUhNMG9nS0VJQ0FnSUNpMWFhQnBBRRAB,Son Thanh Xa,https://www.google.com/maps/contrib/109684670456172189406/reviews?hl=en-CA,7 months ago,2021-06-22 10:49:25.803065,5.0,53,Good place for exercise and play fun.
4,Parc Louis-Riel,ChZDSUhNMG9nS0VJQ0FnSUM0a0p6ZlR3EAE,Jean Junior Tigyo,https://www.google.com/maps/contrib/111917395656309653456/reviews?hl=en-CA,2 years ago,2021-06-22 10:49:25.803862,4.0,14,Nice place to play tennis. Courts have been remodeled. But no light. So gotta come earlier.
5,Parc Louis-Riel,ChZDSUhNMG9nS0VJQ0FnSURBNUxDNFpnEAE,Anastasia Beverhousen,https://www.google.com/maps/contrib/106954127898474884558/reviews?hl=en-CA,2 years ago,2021-06-22 10:49:25.804662,5.0,51,"I go to this park for Tennis lessons. The courts are well maintained, there is a water fountain, portable washroom and benches to sit. There are very often a group of people playing dominos next to the courts. Parking is free."
6,Parc Louis-Riel,ChdDSUhNMG9nS0VJQ0FnSURVaWZMeTJBRRAB,Geronimo Silver,https://www.google.com/maps/contrib/100513268118083466030/reviews?hl=en-CA,a year ago,2021-06-22 10:49:25.806154,5.0,203,Very nice park I will come back here for sure
7,Parc Louis-Riel,ChdDSUhNMG9nS0VJQ0FnSURLcFktRGdRRRAB,Kuan,https://www.google.com/maps/contrib/113477217648388479024/reviews?hl=en-CA,a month ago,2021-06-22 10:49:25.806989,1.0,2,racist
8,Parc Louis-Riel,ChZDSUhNMG9nS0VJQ0FnSUNBc2RHUllBEAE,Mehdi Belcadi,https://www.google.com/maps/contrib/109054549497343801313/reviews?hl=en-CA,3 years ago,2021-06-22 10:49:25.807793,5.0,10,My favorite spot in Montreal to play tennis. Avoid going week day mornings since half of the spots are reserved for youth practice. Apart from that the courts are perfect.
9,Parc Louis-Riel,ChZDSUhNMG9nS0VJQ0FnSURVbS1DV0V3EAE,Massimo Mancini,https://www.google.com/maps/contrib/102765215080794642371/reviews?hl=en-CA,a year ago,2021-06-22 10:49:25.808813,5.0,3,High quality park with many different sport options available
10,Parc Louis-Riel,ChZDSUhNMG9nS0VJQ0FnSURRMzlQeGJREAE,Cristina Roos,https://www.google.com/maps/contrib/113677283410692116901/reviews?hl=en-CA,3 years ago,2021-06-22 10:49:25.810781,4.0,25,A park to enjoy most sports as well as a track for running. It is big and has really nice trees.
