,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Loyola,ChZDSUhNMG9nS0VJQ0FnSUNxM3J2Ykl3EAE,Cristian Che,https://www.google.com/maps/contrib/115707965779521362833/reviews?hl=en-CA,2 weeks ago,2021-06-22 10:51:50.763848,5.0,25,nice place for kids... and not only
1,Parc Loyola,ChdDSUhNMG9nS0VJQ0FnSUNrMC1HS2pRRRAB,The Dude,https://www.google.com/maps/contrib/114010119394927927714/reviews?hl=en-CA,a year ago,2021-06-22 10:51:50.764729,5.0,307,"Nice big park located in the west end of NDG. Lots of areas here to do many things (soccer & baseball fields, 2 playground areas for all ages of kids, water play area, etc.). Best is in the summer on a nice sunny day to come and play for hours! Bring a picnic. Plenty of benches to just sit and enjoy the fresh air."
2,Parc Loyola,ChdDSUhNMG9nS0VJQ0FnSUNxOGZPeW93RRAB,Amina Ali,https://www.google.com/maps/contrib/112972703688144445265/reviews?hl=en-CA,a week ago,2021-06-22 10:51:50.765580,5.0,19,"a very friendly and clean parc, we pend long time here."
3,Parc Loyola,ChZDSUhNMG9nS0VJQ0FnSUN5MHR2QllREAE,Mel Habip,https://www.google.com/maps/contrib/112288684645204980274/reviews?hl=en-CA,4 months ago,2021-06-22 10:51:50.766453,5.0,117,The origin place of Butters the NDG Turkey! See the pics
4,Parc Loyola,ChdDSUhNMG9nS0VJQ0FnSUNLcHYzLTNnRRAB,Habib Rabiei,https://www.google.com/maps/contrib/110002881930798727715/reviews?hl=en-CA,2 months ago,2021-06-22 10:51:50.767407,5.0,156,Great park to bring your kids in this neighborhood.
5,Parc Loyola,ChdDSUhNMG9nS0VJQ0FnSUNLdWNyYzBBRRAB,Bob Bartos,https://www.google.com/maps/contrib/108668723102626419501/reviews?hl=en-CA,2 months ago,2021-06-22 10:51:50.768265,1.0,12,"DONT DRIVE ON FIELDING, rotten road!!"
6,Parc Loyola,ChdDSUhNMG9nS0VJQ0FnSUNLenRQTDRBRRAB,adnan abueid,https://www.google.com/maps/contrib/107498119419298018236/reviews?hl=en-CA,2 months ago,2021-06-22 10:51:50.769120,5.0,140,"Very nice, kids have alot of fun"
7,Parc Loyola,ChZDSUhNMG9nS0VJQ0FnSUNxd0syZVhBEAE,Charles Stein,https://www.google.com/maps/contrib/104573918761929261142/reviews?hl=en-CA,4 weeks ago,2021-06-22 10:51:50.769943,4.0,47,I met a couple of friends of mine and we just sat around and talked so I enjoyed it
8,Parc Loyola,ChdDSUhNMG9nS0VJQ0FnSUNxeTVXY2lRRRAB,Christopher Kollataj,https://www.google.com/maps/contrib/113165814616675890301/reviews?hl=en-CA,3 days ago,2021-06-22 10:51:50.770800,1.0,1,Nothing but more and more fences being constructed everywhere
9,Parc Loyola,ChZDSUhNMG9nS0VJQ0FnSUM4cXFxVFVREAE,Georgina Guerrero,https://www.google.com/maps/contrib/106535567168570877245/reviews?hl=en-CA,11 months ago,2021-06-22 10:51:50.771625,5.0,18,"We love Loyola Park. It's clean. A lot of garden spaces where you can easily practice distancing (2020) and do picnic. The splash pad is big and clean enough. However, just be careful by letting the kids run barefoot, it is slippery in a couple of spots.
This park has a lot of sport activities to do. It has 2 large soccer fields, 2 baseball fields, you can see some goalies around the park so you can practice with a couple of friends. It's playground is clean and large for small (with sand) and another for big kids. It has a track throughout the park. It is a cool place to spend Summer and even Fall. In Winter there's a lot of snow and I've seen some people skiing throughout the park too.
The parking is always easy and free."
10,Parc Loyola,ChdDSUhNMG9nS0VJQ0FnSURLajdlNDdBRRAB,ZiaThaZia,https://www.google.com/maps/contrib/112408490227652002437/reviews?hl=en-CA,a month ago,2021-06-22 10:51:50.772454,5.0,7,Full of lil kids who bully you into giving them a place
11,Parc Loyola,ChZDSUhNMG9nS0VJQ0FnSUNLZ0tua0dnEAE,Blanc Moh,https://www.google.com/maps/contrib/106385193186977116284/reviews?hl=en-CA,2 months ago,2021-06-22 10:51:50.773309,5.0,3,It's nice. It's a beautiful place.
12,Parc Loyola,ChdDSUhNMG9nS0VJQ0FnSUNLM29fVW5BRRAB,Marco Rettie,https://www.google.com/maps/contrib/109566432820201442510/reviews?hl=en-CA,2 months ago,2021-06-22 10:51:50.774159,5.0,30,Pretty well kept park!
13,Parc Loyola,ChdDSUhNMG9nS0VJQ0FnSURjZ3BlN3VRRRAB,Gary Parker,https://www.google.com/maps/contrib/103617256781067404742/reviews?hl=en-CA,10 months ago,2021-06-22 10:51:50.775018,5.0,143,Lots to see if you appreciate nature
14,Parc Loyola,ChdDSUhNMG9nS0VJQ0FnSURLeHZtcDlBRRAB,Rizwan Hasan,https://www.google.com/maps/contrib/114017023625585449731/reviews?hl=en-CA,a month ago,2021-06-22 10:51:50.775897,5.0,55,Garden with equipment games for small and medium kids.
15,Parc Loyola,ChdDSUhNMG9nS0VJQ0FnSUM4ei1PRHZnRRAB,Sheila Mason,https://www.google.com/maps/contrib/103299134473270513735/reviews?hl=en-CA,11 months ago,2021-06-22 10:51:50.776758,4.0,9,Beautiful spacious park. Bleachers small. Bring own chair. Bathrooms not near BB field.
16,Parc Loyola,ChZDSUhNMG9nS0VJQ0FnSUN3MVBqS1VBEAE,SOOWOONG CHO (coolpilot),https://www.google.com/maps/contrib/107023277692936734204/reviews?hl=en-CA,2 years ago,2021-06-22 10:51:50.777580,4.0,193,"Nice field, baseball park, night game also you can enjoy~ go with your kids!!"
17,Parc Loyola,ChdDSUhNMG9nS0VJQ0FnSURReHRMcTBBRRAB,charif haidar,https://www.google.com/maps/contrib/106297955214955951250/reviews?hl=en-CA,4 years ago,2021-06-22 10:51:50.778442,5.0,361,"Lovely big park, good for biking, jogging, balls , the most important you got a bathroom"
18,Parc Loyola,ChZDSUhNMG9nS0VJQ0FnSURTdzh2TUVBEAE,Sina,https://www.google.com/maps/contrib/113178849340458032360/reviews?hl=en-CA,5 months ago,2021-06-22 10:51:50.779291,5.0,49,One of the best ones aroun
19,Parc Loyola,ChZDSUhNMG9nS0VJQ0FnSUM4djRHS0FREAE,Alexandra Wunderson,https://www.google.com/maps/contrib/116231525120727027017/reviews?hl=en-CA,11 months ago,2021-06-22 10:51:50.780144,4.0,14,The place was fun to hang around in after I was done studying
20,Parc Loyola,ChdDSUhNMG9nS0VJQ0FnSURvN3VYSzFnRRAB,Ben Kasapiano,https://www.google.com/maps/contrib/106116881956457318262/reviews?hl=en-CA,2 years ago,2021-06-22 10:51:50.780996,4.0,154,Nice big park. No dog run but plenty of open space for kids to run and play. The SW side has a nice for the younger kids and on the west side there's a water park but no pool or wading pool. Nicely kept soccer and baseball fields too.
21,Parc Loyola,ChZDSUhNMG9nS0VJQ0FnSURTaTd6VGZBEAE,Jeremy,https://www.google.com/maps/contrib/103201730824958914855/reviews?hl=en-CA,5 months ago,2021-06-22 10:51:50.781850,5.0,83,I saw a turkey at this park so 5/5 gobbles
22,Parc Loyola,ChZDSUhNMG9nS0VJQ0FnSUNRNks3Qll3EAE,Grey Cat,https://www.google.com/maps/contrib/113131478263258339179/reviews?hl=en-CA,a year ago,2021-06-22 10:51:50.782705,5.0,102,"Well maintained park in SW NDG. Baseball diamond, soccer fields, 2 play areas, unofficial off-leash dog-run, splash pool, quiet areas, and 2 kid's play areas. There are bathrooms near the soccer fields. Super busy on weekends and evenings with good weather as there are lots of families living in the area."
23,Parc Loyola,ChdDSUhNMG9nS0VJQ0FnSURrazdiRnB3RRAB,Ashley Elizabeth,https://www.google.com/maps/contrib/117488401618760343729/reviews?hl=en-CA,a year ago,2021-06-22 10:51:50.783700,5.0,8,Playground for all ages and very easily accessible. The splash pad is pretty fun for kids!
24,Parc Loyola,ChdDSUhNMG9nS0VJQ0FnSURjaEpqVWd3RRAB,Uday Bhanu,https://www.google.com/maps/contrib/105965076163848505671/reviews?hl=en-CA,a year ago,2021-06-22 10:51:50.784580,4.0,123,Good park for the locals. Walking around the park is good.
