,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Lucie-Bruneau,ChZDSUhNMG9nS0VJQ0FnSUNxaUtLa1JBEAE,Jessica Sykucki,https://www.google.com/maps/contrib/102955355350901392463/reviews?hl=en-US,4 weeks ago,2021-06-23 17:34:39.896634,4.0,25,"Awesome park! The only thing that is missing for me to give 5 stars is marking the track lanes to know the distance. Otherwise, great park!"
1,Parc Lucie-Bruneau,ChdDSUhNMG9nS0VJQ0FnSURZcnQzRG5nRRAB,Howard B,https://www.google.com/maps/contrib/105460130749204516063/reviews?hl=en-US,2 years ago,2021-06-23 17:34:39.898376,5.0,50,My kid love this park 🏀⚽️⚾️🥎🏈🎾
2,Parc Lucie-Bruneau,ChdDSUhNMG9nS0VJQ0FnSUR5aXZ6eGxnRRAB,Azured,https://www.google.com/maps/contrib/113545965624925114414/reviews?hl=en-US,3 months ago,2021-06-23 17:34:39.900199,5.0,34,"I grew up here so of course I love it but during winter they 2 skating rings - 1 for hockey and 1 just to skate, there are every main sport fields there’s some items you could use to workout and even a pool In the winter whoever owns this park is a legend"
3,Parc Lucie-Bruneau,ChdDSUhNMG9nS0VJQ0FnSUNxNE9QZzl3RRAB,Alex Rotari,https://www.google.com/maps/contrib/106210517185733850754/reviews?hl=en-US,4 weeks ago,2021-06-23 17:34:39.902184,5.0,40,Very good place for entire family!
4,Parc Lucie-Bruneau,ChdDSUhNMG9nS0VJQ0FnSUMwdDVxNm1RRRAB,Law 212,https://www.google.com/maps/contrib/107906998909222414616/reviews?hl=en-US,a year ago,2021-06-23 17:34:39.904153,3.0,22,"My god. The traffic was insane. 30 minutes stop and go up the hill, then a Battle Royale for a parking spot. Then fighting crowds of people to get a good view of the city while everyone pushes you to get a good instagram photo.

Great view though. Then a 45 minute stop and go drive down . Extra challenge. I had three Russian speaking women in the car chatting non stop giving me a crazy headache and I had to act like all was cool.  Over an hour in traffic for a good view and a headache. Don't go Thanksgiving weekend."
5,Parc Lucie-Bruneau,ChdDSUhNMG9nS0VJQ0FnSUNDeFpiTWlBRRAB,Minal C.,https://www.google.com/maps/contrib/106628233963972526582/reviews?hl=en-US,9 months ago,2021-06-23 17:34:39.906319,5.0,862,"Awesome place for sports there’s 2 tennis court, 2 baseball courts, swimming pool, playground!!"
6,Parc Lucie-Bruneau,ChdDSUhNMG9nS0VJQ0FnSUN5cjR2RDNnRRAB,Myriam Vanier,https://www.google.com/maps/contrib/116359376522511352640/reviews?hl=en-US,4 months ago,2021-06-23 17:34:39.908898,5.0,14,Great 400m loop rink
7,Parc Lucie-Bruneau,ChdDSUhNMG9nS0VJQ0FnSUNDaEpEa3R3RRAB,Claudio D-H. Lv LLC-C-Ribeiro,https://www.google.com/maps/contrib/100210566839668074195/reviews?hl=en-US,10 months ago,2021-06-23 17:34:39.911899,5.0,26,"All-World-All-Star type of -- public -- park, outdoor(s) -- playgrounds -- !!!

>>> Basketball @ : +|- : 6 PM, EAST *( -5 H : TIME ZONE )* -- !!! ⚡🏀⚡"
8,Parc Lucie-Bruneau,ChdDSUhNMG9nS0VJQ0FnSUNxd1pUOG5nRRAB,Katy Fayaz,https://www.google.com/maps/contrib/104289819326042409418/reviews?hl=en-US,2 weeks ago,2021-06-23 17:34:39.914633,3.0,1,Goof
9,Parc Lucie-Bruneau,ChdDSUhNMG9nS0VJQ0FnSUM0LWFYUjRRRRAB,Hatim Baranwala,https://www.google.com/maps/contrib/111776969907018373715/reviews?hl=en-US,2 years ago,2021-06-23 17:34:39.917220,5.0,39,Beautiful park in the vicinity of Anjou to relax and exercise. There is an open gym as well. People come with their kids and pets
