,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Lucille-Teasdale,ChZDSUhNMG9nS0VJQ0FnSUNBdjU2UVZ3EAE,Eric Poitras,https://www.google.com/maps/contrib/106050053105902499582/reviews?hl=en-CA,4 years ago,2021-06-22 10:58:37.372599,5.0,92,Fun place to stop with kids and take a brake.
1,Parc Lucille-Teasdale,ChdDSUhNMG9nS0VJQ0FnSURBaWZDXzFnRRAB,Jonathan Fauchon,https://www.google.com/maps/contrib/113776871232335428567/reviews?hl=en-CA,3 years ago,2021-06-22 10:58:37.374234,5.0,50,Perfect place for children to play.
2,Parc Lucille-Teasdale,ChdDSUhNMG9nS0VJQ0FnSURBOE5mZGp3RRAB,Francois R.-Moisan,https://www.google.com/maps/contrib/118130133430162356334/reviews?hl=en-CA,3 years ago,2021-06-22 10:58:37.375758,4.0,45,"(Translated by Google) Beautiful park, the game module is very interesting and there is a beautiful view. My children had a lot of fun. Several sections adapted to different ages which allows to have fun at any age

(Original)
Très beau …"
3,Parc Lucille-Teasdale,ChdDSUhNMG9nS0VJQ0FnSUNRMFpiaXJRRRAB,farid khaled,https://www.google.com/maps/contrib/105418917140191715798/reviews?hl=en-CA,3 years ago,2021-06-22 10:58:37.376765,4.0,125,"(Translated by Google) the photo really indicates the name of the park but nothing else ,,, the address is different, and suppose it is in St-Bruno. Just a 'check before leaving your home with your family.

(Original)
la photo indique …"
4,Parc Lucille-Teasdale,ChdDSUhNMG9nS0VJQ0FnSUQ4NS1QSDhnRRAB,André Asano,https://www.google.com/maps/contrib/101846411143034776317/reviews?hl=en-CA,10 months ago,2021-06-22 10:58:37.377750,4.0,4,
5,Parc Lucille-Teasdale,ChdDSUhNMG9nS0VJQ0FnSUNLMDRQenhnRRAB,Miguel Turcotte,https://www.google.com/maps/contrib/104021595154741986956/reviews?hl=en-CA,2 months ago,2021-06-22 10:58:37.380274,5.0,0,
6,Parc Lucille-Teasdale,ChdDSUhNMG9nS0VJQ0FnSURJanNucHZnRRAB,Gaston O'connor,https://www.google.com/maps/contrib/114545358273509351812/reviews?hl=en-CA,2 years ago,2021-06-22 10:58:37.381413,5.0,28,
7,Parc Lucille-Teasdale,ChZDSUhNMG9nS0VJQ0FnSUNJaGIyV1hnEAE,Samuel Vaillancourt,https://www.google.com/maps/contrib/108162276892457150823/reviews?hl=en-CA,2 years ago,2021-06-22 10:58:37.382445,5.0,5,
8,Parc Lucille-Teasdale,ChZDSUhNMG9nS0VJQ0FnSUNnbXVtZlZBEAE,Francois Claveau,https://www.google.com/maps/contrib/107483692969458791392/reviews?hl=en-CA,4 years ago,2021-06-22 10:58:37.383471,5.0,7,
9,Parc Lucille-Teasdale,ChZDSUhNMG9nS0VJQ0FnSUNBNE1mTFRnEAE,J.philippe Carrière,https://www.google.com/maps/contrib/111129113688507782709/reviews?hl=en-CA,3 years ago,2021-06-22 10:58:37.384459,3.0,11,
