,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Ludger-Beauregard,ChdDSUhNMG9nS0VJQ0FnSURjczRIcHZBRRAB,moshey stein,https://www.google.com/maps/contrib/100288805197456272998/reviews?hl=en-CA,a year ago,2021-06-22 10:59:04.831759,5.0,7,"Nice and quiet place, recommended"
1,Parc Ludger-Beauregard,ChdDSUhNMG9nS0VJQ0FnSURvOExia3JBRRAB,Chris Brittain,https://www.google.com/maps/contrib/111489824722116206765/reviews?hl=en-CA,2 years ago,2021-06-22 10:59:04.832925,5.0,82,Cute little space. For 5 years old and younger.
2,Parc Ludger-Beauregard,ChdDSUhNMG9nS0VJQ0FnSURBc0tfYXlRRRAB,Sarah Vandekendelaere,https://www.google.com/maps/contrib/115229333692749425746/reviews?hl=en-CA,3 years ago,2021-06-22 10:59:04.834038,5.0,116,Great little park with climbing structure for the little ones and a bench for Mommy to sit and rest :)
3,Parc Ludger-Beauregard,ChZDSUhNMG9nS0VJQ0FnSURLMzRtOUpREAE,Nesly Stremel Logstadt,https://www.google.com/maps/contrib/103457663153541515855/reviews?hl=en-CA,a month ago,2021-06-22 10:59:04.835186,5.0,7,"(Translated by Google) Good for children to play!

(Original)
Bom para crianças brincarem!"
4,Parc Ludger-Beauregard,ChZDSUhNMG9nS0VJQ0FnSURBd2Rmd2ZREAE,BLang Blang,https://www.google.com/maps/contrib/109775790303720324294/reviews?hl=en-CA,5 years ago,2021-06-22 10:59:04.836146,3.0,469,"(Translated by Google) A small park with games for children

(Original)
Un petit parc avec des jeux pour les enfants"
5,Parc Ludger-Beauregard,ChZDSUhNMG9nS0VJQ0FnSUNRZ3MyOVFnEAE,Renaud Gadoury,https://www.google.com/maps/contrib/116757286397485370897/reviews?hl=en-CA,4 years ago,2021-06-22 10:59:04.837067,3.0,6,"(Translated by Google) Well worth the name ... It's not the quantity, it's the quality that counts ...

(Original)
Porte bien son nom... C'est pas la quantité c'est la qualité qui compte..."
6,Parc Ludger-Beauregard,ChdDSUhNMG9nS0VJQ0FnSUNpdTU2czR3RRAB,Aramiz Ramírez,https://www.google.com/maps/contrib/105448022312185228946/reviews?hl=en-CA,7 months ago,2021-06-22 10:59:04.837979,4.0,20,
7,Parc Ludger-Beauregard,ChdDSUhNMG9nS0VJQ0FnSUNJM011dDJ3RRAB,Aurelie Sanhaji,https://www.google.com/maps/contrib/116420730107242873764/reviews?hl=en-CA,2 years ago,2021-06-22 10:59:04.839776,4.0,321,
8,Parc Ludger-Beauregard,ChdDSUhNMG9nS0VJQ0FnSUMwaC1QYXV3RRAB,Mendy Marcus,https://www.google.com/maps/contrib/111161318118987183159/reviews?hl=en-CA,a year ago,2021-06-22 10:59:04.841575,4.0,191,
9,Parc Ludger-Beauregard,ChdDSUhNMG9nS0VJQ0FnSUN3cDRIdXVRRRAB,Jean-francois. Grondines,https://www.google.com/maps/contrib/104412881490688858029/reviews?hl=en-CA,4 years ago,2021-06-22 10:59:04.844224,3.0,24,
10,Parc Ludger-Beauregard,ChdDSUhNMG9nS0VJQ0FnSURRdjRiLWtnRRAB,Anthony Pietrobon,https://www.google.com/maps/contrib/116177808044299252766/reviews?hl=en-CA,2 years ago,2021-06-22 10:59:04.845659,5.0,0,
11,Parc Ludger-Beauregard,ChZDSUhNMG9nS0VJQ0FnSUN3LXJtaVBBEAE,Nicolas Capens,https://www.google.com/maps/contrib/116645862061623729994/reviews?hl=en-CA,3 years ago,2021-06-22 10:59:04.846702,5.0,5,
