,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUNReXF1bmpBRRAB,Mario Sajous,https://www.google.com/maps/contrib/100996465080622010848/reviews?hl=en-CA,3 years ago,2021-06-24 13:35:55.835607,3.0,1,Ok
1,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSURja2NlNElnEAE,Samuel Legare,https://www.google.com/maps/contrib/104691440023464949667/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.836951,5.0,27,"I just love being there. It's a parc were familys love to hangout. No matters how much people go there is always a nice spot to be at. People are usually very friendly, saying hi to each other."
2,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUNLNi1hWEF3EAE,Aldo Penta,https://www.google.com/maps/contrib/117247783597818375714/reviews?hl=en-CA,2 months ago,2021-06-24 13:35:55.838131,3.0,22,Dies not look like that!°
3,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUQ4bVl5UU9nEAE,Pierre Guy-wing,https://www.google.com/maps/contrib/108935066967452124545/reviews?hl=en-CA,11 months ago,2021-06-24 13:35:55.839878,5.0,42,Best park for kids
4,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUMwb0xQVmJ3EAE,thierryluka verna,https://www.google.com/maps/contrib/100488946060212840583/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.842043,5.0,468,Great park To picnic and spend a day
5,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURBbUk3S2h3RRAB,Luc Lavoie,https://www.google.com/maps/contrib/107832015873193908367/reviews?hl=en-CA,5 years ago,2021-06-24 13:35:55.843301,5.0,106,"very nice place for the families .water fontain for the kid ,tennis court, and facilities all day and evening"
6,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUQweFBUTDFBRRAB,Chaimaa Ch,https://www.google.com/maps/contrib/111991418612297929005/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.844903,3.0,11,"Nice park
Too bad dogs aren't allowed even on-leash"
7,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUQ4aFpHQkxBEAE,Nelson Gmm,https://www.google.com/maps/contrib/104999321826953266624/reviews?hl=en-CA,11 months ago,2021-06-24 13:35:55.846635,1.0,1,Gmm
8,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSURBNWNUY1ZBEAE,Richard Lu,https://www.google.com/maps/contrib/117505313116150133948/reviews?hl=en-CA,3 years ago,2021-06-24 13:35:55.848227,4.0,19,"Good parc, but a little small."
9,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUNJemJPeWdRRRAB,Erik Duchemin,https://www.google.com/maps/contrib/102238705590565903316/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.849695,5.0,18,Best for my dauther
10,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUM0bnYzVE9BEAE,jean marc saindique,https://www.google.com/maps/contrib/106430246664798341578/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.850805,5.0,32,Wow
11,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUN3d183T0RREAE,Deguir Cecil,https://www.google.com/maps/contrib/100566619654320316115/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.852514,5.0,67,Peacefully park
12,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUNndlB5U0dREAE,Veronica Depp,https://www.google.com/maps/contrib/108785817713043429753/reviews?hl=en-CA,3 years ago,2021-06-24 13:35:55.853717,4.0,12,Beautiful park!!!
13,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURJeWJDT3NnRRAB,Rita Zavaglia,https://www.google.com/maps/contrib/101593158886620738735/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.855040,5.0,23,Beautiful park
14,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURRX18zMi1RRRAB,Jay Silverfox,https://www.google.com/maps/contrib/108703437977241775789/reviews?hl=en-CA,3 years ago,2021-06-24 13:35:55.856587,2.0,157,Full review coming soon...
15,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSURRX0pMYUJREAE,vince bastiaans,https://www.google.com/maps/contrib/106280926044912879247/reviews?hl=en-CA,3 years ago,2021-06-24 13:35:55.858085,2.0,1,Garbage every where
16,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUNRNS1mNzZRRRAB,Hacene Cherifi,https://www.google.com/maps/contrib/108291161736502256787/reviews?hl=en-CA,3 years ago,2021-06-24 13:35:55.859070,4.0,1,Very helpful and great trip thanks
17,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUNxLVBPQjZRRRAB,Louise Lafleur,https://www.google.com/maps/contrib/111736916950575511303/reviews?hl=en-CA,4 weeks ago,2021-06-24 13:35:55.860509,5.0,30,"(Translated by Google) Large space, several activities for children and adults including outdoor training equipment

(Original)
Grand espace, plusieurs activités pour enfants et adultes dont appareils d'entraînement extérieur"
18,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURZNnJ2ODZRRRAB,Jacques,https://www.google.com/maps/contrib/117575024768919323781/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.861719,5.0,67,"(Translated by Google) Beautiful park not too big, but can meet your expectations, for those who have children, I confirm that your children will not be bored, all to entertain the little ones, juniors and seniors ....

(Original)
Superbe parc pas trop grand, mais peut satisfaire vos attentes, pour ceux qui ont les enfants, je vous confirme que vos enfants ne vont pas s’ennuyer, tous pour divertir les tous petits, juniors et seniors....🥰"
19,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUNLMV9qOVpnEAE,Fanny Serrari,https://www.google.com/maps/contrib/114963481202901333440/reviews?hl=en-CA,2 months ago,2021-06-24 13:35:55.863224,5.0,1,"(Translated by Google) My favorite park

(Original)
Mon parc préféré"
20,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUQ4ellIbk5REAE,Valerie Plourde,https://www.google.com/maps/contrib/109704819653250959432/reviews?hl=en-CA,10 months ago,2021-06-24 13:35:55.864649,5.0,43,"(Translated by Google) I like it especially since they have redone the section reserved for 5 to 12 year olds. Beautiful park where to walk, picnic and take the time to get back in shape with the many installations of exercise machines at the entrance of the park along the path in the shade of the trees. Really a great idea!

(Original)
J'aime bien surtout depuis qu'ils ont refait la section réservé au 5 a 12 ans. Beau parc où se promener, pique niquer et prendre le temps de se remettre en forme avec les nombreuses installations d'appareils d'exercices a l'entrée du parc le long de l'allée a l'ombre des arbres. Vraiment une idée géniale!"
21,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURDaXUtSHFRRRAB,Ernesto GVZMAN,https://www.google.com/maps/contrib/110543728527168309315/reviews?hl=en-CA,9 months ago,2021-06-24 13:35:55.865806,5.0,116,"(Translated by Google) Small, family-friendly park, good for walking. There are games and water jets for children. Free parking next to the school or in the surroundings.

(Original)
Parque pequeño, familiar, bueno para ir a caminar. Hay juegos y chorros de agua para los niños. Parqueo gratis al lado de la escuela o en los alrededores."
22,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUNpM05HclJnEAE,Lucie Carmel,https://www.google.com/maps/contrib/113499324048083389114/reviews?hl=en-CA,7 months ago,2021-06-24 13:35:55.866777,3.0,20,"(Translated by Google) Too bad it is so dirty the world eaten it leaves everything lying around on the picnic tables otherwise a nice little park for the children

(Original)
Dommage que ce soit aussi sale le monde mangecest laisse tout trainer sur les tables de picnic sinon joli petit parc ppour les enfants"
23,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUNpa016enh3RRAB,geralde Alexis,https://www.google.com/maps/contrib/105739127187912823500/reviews?hl=en-CA,8 months ago,2021-06-24 13:35:55.867805,3.0,1,"(Translated by Google) I find it super cool

(Original)
Je le trouve super cool"
24,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUNRbmIyb0ZBEAE,Stëph “Grizzly” Dëdj,https://www.google.com/maps/contrib/110695296780105860670/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.869141,5.0,255,"(Translated by Google) I have always loved this park. It is clean and has many shadows.

There is a tennis court, soccer field, as well as water jets and 2 children's play areas. There is also a bike path that passes through the park and a primary school adjacent to the park!

Lined by residential streets, this makes the place quiet for a walk with friends or just go and read a good book.

The lodge is kept (weekdays, weekends too, but I go there during the week) by a caretaker who is attentive and always well-intentioned.

(Original)
J'ai toujours adoré ce parc. Il est propre et à beaucoup de points d'ombres.

Il y a un terrain de tennis, terrain de soccer, ainsi que des jets d'eau et 2 aires de jeux pour enfants. Il y a aussi une piste cyclable qui passe au travers le parc ainsi qu'un école primaire attenant au parc!

Longé par des rues résidentiels, cela rends l'endroit calme propice à une marche entre amis ou tout simplement aller y lire un bon livre.

Le pavillon est garder (en semaine, la fin de semaine aussi, mais j'y vais en semaine) par un gardien à l'écoute et toujours bien intentionné."
25,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUQ4dVlQdUd3EAE,Linda Dube,https://www.google.com/maps/contrib/100131419961576009765/reviews?hl=en-CA,11 months ago,2021-06-24 13:35:55.870194,4.0,20,"(Translated by Google) Its very clean and we are born very well and I like flowers

(Original)
Ses très propre  et on nais très bien  et j aime bien les fleurs"
26,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUQwM0t2SWtRRRAB,Shlery Croisanf,https://www.google.com/maps/contrib/104857230401769535329/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.871708,3.0,22,"(Translated by Google) Interesting place to bring our children play and possibility to walk. Well located!

(Original)
Lieu intéressant pour amener jouer nos enfants et possibilité de balader. Bien situé!"
27,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUN5aHB6QnNRRRAB,Hala Madrid,https://www.google.com/maps/contrib/101339314762721484679/reviews?hl=en-CA,4 months ago,2021-06-24 13:35:55.872902,5.0,139,"(Translated by Google) Snow

(Original)
Neige"
28,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURVck55cjdRRRAB,NASSIM475,https://www.google.com/maps/contrib/108721399423765284435/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.874107,3.0,8,"(Translated by Google) we loved the park super clean and there is bc play space the negative point the pool and too expensive

(Original)
on a adore le parc super propre et il y a bc d espace  de jeux le point négative la piscine et trop cher"
29,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUNVcE1UNnlnRRAB,Émilie Adam,https://www.google.com/maps/contrib/109999190241477058516/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.875154,4.0,38,"(Translated by Google) Small park. There are sometimes outdoor screenings and free shows.

(Original)
Petit parc. Il y a parfois des projections en plein air et des spectacles gratuits."
30,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSURrdXNyLWZ3EAE,Nadia ELAARABI,https://www.google.com/maps/contrib/101120570442470669988/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.876691,4.0,5,"(Translated by Google) A nice place to walk around.

(Original)
Un beau endroit pour se balader."
31,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURRMjZhWjJ3RRAB,Caroline Caron,https://www.google.com/maps/contrib/109922432144865100866/reviews?hl=en-CA,3 years ago,2021-06-24 13:35:55.877804,4.0,58,"(Translated by Google) Very beautiful park, almost a nature park ... many trees of beautiful division, several activities accessible. I love this park with a nice little path, parking and toilets!

(Original)
Très beau parc un parc nature presque... beaucoup d'arbre de belle division plusieurs activités accessible. J'adore ce parc avec un beau petit sentier un parking et des toillettes!"
32,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURnd1BDNC1nRRAB,M Lafontaine,https://www.google.com/maps/contrib/106285470280162404433/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.879348,2.0,156,"(Translated by Google) Nice park. But he is ""guarded"" by an unpleasant user who acts like it was his court. I'm not going back

(Original)
Beau parc. Mais il est ""gardé"" par un usager déplaisant qui agit comme c' etait sa cour. Je n y retourne pas"
33,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSURFOWJXNkZBEAE,El Genosis,https://www.google.com/maps/contrib/114675795501662093185/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.880884,4.0,14,"(Translated by Google) The park is very big but does not have a basketball court or ice rink.

(Original)
Le parc est très grand mais ne possède pas de terrain de basket ou de patinoire.."
34,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSURJcDZHY1pREAE,yvon roy,https://www.google.com/maps/contrib/111453345680352473150/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.882403,4.0,3,"(Translated by Google) A quiet and pleasant park was found alone or enyre friends

(Original)
Un parc tranquille et agrable a se retrouvr seul ou enyre amis"
35,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUMwN2JId29RRRAB,mariana Muñoz,https://www.google.com/maps/contrib/112266946719052431713/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.884169,2.0,33,"(Translated by Google) The surface of the park is in good condition, but the games for children are rather depressing

(Original)
La surface du parc est en bon état, mais les jeux pour enfants sont plutôt déprimants"
36,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURnbGRLbzZRRRAB,Guirlouse Joseph,https://www.google.com/maps/contrib/111509093256446173691/reviews?hl=en-CA,4 years ago,2021-06-24 13:35:55.886015,5.0,12,"(Translated by Google) I was there for a distribution last Saturday, it was beautiful, the weather was good, people are great

(Original)
J'étais là pour une distribution samedi dernier, c'était magnifique, il faisait beau, les gens sont génial"
37,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSURRbS1MaGZREAE,Yanick Lafontaine,https://www.google.com/maps/contrib/113734179853569396674/reviews?hl=en-CA,4 years ago,2021-06-24 13:35:55.888208,4.0,63,"(Translated by Google) Great for dining out and enjoying the noisy sun many young children

(Original)
Parfais pour aller dîner et profiter du soleil bruyant beaucoup de jeune enfant"
38,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURReXIyNzh3RRAB,Samuel Gonzales Viera,https://www.google.com/maps/contrib/116791102193461896643/reviews?hl=en-CA,4 years ago,2021-06-24 13:35:55.891586,5.0,40,"(Translated by Google) A great park to visit in Family couple or Solo to relax a little.

(Original)
Un super Beau Parc à visiter en Famille en couple ou Solo pour se detendre un peu."
39,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUNva00yY3dBRRAB,Daniel Mazerolle,https://www.google.com/maps/contrib/118282027098479060460/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.893973,5.0,184,"(Translated by Google) Take the time to ...

(Original)
Prendre le temps pour  ..."
40,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURreF9uRW1RRRAB,Marbella Helston,https://www.google.com/maps/contrib/102344146409620935304/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.896597,5.0,94,"(Translated by Google) I enjoy it with my children because it has jets games lakes we Picnic etc

(Original)
Lo disfruto con mis niños porque tiene chorros juegos lagos hacemos Picnic etc"
41,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSURReU1TcVBREAE,Vincent Fenoll,https://www.google.com/maps/contrib/103136399683480656458/reviews?hl=en-CA,3 years ago,2021-06-24 13:35:55.900619,5.0,81,"(Translated by Google) Family park perfect for resting at lunchtime

(Original)
Parc familial parfait pour se reposer à l'heure du lunch"
42,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURVb2VXVTlRRRAB,Karen Carram,https://www.google.com/maps/contrib/106445306597206054758/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.904270,5.0,3,"(Translated by Google) Water park

(Original)
Parque de aguas"
43,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSURRMks2QVNBEAE,Luc Bossé,https://www.google.com/maps/contrib/109609181472318143133/reviews?hl=en-CA,4 years ago,2021-06-24 13:35:55.907280,5.0,665,"(Translated by Google) I think it's a beautiful park, well maintained.

(Original)
Je trouve que c'est un très beau parc, bien entretenu."
44,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURBX0lfUzRBRRAB,Alexandra satre,https://www.google.com/maps/contrib/115020145351915497019/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.909353,5.0,27,"(Translated by Google) A world of fun for children

(Original)
Un monde de plaisir pour les enfants"
45,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURNdHJ1QmhnRRAB,bouchaib fattar,https://www.google.com/maps/contrib/105026501242833432416/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.916770,5.0,53,"(Translated by Google) Good place

(Original)
Bon lieu"
46,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUNRM1lDQVJBEAE,André Charbonneau,https://www.google.com/maps/contrib/110950836985962948274/reviews?hl=en-CA,3 years ago,2021-06-24 13:35:55.919325,3.0,37,"(Translated by Google) Uncrowded and perfect for a walk.

(Original)
Peu fréquenté et parfait pour une marche."
47,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUNJdDh1MU93EAE,André Charbonneau,https://www.google.com/maps/contrib/101312882498220708082/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.922550,3.0,20,"(Translated by Google) Sports park, even soccer.

(Original)
Parc pour sportif,voire soccer."
48,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUMwMThlNEtnEAE,Johanne Comeau,https://www.google.com/maps/contrib/105432232421563009895/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.925036,3.0,40,"(Translated by Google) A shortcut for me.

(Original)
Un raccourcis pour moi."
49,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUNZMG9tVnFRRRAB,azzedine bourouba,https://www.google.com/maps/contrib/102460903207024522246/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.926805,3.0,31,"(Translated by Google) Not bad

(Original)
Pas mal"
50,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUMwOHUtb2RnEAE,Watch Senat,https://www.google.com/maps/contrib/115566894515462078371/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.931397,4.0,12,"(Translated by Google) Nice for children

(Original)
Agréable pour les enfants"
51,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUNnNDdyS0tnEAE,Divine Nya,https://www.google.com/maps/contrib/102716667935246849797/reviews?hl=en-CA,3 years ago,2021-06-24 13:35:55.934900,3.0,4,"(Translated by Google) There are not enough good games. It's the same attractions for 4 years. No renewal

(Original)
Il n'y a pas assez de bons jeux. C'est les mêmes attractions depuis 4 ans. Pas de renouvellement"
52,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUNLbzRqRFZBEAE,khadidja yagoub,https://www.google.com/maps/contrib/102169240535482150320/reviews?hl=en-CA,2 months ago,2021-06-24 13:35:55.936889,5.0,13,👍
53,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUNnaGNhRk9REAE,Chrislene Henrice,https://www.google.com/maps/contrib/115185795466027108155/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.938938,5.0,6,"(Translated by Google) Great

(Original)
Super"
54,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUNRejlxWTJBRRAB,dodo diro,https://www.google.com/maps/contrib/114921149831773764450/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.940349,4.0,29,"(Translated by Google) Beautiful day

(Original)
Belle journée"
55,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUM0NU1fQm93RRAB,Joas Monfiston,https://www.google.com/maps/contrib/115444419787812887184/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.945162,5.0,44,"(Translated by Google) distractions

(Original)
distractions"
56,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURRdzllTnFnRRAB,Mikael Guadagnano,https://www.google.com/maps/contrib/111793228124451536631/reviews?hl=en-CA,3 years ago,2021-06-24 13:35:55.948169,2.0,15,"(Translated by Google) Dogs are not welcome in this park ...

(Original)
Les chiens ne sont pas les bienvenus dans ce parc..."
57,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURBNTk2NGhBRRAB,Louis Caron,https://www.google.com/maps/contrib/117772307579861599405/reviews?hl=en-CA,4 years ago,2021-06-24 13:35:55.950098,5.0,444,"(Translated by Google) Beautiful little park.

(Original)
Beau petit parc."
58,Parc Luigi-Pirandello,ChZDSUhNMG9nS0VJQ0FnSUN3bmVfdFFnEAE,f-zohra ouahchia,https://www.google.com/maps/contrib/112382113625629303524/reviews?hl=en-CA,4 years ago,2021-06-24 13:35:55.952413,5.0,9,"(Translated by Google) Free activities and without registration, every Friday, come have fun with your little ones. Everything is provided on site, enjoy the atmosphere ...

(Original)
Activités gratuites et sans inscription, tous les vendredi, venez vous amusez avec vos petits. Tout est fourni sur place, soyer de l'ambiance..."
59,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURneHNqcTlnRRAB,jungle kids,https://www.google.com/maps/contrib/108102993734486138285/reviews?hl=en-CA,3 years ago,2021-06-24 13:35:55.959241,3.0,75,"(Translated by Google) Lack of play areas for ages 5 and up and lack of cleanliness

(Original)
Manque aires de jeux pour les 5ans et plus et manque de propreté"
60,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURjM056cjlRRRAB,Asian Looking Banana,https://www.google.com/maps/contrib/111899588821805504127/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.965076,5.0,0,
61,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURZdnZDOTlRRRAB,Claudia Scognamiglio,https://www.google.com/maps/contrib/101877801706174385863/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.967503,4.0,0,
62,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUQwdnFLYzlBRRAB,Frederick Lajoie,https://www.google.com/maps/contrib/105414972940696479994/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.970063,4.0,1,
63,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUQwaklhYzlBRRAB,Mike B,https://www.google.com/maps/contrib/101167960074920896027/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.971901,5.0,5,
64,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURjeE5HdDRRRRAB,Iacob Cristian Constanti,https://www.google.com/maps/contrib/102547901532048340778/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.973873,5.0,4,
65,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUNZb1l5SDNnRRAB,Med Deb,https://www.google.com/maps/contrib/109778887739508613700/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.975813,5.0,10,
66,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUMwdThxXzJnRRAB,MAROUANE LAMFAKER,https://www.google.com/maps/contrib/104156204937020814973/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.980155,1.0,2,
67,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURndm8zaDJRRRAB,Leonne Huard,https://www.google.com/maps/contrib/101275400670756634711/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.981409,5.0,2,
68,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURZci1yMzFnRRAB,Michel Lusignan,https://www.google.com/maps/contrib/117811097048148689301/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.982557,4.0,4,
69,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUNBdWJtbzBnRRAB,Tyler Christie,https://www.google.com/maps/contrib/111927484045568459841/reviews?hl=en-CA,3 years ago,2021-06-24 13:35:55.983699,5.0,5,
70,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURJb2V5NHpRRRAB,Henry Leung,https://www.google.com/maps/contrib/113240731760983452388/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.986739,4.0,2,
71,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUMwbEt2Rnl3RRAB,hafidi nassira,https://www.google.com/maps/contrib/112622936385684819061/reviews?hl=en-CA,a year ago,2021-06-24 13:35:55.988696,5.0,11,
72,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUN3bUlldHlnRRAB,Jean-Simon Deslauriers,https://www.google.com/maps/contrib/100710422805482160423/reviews?hl=en-CA,3 years ago,2021-06-24 13:35:55.989790,5.0,23,
73,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSUNnNjZidHlBRRAB,Karim de Montréal,https://www.google.com/maps/contrib/114326280189927480922/reviews?hl=en-CA,4 years ago,2021-06-24 13:35:55.990925,5.0,7,
74,Parc Luigi-Pirandello,ChdDSUhNMG9nS0VJQ0FnSURRelByaXhnRRAB,The S,https://www.google.com/maps/contrib/109275405364243532131/reviews?hl=en-CA,2 years ago,2021-06-24 13:35:55.992114,5.0,0,
