,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Madeleine-Parent,ChZDSUhNMG9nS0VJQ0FnSURRaGZDZlZ3EAE,Vg G,https://www.google.com/maps/contrib/114092399265107358982/reviews?hl=en-CA,3 years ago,2021-06-22 11:06:33.956662,4.0,755,Good spot to relax and have a nice view of canal Lachine or play ping pong.
1,Parc Madeleine-Parent,ChZDSUhNMG9nS0VJQ0FnSURBN3NQRlR3EAE,Lisa George,https://www.google.com/maps/contrib/106207839386269246081/reviews?hl=en-CA,2 years ago,2021-06-22 11:06:33.957716,5.0,320,"Cute park along the canal. Great for picnics, a bike ride or a walk. Right next to Atwater market so in the summer you can go grab some food and drinks to enjoy under the trees. You can rent bikes right there at Ma Bicyclette."
2,Parc Madeleine-Parent,ChdDSUhNMG9nS0VJQ0FnSUMwbk9xLWt3RRAB,Farhan Samin Prionta,https://www.google.com/maps/contrib/113987344959268224873/reviews?hl=en-CA,a year ago,2021-06-22 11:06:33.958754,5.0,113,Love this place. The view is mesmerizing and the place is quiet and calm.
3,Parc Madeleine-Parent,ChZDSUhNMG9nS0VJQ0FnSUN3ZzREa01nEAE,Leah Parisella,https://www.google.com/maps/contrib/114425783465615395943/reviews?hl=en-CA,2 years ago,2021-06-22 11:06:33.960026,5.0,71,Beautiful little park close to the canal. Ma bicyclette with refreshments and the boating rental a few minute walk away 🙂 A lot of dogs though..watch wear you step/sit 😆
4,Parc Madeleine-Parent,ChZDSUhNMG9nS0VJQ0FnSUNnOE5UZGZ3EAE,Ariel “Ariel” R,https://www.google.com/maps/contrib/114042341407496349148/reviews?hl=en-CA,2 years ago,2021-06-22 11:06:33.961056,5.0,72,Good spot to rest when  traveling down the canal. Steven have ping pong tables
5,Parc Madeleine-Parent,ChZDSUhNMG9nS0VJQ0FnSUQ4bE43YVdREAE,M Pariente,https://www.google.com/maps/contrib/106758872167602404675/reviews?hl=en-CA,11 months ago,2021-06-22 11:06:33.962096,3.0,625,"(Translated by Google) The designer surely never played ping pong. The bullets end up in the street

(Original)
Le concepteur n'a sûrement jamais jouer au ping pong.  Les balles finissent dans la rue"
6,Parc Madeleine-Parent,ChZDSUhNMG9nS0VJQ0FnSUM4OHFYS0N3EAE,Joe Pelletier,https://www.google.com/maps/contrib/117679828941734812275/reviews?hl=en-CA,11 months ago,2021-06-22 11:06:33.963155,3.0,2,"(Translated by Google) There are beautiful bikes 🚴

(Original)
Ya des beau vélo 🚴"
7,Parc Madeleine-Parent,ChdDSUhNMG9nS0VJQ0FnSURVdXBiUm9BRRAB,lou desro,https://www.google.com/maps/contrib/104520960924003351255/reviews?hl=en-CA,a year ago,2021-06-22 11:06:33.965484,4.0,57,"(Translated by Google) Well put

(Original)
Bien placé"
8,Parc Madeleine-Parent,ChdDSUhNMG9nS0VJQ0FnSURVbTZDNDRnRRAB,vincent awono,https://www.google.com/maps/contrib/102607596698164835894/reviews?hl=en-CA,a year ago,2021-06-22 11:06:33.970135,5.0,3,
9,Parc Madeleine-Parent,ChdDSUhNMG9nS0VJQ0FnSUNVZ05UY3d3RRAB,Jocelyn Fotso,https://www.google.com/maps/contrib/103067153663651024442/reviews?hl=en-CA,a year ago,2021-06-22 11:06:33.972028,4.0,1,
10,Parc Madeleine-Parent,ChdDSUhNMG9nS0VJQ0FnSUNpLU5PMnd3RRAB,Vinh Do,https://www.google.com/maps/contrib/114449667036758937564/reviews?hl=en-CA,8 months ago,2021-06-22 11:06:33.973939,4.0,2,
11,Parc Madeleine-Parent,ChdDSUhNMG9nS0VJQ0FnSUNRcV9DdHZ3RRAB,German Studies,https://www.google.com/maps/contrib/104188274902567723444/reviews?hl=en-CA,3 years ago,2021-06-22 11:06:33.975725,5.0,2,
12,Parc Madeleine-Parent,ChdDSUhNMG9nS0VJQ0FnSUNDNFlucXVRRRAB,Mina Lam,https://www.google.com/maps/contrib/113743587984907629727/reviews?hl=en-CA,9 months ago,2021-06-22 11:06:33.977466,5.0,7,
13,Parc Madeleine-Parent,ChdDSUhNMG9nS0VJQ0FnSURnd3ZxS3JnRRAB,Aditya Bhatia,https://www.google.com/maps/contrib/116236411539074731483/reviews?hl=en-CA,2 years ago,2021-06-22 11:06:33.979205,4.0,1,
