,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Magnan,ChdDSUhNMG9nS0VJQ0FnSUNpMUpDTjlRRRAB,Parise Vautour,https://www.google.com/maps/contrib/107671412153048997870/reviews?hl=en-CA,8 months ago,2021-06-24 18:05:52.241232,5.0,32,"Little tiny park, very quiet, nice place to meditate or read!"
1,Parc Magnan,ChdDSUhNMG9nS0VJQ0FnSUMwaHN6OTd3RRAB,David Jackson Blue Garbage Tupper Ware House,https://www.google.com/maps/contrib/114013054847664948046/reviews?hl=en-CA,a year ago,2021-06-24 18:05:52.268976,3.0,111,Ok just need some salty bad boy
2,Parc Magnan,ChdDSUhNMG9nS0VJQ0FnSUNVOXBQcXN3RRAB,Gilles Héroux,https://www.google.com/maps/contrib/114441162709398824192/reviews?hl=en-CA,a year ago,2021-06-24 18:05:52.273981,5.0,92,"(Translated by Google) Very nice park we can play basket ball ping pong soccer and relax not far from home

(Original)
Très joli parc on peut jouer au ballon panier ping-pong soccer et relaxer pas loin de chez nous"
3,Parc Magnan,ChRDSUhNMG9nS0VJQ0FnSUNBcDZNZhAB,Maeva ALBANESE,https://www.google.com/maps/contrib/107390562410764290167/reviews?hl=en-CA,4 years ago,2021-06-24 18:05:52.289153,1.0,1,"(Translated by Google) Very small!

(Original)
Très petit!"
4,Parc Magnan,ChdDSUhNMG9nS0VJQ0FnSUM0N3YzdG5RRRAB,MAVIC 514,https://www.google.com/maps/contrib/114401808966935452078/reviews?hl=en-CA,2 years ago,2021-06-24 18:05:52.303332,5.0,54,
5,Parc Magnan,ChdDSUhNMG9nS0VJQ0FnSURnenFpUmh3RRAB,Luc P,https://www.google.com/maps/contrib/101125606743880026619/reviews?hl=en-CA,3 years ago,2021-06-24 18:05:52.309431,3.0,50,
6,Parc Magnan,ChdDSUhNMG9nS0VJQ0FnSURRNF9Ma2dnRRAB,Pascale Desmarais,https://www.google.com/maps/contrib/114370276108743201669/reviews?hl=en-CA,3 years ago,2021-06-24 18:05:52.317862,4.0,8,
7,Parc Magnan,ChZDSUhNMG9nS0VJQ0FnSURVNk83SFRREAE,Miryam Bougie-Lauzon,https://www.google.com/maps/contrib/114878590808340523252/reviews?hl=en-CA,a year ago,2021-06-24 18:05:52.323706,5.0,78,
8,Parc Magnan,ChZDSUhNMG9nS0VJQ0FnSUNvdDVYMkNBEAE,Martin McFly,https://www.google.com/maps/contrib/101698930996774605077/reviews?hl=en-CA,2 years ago,2021-06-24 18:05:52.342708,4.0,9,
9,Parc Magnan,ChZDSUhNMG9nS0VJQ0FnSUNvaW8tc0FnEAE,Seb Syko,https://www.google.com/maps/contrib/111844516834002558616/reviews?hl=en-CA,2 years ago,2021-06-24 18:05:52.348698,4.0,33,
