,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Maher,ChdDSUhNMG9nS0VJQ0FnSUM0eWZyaXFRRRAB,verere adasen,https://www.google.com/maps/contrib/105413426479532701323/reviews?hl=en-CA,2 years ago,2021-06-22 11:07:33.330302,5.0,121,It's a very nice parc. With different types of kids equipments.
1,Parc Maher,ChZDSUhNMG9nS0VJQ0FnSUN3OXFDQ2RREAE,Eva Dongho,https://www.google.com/maps/contrib/111629560722838908285/reviews?hl=en-CA,3 years ago,2021-06-22 11:07:33.331587,5.0,4,"Very nice , has parking and is open still after10pm."
2,Parc Maher,ChZDSUhNMG9nS0VJQ0FnSURvMklpZFp3EAE,Olivier Tchapmi,https://www.google.com/maps/contrib/110325716472888038200/reviews?hl=en-CA,2 years ago,2021-06-22 11:07:33.332851,4.0,316,Good
3,Parc Maher,ChZDSUhNMG9nS0VJQ0FnSUNLLU9qUlZREAE,Gilles Laurin,https://www.google.com/maps/contrib/100650535670502651131/reviews?hl=en-CA,2 months ago,2021-06-22 11:07:33.334259,4.0,184,"(Translated by Google) Wonderful

(Original)
Merveilleux"
4,Parc Maher,ChZDSUhNMG9nS0VJQ0FnSURrbFppSkNREAE,Byby Daniel,https://www.google.com/maps/contrib/109755059389115440612/reviews?hl=en-CA,a year ago,2021-06-22 11:07:33.335440,4.0,117,"(Translated by Google) Nice little park

(Original)
Nice little parc"
5,Parc Maher,ChdDSUhNMG9nS0VJQ0FnSURRa1pxejVBRRAB,Veronica Lodge,https://www.google.com/maps/contrib/110578287226567943636/reviews?hl=en-CA,3 years ago,2021-06-22 11:07:33.336742,3.0,20,
6,Parc Maher,ChdDSUhNMG9nS0VJQ0FnSUN3bDZleXlBRRAB,Ma Toussaint,https://www.google.com/maps/contrib/109457385985507398188/reviews?hl=en-CA,4 years ago,2021-06-22 11:07:33.338159,3.0,7,
7,Parc Maher,ChdDSUhNMG9nS0VJQ0FnSUNzOV9ubHNnRRAB,The Walking PotHead,https://www.google.com/maps/contrib/101519673418192145913/reviews?hl=en-CA,a year ago,2021-06-22 11:07:33.340728,4.0,55,
8,Parc Maher,ChZDSUhNMG9nS0VJQ0FnSURNODVxemNnEAE,Omar Guillermo Chávez Vázquez,https://www.google.com/maps/contrib/110801936278225195954/reviews?hl=en-CA,a year ago,2021-06-22 11:07:33.369140,5.0,2,
9,Parc Maher,ChZDSUhNMG9nS0VJQ0FnSURJemFXVmF3EAE,reuven desouza,https://www.google.com/maps/contrib/108455876635667924092/reviews?hl=en-CA,2 years ago,2021-06-22 11:07:33.387737,1.0,0,
10,Parc Maher,ChZDSUhNMG9nS0VJQ0FnSUNnOE0tS1N3EAE,eric alimasi,https://www.google.com/maps/contrib/101096769745966449358/reviews?hl=en-CA,5 years ago,2021-06-22 11:07:33.389555,1.0,20,
11,Parc Maher,ChZDSUhNMG9nS0VJQ0FnSURBbzRuTE9BEAE,Maria Vital,https://www.google.com/maps/contrib/112838268725019399027/reviews?hl=en-CA,3 years ago,2021-06-22 11:07:33.398489,5.0,34,
12,Parc Maher,ChZDSUhNMG9nS0VJQ0FnSURVeGVlU0RnEAE,P S,https://www.google.com/maps/contrib/101910488095772551237/reviews?hl=en-CA,a year ago,2021-06-22 11:07:33.400151,5.0,105,
13,Parc Maher,ChZDSUhNMG9nS0VJQ0FnSURrcnZmbkFnEAE,Amarjit Sidhu,https://www.google.com/maps/contrib/105161440653534735471/reviews?hl=en-CA,a year ago,2021-06-22 11:07:33.401773,5.0,7,
14,Parc Maher,ChdDSUhNMG9nS0VJQ0FnSUNLOWVMeS1BRRAB,ashley shade,https://www.google.com/maps/contrib/113224993448970534473/reviews?hl=en-CA,2 months ago,2021-06-22 11:07:33.403452,5.0,1,
15,Parc Maher,ChdDSUhNMG9nS0VJQ0FnSUNzd19PdDhnRRAB,Ernst Junior Roger,https://www.google.com/maps/contrib/100702184238376080903/reviews?hl=en-CA,a year ago,2021-06-22 11:07:33.405109,5.0,0,
16,Parc Maher,ChdDSUhNMG9nS0VJQ0FnSUNZcFliUzFnRRAB,Donnald Asselin,https://www.google.com/maps/contrib/112238802302484276523/reviews?hl=en-CA,2 years ago,2021-06-22 11:07:33.406921,3.0,193,
17,Parc Maher,ChdDSUhNMG9nS0VJQ0FnSUQ4N1ozNnF3RRAB,F P,https://www.google.com/maps/contrib/111214540413112103338/reviews?hl=en-CA,10 months ago,2021-06-22 11:07:33.408403,5.0,30,
18,Parc Maher,ChdDSUhNMG9nS0VJQ0FnSURBNXJhaWx3RRAB,Happy Gill,https://www.google.com/maps/contrib/117372701572277170933/reviews?hl=en-CA,3 years ago,2021-06-22 11:07:33.431424,5.0,3,
19,Parc Maher,ChZDSUhNMG9nS0VJQ0FnSUQ0OVl2QlRBEAE,Pradeet Singh,https://www.google.com/maps/contrib/113501994153977191996/reviews?hl=en-CA,2 years ago,2021-06-22 11:07:33.433188,5.0,3,
20,Parc Maher,ChZDSUhNMG9nS0VJQ0FnSUNnNUsyV01BEAE,panda love abbracci,https://www.google.com/maps/contrib/102598260261859048730/reviews?hl=en-CA,3 years ago,2021-06-22 11:07:33.434230,4.0,0,
21,Parc Maher,ChZDSUhNMG9nS0VJQ0FnSURDeUtYdEtREAE,O'Maro Eghujovbo,https://www.google.com/maps/contrib/108859867751444578514/reviews?hl=en-CA,9 months ago,2021-06-22 11:07:33.435229,5.0,2,
22,Parc Maher,ChZDSUhNMG9nS0VJQ0FnSURneU0yaEp3EAE,Terry Kuang,https://www.google.com/maps/contrib/116982338521913994296/reviews?hl=en-CA,3 years ago,2021-06-22 11:07:33.436205,5.0,2,
